사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,퇴근시간 승차인원,퇴근시간 하차인원
202304,경부선,가산디지털단지,40958,220894,221209,76798
202304,경부선,관악,83555,21687,31587,71476
202304,경부선,광명,26076,17030,28159,26900
202304,경부선,구로,96246,116424,135867,114884
202304,경부선,군포,48264,83727,71272,39716
202304,경부선,금정,230217,154614,176855,247162
202304,경부선,금천구청,111349,50531,55359,112234
202304,경부선,남영,39064,90038,89764,59469
202304,경부선,노량진,50782,28965,52110,89209
202304,경부선,당정,61998,28925,33955,53131
202304,경부선,대방,70555,82006,78146,81486
202304,경부선,독산,114549,159169,163459,111078
202304,경부선,두정,46795,40733,52185,61830
202304,경부선,명학,61106,94218,81996,51283
202304,경부선,병점,136062,68566,90154,144625
202304,경부선,서동탄,19454,4055,5460,14183
202304,경부선,서울역,32367,16552,57462,21535
202304,경부선,서정리,48377,53621,81390,59520
202304,경부선,석수,94458,34722,43436,82056
202304,경부선,성균관대,156548,45790,69721,152745
202304,경부선,성환,17939,39897,47790,24470
202304,경부선,세류,36562,11429,15931,30354
202304,경부선,세마,27528,17732,17975,25721
202304,경부선,송탄,35542,19823,27527,41504
202304,경부선,수원,190060,173201,279161,325574
202304,경부선,신길,69597,53692,60721,55596
202304,경부선,신도림,24009,23996,29212,31761
202304,경부선,안양,200003,92974,133261,220212
202304,경부선,영등포,118792,219013,374976,278565
202304,경부선,오산,73347,58821,69989,88597
202304,경부선,오산대,33151,18838,24391,34088
202304,경부선,용산,63640,283254,391646,224582
202304,경부선,의왕,71195,76914,67257,65208
202304,경부선,직산,5957,8067,8408,6049
202304,경부선,진위,7744,20799,21338,7415
202304,경부선,천안,30331,28534,53631,54162
202304,경부선,평택,78646,56852,91683,117160
202304,경부선,평택지제,27727,35007,38983,27618
202304,경부선,화서,105351,26927,32872,91560
202303,경부선,가산디지털단지,41097,240370,239918,81193
202303,경부선,관악,89272,22841,33639,76026
202303,경부선,광명,27752,17560,29228,28084
202303,경부선,구로,101570,124695,144788,122203
202303,경부선,군포,51254,90348,77460,41875
202303,경부선,금정,247501,165368,187046,263904
202303,경부선,금천구청,119619,53312,58620,120248
202303,경부선,남영,41403,96558,98450,64696
202303,경부선,노량진,54154,31570,53353,92672
202303,경부선,당정,67174,32046,38188,57203
202303,경부선,대방,76041,89200,84211,87665
202303,경부선,독산,122960,174565,179455,119326
202303,경부선,두정,49671,48160,59675,67555
202303,경부선,명학,65228,101826,89478,55960
202303,경부선,병점,144973,76001,100760,154955
202303,경부선,서동탄,20744,4191,5602,15080
202303,경부선,서울역,33944,16543,58907,22715
202303,경부선,서정리,50649,56862,89123,62204
202303,경부선,석수,99789,36368,46064,87751
202303,경부선,성균관대,170520,50270,78025,166551
202303,경부선,성환,18513,43225,52737,26136
202303,경부선,세류,38700,11246,16237,31509
202303,경부선,세마,29919,18700,19572,28135
202303,경부선,송탄,37064,20979,29219,43425
202303,경부선,수원,203768,184263,300058,352224
202303,경부선,신길,74453,56287,64380,59659
202303,경부선,신도림,25362,26280,32026,34352
202303,경부선,안양,215354,101453,142626,238374
202303,경부선,영등포,122828,227672,391085,297309
202303,경부선,오산,79363,62281,73603,95292
202303,경부선,오산대,35957,20603,25156,36889
202303,경부선,용산,63821,282339,411512,232062
202303,경부선,의왕,77534,80625,72296,71224
202303,경부선,직산,6107,8632,8791,6640
202303,경부선,진위,8323,22469,23745,7886
202303,경부선,천안,31229,29538,57046,56958
202303,경부선,평택,83378,59494,97937,125179
202303,경부선,평택지제,29199,37675,43378,29405
202303,경부선,화서,112817,26890,33251,97551
202302,경부선,가산디지털단지,33960,213051,218303,71433
202302,경부선,관악,72671,18503,27982,64729
202302,경부선,광명,23930,15465,26427,25206
202302,경부선,구로,83447,108868,130934,104973
202302,경부선,군포,42581,80310,69775,36639
202302,경부선,금정,201996,141988,165633,224151
202302,경부선,금천구청,95860,46372,53172,101925
202302,경부선,남영,33947,70611,84200,55321
202302,경부선,노량진,42994,27392,46615,80479
202302,경부선,당정,53557,25259,28883,46884
202302,경부선,대방,59854,77958,76272,72875
202302,경부선,독산,100325,157597,165965,102330
202302,경부선,두정,35042,17969,36129,48847
202302,경부선,명학,55242,82269,71026,47901
202302,경부선,병점,105478,51659,75091,118311
202302,경부선,서동탄,16721,3728,4887,12389
202302,경부선,서울역,30187,15783,54593,21446
202302,경부선,서정리,37260,41413,67692,51234
202302,경부선,석수,81341,30277,40131,73949
202302,경부선,성균관대,137368,32185,58191,139643
202302,경부선,성환,14258,18938,25397,19452
202302,경부선,세류,30869,9697,14482,26400
202302,경부선,세마,20777,15333,16652,21492
202302,경부선,송탄,29055,15957,24966,35681
