사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,퇴근시간 승차인원,퇴근시간 하차인원
202304,경원선,가능,60437,26963,28955,55819
202304,경원선,광운대,71819,31219,40536,64371
202304,경원선,녹양,42759,17053,20953,39274
202304,경원선,녹천,50355,11700,13673,37553
202304,경원선,덕계,49756,15645,16309,39202
202304,경원선,덕정,48179,36874,35420,44232
202304,경원선,도봉,49142,17383,25374,46554
202304,경원선,도봉산,52146,16100,43988,29123
202304,경원선,동두천,14991,19372,14377,14473
202304,경원선,동두천중앙,22821,16649,16710,20254
202304,경원선,망월사,70268,33666,42701,72082
202304,경원선,방학,84649,35210,44345,85063
202304,경원선,보산,10349,6847,10302,12051
202304,경원선,서빙고,9614,18477,19283,11706
202304,경원선,석계,63814,18999,32841,90886
202304,경원선,소요산,9440,8187,15600,9214
202304,경원선,신이문,91083,16429,25096,77150
202304,경원선,양주,68079,29654,37023,63414
202304,경원선,옥수,194,413,905,180
202304,경원선,왕십리(성동구청),78961,43430,100390,161406
202304,경원선,외대앞,52064,40612,59969,63476
202304,경원선,월계,60852,26604,36023,57793
202304,경원선,응봉,19331,5226,8265,15529
202304,경원선,의정부,127694,55833,114802,159834
202304,경원선,이촌(국립중앙박물관),22608,16185,27264,22266
202304,경원선,지행,57627,21215,30251,61935
202304,경원선,창동,3,0,0,0
202304,경원선,청량리(서울시립대입구),81971,59596,101726,125898
202304,경원선,한남,12838,31351,36938,21227
202304,경원선,회룡,135849,27869,36597,127541
202303,경원선,가능,64157,29196,31053,59243
202303,경원선,광운대,77254,36663,47480,69381
202303,경원선,녹양,45494,18143,22273,42275
202303,경원선,녹천,52934,12319,14129,40381
202303,경원선,덕계,50140,16538,17034,39317
202303,경원선,덕정,50666,38584,38103,45563
202303,경원선,도봉,51734,18060,26950,49091
202303,경원선,도봉산,55382,16147,45378,30483
202303,경원선,동두천,15725,19068,15702,15487
202303,경원선,동두천중앙,23941,17131,17208,21141
202303,경원선,망월사,73792,37727,45748,76315
202303,경원선,방학,89291,36576,47522,91632
202303,경원선,보산,10915,7048,10641,12060
202303,경원선,서빙고,9810,19093,20309,11868
202303,경원선,석계,67462,19526,35696,98058
202303,경원선,소요산,9670,6698,13878,9630
202303,경원선,신이문,96188,17450,26709,82651
202303,경원선,양주,72965,29828,39666,68617
202303,경원선,옥수,181,411,958,194
202303,경원선,왕십리(성동구청),83981,45451,110757,175008
202303,경원선,외대앞,54429,48388,71273,71942
202303,경원선,월계,65057,29425,37152,62308
202303,경원선,응봉,20494,5634,9723,17205
202303,경원선,의정부,134946,58548,120190,171300
202303,경원선,이촌(국립중앙박물관),23964,16844,28282,23579
202303,경원선,지행,61838,22514,32444,66107
202303,경원선,창동,3,0,9,0
202303,경원선,청량리(서울시립대입구),84341,57396,105548,131079
202303,경원선,한남,13186,32977,39339,22614
202303,경원선,회룡,143841,27881,37960,136439
202302,경원선,가능,52860,19678,25151,49568
202302,경원선,광운대,66267,14623,24864,58366
202302,경원선,녹양,37486,13520,18701,35562
202302,경원선,녹천,43798,9109,12590,34729
202302,경원선,덕계,35937,12727,12962,29886
202302,경원선,덕정,38563,24757,27582,37851
202302,경원선,도봉,42480,15454,23014,42775
202302,경원선,도봉산,46032,10641,35350,25327
202302,경원선,동두천,12533,12338,10162,13232
202302,경원선,동두천중앙,18489,12477,13976,17851
202302,경원선,망월사,60499,17450,25152,63084
202302,경원선,방학,72112,30300,41644,77436
202302,경원선,보산,9280,5226,8435,10457
202302,경원선,서빙고,8022,16120,17355,9916
202302,경원선,석계,57630,14711,28155,84947
202302,경원선,소요산,8582,5065,9860,8745
202302,경원선,신이문,79709,15494,23991,72250
202302,경원선,양주,57595,23563,30569,55779
202302,경원선,옥수,154,284,735,145
202302,경원선,왕십리(성동구청),71857,36104,85362,154006
202302,경원선,외대앞,46348,21856,36512,56573
202302,경원선,월계,52941,14481,20922,51934
202302,경원선,응봉,16043,4051,6649,13544
202302,경원선,의정부,111475,49884,108116,143976
202302,경원선,이촌(국립중앙박물관),19119,14039,24271,19947
202302,경원선,지행,47022,16055,25712,52302
202302,경원선,창동,1,0,1,0
202302,경원선,청량리(서울시립대입구),71720,46557,91411,115178
