사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,퇴근시간 승차인원,퇴근시간 하차인원
202304,1호선,동대문,44094,41009,69531,63118
202304,1호선,동묘앞,22187,37540,70599,35355
202304,1호선,서울역,127270,390406,500389,253706
202304,1호선,시청,22120,288474,317135,69067
202304,1호선,신설동,62708,87736,111225,76614
202304,1호선,제기동,65019,67338,104774,75169
202304,1호선,종각,22100,388820,456204,118043
202304,1호선,종로3가,19540,107616,246958,106435
202304,1호선,종로5가,20030,154045,239155,90856
202304,1호선,청량리(서울시립대입구),102064,76473,119810,121877
202304,2호선,강남,122065,496829,747739,420825
202304,2호선,강변(동서울터미널),221492,92022,161083,267133
202304,2호선,건대입구,167616,106252,231227,375513
202304,2호선,교대(법원.검찰청),76202,242575,294609,181469
202304,2호선,구로디지털단지,383308,321640,437140,409728
202304,2호선,구의(광진구청),210445,72674,102937,218254
202304,2호선,낙성대(강감찬),238032,73981,128241,248097
202304,2호선,당산,120438,119788,132188,176728
202304,2호선,대림(구로구청),193347,90380,123521,187368
202304,2호선,도림천,8057,10138,8218,8081
202304,2호선,동대문역사문화공원(DDP),24184,83253,121617,92501
202304,2호선,뚝섬,51697,189121,286531,115011
202304,2호선,문래,107289,172952,200841,138757
202304,2호선,방배,64939,119272,152688,98992
202304,2호선,봉천,234593,45040,83347,219604
202304,2호선,사당,203344,161670,244302,408789
202304,2호선,삼성(무역센터),40960,516803,681563,161613
202304,2호선,상왕십리,122102,51775,70037,123003
202304,2호선,서울대입구(관악구청),347083,113735,232460,422343
202304,2호선,서초,64176,184020,208675,74552
202304,2호선,선릉,66949,430211,622999,149890
202304,2호선,성수,64874,366047,482623,177024
202304,2호선,시청,16653,291375,320637,60397
202304,2호선,신답,19556,3430,5527,21111
202304,2호선,신당,90473,58097,86634,129721
202304,2호선,신대방,260992,51467,89211,241159
202304,2호선,신도림,338484,176223,293217,414906
202304,2호선,신림,534597,90871,213109,562660
202304,2호선,신설동,14991,21593,30851,18966
202304,2호선,신정네거리,116789,19918,31744,116083
202304,2호선,신촌,107385,142132,274968,282366
202304,2호선,아현,83117,42009,54226,83741
202304,2호선,양천구청,78093,17583,22508,75757
202304,2호선,역삼,51649,544042,636080,145413
202304,2호선,영등포구청,100413,169587,189422,129533
202304,2호선,왕십리(성동구청),80689,51182,96220,125877
202304,2호선,용답,25602,7403,13026,25522
202304,2호선,용두(동대문구청),16227,9380,13090,17994
202304,2호선,을지로3가,21800,260821,282900,99168
202304,2호선,을지로4가,17642,122892,153082,48575
202304,2호선,을지로입구,33743,476004,562715,170200
202304,2호선,이대,75553,66276,123326,117320
202304,2호선,잠실(송파구청),333617,292284,624591,594484
202304,2호선,잠실나루,99368,74957,83643,98958
202304,2호선,잠실새내,159343,54995,113916,211805
202304,2호선,종합운동장,46699,61073,122181,146871
202304,2호선,충정로(경기대입구),44783,91481,92293,53771
202304,2호선,한양대,16890,88697,116704,45199
202304,2호선,합정,116088,145723,276194,282819
202304,2호선,홍대입구,179961,166592,512817,592417
202304,3호선,가락시장,49989,46066,62099,61962
202304,3호선,경복궁(정부서울청사),40997,189499,262114,100443
202304,3호선,경찰병원,57637,39795,42365,54831
202304,3호선,고속터미널,80102,165334,391903,301135
202304,3호선,교대(법원.검찰청),28684,77625,147730,48721
202304,3호선,구파발,202070,66225,90554,182313
202304,3호선,금호,75914,14952,30734,72927
202304,3호선,남부터미널(예술의전당),86387,244433,287970,156952
202304,3호선,녹번,178330,28894,48599,151872
202304,3호선,대청,76839,52531,62406,72911
202304,3호선,대치,69081,53676,72391,83706
202304,3호선,도곡,24488,40333,45068,28344
202304,3호선,독립문,40316,41090,41377,44140
202304,3호선,동대입구,17086,87454,112034,47675
202304,3호선,매봉,46439,104658,120113,60799
202304,3호선,무악재,43733,10577,16826,41153
202304,3호선,불광,136658,48520,77354,151819
202304,3호선,수서,95328,112574,122603,132614
202304,3호선,신사,36508,158221,295119,155070
202304,3호선,안국,19702,227938,310988,82323
202304,3호선,압구정,50551,221271,324486,150768
202304,3호선,약수,76347,55461,78234,100280
202304,3호선,양재(서초구청),94867,382709,401420,188482
202304,3호선,연신내,315620,73430,131888,324866
202304,3호선,오금,67981,22549,27534,51567
202304,3호선,옥수,64930,27114,45808,82482
202304,3호선,을지로3가,9924,122809,137559,51867
202304,3호선,일원,59522,71973,65706,56507
202304,3호선,잠원,36038,24019,25901,35692
202304,3호선,종로3가,6342,66232,118388,50627
202304,3호선,지축,65818,19885,24596,62044
202304,3호선,충무로,0,0,15,0
202304,3호선,학여울,11488,13677,19224,12412
202304,3호선,홍제,164649,44616,73753,160969
202304,4호선,길음,209674,60229,94223,198346
202304,4호선,남태령,7099,11158,11039,5225
202304,4호선,노원,132541,53323,90471,204667
202304,4호선,당고개,94486,21843,34778,71596
202304,4호선,동대문,15441,116144,181793,58909
202304,4호선,동대문역사문화공원(DDP),25397,108014,184929,76615
202304,4호선,동작(현충원),5066,10809,13667,9951
202304,4호선,명동,27435,191554,309448,176826
202304,4호선,미아(서울사이버대학),120823,61191,75267,120787
202304,4호선,미아사거리,231049,62092,114789,251204
202304,4호선,사당,180575,87429,136896,226213
202304,4호선,삼각지,20157,38087,49070,51508
202304,4호선,상계,200381,49428,68487,170506
202304,4호선,서울역,35128,143772,132220,113483
202304,4호선,성신여대입구(돈암),119423,69262,128591,172097
202304,4호선,수유(강북구청),288802,88803,159675,324728
202304,4호선,숙대입구(갈월),53835,85352,119062,96089
202304,4호선,신용산,34079,138476,198975,102138
202304,4호선,쌍문,308382,52215,91887,272979
202304,4호선,이촌(국립중앙박물관),35839,46863,66027,57012
202304,4호선,창동,207090,71803,118752,235826
202304,4호선,총신대입구(이수),126122,70951,101940,184678
202304,4호선,충무로,33845,257557,317191,113373
202304,4호선,한성대입구(삼선교),80498,60159,90817,99522
202304,4호선,혜화,47299,192989,304307,206686
202304,4호선,회현(남대문시장),17776,207278,290606,56860
202304,5호선,강동,144482,88389,106682,130706
202304,5호선,강일,57479,17152,20027,47745
202304,5호선,개롱,56900,28124,32103,58560
202304,5호선,개화산,51535,27858,30915,43356
202304,5호선,거여,111008,31496,38370,95352
202304,5호선,고덕,69691,41288,46810,76556
202304,5호선,공덕,59920,117070,131722,101281
202304,5호선,광나루(장신대),103316,62182,77228,100145
202304,5호선,광화문(세종문화회관),26008,377084,407857,103355
202304,5호선,군자(능동),93378,41434,64499,121996
202304,5호선,굽은다리(강동구민회관앞),89064,24944,38427,83498
202304,5호선,길동,58243,31087,41082,68518
202304,5호선,김포공항,16208,44250,65032,41002
202304,5호선,까치산,327697,42452,83338,293913
202304,5호선,답십리,148021,56728,78131,129653
202304,5호선,동대문역사문화공원(DDP),4454,41611,39100,9822
202304,5호선,둔촌동,63112,43359,52720,75483
202304,5호선,마곡,59741,74805,88429,65693
202304,5호선,마장,42033,26723,32477,41929
202304,5호선,마천,93993,19348,24409,69465
202304,5호선,마포,73959,100013,115596,100205
202304,5호선,명일,85039,25295,33182,88365
202304,5호선,목동,155094,48731,70485,181460
202304,5호선,미사,160666,44409,73509,175222
202304,5호선,발산,69694,168934,194450,128224
202304,5호선,방이,44856,37523,45505,60398
202304,5호선,방화,65302,23595,27100,55654
202304,5호선,상일동,164204,36853,50454,139420
202304,5호선,서대문,49345,250537,220663,63070
202304,5호선,송정,51965,22421,31641,49940
202304,5호선,신금호,56998,25141,27774,60915
202304,5호선,신길,44230,20892,26188,43059
202304,5호선,신정(은행정),167658,25953,38761,113210
202304,5호선,아차산(어린이대공원후문),119240,51296,80435,124461
202304,5호선,애오개,50496,40481,42521,49632
202304,5호선,양평,60495,48478,54304,52142
202304,5호선,여의나루,17887,128227,222416,118116
202304,5호선,여의도,28668,378902,380106,91164
202304,5호선,영등포구청,21943,32928,37828,26342
202304,5호선,영등포시장,64549,56825,85921,73525
202304,5호선,오금,19440,32438,28363,20893
202304,5호선,오목교(목동운동장앞),124370,103712,150726,175692
202304,5호선,올림픽공원(한국체대),29869,22970,33567,29391
202304,5호선,왕십리(성동구청),17072,27799,32994,38190
202304,5호선,우장산,141317,44832,54936,133199
202304,5호선,을지로4가,6220,66896,79400,20251
202304,5호선,장한평,149282,100633,123402,151806
202304,5호선,종로3가,11654,62329,144205,87373
202304,5호선,천호(풍납토성),79351,74892,140003,140423
202304,5호선,청구,21146,20754,28923,25840
202304,5호선,충정로(경기대입구),17334,48825,50773,20365
202304,5호선,하남검단산,53587,21855,33646,46809
202304,5호선,하남시청(덕풍?신장),64385,26131,36495,62602
202304,5호선,하남풍산,28498,25715,30436,29141
202304,5호선,행당,88132,17100,26059,73276
202304,5호선,화곡,313548,58480,100795,285719
202304,6호선,고려대(종암),57469,48779,56435,61276
202304,6호선,공덕,62371,150007,177450,102169
202304,6호선,광흥창(서강),56471,55505,65406,58149
202304,6호선,구산,81705,16732,26096,56616
202304,6호선,녹사평(용산구청),15282,30408,44346,37073
