사용일자,노선명,역명,승차총승객수,하차총승객수
20200101,1호선,종각,20427,16301
20200101,1호선,시청,12126,10516
20200101,1호선,서울역,36470,29895
20200101,1호선,동묘앞,7580,7998
20200101,1호선,청량리(서울시립대입구),13878,13997
20200101,1호선,제기동,9791,9852
20200101,1호선,신설동,6820,6589
20200101,1호선,동대문,8822,9558
20200101,1호선,종로5가,12672,11939
20200101,1호선,종로3가,17061,15108
20200102,1호선,서울역,59502,53548
20200102,1호선,시청,27953,28347
20200102,1호선,종각,48855,47433
20200102,1호선,종로3가,35903,34261
20200102,1호선,종로5가,28447,28619
20200102,1호선,동대문,12057,13486
20200102,1호선,신설동,16140,15858
20200102,1호선,제기동,20556,21151
20200102,1호선,청량리(서울시립대입구),24593,24717
20200102,1호선,동묘앞,8797,9305
20200103,1호선,서울역,66013,60775
20200103,1호선,시청,30288,30898
20200103,1호선,종각,53006,52135
20200103,1호선,종로3가,39369,37568
20200103,1호선,종로5가,30778,30873
20200103,1호선,동대문,13288,14731
20200103,1호선,신설동,17199,16573
20200103,1호선,제기동,21868,22412
20200103,1호선,청량리(서울시립대입구),26167,26603
20200103,1호선,동묘앞,9841,10175
20200104,1호선,서울역,48376,46823
20200104,1호선,시청,22370,23449
20200104,1호선,종각,35345,33183
20200104,1호선,종로3가,34613,33921
20200104,1호선,종로5가,26307,26355
20200104,1호선,동대문,13392,15219
20200104,1호선,신설동,12452,11889
20200104,1호선,제기동,19719,20500
20200104,1호선,청량리(서울시립대입구),24388,24906
20200104,1호선,동묘앞,13077,13909
20200105,1호선,서울역,38247,34335
20200105,1호선,시청,12128,11878
20200105,1호선,종각,20424,17508
20200105,1호선,종로5가,12773,12485
20200105,1호선,동대문,12340,14602
20200105,1호선,신설동,9598,9353
20200105,1호선,제기동,13623,14098
20200105,1호선,청량리(서울시립대입구),18178,18398
20200105,1호선,동묘앞,13871,14382
20200105,1호선,종로3가,21119,19316
20200106,1호선,서울역,58509,54106
20200106,1호선,시청,27431,27926
20200106,1호선,종각,49955,47854
20200106,1호선,종로3가,35447,34264
20200106,1호선,종로5가,28342,27852
20200106,1호선,동대문,13409,14525
20200106,1호선,신설동,16605,16430
20200106,1호선,제기동,20697,20949
20200106,1호선,청량리(서울시립대입구),23856,24206
20200106,1호선,동묘앞,7107,7716
20200107,1호선,서울역,56932,52709
20200107,1호선,시청,28129,28050
20200107,1호선,종각,49608,47621
20200107,1호선,종로3가,32831,31628
20200107,1호선,종로5가,28447,27705
20200107,1호선,동대문,12450,12843
20200107,1호선,신설동,15945,15650
20200107,1호선,제기동,17678,17677
20200107,1호선,청량리(서울시립대입구),21460,21728
20200107,1호선,동묘앞,6090,6291
20200108,1호선,서울역,58754,53792
20200108,1호선,시청,27996,28663
20200108,1호선,종각,49926,48608
20200108,1호선,종로3가,37405,35497
20200108,1호선,종로5가,29338,29116
20200108,1호선,동대문,13898,14616
20200108,1호선,신설동,16920,16576
20200108,1호선,제기동,21352,21776
20200108,1호선,청량리(서울시립대입구),24999,25517
20200108,1호선,동묘앞,8080,8321
20200109,1호선,서울역,60442,56118
20200109,1호선,시청,29495,30356
20200109,1호선,종각,52172,50502
20200109,1호선,종로3가,38204,36550
20200109,1호선,종로5가,30457,30412
20200109,1호선,동대문,14278,15133
20200109,1호선,신설동,17253,16807
20200109,1호선,제기동,23311,23946
20200109,1호선,청량리(서울시립대입구),26227,26293
20200109,1호선,동묘앞,9238,9535
20200110,1호선,시청,30140,30776
20200110,1호선,종각,53635,53341
20200110,1호선,종로3가,39544,38798
20200110,1호선,종로5가,31091,31475
20200110,1호선,동대문,14807,15757
20200110,1호선,신설동,17908,17295
20200110,1호선,제기동,23450,23977
20200110,1호선,청량리(서울시립대입구),27291,27721
20200110,1호선,동묘앞,9564,10021
20200110,1호선,서울역,69054,62678
20200111,1호선,서울역,54012,52192
20200111,1호선,시청,25804,26923
20200111,1호선,종각,41463,38990
20200111,1호선,종로3가,38158,37276
20200111,1호선,종로5가,28902,29001
20200111,1호선,동대문,15147,16499
20200111,1호선,신설동,12925,12255
20200111,1호선,제기동,21594,22831
20200111,1호선,청량리(서울시립대입구),26093,27141
20200111,1호선,동묘앞,13608,14238
20200112,1호선,서울역,38946,35440
20200112,1호선,시청,13014,12314
20200112,1호선,종각,21757,18592
20200112,1호선,종로3가,22212,20294
20200112,1호선,종로5가,14817,14417
20200112,1호선,동대문,12999,15254
20200112,1호선,신설동,9769,9501
20200112,1호선,제기동,14840,15493
20200112,1호선,청량리(서울시립대입구),19632,19825
20200112,1호선,동묘앞,14051,14145
20200113,1호선,서울역,59613,55643
20200113,1호선,시청,28368,28837
20200113,1호선,종각,49906,48307
20200113,1호선,종로3가,36794,35017
20200113,1호선,종로5가,29045,29040
20200113,1호선,동대문,13851,14657
20200113,1호선,신설동,16980,16566
20200113,1호선,제기동,23018,23928
20200113,1호선,청량리(서울시립대입구),25868,26216
20200113,1호선,동묘앞,8692,9021
20200114,1호선,동묘앞,9024,9353
20200114,1호선,청량리(서울시립대입구),26113,26331
20200114,1호선,제기동,23532,24464
20200114,1호선,신설동,17122,16861
20200114,1호선,동대문,14171,15080
20200114,1호선,종로5가,30118,29802
20200114,1호선,종로3가,37302,35523
20200114,1호선,종각,50716,48868
20200114,1호선,시청,29889,30536
20200114,1호선,서울역,59632,55374
20200115,1호선,시청,30341,31020
20200115,1호선,종각,51872,49782
20200115,1호선,종로3가,37833,35616
20200115,1호선,종로5가,30355,30291
20200115,1호선,동대문,14137,14908
20200115,1호선,신설동,17636,17247
20200115,1호선,제기동,23786,24715
20200115,1호선,청량리(서울시립대입구),26313,26934
20200115,1호선,동묘앞,8973,9360
20200115,1호선,서울역,59961,55706
20200116,1호선,동묘앞,9265,9418
20200116,1호선,청량리(서울시립대입구),27234,27667
20200116,1호선,제기동,24914,25742
20200116,1호선,신설동,17365,17021
20200116,1호선,동대문,13817,14750
20200116,1호선,종로5가,30579,30412
20200116,1호선,종로3가,38135,36283
20200116,1호선,종각,51784,49954
20200116,1호선,시청,29450,30459
20200116,1호선,서울역,61843,56697
20200117,1호선,서울역,69208,62321
20200117,1호선,시청,29843,30839
20200117,1호선,종각,54143,52979
20200117,1호선,종로3가,40148,38933
20200117,1호선,종로5가,31073,31155
20200117,1호선,동대문,15115,16040
20200117,1호선,신설동,18173,17718
20200117,1호선,제기동,25092,26107
20200117,1호선,청량리(서울시립대입구),28040,28611
20200117,1호선,동묘앞,9547,10002
20200118,1호선,시청,22674,24104
20200118,1호선,서울역,51651,48048
20200118,1호선,종로3가,37082,36219
20200118,1호선,제기동,23474,25076
20200118,1호선,청량리(서울시립대입구),27218,28031
20200118,1호선,동묘앞,13602,14622
20200118,1호선,종로5가,29273,29285
20200118,1호선,동대문,15434,16390
20200118,1호선,신설동,13140,12459
20200118,1호선,종각,38426,36961
20200119,1호선,서울역,38294,36289
20200119,1호선,시청,11948,11622
20200119,1호선,종각,19870,17466
20200119,1호선,종로3가,20992,18846
20200119,1호선,종로5가,14808,14512
20200119,1호선,동대문,11555,13839
20200119,1호선,신설동,9709,9377
20200119,1호선,제기동,15518,16217
20200119,1호선,청량리(서울시립대입구),19192,19430
20200119,1호선,동묘앞,11881,12225
20200120,1호선,동묘앞,9643,10003
20200120,1호선,청량리(서울시립대입구),28511,28718
20200120,1호선,제기동,26028,27528
20200120,1호선,신설동,17551,17009
20200120,1호선,동대문,14205,14998
20200120,1호선,종로3가,37088,35184
20200120,1호선,서울역,59190,57147
20200120,1호선,종로5가,29781,29723
20200120,1호선,시청,29222,29948
20200120,1호선,종각,50459,48925
20200121,1호선,서울역,58638,57038
20200121,1호선,시청,30292,30877
20200121,1호선,종각,50284,48660
20200121,1호선,종로3가,37018,34317
20200121,1호선,종로5가,29819,29677
20200121,1호선,동대문,14093,15018
20200121,1호선,신설동,17589,17137
20200121,1호선,제기동,25466,26993
