사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20200101,6호선,고려대(종암),3752,3921,3752,3921
20200101,6호선,공덕,6602,6518,6602,6518
20200101,6호선,광흥창(서강),3525,3510,3525,3510
20200101,6호선,구산,3408,2705,3408,2705
20200101,6호선,녹사평(용산구청),3579,3009,3579,3009
20200101,6호선,대흥(서강대앞),3117,3449,3117,3449
20200101,6호선,독바위,1432,1778,1432,1778
20200101,6호선,돌곶이,3885,4020,3885,4020
20200101,6호선,동묘앞,5027,4467,5027,4467
20200101,6호선,디지털미디어시티,4788,5061,4788,5061
20200101,6호선,마포구청,6325,5723,6325,5723
20200101,6호선,망원,7081,7772,7081,7772
20200101,6호선,버티고개,1059,1194,1059,1194
20200101,6호선,보문,3492,3441,3492,3441
20200101,6호선,봉화산(서울의료원),3818,3883,3818,3883
20200101,6호선,불광,3146,2850,3146,2850
20200101,6호선,삼각지,2980,2411,2980,2411
20200101,6호선,상수,6403,6232,6403,6232
20200101,6호선,상월곡(한국과학기술연구원),2571,2547,2571,2547
20200101,6호선,새절(신사),6152,6276,6152,6276
20200101,6호선,석계,6045,6302,6045,6302
20200101,6호선,신당,4246,3630,4246,3630
20200101,6호선,안암(고대병원앞),5032,5115,5032,5115
20200101,6호선,약수,1466,1595,1466,1595
20200101,6호선,역촌,1906,2284,1906,2284
20200101,6호선,월곡(동덕여대),5348,5454,5348,5454
20200101,6호선,월드컵경기장(성산),5356,5405,5356,5405
20200101,6호선,응암,8753,9341,8753,9341
20200101,6호선,이태원,18496,11098,18496,11098
20200101,6호선,증산(명지대앞),5168,5443,5168,5443
20200101,6호선,창신,1357,1310,1357,1310
20200101,6호선,청구,1556,1656,1556,1656
20200101,6호선,태릉입구,2554,3063,2554,3063
20200101,6호선,한강진,3996,4340,3996,4340
20200101,6호선,합정,7952,7259,7952,7259
20200101,6호선,화랑대(서울여대입구),4859,4226,4859,4226
20200101,6호선,효창공원앞,2820,2511,2820,2511
