사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20200106,9호선2~3단계,둔촌오륜,1188,1126,1188,1126
20200106,9호선2~3단계,봉은사,19340,19443,19340,19443
20200106,9호선2~3단계,삼성중앙,7526,7753,7526,7753
20200106,9호선2~3단계,삼전,6676,6810,6676,6810
20200106,9호선2~3단계,석촌,7878,6763,7878,6763
20200106,9호선2~3단계,석촌고분,5844,5899,5844,5899
20200106,9호선2~3단계,선정릉,10289,11068,10289,11068
20200106,9호선2~3단계,송파나루,4428,4778,4428,4778
20200106,9호선2~3단계,언주,11316,11324,11316,11324
20200106,9호선2~3단계,올림픽공원(한국체대),5667,5528,5667,5528
20200106,9호선2~3단계,종합운동장,5137,4819,5137,4819
20200106,9호선2~3단계,중앙보훈병원,10587,9825,10587,9825
20200106,9호선2~3단계,한성백제,2392,2209,2392,2209
20200107,9호선2~3단계,둔촌오륜,1257,1174,1257,1174
20200107,9호선2~3단계,봉은사,20371,19831,20371,19831
20200107,9호선2~3단계,삼성중앙,7493,7702,7493,7702
20200107,9호선2~3단계,삼전,6744,6884,6744,6884
20200107,9호선2~3단계,석촌,7699,6661,7699,6661
20200107,9호선2~3단계,석촌고분,5843,5907,5843,5907
20200107,9호선2~3단계,선정릉,9997,10854,9997,10854
20200107,9호선2~3단계,송파나루,4572,4924,4572,4924
20200107,9호선2~3단계,언주,11296,11267,11296,11267
20200107,9호선2~3단계,올림픽공원(한국체대),5420,5432,5420,5432
20200107,9호선2~3단계,종합운동장,5124,4746,5124,4746
20200107,9호선2~3단계,중앙보훈병원,10905,9824,10905,9824
20200107,9호선2~3단계,한성백제,2534,2365,2534,2365
20200108,9호선2~3단계,둔촌오륜,962,1015,962,1015
20200108,9호선2~3단계,봉은사,19619,19787,19619,19787
20200108,9호선2~3단계,삼성중앙,7449,7850,7449,7850
20200108,9호선2~3단계,삼전,6811,6919,6811,6919
20200108,9호선2~3단계,석촌,8089,6926,8089,6926
20200108,9호선2~3단계,석촌고분,5960,5916,5960,5916
20200108,9호선2~3단계,선정릉,10250,11164,10250,11164
20200108,9호선2~3단계,송파나루,4700,4990,4700,4990
20200108,9호선2~3단계,언주,11209,11192,11209,11192
20200108,9호선2~3단계,올림픽공원(한국체대),5866,5682,5866,5682
20200108,9호선2~3단계,종합운동장,5698,5152,5698,5152
20200108,9호선2~3단계,중앙보훈병원,10755,9802,10755,9802
20200108,9호선2~3단계,한성백제,2702,2401,2702,2401
20200109,9호선2~3단계,둔촌오륜,1137,1140,1137,1140
20200109,9호선2~3단계,봉은사,20102,20253,20102,20253
20200109,9호선2~3단계,삼성중앙,7353,7760,7353,7760
20200109,9호선2~3단계,삼전,6939,6625,6939,6625
20200109,9호선2~3단계,석촌,8227,6905,8227,6905
20200109,9호선2~3단계,석촌고분,6317,6237,6317,6237
20200109,9호선2~3단계,선정릉,10337,11199,10337,11199
20200109,9호선2~3단계,송파나루,4736,5117,4736,5117
20200109,9호선2~3단계,언주,11335,11411,11335,11411
20200109,9호선2~3단계,올림픽공원(한국체대),5876,5803,5876,5803
20200109,9호선2~3단계,종합운동장,5076,4845,5076,4845
20200109,9호선2~3단계,중앙보훈병원,10521,9559,10521,9559
20200109,9호선2~3단계,한성백제,2652,2378,2652,2378
20200110,9호선2~3단계,둔촌오륜,985,905,985,905
20200110,9호선2~3단계,봉은사,21776,21793,21776,21793
20200110,9호선2~3단계,삼성중앙,7735,7954,7735,7954
20200110,9호선2~3단계,삼전,7244,6976,7244,6976
20200110,9호선2~3단계,석촌,8552,7148,8552,7148
20200110,9호선2~3단계,석촌고분,6343,6197,6343,6197
20200110,9호선2~3단계,선정릉,10670,11539,10670,11539
20200110,9호선2~3단계,송파나루,4791,5188,4791,5188
20200110,9호선2~3단계,언주,11780,11820,11780,11820
20200110,9호선2~3단계,올림픽공원(한국체대),5935,5854,5935,5854
20200110,9호선2~3단계,종합운동장,5441,5166,5441,5166
20200110,9호선2~3단계,중앙보훈병원,10840,9657,10840,9657
20200110,9호선2~3단계,한성백제,2765,2523,2765,2523
20200113,9호선2~3단계,둔촌오륜,873,904,873,904
20200113,9호선2~3단계,봉은사,19708,20277,19708,20277
20200113,9호선2~3단계,삼성중앙,7428,7842,7428,7842
20200113,9호선2~3단계,삼전,6788,6698,6788,6698
20200113,9호선2~3단계,석촌,8154,6988,8154,6988
20200113,9호선2~3단계,석촌고분,6012,5931,6012,5931
20200113,9호선2~3단계,선정릉,10360,11292,10360,11292
20200113,9호선2~3단계,송파나루,4577,4851,4577,4851
20200113,9호선2~3단계,언주,11047,11172,11047,11172
20200113,9호선2~3단계,올림픽공원(한국체대),5722,5620,5722,5620
20200113,9호선2~3단계,종합운동장,5127,4764,5127,4764
20200113,9호선2~3단계,중앙보훈병원,10730,9666,10730,9666
20200113,9호선2~3단계,한성백제,2482,2313,2482,2313
20200114,9호선2~3단계,둔촌오륜,878,912,878,912
20200114,9호선2~3단계,봉은사,19593,19807,19593,19807
20200114,9호선2~3단계,삼성중앙,7779,8114,7779,8114
20200114,9호선2~3단계,삼전,6882,6839,6882,6839
20200114,9호선2~3단계,석촌,8219,6972,8219,6972
