사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20200106,경강선,경기광주,7858,7433,7858,7433
20200106,경강선,곤지암,2087,2043,2087,2043
20200106,경강선,부발,1724,1711,1724,1711
20200106,경강선,삼동,2595,2240,2595,2240
20200106,경강선,세종대왕릉,270,252,270,252
20200106,경강선,신둔도예촌,1243,1144,1243,1144
20200106,경강선,여주,1938,1900,1938,1900
20200106,경강선,이매,1206,1024,1206,1024
20200106,경강선,이천,2747,2941,2747,2941
20200106,경강선,초월,3028,2880,3028,2880
20200106,경강선,판교,5020,4879,5020,4879
20200107,경강선,경기광주,7502,7074,7502,7074
20200107,경강선,곤지암,1846,1808,1846,1808
20200107,경강선,부발,1712,1532,1712,1532
20200107,경강선,삼동,2482,2080,2482,2080
20200107,경강선,세종대왕릉,260,236,260,236
20200107,경강선,신둔도예촌,1160,1055,1160,1055
20200107,경강선,여주,1755,1706,1755,1706
20200107,경강선,이매,1129,1045,1129,1045
20200107,경강선,이천,2602,2639,2602,2639
20200107,경강선,초월,2828,2716,2828,2716
20200107,경강선,판교,4927,4836,4927,4836
20200108,경강선,경기광주,7825,7212,7825,7212
20200108,경강선,곤지암,2004,1935,2004,1935
20200108,경강선,부발,1815,1658,1815,1658
20200108,경강선,삼동,2539,2292,2539,2292
20200108,경강선,세종대왕릉,308,287,308,287
20200108,경강선,신둔도예촌,1189,1162,1189,1162
20200108,경강선,여주,1881,1834,1881,1834
20200108,경강선,이매,1261,1039,1261,1039
20200108,경강선,이천,2653,2886,2653,2886
20200108,경강선,초월,2948,2866,2948,2866
20200108,경강선,판교,5206,5098,5206,5098
20200109,경강선,경기광주,7975,7452,7975,7452
20200109,경강선,곤지암,2135,2023,2135,2023
20200109,경강선,부발,1903,1771,1903,1771
20200109,경강선,삼동,2636,2251,2636,2251
20200109,경강선,세종대왕릉,302,286,302,286
20200109,경강선,신둔도예촌,1281,1197,1281,1197
20200109,경강선,여주,1968,1901,1968,1901
20200109,경강선,이매,1238,1023,1238,1023
20200109,경강선,이천,2879,2895,2879,2895
20200109,경강선,초월,3012,2830,3012,2830
20200109,경강선,판교,4997,5099,4997,5099
20200110,경강선,경기광주,8291,7578,8291,7578
20200110,경강선,곤지암,2354,2166,2354,2166
20200110,경강선,부발,2534,1857,2534,1857
20200110,경강선,삼동,2678,2231,2678,2231
20200110,경강선,세종대왕릉,327,312,327,312
20200110,경강선,신둔도예촌,1497,1270,1497,1270
20200110,경강선,여주,2163,2169,2163,2169
20200110,경강선,이매,1307,1110,1307,1110
20200110,경강선,이천,3100,3190,3100,3190
20200110,경강선,초월,3170,2857,3170,2857
20200110,경강선,판교,5323,5404,5323,5404
20200113,경강선,경기광주,7869,7335,7869,7335
20200113,경강선,곤지암,2028,1977,2028,1977
20200113,경강선,부발,1877,1786,1877,1786
20200113,경강선,삼동,2566,2262,2566,2262
20200113,경강선,세종대왕릉,344,298,344,298
20200113,경강선,신둔도예촌,1227,1144,1227,1144
20200113,경강선,여주,1992,1940,1992,1940
20200113,경강선,이매,1245,1058,1245,1058
20200113,경강선,이천,2702,2912,2702,2912
20200113,경강선,초월,2990,2958,2990,2958
20200113,경강선,판교,5124,4924,5124,4924
20200114,경강선,경기광주,7878,7453,7878,7453
20200114,경강선,곤지암,2179,2085,2179,2085
20200114,경강선,부발,1832,1730,1832,1730
20200114,경강선,삼동,2656,2289,2656,2289
20200114,경강선,세종대왕릉,293,276,293,276
20200114,경강선,신둔도예촌,1273,1188,1273,1188
20200114,경강선,여주,1969,1850,1969,1850
20200114,경강선,이매,1211,1049,1211,1049
20200114,경강선,이천,2828,3053,2828,3053
20200114,경강선,초월,2952,2774,2952,2774
20200114,경강선,판교,5338,5223,5338,5223
20200115,경강선,경기광주,7882,7335,7882,7335
20200115,경강선,곤지암,2126,1998,2126,1998
20200115,경강선,부발,1852,1760,1852,1760
20200115,경강선,삼동,2549,2330,2549,2330
20200115,경강선,세종대왕릉,299,294,299,294
20200115,경강선,신둔도예촌,1232,1135,1232,1135
20200115,경강선,여주,1993,1961,1993,1961
20200115,경강선,이매,1244,1032,1244,1032
20200115,경강선,이천,2754,2919,2754,2919
20200115,경강선,초월,3016,2905,3016,2905
20200115,경강선,판교,5236,5117,5236,5117
20200116,경강선,경기광주,7937,7375,7937,7375
20200116,경강선,곤지암,2103,2071,2103,2071
20200116,경강선,부발,1941,1769,1941,1769
20200116,경강선,삼동,2550,2280,2550,2280
20200116,경강선,세종대왕릉,293,286,293,286
20200116,경강선,신둔도예촌,1232,1161,1232,1161
20200116,경강선,여주,1975,1919,1975,1919
20200116,경강선,이매,1224,1075,1224,1075
20200116,경강선,이천,2812,2965,2812,2965
20200116,경강선,초월,2910,2741,2910,2741
20200116,경강선,판교,5029,5126,5029,5126
20200117,경강선,경기광주,8295,7391,8295,7391
20200117,경강선,곤지암,2338,2147,2338,2147
20200117,경강선,부발,2521,1846,2521,1846
20200117,경강선,삼동,2804,2245,2804,2245
20200117,경강선,세종대왕릉,311,296,311,296
20200117,경강선,신둔도예촌,1402,1194,1402,1194
20200117,경강선,여주,2278,2181,2278,2181
20200117,경강선,이매,1282,1098,1282,1098
20200117,경강선,이천,3167,3290,3167,3290
20200117,경강선,초월,3175,2873,3175,2873
20200117,경강선,판교,5300,5276,5300,5276
20200120,경강선,경기광주,7877,7410,7877,7410
20200120,경강선,곤지암,2122,2014,2122,2014
20200120,경강선,부발,1855,1682,1855,1682
20200120,경강선,삼동,2566,2274,2566,2274
20200120,경강선,세종대왕릉,339,301,339,301
20200120,경강선,신둔도예촌,1244,1174,1244,1174
20200120,경강선,여주,2054,2053,2054,2053
20200120,경강선,이매,1193,1036,1193,1036
20200120,경강선,이천,2862,3019,2862,3019
20200120,경강선,초월,2959,2868,2959,2868
20200120,경강선,판교,5153,5060,5153,5060
20200121,경강선,경기광주,7749,7267,7749,7267
20200121,경강선,곤지암,2085,1916,2085,1916
20200121,경강선,부발,1769,1634,1769,1634
20200121,경강선,삼동,2592,2292,2592,2292
20200121,경강선,세종대왕릉,299,280,299,280
20200121,경강선,신둔도예촌,1222,1086,1222,1086
20200121,경강선,여주,1977,1995,1977,1995
20200121,경강선,이매,1216,1090,1216,1090
20200121,경강선,이천,2695,2791,2695,2791
20200121,경강선,초월,2984,2832,2984,2832
20200121,경강선,판교,5139,5087,5139,5087
20200122,경강선,경기광주,7797,7248,7797,7248
20200122,경강선,곤지암,2082,1930,2082,1930
20200122,경강선,부발,2113,1705,2113,1705
20200122,경강선,삼동,2627,2202,2627,2202
20200122,경강선,세종대왕릉,304,286,304,286
20200122,경강선,신둔도예촌,1205,1121,1205,1121
20200122,경강선,여주,1956,1902,1956,1902
20200122,경강선,이매,1198,1017,1198,1017
20200122,경강선,이천,2790,2966,2790,2966
20200122,경강선,초월,2922,2794,2922,2794
20200122,경강선,판교,5087,5165,5087,5165
20200123,경강선,경기광주,7800,7608,7800,7608
20200123,경강선,곤지암,2324,2120,2324,2120
20200123,경강선,부발,3019,2027,3019,2027
20200123,경강선,삼동,2397,2003,2397,2003
20200123,경강선,세종대왕릉,338,364,338,364
20200123,경강선,신둔도예촌,1309,1198,1309,1198
20200123,경강선,여주,2039,2664,2039,2664
20200123,경강선,이매,1185,971,1185,971
20200123,경강선,이천,3092,3491,3092,3491
20200123,경강선,초월,2974,2659,2974,2659
20200123,경강선,판교,5062,4951,5062,4951
20200124,경강선,경기광주,3609,3905,3609,3905
20200124,경강선,곤지암,1607,1812,1607,1812
20200124,경강선,부발,1138,1283,1138,1283
20200124,경강선,삼동,820,836,820,836
20200124,경강선,세종대왕릉,214,464,214,464
20200124,경강선,신둔도예촌,610,879,610,879
20200124,경강선,여주,1553,2891,1553,2891
20200124,경강선,이매,681,373,681,373
20200124,경강선,이천,2356,3070,2356,3070
20200124,경강선,초월,1425,1491,1425,1491
20200124,경강선,판교,1618,1262,1618,1262
20200127,경강선,경기광주,4166,4002,4166,4002
20200127,경강선,곤지암,1422,1496,1422,1496
20200127,경강선,부발,1140,1668,1140,1668
20200127,경강선,삼동,924,918,924,918
20200127,경강선,세종대왕릉,261,196,261,196
20200127,경강선,신둔도예촌,804,721,804,721
20200127,경강선,여주,2236,1622,2236,1622
20200127,경강선,이매,619,452,619,452
20200127,경강선,이천,2277,2353,2277,2353
20200127,경강선,초월,1581,1484,1581,1484
20200127,경강선,판교,2280,2234,2280,2234
20200128,경강선,경기광주,7034,6731,7034,6731
20200128,경강선,곤지암,1877,1859,1877,1859
20200128,경강선,부발,1685,1663,1685,1663
20200128,경강선,삼동,2303,2046,2303,2046
20200128,경강선,세종대왕릉,287,260,287,260
20200128,경강선,신둔도예촌,1115,1053,1115,1053
20200128,경강선,여주,1852,1789,1852,1789
20200128,경강선,이매,1114,995,1114,995
20200128,경강선,이천,2544,2663,2544,2663
20200128,경강선,초월,2669,2649,2669,2649
20200128,경강선,판교,4639,4525,4639,4525
20200129,경강선,경기광주,7302,6963,7302,6963
20200129,경강선,곤지암,1988,1844,1988,1844
20200129,경강선,부발,1724,1553,1724,1553
20200129,경강선,삼동,2401,2146,2401,2146
20200129,경강선,세종대왕릉,289,274,289,274
20200129,경강선,신둔도예촌,1096,1014,1096,1014
20200129,경강선,여주,1779,1698,1779,1698
20200129,경강선,이매,1149,941,1149,941
20200129,경강선,이천,2630,2741,2630,2741
20200129,경강선,초월,2833,2717,2833,2717
20200129,경강선,판교,4854,4888,4854,4888
20200130,경강선,경기광주,7424,6954,7424,6954
20200130,경강선,곤지암,1925,1883,1925,1883
20200130,경강선,부발,1721,1543,1721,1543
20200130,경강선,삼동,2504,2209,2504,2209
20200130,경강선,세종대왕릉,247,279,247,279
20200130,경강선,신둔도예촌,1140,1019,1140,1019
20200130,경강선,여주,1783,1703,1783,1703
20200130,경강선,이매,1101,999,1101,999
20200130,경강선,이천,2473,2670,2473,2670
20200130,경강선,초월,2759,2649,2759,2649
20200130,경강선,판교,4940,4835,4940,4835
20200131,경강선,경기광주,7541,6982,7541,6982
20200131,경강선,곤지암,2111,1996,2111,1996
20200131,경강선,부발,2271,1699,2271,1699
20200131,경강선,삼동,2504,2127,2504,2127
20200131,경강선,세종대왕릉,274,256,274,256
20200131,경강선,신둔도예촌,1336,1060,1336,1060
20200131,경강선,여주,1776,1714,1776,1714
20200131,경강선,이매,1114,1008,1114,1008
20200131,경강선,이천,2667,2808,2667,2808
20200131,경강선,초월,2902,2609,2902,2609
20200131,경강선,판교,4937,4952,4937,4952
20200101,경강선,여주,1631,1419,1631,1419
20200101,경강선,세종대왕릉,218,217,218,217
20200101,경강선,부발,981,1539,981,1539
20200101,경강선,이천,1824,1940,1824,1940
20200101,경강선,신둔도예촌,618,669,618,669
20200101,경강선,곤지암,1128,1242,1128,1242
20200101,경강선,초월,1214,1340,1214,1340
20200101,경강선,경기광주,3077,3099,3077,3099
20200101,경강선,삼동,729,752,729,752
20200101,경강선,이매,545,382,545,382
20200101,경강선,판교,1405,1344,1405,1344
20200102,경강선,판교,4966,4843,4966,4843
20200102,경강선,이매,1200,1021,1200,1021
20200102,경강선,삼동,2473,2170,2473,2170
20200102,경강선,경기광주,7612,7113,7612,7113
20200102,경강선,초월,2848,2769,2848,2769
20200102,경강선,곤지암,2060,2156,2060,2156
20200102,경강선,신둔도예촌,1266,1120,1266,1120
20200102,경강선,이천,2690,3004,2690,3004
20200102,경강선,부발,1821,1652,1821,1652
20200102,경강선,세종대왕릉,319,279,319,279
20200102,경강선,여주,1880,1747,1880,1747
20200103,경강선,판교,5245,5144,5245,5144
20200103,경강선,이매,1283,1113,1283,1113
20200103,경강선,삼동,2595,2197,2595,2197
20200103,경강선,경기광주,8194,7612,8194,7612
20200103,경강선,초월,3209,2860,3209,2860
20200103,경강선,곤지암,2352,2202,2352,2202
20200103,경강선,신둔도예촌,1412,1196,1412,1196
20200103,경강선,이천,3122,3142,3122,3142
20200103,경강선,부발,2365,1731,2365,1731
20200103,경강선,세종대왕릉,316,309,316,309
20200103,경강선,여주,2015,1999,2015,1999
