사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20200106,경부선,가산디지털단지,20836,24326,20836,24326
20200106,경부선,관악,8585,7880,8585,7880
20200106,경부선,광명,3401,2505,3401,2505
20200106,경부선,구로,20947,21034,20947,21034
20200106,경부선,군포,8098,8098,8098,8098
20200106,경부선,금정,28931,29525,28931,29525
20200106,경부선,금천구청,13222,12747,13222,12747
20200106,경부선,남영,11502,12170,11502,12170
20200106,경부선,노량진,11167,10956,11167,10956
20200106,경부선,당정,7361,6891,7361,6891
20200106,경부선,대방,15476,16117,15476,16117
20200106,경부선,독산,18985,19588,18985,19588
20200106,경부선,두정,4757,5022,4757,5022
20200106,경부선,명학,10353,9945,10353,9945
20200106,경부선,병점,15444,15381,15444,15381
20200106,경부선,서동탄,1904,1533,1904,1533
20200106,경부선,서울역,6832,1686,6832,1686
20200106,경부선,서정리,5344,5536,5344,5536
20200106,경부선,석수,11790,10286,11790,10286
20200106,경부선,성균관대,15716,15610,15716,15610
20200106,경부선,성환,3420,3674,3420,3674
20200106,경부선,세류,3649,3306,3649,3306
20200106,경부선,세마,2889,2502,2889,2502
20200106,경부선,송탄,4315,3989,4315,3989
20200106,경부선,수원,39128,42215,39128,42215
20200106,경부선,신길,10529,8928,10529,8928
20200106,경부선,신도림,4210,4294,4210,4294
20200106,경부선,안양,24852,25124,24852,25124
20200106,경부선,영등포,46896,48545,46896,48545
20200106,경부선,오산,9646,9802,9646,9802
20200106,경부선,오산대,3040,2594,3040,2594
20200106,경부선,용산,38773,39991,38773,39991
20200106,경부선,의왕,10027,9756,10027,9756
20200106,경부선,지제,2652,2326,2652,2326
20200106,경부선,직산,822,798,822,798
20200106,경부선,진위,1633,1486,1633,1486
20200106,경부선,천안,5607,5680,5607,5680
20200106,경부선,평택,12352,11973,12352,11973
20200106,경부선,화서,8569,8143,8569,8143
20200107,경부선,가산디지털단지,20052,23445,20052,23445
20200107,경부선,관악,8380,7580,8380,7580
20200107,경부선,광명,3206,2464,3206,2464
20200107,경부선,구로,20055,20091,20055,20091
20200107,경부선,군포,7967,7653,7967,7653
20200107,경부선,금정,27832,28859,27832,28859
20200107,경부선,금천구청,12657,12297,12657,12297
20200107,경부선,남영,10990,11844,10990,11844
20200107,경부선,노량진,10652,10347,10652,10347
20200107,경부선,당정,7160,6821,7160,6821
20200107,경부선,대방,15499,16003,15499,16003
20200107,경부선,독산,18364,19195,18364,19195
20200107,경부선,두정,4343,4365,4343,4365
20200107,경부선,명학,10033,9772,10033,9772
20200107,경부선,병점,14824,14757,14824,14757
20200107,경부선,서동탄,1721,1341,1721,1341
20200107,경부선,서울역,6449,1517,6449,1517
20200107,경부선,서정리,5051,5123,5051,5123
20200107,경부선,석수,11441,9901,11441,9901
20200107,경부선,성균관대,15144,14985,15144,14985
20200107,경부선,성환,3161,3231,3161,3231
20200107,경부선,세류,3441,3152,3441,3152
20200107,경부선,세마,2692,2455,2692,2455
20200107,경부선,송탄,3839,3742,3839,3742
20200107,경부선,수원,37975,40293,37975,40293
20200107,경부선,신길,10212,8540,10212,8540
20200107,경부선,신도림,3740,3989,3740,3989
20200107,경부선,안양,23896,24327,23896,24327
