사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20200106,경원선,가능,7271,6959,7271,6959
20200106,경원선,광운대,9609,9166,9609,9166
20200106,경원선,녹양,5259,4911,5259,4911
20200106,경원선,녹천,5339,4396,5339,4396
20200106,경원선,덕계,2600,2242,2600,2242
20200106,경원선,덕정,6292,6090,6292,6090
20200106,경원선,도봉,6603,6141,6603,6141
20200106,경원선,도봉산,7191,4317,7191,4317
20200106,경원선,동두천,2363,2674,2363,2674
20200106,경원선,동두천중앙,3778,3570,3778,3570
20200106,경원선,망월사,8098,8264,8098,8264
20200106,경원선,방학,10739,10304,10739,10304
20200106,경원선,보산,1724,1431,1724,1431
20200106,경원선,서빙고,2148,1963,2148,1963
20200106,경원선,석계,9957,11433,9957,11433
20200106,경원선,소요산,2885,2188,2885,2188
20200106,경원선,신이문,9832,9077,9832,9077
20200106,경원선,양주,8948,8219,8948,8219
20200106,경원선,옥수,54,22,54,22
20200106,경원선,왕십리(성동구청),16250,17872,16250,17872
20200106,경원선,외대앞,9922,9931,9922,9931
20200106,경원선,월계,6434,5902,6434,5902
20200106,경원선,응봉,1939,1672,1939,1672
20200106,경원선,의정부,20609,20803,20609,20803
20200106,경원선,이촌(국립중앙박물관),4403,3488,4403,3488
20200106,경원선,지행,7560,7257,7560,7257
20200106,경원선,청량리(서울시립대입구),16095,17026,16095,17026
20200106,경원선,한남,4906,4845,4906,4845
20200106,경원선,회룡,14141,13559,14141,13559
20200107,경원선,가능,6901,6597,6901,6597
20200107,경원선,광운대,8978,8425,8978,8425
20200107,경원선,녹양,4820,4652,4820,4652
20200107,경원선,녹천,5025,4217,5025,4217
20200107,경원선,덕계,2514,2110,2514,2110
20200107,경원선,덕정,5804,5619,5804,5619
20200107,경원선,도봉,6332,6036,6332,6036
20200107,경원선,도봉산,6411,3693,6411,3693
20200107,경원선,동두천,2155,2389,2155,2389
20200107,경원선,동두천중앙,3412,3273,3412,3273
20200107,경원선,망월사,7910,8019,7910,8019
20200107,경원선,방학,10002,9688,10002,9688
20200107,경원선,보산,1518,1393,1518,1393
20200107,경원선,서빙고,2112,2000,2112,2000
20200107,경원선,석계,9263,10668,9263,10668
20200107,경원선,소요산,2001,1641,2001,1641
20200107,경원선,신이문,9478,8738,9478,8738
20200107,경원선,양주,8287,7672,8287,7672
20200107,경원선,옥수,39,31,39,31
20200107,경원선,왕십리(성동구청),15543,17667,15543,17667
20200107,경원선,외대앞,9407,9461,9407,9461
20200107,경원선,월계,5996,5583,5996,5583
20200107,경원선,응봉,1880,1594,1880,1594
20200107,경원선,의정부,19092,19643,19092,19643
20200107,경원선,이촌(국립중앙박물관),4165,3361,4165,3361
20200107,경원선,지행,6747,6631,6747,6631
20200107,경원선,청량리(서울시립대입구),14980,15971,14980,15971
20200107,경원선,한남,4980,4752,4980,4752
20200107,경원선,회룡,13212,12668,13212,12668
20200108,경원선,가능,7176,7128,7176,7128
20200108,경원선,광운대,9494,8884,9494,8884
20200108,경원선,녹양,5351,5028,5351,5028
20200108,경원선,녹천,5278,4513,5278,4513
20200108,경원선,덕계,2618,2290,2618,2290
20200108,경원선,덕정,6353,5955,6353,5955
20200108,경원선,도봉,6736,6310,6736,6310
20200108,경원선,도봉산,7451,4496,7451,4496
20200108,경원선,동두천,2320,2691,2320,2691
20200108,경원선,동두천중앙,3744,3563,3744,3563
20200108,경원선,망월사,8572,8681,8572,8681
20200108,경원선,방학,10914,10344,10914,10344
20200108,경원선,보산,1563,1479,1563,1479
20200108,경원선,서빙고,2042,1917,2042,1917
20200108,경원선,석계,10134,11438,10134,11438
20200108,경원선,소요산,2731,2184,2731,2184
20200108,경원선,신이문,9983,9143,9983,9143
20200108,경원선,양주,8742,8078,8742,8078
20200108,경원선,옥수,50,35,50,35
20200108,경원선,왕십리(성동구청),17183,19234,17183,19234
20200108,경원선,외대앞,10397,10089,10397,10089
20200108,경원선,월계,6577,6241,6577,6241
20200108,경원선,응봉,2059,1750,2059,1750
20200108,경원선,의정부,21219,21824,21219,21824
20200108,경원선,이촌(국립중앙박물관),4518,3579,4518,3579
20200108,경원선,지행,7439,7059,7439,7059
20200108,경원선,청량리(서울시립대입구),16217,17532,16217,17532
20200108,경원선,한남,5094,4781,5094,4781
20200108,경원선,회룡,14190,13650,14190,13650
20200109,경원선,가능,7365,7014,7365,7014
20200109,경원선,광운대,9561,8904,9561,8904
20200109,경원선,녹양,5436,5097,5436,5097
20200109,경원선,녹천,5457,4434,5457,4434
20200109,경원선,덕계,2684,2304,2684,2304
20200109,경원선,덕정,6410,6077,6410,6077
20200109,경원선,도봉,6949,6628,6949,6628
20200109,경원선,도봉산,8172,4965,8172,4965
20200109,경원선,동두천,2205,2510,2205,2510
20200109,경원선,동두천중앙,3790,3581,3790,3581
20200109,경원선,망월사,8326,8387,8326,8387
20200109,경원선,방학,10994,10456,10994,10456
20200109,경원선,보산,1543,1567,1543,1567
20200109,경원선,서빙고,2091,1993,2091,1993
20200109,경원선,석계,10286,11760,10286,11760
20200109,경원선,소요산,3334,2599,3334,2599
20200109,경원선,신이문,10129,9194,10129,9194
20200109,경원선,양주,9112,8524,9112,8524
20200109,경원선,옥수,50,28,50,28
20200109,경원선,왕십리(성동구청),17159,18876,17159,18876
20200109,경원선,외대앞,10130,9983,10130,9983
20200109,경원선,월계,6643,6193,6643,6193
20200109,경원선,응봉,2051,1778,2051,1778
20200109,경원선,의정부,21330,21921,21330,21921
20200109,경원선,이촌(국립중앙박물관),4544,3554,4544,3554
20200109,경원선,지행,7517,7420,7517,7420
20200109,경원선,청량리(서울시립대입구),17002,18056,17002,18056
20200109,경원선,한남,5185,5029,5185,5029
20200109,경원선,회룡,14525,13905,14525,13905
20200110,경원선,가능,7749,7298,7749,7298
20200110,경원선,광운대,9695,8907,9695,8907
20200110,경원선,녹양,5675,5145,5675,5145
20200110,경원선,녹천,5418,4472,5418,4472
20200110,경원선,덕계,2722,2350,2722,2350
20200110,경원선,덕정,6864,6279,6864,6279
20200110,경원선,도봉,6968,6624,6968,6624
20200110,경원선,도봉산,8425,5101,8425,5101
20200110,경원선,동두천,2408,2761,2408,2761
20200110,경원선,동두천중앙,4110,3963,4110,3963
20200110,경원선,망월사,8581,8504,8581,8504
20200110,경원선,방학,11225,10737,11225,10737
20200110,경원선,보산,2058,1653,2058,1653
20200110,경원선,서빙고,2193,2017,2193,2017
20200110,경원선,석계,10829,11978,10829,11978
20200110,경원선,소요산,3450,2924,3450,2924
20200110,경원선,신이문,10294,9112,10294,9112
20200110,경원선,양주,9593,8504,9593,8504
20200110,경원선,옥수,55,40,55,40
20200110,경원선,왕십리(성동구청),18085,20669,18085,20669
20200110,경원선,외대앞,10703,10146,10703,10146
20200110,경원선,월계,6688,6114,6688,6114
20200110,경원선,응봉,2099,1743,2099,1743
20200110,경원선,의정부,22547,24569,22547,24569
20200110,경원선,이촌(국립중앙박물관),4678,3729,4678,3729
20200110,경원선,지행,7774,7637,7774,7637
20200110,경원선,창동,1,0,1,0
20200110,경원선,청량리(서울시립대입구),19557,20618,19557,20618
20200110,경원선,한남,5000,4913,5000,4913
20200110,경원선,회룡,14858,14159,14858,14159
20200113,경원선,가능,7353,7012,7353,7012
20200113,경원선,광운대,9557,9065,9557,9065
20200113,경원선,녹양,5399,5019,5399,5019
20200113,경원선,녹천,5368,4527,5368,4527
20200113,경원선,덕계,2604,2285,2604,2285
20200113,경원선,덕정,6283,6106,6283,6106
20200113,경원선,도봉,6811,6454,6811,6454
20200113,경원선,도봉산,7645,4578,7645,4578
20200113,경원선,동두천,2241,2647,2241,2647
20200113,경원선,동두천중앙,3907,3628,3907,3628
20200113,경원선,망월사,8229,8350,8229,8350
20200113,경원선,방학,10874,10461,10874,10461
20200113,경원선,보산,1757,1540,1757,1540
20200113,경원선,서빙고,2143,1992,2143,1992
20200113,경원선,석계,10050,11500,10050,11500
20200113,경원선,소요산,3151,2351,3151,2351
20200113,경원선,신이문,9911,8920,9911,8920
20200113,경원선,양주,9194,8351,9194,8351
20200113,경원선,옥수,39,31,39,31
20200113,경원선,왕십리(성동구청),16251,18154,16251,18154
20200113,경원선,외대앞,9946,9749,9946,9749
20200113,경원선,월계,6578,6025,6578,6025
20200113,경원선,응봉,1914,1686,1914,1686
20200113,경원선,의정부,20927,21262,20927,21262
20200113,경원선,이촌(국립중앙박물관),4567,3486,4567,3486
20200113,경원선,지행,7353,7049,7353,7049
20200113,경원선,청량리(서울시립대입구),16810,17896,16810,17896
20200113,경원선,한남,5160,4991,5160,4991
20200113,경원선,회룡,14321,13793,14321,13793
20200114,경원선,가능,7218,6924,7218,6924
20200114,경원선,광운대,9646,8874,9646,8874
20200114,경원선,녹양,5266,5032,5266,5032
20200114,경원선,녹천,5473,4493,5473,4493
20200114,경원선,덕계,2500,2168,2500,2168
20200114,경원선,덕정,6193,5945,6193,5945
20200114,경원선,도봉,6931,6491,6931,6491
20200114,경원선,도봉산,7856,4754,7856,4754
20200114,경원선,동두천,2197,2661,2197,2661
20200114,경원선,동두천중앙,3701,3525,3701,3525
20200114,경원선,망월사,8437,8462,8437,8462
20200114,경원선,방학,10899,10496,10899,10496
20200114,경원선,보산,1651,1462,1651,1462
20200114,경원선,서빙고,2127,1976,2127,1976
20200114,경원선,석계,10348,11671,10348,11671
20200114,경원선,소요산,3003,2357,3003,2357
20200114,경원선,신이문,10053,9088,10053,9088
20200114,경원선,양주,8902,8129,8902,8129
20200114,경원선,옥수,41,21,41,21
