사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20200106,경인선,간석,6942,6526,6942,6526
20200106,경인선,개봉,24820,25219,24820,25219
20200106,경인선,구일,7317,7348,7317,7348
20200106,경인선,도원,3941,4170,3941,4170
20200106,경인선,도화,4451,3951,4451,3951
20200106,경인선,동암,18240,18126,18240,18126
20200106,경인선,동인천,16443,15502,16443,15502
20200106,경인선,백운,8654,8504,8654,8504
20200106,경인선,부개,9919,9336,9919,9336
20200106,경인선,부천,38738,38918,38738,38918
20200106,경인선,부평,36394,38623,36394,38623
20200106,경인선,소사,11147,10596,11147,10596
20200106,경인선,송내,33193,32819,33193,32819
20200106,경인선,역곡,31687,31240,31687,31240
20200106,경인선,오류동,13596,12728,13596,12728
20200106,경인선,온수(성공회대입구),7474,7388,7474,7388
20200106,경인선,인천,3175,2465,3175,2465
20200106,경인선,제물포,11902,11012,11902,11012
20200106,경인선,주안,22784,20708,22784,20708
20200106,경인선,중동,10648,9962,10648,9962
20200107,경인선,간석,6762,6354,6762,6354
20200107,경인선,개봉,23714,24491,23714,24491
20200107,경인선,구일,6890,6929,6890,6929
20200107,경인선,도원,3510,3593,3510,3593
20200107,경인선,도화,4090,3737,4090,3737
20200107,경인선,동암,17409,17340,17409,17340
20200107,경인선,동인천,15474,14857,15474,14857
20200107,경인선,백운,8278,8049,8278,8049
20200107,경인선,부개,9620,9078,9620,9078
20200107,경인선,부천,36508,36564,36508,36564
20200107,경인선,부평,34009,36143,34009,36143
20200107,경인선,소사,10502,10107,10502,10107
20200107,경인선,송내,32352,32161,32352,32161
20200107,경인선,역곡,30363,29991,30363,29991
20200107,경인선,오류동,12979,12192,12979,12192
20200107,경인선,온수(성공회대입구),7072,7023,7072,7023
20200107,경인선,인천,2926,1972,2926,1972
20200107,경인선,제물포,10920,10421,10920,10421
20200107,경인선,주안,21754,19574,21754,19574
20200107,경인선,중동,10215,9648,10215,9648
20200108,경인선,간석,7073,6708,7073,6708
20200108,경인선,개봉,25517,25360,25517,25360
20200108,경인선,구일,7201,7122,7201,7122
20200108,경인선,도원,4072,4186,4072,4186
20200108,경인선,도화,4483,4118,4483,4118
20200108,경인선,동암,18226,18185,18226,18185
20200108,경인선,동인천,17625,16765,17625,16765
20200108,경인선,백운,8973,8739,8973,8739
20200108,경인선,부개,9983,9308,9983,9308
20200108,경인선,부천,39427,39716,39427,39716
20200108,경인선,부평,36874,39816,36874,39816
20200108,경인선,소사,11131,10644,11131,10644
20200108,경인선,송내,33857,33455,33857,33455
20200108,경인선,역곡,32028,31527,32028,31527
20200108,경인선,오류동,13765,12965,13765,12965
20200108,경인선,온수(성공회대입구),7599,7614,7599,7614
20200108,경인선,인천,3596,2616,3596,2616
20200108,경인선,제물포,11619,10997,11619,10997
20200108,경인선,주안,23308,21218,23308,21218
20200108,경인선,중동,10634,9922,10634,9922
20200109,경인선,간석,7184,6797,7184,6797
20200109,경인선,개봉,26006,26184,26006,26184
20200109,경인선,구일,7322,7358,7322,7358
20200109,경인선,도원,3846,4030,3846,4030
20200109,경인선,도화,4354,3957,4354,3957
20200109,경인선,동암,18582,18455,18582,18455
20200109,경인선,동인천,17709,16778,17709,16778
20200109,경인선,백운,8822,8598,8822,8598
20200109,경인선,부개,10029,9302,10029,9302
20200109,경인선,부천,40007,40702,40007,40702
20200109,경인선,부평,37097,39742,37097,39742
20200109,경인선,소사,11234,10518,11234,10518
20200109,경인선,송내,34575,33988,34575,33988
20200109,경인선,역곡,32517,32125,32517,32125
20200109,경인선,오류동,13948,12948,13948,12948
20200109,경인선,온수(성공회대입구),7737,7584,7737,7584
20200109,경인선,인천,3981,3030,3981,3030
20200109,경인선,제물포,11833,11213,11833,11213
20200109,경인선,주안,23277,21193,23277,21193
20200109,경인선,중동,10820,10074,10820,10074
20200110,경인선,간석,7182,6800,7182,6800
20200110,경인선,개봉,26220,26068,26220,26068
20200110,경인선,구일,7358,7290,7358,7290
20200110,경인선,도원,4154,4152,4154,4152
20200110,경인선,도화,4624,4029,4624,4029
20200110,경인선,동암,19343,19371,19343,19371
20200110,경인선,동인천,18212,17041,18212,17041
20200110,경인선,백운,9367,8862,9367,8862
20200110,경인선,부개,10292,9400,10292,9400
20200110,경인선,부천,42309,43944,42309,43944
20200110,경인선,부평,39439,45272,39439,45272
20200110,경인선,소사,11394,10675,11394,10675
20200110,경인선,송내,35223,34469,35223,34469
20200110,경인선,역곡,33761,32754,33761,32754
20200110,경인선,오류동,13951,12871,13951,12871
20200110,경인선,온수(성공회대입구),7936,7617,7936,7617
20200110,경인선,인천,4002,3017,4002,3017
20200110,경인선,제물포,12033,11141,12033,11141
20200110,경인선,주안,24839,22120,24839,22120
20200110,경인선,중동,10891,10200,10891,10200
20200113,경인선,간석,6973,6515,6973,6515
20200113,경인선,개봉,25140,25129,25140,25129
20200113,경인선,구일,7215,7176,7215,7176
20200113,경인선,도원,4093,4185,4093,4185
20200113,경인선,도화,4363,3934,4363,3934
20200113,경인선,동암,18404,18048,18404,18048
