사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20200106,경춘선,가평,1912,1963,1912,1963
20200106,경춘선,갈매,3041,2576,3041,2576
20200106,경춘선,강촌,323,297,323,297
20200106,경춘선,굴봉산,124,131,124,131
20200106,경춘선,금곡,1725,1645,1725,1645
20200106,경춘선,김유정,260,250,260,250
20200106,경춘선,남춘천,2604,2718,2604,2718
20200106,경춘선,대성리,484,606,484,606
20200106,경춘선,마석,3943,3786,3943,3786
20200106,경춘선,백양리,258,244,258,244
20200106,경춘선,별내,2797,2679,2797,2679
20200106,경춘선,사릉,3763,3484,3763,3484
20200106,경춘선,상천,233,226,233,226
20200106,경춘선,신내,1442,1509,1442,1509
20200106,경춘선,천마산,1654,1517,1654,1517
20200106,경춘선,청평,1877,1875,1877,1875
20200106,경춘선,춘천,1444,1319,1444,1319
20200106,경춘선,퇴계원,4061,3678,4061,3678
20200106,경춘선,평내호평,6343,6251,6343,6251
20200107,경춘선,가평,1685,1556,1685,1556
20200107,경춘선,갈매,2931,2398,2931,2398
20200107,경춘선,강촌,258,240,258,240
20200107,경춘선,굴봉산,85,79,85,79
20200107,경춘선,금곡,1531,1474,1531,1474
20200107,경춘선,김유정,213,223,213,223
20200107,경춘선,남춘천,2579,2608,2579,2608
20200107,경춘선,대성리,535,463,535,463
20200107,경춘선,마석,3539,3470,3539,3470
20200107,경춘선,백양리,193,144,193,144
20200107,경춘선,별내,2563,2457,2563,2457
20200107,경춘선,사릉,3371,3129,3371,3129
20200107,경춘선,상천,172,185,172,185
20200107,경춘선,신내,1391,1442,1391,1442
20200107,경춘선,천마산,1423,1298,1423,1298
20200107,경춘선,청평,1692,1569,1692,1569
20200107,경춘선,춘천,1165,1085,1165,1085
20200107,경춘선,퇴계원,3755,3363,3755,3363
20200107,경춘선,평내호평,5773,5587,5773,5587
20200108,경춘선,가평,1751,1787,1751,1787
20200108,경춘선,갈매,3041,2598,3041,2598
20200108,경춘선,강촌,299,286,299,286
20200108,경춘선,굴봉산,125,126,125,126
20200108,경춘선,금곡,1638,1505,1638,1505
20200108,경춘선,김유정,229,268,229,268
20200108,경춘선,남춘천,2637,2679,2637,2679
20200108,경춘선,대성리,629,518,629,518
20200108,경춘선,마석,4178,3947,4178,3947
20200108,경춘선,백양리,143,194,143,194
20200108,경춘선,별내,2700,2675,2700,2675
20200108,경춘선,사릉,3581,3427,3581,3427
20200108,경춘선,상천,239,203,239,203
20200108,경춘선,신내,1403,1463,1403,1463
20200108,경춘선,천마산,1651,1527,1651,1527
20200108,경춘선,청평,1977,1958,1977,1958
20200108,경춘선,춘천,1369,1242,1369,1242
20200108,경춘선,퇴계원,4052,3663,4052,3663
20200108,경춘선,평내호평,6367,6113,6367,6113
20200109,경춘선,가평,1963,2152,1963,2152
20200109,경춘선,갈매,3092,2573,3092,2573
20200109,경춘선,강촌,367,339,367,339
20200109,경춘선,굴봉산,121,151,121,151
20200109,경춘선,금곡,1731,1684,1731,1684
20200109,경춘선,김유정,302,331,302,331
20200109,경춘선,남춘천,2685,2733,2685,2733
20200109,경춘선,대성리,508,517,508,517
20200109,경춘선,마석,4019,3936,4019,3936
20200109,경춘선,백양리,197,255,197,255
20200109,경춘선,별내,2881,2746,2881,2746
20200109,경춘선,사릉,3674,3425,3674,3425
20200109,경춘선,상천,244,230,244,230
20200109,경춘선,신내,1490,1497,1490,1497
20200109,경춘선,천마산,1662,1527,1662,1527
20200109,경춘선,청평,2115,1975,2115,1975
20200109,경춘선,춘천,1646,1393,1646,1393
20200109,경춘선,퇴계원,4113,3734,4113,3734
20200109,경춘선,평내호평,6573,6335,6573,6335
20200110,경춘선,가평,1998,2049,1998,2049
20200110,경춘선,갈매,3153,2704,3153,2704
20200110,경춘선,강촌,303,339,303,339
20200110,경춘선,굴봉산,156,151,156,151
20200110,경춘선,금곡,1756,1638,1756,1638
20200110,경춘선,김유정,336,359,336,359
20200110,경춘선,남춘천,2974,2964,2974,2964
20200110,경춘선,대성리,607,785,607,785
20200110,경춘선,마석,4245,4060,4245,4060
20200110,경춘선,백양리,317,287,317,287
20200110,경춘선,별내,2884,2904,2884,2904
20200110,경춘선,사릉,3835,3570,3835,3570
20200110,경춘선,상천,263,234,263,234
20200110,경춘선,신내,1510,1548,1510,1548
20200110,경춘선,천마산,1720,1527,1720,1527
20200110,경춘선,청평,2092,1999,2092,1999
20200110,경춘선,춘천,1744,1535,1744,1535
20200110,경춘선,퇴계원,4181,3719,4181,3719
20200110,경춘선,평내호평,6783,6520,6783,6520
20200113,경춘선,가평,1979,2172,1979,2172
20200113,경춘선,갈매,3046,2587,3046,2587
20200113,경춘선,강촌,336,328,336,328
20200113,경춘선,굴봉산,106,145,106,145
20200113,경춘선,금곡,1772,1641,1772,1641
20200113,경춘선,김유정,308,324,308,324
20200113,경춘선,남춘천,2694,2857,2694,2857
20200113,경춘선,대성리,519,624,519,624
20200113,경춘선,마석,4319,4333,4319,4333
20200113,경춘선,백양리,269,245,269,245
20200113,경춘선,별내,2925,2749,2925,2749
20200113,경춘선,사릉,3820,3581,3820,3581
20200113,경춘선,상천,247,229,247,229
20200113,경춘선,신내,1452,1499,1452,1499
20200113,경춘선,천마산,1703,1498,1703,1498
20200113,경춘선,청평,2006,1987,2006,1987
20200113,경춘선,춘천,1506,1356,1506,1356
20200113,경춘선,퇴계원,4058,3734,4058,3734
20200113,경춘선,평내호평,6667,6300,6667,6300
20200114,경춘선,가평,1966,1891,1966,1891
20200114,경춘선,갈매,3040,2637,3040,2637
20200114,경춘선,강촌,316,247,316,247
20200114,경춘선,굴봉산,142,133,142,133
20200114,경춘선,금곡,1701,1604,1701,1604
20200114,경춘선,김유정,290,326,290,326
20200114,경춘선,남춘천,2547,2628,2547,2628
20200114,경춘선,대성리,735,507,735,507
20200114,경춘선,마석,3932,3848,3932,3848
20200114,경춘선,백양리,289,285,289,285
20200114,경춘선,별내,2815,2743,2815,2743
20200114,경춘선,사릉,3735,3504,3735,3504
20200114,경춘선,상천,220,213,220,213
20200114,경춘선,신내,1550,1505,1550,1505
20200114,경춘선,천마산,1631,1514,1631,1514
20200114,경춘선,청평,1979,1798,1979,1798
20200114,경춘선,춘천,1393,1319,1393,1319
20200114,경춘선,퇴계원,4032,3663,4032,3663
20200114,경춘선,평내호평,6446,6341,6446,6341
20200115,경춘선,가평,1887,1871,1887,1871
20200115,경춘선,갈매,3193,2717,3193,2717
20200115,경춘선,강촌,335,291,335,291
20200115,경춘선,굴봉산,142,145,142,145
20200115,경춘선,금곡,1662,1542,1662,1542
20200115,경춘선,김유정,310,338,310,338
20200115,경춘선,남춘천,2682,2494,2682,2494
20200115,경춘선,대성리,550,512,550,512
20200115,경춘선,마석,4104,3983,4104,3983
20200115,경춘선,백양리,271,290,271,290
20200115,경춘선,별내,2767,2675,2767,2675
20200115,경춘선,사릉,3733,3515,3733,3515
20200115,경춘선,상천,208,220,208,220
20200115,경춘선,신내,1491,1503,1491,1503
20200115,경춘선,천마산,1656,1525,1656,1525
20200115,경춘선,청평,1982,1845,1982,1845
20200115,경춘선,춘천,1399,1260,1399,1260
20200115,경춘선,퇴계원,4106,3711,4106,3711
20200115,경춘선,평내호평,6424,6195,6424,6195
20200116,경춘선,가평,1769,1825,1769,1825
20200116,경춘선,갈매,3094,2556,3094,2556
20200116,경춘선,강촌,336,353,336,353
20200116,경춘선,굴봉산,102,152,102,152
20200116,경춘선,금곡,1709,1626,1709,1626
20200116,경춘선,김유정,309,319,309,319
20200116,경춘선,남춘천,2562,2681,2562,2681
20200116,경춘선,대성리,589,585,589,585
20200116,경춘선,마석,3931,3726,3931,3726
20200116,경춘선,백양리,346,359,346,359
20200116,경춘선,별내,2829,2737,2829,2737
20200116,경춘선,사릉,3716,3530,3716,3530
20200116,경춘선,상천,231,219,231,219
20200116,경춘선,신내,1489,1501,1489,1501
20200116,경춘선,천마산,1652,1497,1652,1497
20200116,경춘선,청평,2003,1801,2003,1801
20200116,경춘선,춘천,1548,1371,1548,1371
20200116,경춘선,퇴계원,4079,3737,4079,3737
20200116,경춘선,평내호평,6435,6259,6435,6259
20200117,경춘선,가평,1921,2239,1921,2239
20200117,경춘선,갈매,3198,2778,3198,2778
20200117,경춘선,강촌,375,318,375,318
20200117,경춘선,굴봉산,127,150,127,150
20200117,경춘선,금곡,1769,1662,1769,1662
20200117,경춘선,김유정,381,370,381,370
20200117,경춘선,남춘천,3643,3599,3643,3599
20200117,경춘선,대성리,612,606,612,606
20200117,경춘선,마석,4194,4006,4194,4006
20200117,경춘선,백양리,331,284,331,284
20200117,경춘선,별내,2964,2931,2964,2931
20200117,경춘선,사릉,3792,3445,3792,3445
20200117,경춘선,상천,260,234,260,234
20200117,경춘선,신내,1529,1566,1529,1566
20200117,경춘선,천마산,1780,1608,1780,1608
20200117,경춘선,청평,2163,2061,2163,2061
20200117,경춘선,춘천,1748,1538,1748,1538
20200117,경춘선,퇴계원,4281,3834,4281,3834
20200117,경춘선,평내호평,6697,6518,6697,6518
20200120,경춘선,가평,1843,1938,1843,1938
20200120,경춘선,갈매,3162,2642,3162,2642
20200120,경춘선,강촌,344,375,344,375
20200120,경춘선,굴봉산,131,197,131,197
20200120,경춘선,금곡,1719,1568,1719,1568
20200120,경춘선,김유정,354,350,354,350
20200120,경춘선,남춘천,2592,2631,2592,2631
20200120,경춘선,대성리,592,501,592,501
20200120,경춘선,마석,3979,3856,3979,3856
20200120,경춘선,백양리,295,317,295,317
20200120,경춘선,별내,2888,2769,2888,2769
20200120,경춘선,사릉,3751,3436,3751,3436
20200120,경춘선,상천,267,251,267,251
20200120,경춘선,신내,1416,1458,1416,1458
20200120,경춘선,천마산,1765,1516,1765,1516
20200120,경춘선,청평,2012,1905,2012,1905
20200120,경춘선,춘천,1375,1298,1375,1298
20200120,경춘선,퇴계원,4077,3680,4077,3680
20200120,경춘선,평내호평,6640,6392,6640,6392
20200121,경춘선,가평,1820,1735,1820,1735
20200121,경춘선,갈매,3067,2552,3067,2552
20200121,경춘선,강촌,353,286,353,286
20200121,경춘선,굴봉산,163,164,163,164
20200121,경춘선,금곡,1687,1574,1687,1574
20200121,경춘선,김유정,284,303,284,303
20200121,경춘선,남춘천,2498,2519,2498,2519
20200121,경춘선,대성리,602,491,602,491
20200121,경춘선,마석,3890,3760,3890,3760
20200121,경춘선,백양리,346,259,346,259
20200121,경춘선,별내,2791,2765,2791,2765
20200121,경춘선,사릉,3633,3443,3633,3443
20200121,경춘선,상천,238,206,238,206
20200121,경춘선,신내,1452,1535,1452,1535
20200121,경춘선,천마산,1683,1530,1683,1530
20200121,경춘선,청평,2023,1763,2023,1763
20200121,경춘선,춘천,1440,1318,1440,1318
20200121,경춘선,퇴계원,3996,3738,3996,3738
20200121,경춘선,평내호평,6534,6263,6534,6263
20200122,경춘선,가평,1830,1809,1830,1809
20200122,경춘선,갈매,3085,2563,3085,2563
20200122,경춘선,강촌,316,321,316,321
20200122,경춘선,굴봉산,136,121,136,121
20200122,경춘선,금곡,1650,1517,1650,1517
20200122,경춘선,김유정,297,293,297,293
20200122,경춘선,남춘천,2900,2941,2900,2941
20200122,경춘선,대성리,514,446,514,446
20200122,경춘선,마석,3847,3708,3847,3708
20200122,경춘선,백양리,324,269,324,269
20200122,경춘선,별내,2730,2685,2730,2685
20200122,경춘선,사릉,3621,3410,3621,3410
20200122,경춘선,상천,257,235,257,235
20200122,경춘선,신내,1431,1424,1431,1424
20200122,경춘선,천마산,1687,1548,1687,1548
20200122,경춘선,청평,1936,1868,1936,1868
20200122,경춘선,춘천,1285,1113,1285,1113
20200122,경춘선,퇴계원,4064,3646,4064,3646
20200122,경춘선,평내호평,6439,6173,6439,6173
20200123,경춘선,가평,1570,1809,1570,1809
20200123,경춘선,갈매,2852,2389,2852,2389
20200123,경춘선,강촌,280,277,280,277
20200123,경춘선,굴봉산,102,124,102,124
20200123,경춘선,금곡,1620,1483,1620,1483
20200123,경춘선,김유정,244,327,244,327
20200123,경춘선,남춘천,2719,3000,2719,3000
20200123,경춘선,대성리,442,395,442,395
20200123,경춘선,마석,4090,4113,4090,4113
20200123,경춘선,백양리,251,226,251,226
20200123,경춘선,별내,2719,2632,2719,2632
20200123,경춘선,사릉,3448,3221,3448,3221
20200123,경춘선,상천,248,245,248,245
20200123,경춘선,신내,1325,1252,1325,1252
20200123,경춘선,천마산,1572,1394,1572,1394
20200123,경춘선,청평,1906,1915,1906,1915
20200123,경춘선,춘천,1536,1404,1536,1404
20200123,경춘선,퇴계원,3816,3481,3816,3481
20200123,경춘선,평내호평,6102,5967,6102,5967
20200124,경춘선,가평,1384,1999,1384,1999
20200124,경춘선,갈매,1082,955,1082,955
20200124,경춘선,강촌,252,343,252,343
20200124,경춘선,굴봉산,105,162,105,162
20200124,경춘선,금곡,725,713,725,713
20200124,경춘선,김유정,226,383,226,383
20200124,경춘선,남춘천,2033,2781,2033,2781
20200124,경춘선,대성리,318,354,318,354
20200124,경춘선,마석,2212,2371,2212,2371
20200124,경춘선,백양리,313,293,313,293
20200124,경춘선,별내,1313,1199,1313,1199
20200124,경춘선,사릉,1598,1719,1598,1719
20200124,경춘선,상천,150,224,150,224
20200124,경춘선,신내,618,603,618,603
20200124,경춘선,천마산,918,991,918,991
20200124,경춘선,청평,1288,1592,1288,1592
20200124,경춘선,춘천,1344,1617,1344,1617
20200124,경춘선,퇴계원,1771,1774,1771,1774
20200124,경춘선,평내호평,2658,2910,2658,2910
20200127,경춘선,가평,1742,1496,1742,1496
20200127,경춘선,갈매,1211,1103,1211,1103
20200127,경춘선,강촌,557,421,557,421
20200127,경춘선,굴봉산,129,161,129,161
20200127,경춘선,금곡,872,809,872,809
20200127,경춘선,김유정,370,390,370,390
20200127,경춘선,남춘천,2768,2706,2768,2706
20200127,경춘선,대성리,356,330,356,330
20200127,경춘선,마석,2306,2253,2306,2253
20200127,경춘선,백양리,319,292,319,292
20200127,경춘선,별내,1374,1366,1374,1366
20200127,경춘선,사릉,1798,1751,1798,1751
20200127,경춘선,상천,260,170,260,170
20200127,경춘선,신내,724,702,724,702
20200127,경춘선,천마산,989,928,989,928
20200127,경춘선,청평,1520,1257,1520,1257
20200127,경춘선,춘천,2040,1444,2040,1444
20200127,경춘선,퇴계원,1965,1796,1965,1796
20200127,경춘선,평내호평,3287,3127,3287,3127
20200128,경춘선,가평,1693,1753,1693,1753
20200128,경춘선,갈매,2718,2403,2718,2403
20200128,경춘선,강촌,307,310,307,310
20200128,경춘선,굴봉산,110,115,110,115
20200128,경춘선,금곡,1560,1458,1560,1458
20200128,경춘선,김유정,251,260,251,260
20200128,경춘선,남춘천,2324,2548,2324,2548
20200128,경춘선,대성리,470,437,470,437
20200128,경춘선,마석,3951,3758,3951,3758
20200128,경춘선,백양리,260,280,260,280
20200128,경춘선,별내,2506,2487,2506,2487
20200128,경춘선,사릉,3453,3221,3453,3221
20200128,경춘선,상천,235,242,235,242
20200128,경춘선,신내,1251,1302,1251,1302
20200128,경춘선,천마산,1589,1478,1589,1478
20200128,경춘선,청평,1870,1746,1870,1746
20200128,경춘선,춘천,1385,1284,1385,1284
20200128,경춘선,퇴계원,3724,3383,3724,3383
20200128,경춘선,평내호평,5963,5862,5963,5862
20200129,경춘선,가평,1678,1661,1678,1661
20200129,경춘선,갈매,2922,2495,2922,2495
20200129,경춘선,강촌,302,276,302,276
20200129,경춘선,굴봉산,117,160,117,160
20200129,경춘선,금곡,1593,1519,1593,1519
20200129,경춘선,김유정,278,280,278,280
20200129,경춘선,남춘천,2184,2214,2184,2214
20200129,경춘선,대성리,526,588,526,588
20200129,경춘선,마석,3953,3816,3953,3816
20200129,경춘선,백양리,285,216,285,216
20200129,경춘선,별내,2709,2677,2709,2677
20200129,경춘선,사릉,3493,3355,3493,3355
20200129,경춘선,상천,217,223,217,223
20200129,경춘선,신내,1303,1425,1303,1425
20200129,경춘선,천마산,1606,1504,1606,1504
20200129,경춘선,청평,1864,1871,1864,1871
20200129,경춘선,춘천,1293,1233,1293,1233
20200129,경춘선,퇴계원,3786,3509,3786,3509
20200129,경춘선,평내호평,6250,6153,6250,6153
20200130,경춘선,가평,1668,1738,1668,1738
20200130,경춘선,갈매,2964,2607,2964,2607
20200130,경춘선,강촌,348,332,348,332
20200130,경춘선,굴봉산,130,136,130,136
20200130,경춘선,금곡,1608,1544,1608,1544
20200130,경춘선,김유정,317,315,317,315
20200130,경춘선,남춘천,2252,2382,2252,2382
20200130,경춘선,대성리,599,545,599,545
20200130,경춘선,마석,3837,3736,3837,3736
20200130,경춘선,백양리,271,243,271,243
20200130,경춘선,별내,2730,2628,2730,2628
20200130,경춘선,사릉,3531,3417,3531,3417
20200130,경춘선,상천,266,237,266,237
20200130,경춘선,신내,1358,1462,1358,1462
20200130,경춘선,천마산,1622,1512,1622,1512
20200130,경춘선,청평,1853,1672,1853,1672
20200130,경춘선,춘천,1285,1170,1285,1170
20200130,경춘선,퇴계원,3880,3621,3880,3621
20200130,경춘선,평내호평,6196,6098,6196,6098
20200131,경춘선,가평,1900,1917,1900,1917
20200131,경춘선,갈매,3013,2587,3013,2587
20200131,경춘선,강촌,315,308,315,308
20200131,경춘선,굴봉산,113,154,113,154
20200131,경춘선,금곡,1679,1554,1679,1554
20200131,경춘선,김유정,312,323,312,323
20200131,경춘선,남춘천,2763,2645,2763,2645
20200131,경춘선,대성리,562,968,562,968
20200131,경춘선,마석,3871,3718,3871,3718
20200131,경춘선,백양리,315,286,315,286
20200131,경춘선,별내,2704,2719,2704,2719
20200131,경춘선,사릉,3668,3393,3668,3393
20200131,경춘선,상천,223,231,223,231
20200131,경춘선,신내,1304,1426,1304,1426
20200131,경춘선,천마산,1605,1475,1605,1475
20200131,경춘선,청평,1874,2003,1874,2003
20200131,경춘선,춘천,1513,1221,1513,1221
20200131,경춘선,퇴계원,3876,3567,3876,3567
20200131,경춘선,평내호평,6265,6157,6265,6157
20200101,경춘선,춘천,1729,1432,1729,1432
20200101,경춘선,남춘천,2139,2432,2139,2432
20200101,경춘선,김유정,339,320,339,320
20200101,경춘선,강촌,337,312,337,312
20200101,경춘선,백양리,270,260,270,260
20200101,경춘선,굴봉산,129,104,129,104
20200101,경춘선,가평,1554,1375,1554,1375
20200101,경춘선,상천,256,150,256,150
20200101,경춘선,청평,1449,1186,1449,1186
20200101,경춘선,대성리,418,289,418,289
20200101,경춘선,마석,1926,2041,1926,2041
20200101,경춘선,천마산,882,867,882,867
20200101,경춘선,평내호평,2928,2787,2928,2787
20200101,경춘선,금곡,743,780,743,780
20200101,경춘선,사릉,1385,1457,1385,1457
20200101,경춘선,퇴계원,1608,1639,1608,1639
20200101,경춘선,별내,1324,1326,1324,1326
20200101,경춘선,갈매,1011,1001,1011,1001
20200101,경춘선,신내,713,732,713,732
20200102,경춘선,신내,1389,1470,1389,1470
20200102,경춘선,갈매,3074,2573,3074,2573
20200102,경춘선,별내,2742,2704,2742,2704
20200102,경춘선,퇴계원,3946,3605,3946,3605
20200102,경춘선,사릉,3521,3306,3521,3306
20200102,경춘선,금곡,1736,1643,1736,1643
20200102,경춘선,평내호평,6178,5957,6178,5957
20200102,경춘선,천마산,1605,1480,1605,1480
20200102,경춘선,마석,3804,3694,3804,3694
20200102,경춘선,대성리,442,437,442,437
20200102,경춘선,청평,2047,1862,2047,1862
20200102,경춘선,상천,237,219,237,219
20200102,경춘선,가평,1962,2032,1962,2032
20200102,경춘선,굴봉산,97,131,97,131
20200102,경춘선,백양리,260,249,260,249
20200102,경춘선,강촌,399,391,399,391
20200102,경춘선,김유정,312,333,312,333
