사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20200106,공항철도 1호선,검암,8870,8323,8870,8323
20200106,공항철도 1호선,계양,11119,10098,11119,10098
20200106,공항철도 1호선,공덕,2708,3445,2708,3445
20200106,공항철도 1호선,공항화물청사,2697,3083,2697,3083
20200106,공항철도 1호선,김포공항,11716,7190,11716,7190
20200106,공항철도 1호선,디지털미디어시티,15552,13780,15552,13780
20200106,공항철도 1호선,마곡나루,7832,7139,7832,7139
20200106,공항철도 1호선,서울역,13217,11048,13217,11048
20200106,공항철도 1호선,영종,3097,3063,3097,3063
20200106,공항철도 1호선,운서,7594,8000,7594,8000
20200106,공항철도 1호선,인천공항1터미널,15133,16717,15133,16717
20200106,공항철도 1호선,인천공항2터미널,5466,4944,5466,4944
20200106,공항철도 1호선,청라국제도시,7613,7021,7613,7021
20200106,공항철도 1호선,홍대입구,11564,11218,11564,11218
20200107,공항철도 1호선,검암,8404,8020,8404,8020
20200107,공항철도 1호선,계양,10398,9586,10398,9586
20200107,공항철도 1호선,공덕,2643,3462,2643,3462
20200107,공항철도 1호선,공항화물청사,2794,3101,2794,3101
20200107,공항철도 1호선,김포공항,11287,6997,11287,6997
20200107,공항철도 1호선,디지털미디어시티,15340,13620,15340,13620
20200107,공항철도 1호선,마곡나루,7602,6768,7602,6768
20200107,공항철도 1호선,서울역,12581,10603,12581,10603
20200107,공항철도 1호선,영종,2793,2854,2793,2854
20200107,공항철도 1호선,운서,7252,7422,7252,7422
20200107,공항철도 1호선,인천공항1터미널,14128,15444,14128,15444
20200107,공항철도 1호선,인천공항2터미널,5180,4822,5180,4822
20200107,공항철도 1호선,청라국제도시,7470,6961,7470,6961
20200107,공항철도 1호선,홍대입구,10744,10923,10744,10923
20200108,공항철도 1호선,검암,8969,8425,8969,8425
20200108,공항철도 1호선,계양,10879,10175,10879,10175
20200108,공항철도 1호선,공덕,2708,3611,2708,3611
20200108,공항철도 1호선,공항화물청사,2951,3181,2951,3181
20200108,공항철도 1호선,김포공항,11945,7317,11945,7317
20200108,공항철도 1호선,디지털미디어시티,15662,14211,15662,14211
20200108,공항철도 1호선,마곡나루,8101,7205,8101,7205
20200108,공항철도 1호선,서울역,12673,10792,12673,10792
20200108,공항철도 1호선,영종,3052,3136,3052,3136
20200108,공항철도 1호선,운서,7628,7901,7628,7901
20200108,공항철도 1호선,인천공항1터미널,13981,14966,13981,14966
20200108,공항철도 1호선,인천공항2터미널,5390,4815,5390,4815
20200108,공항철도 1호선,청라국제도시,7644,7082,7644,7082
20200108,공항철도 1호선,홍대입구,12092,11943,12092,11943
20200109,공항철도 1호선,검암,9058,8628,9058,8628
20200109,공항철도 1호선,계양,11141,10085,11141,10085
20200109,공항철도 1호선,공덕,2759,3685,2759,3685
20200109,공항철도 1호선,공항화물청사,2943,3313,2943,3313
20200109,공항철도 1호선,김포공항,12266,7285,12266,7285
20200109,공항철도 1호선,디지털미디어시티,16625,14632,16625,14632
20200109,공항철도 1호선,마곡나루,8228,7250,8228,7250
20200109,공항철도 1호선,서울역,12892,10708,12892,10708
20200109,공항철도 1호선,영종,3174,3244,3174,3244
20200109,공항철도 1호선,운서,7879,8018,7879,8018
20200109,공항철도 1호선,인천공항1터미널,15464,15224,15464,15224
20200109,공항철도 1호선,인천공항2터미널,5429,4747,5429,4747
20200109,공항철도 1호선,청라국제도시,7774,7276,7774,7276
20200109,공항철도 1호선,홍대입구,11889,12165,11889,12165
20200110,공항철도 1호선,검암,9490,8911,9490,8911
20200110,공항철도 1호선,계양,11462,10203,11462,10203
20200110,공항철도 1호선,공덕,2927,3914,2927,3914
20200110,공항철도 1호선,공항화물청사,2987,3171,2987,3171
20200110,공항철도 1호선,김포공항,13051,7165,13051,7165
20200110,공항철도 1호선,디지털미디어시티,16084,14141,16084,14141
20200110,공항철도 1호선,마곡나루,8791,7438,8791,7438
20200110,공항철도 1호선,서울역,15248,13439,15248,13439
20200110,공항철도 1호선,영종,3263,3430,3263,3430
20200110,공항철도 1호선,운서,8376,8477,8376,8477
20200110,공항철도 1호선,인천공항1터미널,17452,16085,17452,16085
20200110,공항철도 1호선,인천공항2터미널,5991,5113,5991,5113
20200110,공항철도 1호선,청라국제도시,8222,7478,8222,7478
20200110,공항철도 1호선,홍대입구,13201,14203,13201,14203
20200113,공항철도 1호선,검암,9000,8472,9000,8472
20200113,공항철도 1호선,계양,11047,10101,11047,10101
