사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20200106,과천선,경마공원,933,942,933,942
20200106,과천선,과천,5473,5059,5473,5059
20200106,과천선,대공원,1449,1579,1449,1579
20200106,과천선,범계,30802,29852,30802,29852
20200106,과천선,선바위,10104,8489,10104,8489
20200106,과천선,인덕원,27544,28847,27544,28847
20200106,과천선,정부과천청사,13298,13040,13298,13040
20200106,과천선,평촌,21089,20871,21089,20871
20200107,과천선,경마공원,977,1035,977,1035
20200107,과천선,과천,5511,5009,5511,5009
20200107,과천선,대공원,1620,1717,1620,1717
20200107,과천선,범계,30141,29565,30141,29565
20200107,과천선,선바위,9967,8258,9967,8258
20200107,과천선,인덕원,27126,28410,27126,28410
20200107,과천선,정부과천청사,12213,12088,12213,12088
20200107,과천선,평촌,20450,20314,20450,20314
20200108,과천선,경마공원,2526,2481,2526,2481
20200108,과천선,과천,5727,5309,5727,5309
20200108,과천선,대공원,2283,2387,2283,2387
20200108,과천선,범계,32101,31560,32101,31560
20200108,과천선,선바위,10369,8568,10369,8568
20200108,과천선,인덕원,28361,29351,28361,29351
20200108,과천선,정부과천청사,16002,15949,16002,15949
20200108,과천선,평촌,20996,20826,20996,20826
20200109,과천선,경마공원,2506,2601,2506,2601
20200109,과천선,과천,5946,5306,5946,5306
20200109,과천선,대공원,2839,2973,2839,2973
20200109,과천선,범계,32153,29999,32153,29999
20200109,과천선,선바위,10418,8913,10418,8913
20200109,과천선,인덕원,29195,30145,29195,30145
20200109,과천선,정부과천청사,12776,12771,12776,12771
20200109,과천선,평촌,21739,21447,21739,21447
20200110,과천선,경마공원,7951,8140,7951,8140
20200110,과천선,과천,6087,5450,6087,5450
20200110,과천선,대공원,2680,2816,2680,2816
20200110,과천선,범계,34377,33868,34377,33868
20200110,과천선,선바위,11236,8997,11236,8997
20200110,과천선,인덕원,30259,31004,30259,31004
20200110,과천선,정부과천청사,13106,12554,13106,12554
20200110,과천선,평촌,21845,19726,21845,19726
20200113,과천선,경마공원,1069,1023,1069,1023
20200113,과천선,과천,5602,5141,5602,5141
20200113,과천선,대공원,1963,2096,1963,2096
20200113,과천선,범계,31205,30601,31205,30601
20200113,과천선,선바위,10082,8540,10082,8540
20200113,과천선,인덕원,28250,29065,28250,29065
20200113,과천선,정부과천청사,13263,12932,13263,12932
20200113,과천선,평촌,21118,21211,21118,21211
20200114,과천선,경마공원,1080,1067,1080,1067
20200114,과천선,과천,5989,5458,5989,5458
20200114,과천선,대공원,3006,3129,3006,3129
20200114,과천선,범계,32066,31316,32066,31316
20200114,과천선,선바위,10368,8708,10368,8708
20200114,과천선,인덕원,28635,29514,28635,29514
20200114,과천선,정부과천청사,12944,12704,12944,12704
20200114,과천선,평촌,21111,20903,21111,20903
20200115,과천선,경마공원,3052,3021,3052,3021
20200115,과천선,과천,5998,5495,5998,5495
20200115,과천선,대공원,2637,2755,2637,2755
20200115,과천선,범계,32204,31375,32204,31375
20200115,과천선,선바위,10494,8914,10494,8914
