사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20200106,안산선,고잔,9136,8886,9136,8886
20200106,안산선,대야미,5325,4830,5325,4830
20200106,안산선,반월,5078,4714,5078,4714
20200106,안산선,산본,19311,20569,19311,20569
20200106,안산선,상록수,20061,19933,20061,19933
20200106,안산선,수리산,4749,3824,4749,3824
20200106,안산선,신길온천,1640,1459,1640,1459
20200106,안산선,안산,13727,12321,13727,12321
20200106,안산선,오이도,10216,9608,10216,9608
20200106,안산선,정왕,7572,8296,7572,8296
20200106,안산선,중앙,17463,18177,17463,18177
20200106,안산선,초지,4402,4308,4402,4308
20200106,안산선,한대앞,8958,8620,8958,8620
20200107,안산선,고잔,8724,8393,8724,8393
20200107,안산선,대야미,5067,4579,5067,4579
20200107,안산선,반월,4765,4406,4765,4406
20200107,안산선,산본,18764,19809,18764,19809
20200107,안산선,상록수,19266,19077,19266,19077
20200107,안산선,수리산,4639,3686,4639,3686
20200107,안산선,신길온천,1591,1449,1591,1449
20200107,안산선,안산,13111,11737,13111,11737
20200107,안산선,오이도,9573,9065,9573,9065
20200107,안산선,정왕,7024,7510,7024,7510
20200107,안산선,중앙,16760,17564,16760,17564
20200107,안산선,초지,4258,4279,4258,4279
20200107,안산선,한대앞,8512,8400,8512,8400
20200108,안산선,고잔,9399,9366,9399,9366
20200108,안산선,대야미,5384,4733,5384,4733
20200108,안산선,반월,5116,4814,5116,4814
20200108,안산선,산본,20109,21356,20109,21356
20200108,안산선,상록수,20384,20212,20384,20212
20200108,안산선,수리산,4800,3811,4800,3811
20200108,안산선,신길온천,1723,1510,1723,1510
20200108,안산선,안산,13826,12336,13826,12336
20200108,안산선,오이도,10124,9725,10124,9725
20200108,안산선,정왕,7404,8050,7404,8050
20200108,안산선,중앙,18274,18914,18274,18914
20200108,안산선,초지,4505,4548,4505,4548
20200108,안산선,한대앞,9033,8901,9033,8901
20200109,안산선,고잔,9171,9131,9171,9131
20200109,안산선,대야미,5441,4875,5441,4875
20200109,안산선,반월,5282,4978,5282,4978
20200109,안산선,산본,20155,21551,20155,21551
20200109,안산선,상록수,21155,20876,21155,20876
20200109,안산선,수리산,4875,3788,4875,3788
20200109,안산선,신길온천,1772,1578,1772,1578
20200109,안산선,안산,13927,12351,13927,12351
20200109,안산선,오이도,10410,10020,10410,10020
20200109,안산선,정왕,7670,8183,7670,8183
20200109,안산선,중앙,18818,19446,18818,19446
20200109,안산선,초지,4439,4443,4439,4443
20200109,안산선,한대앞,9028,8864,9028,8864
20200110,안산선,고잔,9650,9357,9650,9357
20200110,안산선,대야미,5779,5027,5779,5027
20200110,안산선,반월,5314,4756,5314,4756
20200110,안산선,산본,21171,22854,21171,22854
20200110,안산선,상록수,21925,20955,21925,20955
20200110,안산선,수리산,5041,3805,5041,3805
20200110,안산선,신길온천,1822,1650,1822,1650
20200110,안산선,안산,14467,12788,14467,12788
20200110,안산선,오이도,11073,10282,11073,10282
20200110,안산선,정왕,8621,8961,8621,8961
20200110,안산선,중앙,19468,21571,19468,21571
20200110,안산선,초지,5057,5047,5057,5047
20200110,안산선,한대앞,9589,9386,9589,9386
20200113,안산선,고잔,9368,8975,9368,8975
20200113,안산선,대야미,5401,4846,5401,4846
20200113,안산선,반월,4914,4639,4914,4639
20200113,안산선,산본,19765,20921,19765,20921
20200113,안산선,상록수,20257,20074,20257,20074
20200113,안산선,수리산,4840,3782,4840,3782
20200113,안산선,신길온천,1731,1557,1731,1557
20200113,안산선,안산,14336,12802,14336,12802
20200113,안산선,오이도,10269,9785,10269,9785
20200113,안산선,정왕,7901,8594,7901,8594
20200113,안산선,중앙,18078,18757,18078,18757
20200113,안산선,초지,4435,4371,4435,4371
20200113,안산선,한대앞,8860,8685,8860,8685
20200114,안산선,고잔,9422,9249,9422,9249
20200114,안산선,대야미,5448,4835,5448,4835
20200114,안산선,반월,4933,4643,4933,4643
20200114,안산선,산본,20058,21360,20058,21360
20200114,안산선,상록수,20661,20416,20661,20416
20200114,안산선,수리산,4936,3793,4936,3793
20200114,안산선,신길온천,1684,1533,1684,1533
20200114,안산선,안산,13993,12407,13993,12407
20200114,안산선,오이도,10273,9614,10273,9614
20200114,안산선,정왕,7586,8280,7586,8280
20200114,안산선,중앙,18217,19097,18217,19097
20200114,안산선,초지,4457,4428,4457,4428
20200114,안산선,한대앞,9009,8936,9009,8936
20200115,안산선,고잔,9400,9135,9400,9135
20200115,안산선,대야미,5431,4860,5431,4860
20200115,안산선,반월,4903,4678,4903,4678
20200115,안산선,산본,20193,21543,20193,21543
20200115,안산선,상록수,20688,20331,20688,20331
20200115,안산선,수리산,4841,3758,4841,3758
20200115,안산선,신길온천,1761,1569,1761,1569
20200115,안산선,안산,13985,12376,13985,12376
20200115,안산선,오이도,10370,9950,10370,9950
20200115,안산선,정왕,7842,8452,7842,8452
20200115,안산선,중앙,18129,18991,18129,18991
20200115,안산선,초지,4901,4954,4901,4954
20200115,안산선,한대앞,9137,8986,9137,8986
20200116,안산선,고잔,9368,9336,9368,9336
20200116,안산선,대야미,5445,4859,5445,4859
20200116,안산선,반월,4998,4608,4998,4608
20200116,안산선,산본,20076,21293,20076,21293
20200116,안산선,상록수,21360,20946,21360,20946
20200116,안산선,수리산,4851,3744,4851,3744
20200116,안산선,신길온천,1748,1572,1748,1572
20200116,안산선,안산,13709,12231,13709,12231
