사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20200106,우이신설선,4.19민주묘지,2844,2726,2844,2726
20200106,우이신설선,가오리,4416,4384,4416,4384
20200106,우이신설선,보문,1669,1710,1669,1710
20200106,우이신설선,북한산보국문,6179,5963,6179,5963
20200106,우이신설선,북한산우이,2291,2044,2291,2044
20200106,우이신설선,삼양,2117,2334,2117,2334
20200106,우이신설선,삼양사거리,2656,2802,2656,2802
20200106,우이신설선,성신여대입구(돈암),3775,4159,3775,4159
20200106,우이신설선,솔밭공원,2496,2438,2496,2438
20200106,우이신설선,솔샘,6298,5940,6298,5940
20200106,우이신설선,신설동,2265,2269,2265,2269
20200106,우이신설선,정릉,4738,4533,4738,4533
20200106,우이신설선,화계,3657,3470,3657,3470
20200107,우이신설선,4.19민주묘지,2662,2577,2662,2577
20200107,우이신설선,가오리,4310,4340,4310,4340
20200107,우이신설선,보문,1595,1683,1595,1683
20200107,우이신설선,북한산보국문,5968,5827,5968,5827
20200107,우이신설선,북한산우이,2104,1782,2104,1782
20200107,우이신설선,삼양,1965,2198,1965,2198
20200107,우이신설선,삼양사거리,2465,2610,2465,2610
20200107,우이신설선,성신여대입구(돈암),3702,4069,3702,4069
20200107,우이신설선,솔밭공원,2438,2419,2438,2419
20200107,우이신설선,솔샘,6235,5865,6235,5865
20200107,우이신설선,신설동,2069,2060,2069,2060
20200107,우이신설선,정릉,4456,4409,4456,4409
20200107,우이신설선,화계,3476,3339,3476,3339
20200108,우이신설선,4.19민주묘지,2933,2810,2933,2810
20200108,우이신설선,가오리,4414,4368,4414,4368
20200108,우이신설선,보문,1680,1734,1680,1734
20200108,우이신설선,북한산보국문,6415,6091,6415,6091
20200108,우이신설선,북한산우이,2382,2041,2382,2041
20200108,우이신설선,삼양,2184,2399,2184,2399
20200108,우이신설선,삼양사거리,2689,2792,2689,2792
20200108,우이신설선,성신여대입구(돈암),3824,4257,3824,4257
20200108,우이신설선,솔밭공원,2618,2485,2618,2485
20200108,우이신설선,솔샘,6306,5872,6306,5872
20200108,우이신설선,신설동,2244,2232,2244,2232
20200108,우이신설선,정릉,4857,4541,4857,4541
20200108,우이신설선,화계,3715,3529,3715,3529
20200109,우이신설선,4.19민주묘지,2923,2766,2923,2766
20200109,우이신설선,가오리,4655,4526,4655,4526
20200109,우이신설선,보문,1730,1754,1730,1754
20200109,우이신설선,북한산보국문,6410,6125,6410,6125
20200109,우이신설선,북한산우이,2756,2357,2756,2357
20200109,우이신설선,삼양,2118,2221,2118,2221
20200109,우이신설선,삼양사거리,2726,2807,2726,2807
20200109,우이신설선,성신여대입구(돈암),3906,4326,3906,4326
20200109,우이신설선,솔밭공원,2606,2638,2606,2638
20200109,우이신설선,솔샘,6450,5850,6450,5850
20200109,우이신설선,신설동,2262,2333,2262,2333
20200109,우이신설선,정릉,4864,4517,4864,4517
20200109,우이신설선,화계,3637,3444,3637,3444
20200110,우이신설선,4.19민주묘지,3021,2838,3021,2838
20200110,우이신설선,가오리,4558,4308,4558,4308
20200110,우이신설선,보문,1778,1749,1778,1749
20200110,우이신설선,북한산보국문,6730,6115,6730,6115
20200110,우이신설선,북한산우이,2560,2232,2560,2232
20200110,우이신설선,삼양,2224,2371,2224,2371
20200110,우이신설선,삼양사거리,2738,2781,2738,2781
20200110,우이신설선,성신여대입구(돈암),4102,4589,4102,4589
20200110,우이신설선,솔밭공원,2716,2549,2716,2549
20200110,우이신설선,솔샘,6593,6020,6593,6020
20200110,우이신설선,신설동,2362,2318,2362,2318
20200110,우이신설선,정릉,5137,4638,5137,4638
20200110,우이신설선,화계,3697,3421,3697,3421
20200113,우이신설선,4.19민주묘지,2877,2782,2877,2782
20200113,우이신설선,가오리,4350,4332,4350,4332
20200113,우이신설선,보문,1651,1618,1651,1618
20200113,우이신설선,북한산보국문,6243,6136,6243,6136
20200113,우이신설선,북한산우이,2309,2013,2309,2013
20200113,우이신설선,삼양,2234,2398,2234,2398
20200113,우이신설선,삼양사거리,2676,2822,2676,2822
20200113,우이신설선,성신여대입구(돈암),3776,4264,3776,4264
20200113,우이신설선,솔밭공원,2617,2565,2617,2565
20200113,우이신설선,솔샘,6378,5933,6378,5933
20200113,우이신설선,신설동,2239,2232,2239,2232
20200113,우이신설선,정릉,4755,4443,4755,4443
20200113,우이신설선,화계,3690,3592,3690,3592
20200114,우이신설선,4.19민주묘지,2862,2852,2862,2852
20200114,우이신설선,가오리,4553,4541,4553,4541
20200114,우이신설선,보문,1680,1692,1680,1692
20200114,우이신설선,북한산보국문,6434,6067,6434,6067
20200114,우이신설선,북한산우이,2497,2188,2497,2188
20200114,우이신설선,삼양,2133,2329,2133,2329
20200114,우이신설선,삼양사거리,2694,2762,2694,2762
20200114,우이신설선,성신여대입구(돈암),3828,4193,3828,4193
20200114,우이신설선,솔밭공원,2720,2625,2720,2625
20200114,우이신설선,솔샘,6374,5963,6374,5963
20200114,우이신설선,신설동,2199,2247,2199,2247
20200114,우이신설선,정릉,4708,4467,4708,4467
20200114,우이신설선,화계,3899,3617,3899,3617
20200115,우이신설선,4.19민주묘지,3054,2897,3054,2897
20200115,우이신설선,가오리,4424,4362,4424,4362
20200115,우이신설선,보문,1669,1720,1669,1720
20200115,우이신설선,북한산보국문,6521,6095,6521,6095
20200115,우이신설선,북한산우이,2479,2124,2479,2124
20200115,우이신설선,삼양,2239,2439,2239,2439
20200115,우이신설선,삼양사거리,2753,2817,2753,2817
20200115,우이신설선,성신여대입구(돈암),3966,4365,3966,4365
20200115,우이신설선,솔밭공원,2613,2562,2613,2562
20200115,우이신설선,솔샘,6427,6011,6427,6011
20200115,우이신설선,신설동,2304,2307,2304,2307
20200115,우이신설선,정릉,4847,4586,4847,4586
20200115,우이신설선,화계,3694,3604,3694,3604
20200116,우이신설선,4.19민주묘지,2934,2747,2934,2747
20200116,우이신설선,가오리,4637,4533,4637,4533
20200116,우이신설선,보문,1647,1717,1647,1717
20200116,우이신설선,북한산보국문,6408,6071,6408,6071
20200116,우이신설선,북한산우이,2604,2268,2604,2268
20200116,우이신설선,삼양,2225,2389,2225,2389
20200116,우이신설선,삼양사거리,2745,2829,2745,2829
20200116,우이신설선,성신여대입구(돈암),3964,4179,3964,4179
20200116,우이신설선,솔밭공원,2746,2591,2746,2591
20200116,우이신설선,솔샘,6386,5955,6386,5955
20200116,우이신설선,신설동,2259,2274,2259,2274
20200116,우이신설선,정릉,4805,4395,4805,4395
20200116,우이신설선,화계,3719,3539,3719,3539
20200117,우이신설선,4.19민주묘지,2987,2830,2987,2830
20200117,우이신설선,가오리,4530,4432,4530,4432
20200117,우이신설선,보문,1723,1761,1723,1761
20200117,우이신설선,북한산보국문,6730,6140,6730,6140
20200117,우이신설선,북한산우이,2517,2277,2517,2277
20200117,우이신설선,삼양,2382,2505,2382,2505
20200117,우이신설선,삼양사거리,2765,2776,2765,2776
20200117,우이신설선,성신여대입구(돈암),4047,4520,4047,4520
20200117,우이신설선,솔밭공원,2789,2526,2789,2526
20200117,우이신설선,솔샘,6420,5880,6420,5880
20200117,우이신설선,신설동,2264,2372,2264,2372
20200117,우이신설선,정릉,4953,4449,4953,4449
20200117,우이신설선,화계,3831,3491,3831,3491
20200120,우이신설선,4.19민주묘지,2917,2785,2917,2785
