사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,4호선,길음,17831,16604,17831,16604
202001,4호선,남태령,1262,821,1262,821
202001,4호선,노원,20004,22813,20004,22813
202001,4호선,당고개,11392,10334,11392,10334
202001,4호선,동대문,20278,19822,20278,19822
202001,4호선,동대문역사문화공원,19065,15588,19065,15588
202001,4호선,동작,2041,2125,2041,2125
202001,4호선,명동,34847,38919,34847,38919
202001,4호선,미아,13227,12191,13227,12191
202001,4호선,미아사거리,26645,25841,26645,25841
202001,4호선,사당,26114,23011,26114,23011
202001,4호선,삼각지,3385,4178,3385,4178
202001,4호선,상계,16355,14645,16355,14645
202001,4호선,서울역,8812,20649,8812,20649
202001,4호선,성신여대입구,20116,19323,20116,19323
202001,4호선,수유,31363,30917,31363,30917
202001,4호선,숙대입구,11574,10602,11574,10602
202001,4호선,신용산,11262,11910,11262,11910
202001,4호선,쌍문,26287,22732,26287,22732
202001,4호선,이촌,9168,9456,9168,9456
202001,4호선,창동,23759,25242,23759,25242
202001,4호선,총신대입구,18156,19687,18156,19687
202001,4호선,충무로,19734,20002,19734,20002
202001,4호선,한성대입구,12277,11904,12277,11904
202001,4호선,혜화,40828,43048,40828,43048
202001,4호선,회현,27723,29583,27723,29583
202001,4호선,길음,12710,12303,12710,12303
202001,4호선,남태령,933,686,933,686
202001,4호선,노원,15336,16749,15336,16749
202001,4호선,당고개,8785,8233,8785,8233
202001,4호선,동대문,10544,10773,10544,10773
202001,4호선,동대문역사문화공원,14594,13285,14594,13285
202001,4호선,동작,1447,1554,1447,1554
202001,4호선,명동,28472,31111,28472,31111
202001,4호선,미아,9877,9241,9877,9241
202001,4호선,미아사거리,19755,18792,19755,18792
202001,4호선,사당,18298,17166,18298,17166
202001,4호선,삼각지,2586,3177,2586,3177
202001,4호선,상계,12027,11146,12027,11146
202001,4호선,서울역,6567,15715,6567,15715
202001,4호선,성신여대입구,15162,14275,15162,14275
202001,4호선,수유,23673,22734,23673,22734
202001,4호선,숙대입구,9860,9294,9860,9294
202001,4호선,신용산,8333,8528,8333,8528
202001,4호선,쌍문,19943,17532,19943,17532
202001,4호선,이촌,7493,8084,7493,8084
202001,4호선,창동,18530,19591,18530,19591
202001,4호선,총신대입구,12795,13975,12795,13975
202001,4호선,충무로,12119,11865,12119,11865
202001,4호선,한성대입구,9074,9074,9074,9074
202001,4호선,혜화,31384,32505,31384,32505
202001,4호선,회현,13768,14329,13768,14329
202001,4호선,길음,18581,17405,18581,17405
202001,4호선,남태령,1437,804,1437,804
202001,4호선,노원,20764,23571,20764,23571
202001,4호선,당고개,11981,10957,11981,10957
202001,4호선,동대문,21998,21125,21998,21125
202001,4호선,동대문역사문화공원,19564,16684,19564,16684
202001,4호선,동작,2080,2149,2080,2149
202001,4호선,명동,35367,40310,35367,40310
202001,4호선,미아,13832,12655,13832,12655
202001,4호선,미아사거리,28068,27426,28068,27426
202001,4호선,사당,29887,26716,29887,26716
202001,4호선,삼각지,3444,4693,3444,4693
202001,4호선,상계,17332,15503,17332,15503
202001,4호선,서울역,9654,23514,9654,23514
202001,4호선,성신여대입구,21497,20376,21497,20376
202001,4호선,수유,33008,32627,33008,32627
202001,4호선,숙대입구,12128,11442,12128,11442
202001,4호선,신용산,12565,13244,12565,13244
202001,4호선,쌍문,27411,24193,27411,24193
202001,4호선,이촌,9744,10181,9744,10181
202001,4호선,창동,25295,26697,25295,26697
202001,4호선,총신대입구,19227,20711,19227,20711
202001,4호선,충무로,20063,21130,20063,21130
202001,4호선,한성대입구,13331,12670,13331,12670
202001,4호선,혜화,46943,49012,46943,49012
202001,4호선,회현,29587,30962,29587,30962
202001,4호선,길음,12922,12649,12922,12649
202001,4호선,남태령,909,715,909,715
202001,4호선,노원,15495,16642,15495,16642
202001,4호선,당고개,9053,8793,9053,8793
202001,4호선,동대문,11756,12059,11756,12059
202001,4호선,동대문역사문화공원,16544,15412,16544,15412
202001,4호선,동작,1380,1621,1380,1621
202001,4호선,명동,31735,33853,31735,33853
202001,4호선,미아,10270,9309,10270,9309
202001,4호선,미아사거리,20214,19425,20214,19425
202001,4호선,사당,19969,18404,19969,18404
202001,4호선,삼각지,2598,3430,2598,3430
202001,4호선,상계,12490,11599,12490,11599
202001,4호선,서울역,7011,17558,7011,17558
202001,4호선,성신여대입구,16038,15183,16038,15183
202001,4호선,수유,24636,23801,24636,23801
202001,4호선,숙대입구,10140,9625,10140,9625
202001,4호선,신용산,9005,9334,9005,9334
202001,4호선,쌍문,20275,18032,20275,18032
202001,4호선,이촌,7916,8469,7916,8469
202001,4호선,창동,18817,19718,18817,19718
202001,4호선,총신대입구,13248,14319,13248,14319
202001,4호선,충무로,13420,12958,13420,12958
202001,4호선,한성대입구,10034,9939,10034,9939
202001,4호선,혜화,34106,34937,34106,34937
202001,4호선,회현,14333,14558,14333,14558
202001,4호선,길음,18433,17444,18433,17444
202001,4호선,남태령,1396,870,1396,870
202001,4호선,노원,20524,23523,20524,23523
202001,4호선,당고개,12005,11034,12005,11034
202001,4호선,동대문,22397,21224,22397,21224
202001,4호선,동대문역사문화공원,19932,16787,19932,16787
202001,4호선,동작,2077,2156,2077,2156
202001,4호선,명동,35140,39482,35140,39482
202001,4호선,미아,13648,12798,13648,12798
202001,4호선,미아사거리,27823,26757,27823,26757
202001,4호선,사당,28774,25829,28774,25829
202001,4호선,삼각지,3547,4686,3547,4686
202001,4호선,상계,17222,15662,17222,15662
202001,4호선,서울역,9200,22453,9200,22453
202001,4호선,성신여대입구,21419,20058,21419,20058
202001,4호선,수유,32574,32322,32574,32322
202001,4호선,숙대입구,11842,11560,11842,11560
202001,4호선,신용산,12143,12940,12143,12940
202001,4호선,쌍문,27295,23578,27295,23578
202001,4호선,이촌,10014,10611,10014,10611
202001,4호선,창동,25714,27164,25714,27164
202001,4호선,총신대입구,19436,20940,19436,20940
202001,4호선,충무로,19728,20389,19728,20389
202001,4호선,한성대입구,12757,12321,12757,12321
202001,4호선,혜화,45247,47452,45247,47452
202001,4호선,회현,28456,30020,28456,30020
202001,4호선,길음,13001,12478,13001,12478
202001,4호선,남태령,892,623,892,623
202001,4호선,노원,15451,16756,15451,16756
202001,4호선,당고개,8878,8608,8878,8608
202001,4호선,동대문,10512,10992,10512,10992
202001,4호선,동대문역사문화공원,15268,13502,15268,13502
202001,4호선,동작,1358,1560,1358,1560
202001,4호선,명동,29043,31026,29043,31026
202001,4호선,미아,10582,9885,10582,9885
202001,4호선,미아사거리,20276,18943,20276,18943
202001,4호선,사당,19293,18036,19293,18036
202001,4호선,삼각지,2640,3300,2640,3300
202001,4호선,상계,12214,11292,12214,11292
202001,4호선,서울역,6829,17376,6829,17376
202001,4호선,성신여대입구,15602,14707,15602,14707
202001,4호선,수유,24392,23016,24392,23016
202001,4호선,숙대입구,10216,9464,10216,9464
202001,4호선,신용산,8826,9489,8826,9489
202001,4호선,쌍문,20094,17873,20094,17873
202001,4호선,이촌,8340,8699,8340,8699
202001,4호선,창동,19230,20454,19230,20454
202001,4호선,총신대입구,13073,14326,13073,14326
