사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,9호선2~3단계,둔촌오륜,550,550,550,550
202001,9호선2~3단계,봉은사,15832,16120,15832,16120
202001,9호선2~3단계,삼성중앙,3344,3271,3344,3271
202001,9호선2~3단계,삼전,5014,4663,5014,4663
202001,9호선2~3단계,석촌,6213,4958,6213,4958
202001,9호선2~3단계,석촌고분,4308,4017,4308,4017
202001,9호선2~3단계,선정릉,5175,5652,5175,5652
202001,9호선2~3단계,송파나루,3819,3909,3819,3909
202001,9호선2~3단계,언주,6213,5962,6213,5962
202001,9호선2~3단계,올림픽공원,8389,8303,8389,8303
202001,9호선2~3단계,종합운동장,3764,3147,3764,3147
202001,9호선2~3단계,중앙보훈병원,5127,4727,5127,4727
202001,9호선2~3단계,한성백제,2109,1850,2109,1850
202001,9호선2~3단계,둔촌오륜,690,717,690,717
202001,9호선2~3단계,봉은사,11479,11150,11479,11150
202001,9호선2~3단계,삼성중앙,2095,2202,2095,2202
202001,9호선2~3단계,삼전,3508,3553,3508,3553
202001,9호선2~3단계,석촌,4475,3669,4475,3669
202001,9호선2~3단계,석촌고분,3092,3143,3092,3143
202001,9호선2~3단계,선정릉,3195,3513,3195,3513
202001,9호선2~3단계,송파나루,2766,2888,2766,2888
202001,9호선2~3단계,언주,3856,3696,3856,3696
202001,9호선2~3단계,올림픽공원,5901,6015,5901,6015
202001,9호선2~3단계,종합운동장,2850,2499,2850,2499
202001,9호선2~3단계,중앙보훈병원,3915,3828,3915,3828
202001,9호선2~3단계,한성백제,1715,1560,1715,1560
202001,9호선2~3단계,둔촌오륜,634,619,634,619
202001,9호선2~3단계,봉은사,15744,15882,15744,15882
202001,9호선2~3단계,삼성중앙,3670,3850,3670,3850
202001,9호선2~3단계,삼전,5296,4896,5296,4896
202001,9호선2~3단계,석촌,6591,5243,6591,5243
202001,9호선2~3단계,석촌고분,4515,4192,4515,4192
202001,9호선2~3단계,선정릉,5879,6408,5879,6408
202001,9호선2~3단계,송파나루,3981,4190,3981,4190
