사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,경강선,경기광주,5762,5289,5762,5289
202001,경강선,곤지암,2048,1730,2048,1730
202001,경강선,부발,1929,1588,1929,1588
202001,경강선,삼동,1584,1378,1584,1378
202001,경강선,세종대왕릉,342,321,342,321
202001,경강선,신둔도예촌,1141,1074,1141,1074
202001,경강선,여주,2048,2090,2048,2090
202001,경강선,이매,894,669,894,669
202001,경강선,이천,2787,2830,2787,2830
202001,경강선,초월,2287,2012,2287,2012
202001,경강선,판교,2936,2931,2936,2931
202001,경강선,경기광주,4122,4099,4122,4099
202001,경강선,곤지암,1512,1536,1512,1536
202001,경강선,부발,1264,1743,1264,1743
202001,경강선,삼동,1127,1079,1127,1079
202001,경강선,세종대왕릉,254,254,254,254
202001,경강선,신둔도예촌,834,900,834,900
202001,경강선,여주,1881,1680,1881,1680
202001,경강선,이매,980,640,980,640
202001,경강선,이천,2125,2306,2125,2306
202001,경강선,초월,1613,1594,1613,1594
202001,경강선,판교,2401,2254,2401,2254
202001,경강선,경기광주,6111,5671,6111,5671
202001,경강선,곤지암,1946,1825,1946,1825
202001,경강선,부발,2070,1707,2070,1707
202001,경강선,삼동,1706,1440,1706,1440
202001,경강선,세종대왕릉,335,328,335,328
202001,경강선,신둔도예촌,1237,1133,1237,1133
202001,경강선,여주,2317,2284,2317,2284
202001,경강선,이매,937,699,937,699
202001,경강선,이천,3106,3177,3106,3177
202001,경강선,초월,2420,2145,2420,2145
202001,경강선,판교,3061,2948,3061,2948
202001,경강선,경기광주,4283,4351,4283,4351
202001,경강선,곤지암,1570,1529,1570,1529
202001,경강선,부발,1329,1901,1329,1901
202001,경강선,삼동,1129,1088,1129,1088
202001,경강선,세종대왕릉,257,265,257,265
202001,경강선,신둔도예촌,913,912,913,912
202001,경강선,여주,1988,1830,1988,1830
202001,경강선,이매,908,617,908,617
202001,경강선,이천,2248,2641,2248,2641
202001,경강선,초월,1757,1723,1757,1723
202001,경강선,판교,2444,2358,2444,2358
202001,경강선,경기광주,6116,5522,6116,5522
202001,경강선,곤지암,2032,1819,2032,1819
202001,경강선,부발,1998,1611,1998,1611
202001,경강선,삼동,1668,1392,1668,1392
202001,경강선,세종대왕릉,329,322,329,322
202001,경강선,신둔도예촌,1230,1087,1230,1087
202001,경강선,여주,2405,2331,2405,2331
202001,경강선,이매,844,667,844,667
202001,경강선,이천,3044,3042,3044,3042
202001,경강선,초월,2314,2044,2314,2044
202001,경강선,판교,3022,3049,3022,3049
202001,경강선,경기광주,4246,4267,4246,4267
202001,경강선,곤지암,1559,1607,1559,1607
202001,경강선,부발,1236,1915,1236,1915
202001,경강선,삼동,1175,1102,1175,1102
202001,경강선,세종대왕릉,245,264,245,264
202001,경강선,신둔도예촌,814,844,814,844
202001,경강선,여주,1804,1666,1804,1666
202001,경강선,이매,885,613,885,613
202001,경강선,이천,2175,2383,2175,2383
202001,경강선,초월,1634,1655,1634,1655
202001,경강선,판교,2380,2377,2380,2377
202001,경강선,경기광주,3405,3325,3405,3325
202001,경강선,곤지암,1874,1592,1874,1592
202001,경강선,부발,1236,1003,1236,1003
202001,경강선,삼동,718,598,718,598
202001,경강선,세종대왕릉,451,342,451,342
202001,경강선,신둔도예촌,795,685,795,685
