사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,경부선,가산디지털단지,6932,9446,6932,9446
202001,경부선,관악,7026,6600,7026,6600
202001,경부선,광명,2865,2192,2865,2192
202001,경부선,구로,15632,16373,15632,16373
202001,경부선,군포,5018,4512,5018,4512
202001,경부선,금정,21452,22032,21452,22032
202001,경부선,금천구청,9738,9448,9738,9448
202001,경부선,남영,7395,7314,7395,7314
202001,경부선,노량진,12218,10668,12218,10668
202001,경부선,당정,5083,4643,5083,4643
202001,경부선,대방,10649,10445,10649,10445
202001,경부선,독산,10167,9823,10167,9823
202001,경부선,두정,5456,5531,5456,5531
202001,경부선,명학,6430,6108,6430,6108
202001,경부선,병점,14087,13452,14087,13452
202001,경부선,서동탄,1466,1459,1466,1459
202001,경부선,서울역,8218,1538,8218,1538
202001,경부선,서정리,6194,5180,6194,5180
202001,경부선,석수,8813,7951,8813,7951
202001,경부선,성균관대,12514,12254,12514,12254
202001,경부선,성환,3545,3220,3545,3220
202001,경부선,세류,3488,3343,3488,3343
202001,경부선,세마,2730,2264,2730,2264
202001,경부선,송탄,5044,4638,5044,4638
202001,경부선,수원,46080,49620,46080,49620
202001,경부선,신길,7409,5944,7409,5944
202001,경부선,신도림,3296,3756,3296,3756
202001,경부선,안양,22657,23195,22657,23195
202001,경부선,영등포,54846,58246,54846,58246
202001,경부선,오산,10297,9705,10297,9705
202001,경부선,오산대,2729,2386,2729,2386
202001,경부선,용산,42929,43628,42929,43628
202001,경부선,의왕,7036,6744,7036,6744
202001,경부선,지제,2605,2207,2605,2207
202001,경부선,직산,794,720,794,720
202001,경부선,진위,1203,986,1203,986
202001,경부선,천안,7489,7160,7489,7160
202001,경부선,평택,14851,14173,14851,14173
202001,경부선,화서,6389,6282,6389,6282
202001,경부선,가산디지털단지,5490,7663,5490,7663
202001,경부선,관악,5994,5479,5994,5479
202001,경부선,광명,2556,1633,2556,1633
202001,경부선,구로,11645,11520,11645,11520
202001,경부선,군포,3857,3363,3857,3363
202001,경부선,금정,16148,16885,16148,16885
202001,경부선,금천구청,7373,6979,7373,6979
202001,경부선,남영,5633,5900,5633,5900
202001,경부선,노량진,8623,7612,8623,7612
202001,경부선,당정,3606,3596,3606,3596
202001,경부선,대방,8175,8638,8175,8638
202001,경부선,독산,6823,6947,6823,6947
202001,경부선,두정,4406,4896,4406,4896
202001,경부선,명학,4211,4032,4211,4032
202001,경부선,병점,10537,11840,10537,11840
202001,경부선,서동탄,1084,1099,1084,1099
202001,경부선,서울역,7353,1255,7353,1255
202001,경부선,서정리,3977,5460,3977,5460
202001,경부선,석수,6454,5986,6454,5986
202001,경부선,성균관대,9330,9835,9330,9835
202001,경부선,성환,2760,3301,2760,3301
202001,경부선,세류,2700,2761,2700,2761
202001,경부선,세마,1944,1818,1944,1818
202001,경부선,송탄,3939,4341,3939,4341
202001,경부선,수원,39438,39506,39438,39506
202001,경부선,신길,5611,4907,5611,4907
202001,경부선,신도림,2462,2530,2462,2530
202001,경부선,안양,16843,16892,16843,16892
202001,경부선,영등포,44464,43378,44464,43378
202001,경부선,오산,8578,9176,8578,9176
202001,경부선,오산대,2104,1989,2104,1989
202001,경부선,용산,36380,34012,36380,34012
202001,경부선,의왕,4868,4888,4868,4888
202001,경부선,지제,2049,1945,2049,1945
202001,경부선,직산,650,748,650,748
202001,경부선,진위,869,824,869,824
202001,경부선,천안,6529,6361,6529,6361
202001,경부선,평택,12586,13398,12586,13398
202001,경부선,화서,4784,4548,4784,4548
202001,경부선,가산디지털단지,7421,10119,7421,10119
202001,경부선,관악,7369,6870,7369,6870
202001,경부선,광명,3141,2374,3141,2374
202001,경부선,구로,16579,17255,16579,17255
202001,경부선,군포,5516,4744,5516,4744
202001,경부선,금정,23338,23608,23338,23608
202001,경부선,금천구청,10393,10135,10393,10135
202001,경부선,남영,7726,7659,7726,7659
202001,경부선,노량진,13099,11447,13099,11447
202001,경부선,당정,5157,4848,5157,4848
202001,경부선,대방,12180,12076,12180,12076
202001,경부선,독산,10721,10589,10721,10589
202001,경부선,두정,5684,5869,5684,5869
202001,경부선,명학,6813,6366,6813,6366
202001,경부선,병점,15308,14506,15308,14506
202001,경부선,서동탄,1556,1557,1556,1557
202001,경부선,서울역,9112,1717,9112,1717
202001,경부선,서정리,6666,5492,6666,5492
202001,경부선,석수,9342,8310,9342,8310
202001,경부선,성균관대,13442,13029,13442,13029
202001,경부선,성환,3913,3470,3913,3470
