사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,경원선,가능,6030,5698,6030,5698
202001,경원선,광운대,7268,7070,7268,7070
202001,경원선,녹양,4214,3883,4214,3883
202001,경원선,녹천,3830,3077,3830,3077
202001,경원선,덕계,2062,1782,2062,1782
202001,경원선,덕정,5597,4898,5597,4898
202001,경원선,도봉,4893,4595,4893,4595
202001,경원선,도봉산,8934,5854,8934,5854
202001,경원선,동두천,1884,2217,1884,2217
202001,경원선,동두천중앙,3327,3242,3327,3242
202001,경원선,망월사,6250,6504,6250,6504
202001,경원선,방학,8247,8063,8247,8063
202001,경원선,보산,1741,1619,1741,1619
202001,경원선,서빙고,1433,1376,1433,1376
202001,경원선,석계,8592,9320,8592,9320
202001,경원선,소요산,4548,3328,4548,3328
202001,경원선,신이문,7227,6533,7227,6533
202001,경원선,양주,7638,6880,7638,6880
202001,경원선,옥수,34,33,34,33
202001,경원선,왕십리,14906,16943,14906,16943
202001,경원선,외대앞,8104,7680,8104,7680
202001,경원선,월계,5152,4644,5152,4644
202001,경원선,응봉,1512,1297,1512,1297
202001,경원선,의정부,21815,23764,21815,23764
202001,경원선,이촌,3490,2510,3490,2510
202001,경원선,지행,6714,6402,6714,6402
202001,경원선,창동,1,0,1,0
202001,경원선,청량리,18550,19272,18550,19272
202001,경원선,한남,3384,3289,3384,3289
202001,경원선,회룡,11219,11043,11219,11043
202001,경원선,가능,4622,4380,4622,4380
202001,경원선,광운대,5203,5369,5203,5369
202001,경원선,녹양,3313,3098,3313,3098
202001,경원선,녹천,3027,2566,3027,2566
202001,경원선,덕계,1614,1407,1614,1407
202001,경원선,덕정,3964,4360,3964,4360
202001,경원선,도봉,3856,3675,3856,3675
202001,경원선,도봉산,8656,5876,8656,5876
202001,경원선,동두천,1426,2059,1426,2059
202001,경원선,동두천중앙,2757,2735,2757,2735
202001,경원선,망월사,5225,5310,5225,5310
202001,경원선,방학,6921,6645,6921,6645
202001,경원선,보산,1337,1666,1337,1666
202001,경원선,서빙고,2197,2355,2197,2355
202001,경원선,석계,6352,7011,6352,7011
202001,경원선,소요산,4139,3813,4139,3813
202001,경원선,신이문,5555,5144,5555,5144
202001,경원선,양주,5827,5627,5827,5627
202001,경원선,옥수,61,38,61,38
202001,경원선,왕십리,10792,12079,10792,12079
202001,경원선,외대앞,5834,5716,5834,5716
202001,경원선,월계,4084,3730,4084,3730
202001,경원선,응봉,1126,1035,1126,1035
202001,경원선,의정부,17571,17110,17571,17110
202001,경원선,이촌,3360,2533,3360,2533
202001,경원선,지행,5082,5426,5082,5426
202001,경원선,창동,1,0,1,0
202001,경원선,청량리,15666,14497,15666,14497
202001,경원선,한남,2300,2244,2300,2244
202001,경원선,회룡,8368,8325,8368,8325
202001,경원선,가능,6177,5760,6177,5760
202001,경원선,광운대,7469,7197,7469,7197
202001,경원선,녹양,4469,4260,4469,4260
202001,경원선,녹천,4126,3329,4126,3329
202001,경원선,덕계,2134,1842,2134,1842
202001,경원선,덕정,5988,5220,5988,5220
202001,경원선,도봉,5121,4873,5121,4873
202001,경원선,도봉산,8753,5754,8753,5754
202001,경원선,동두천,2078,2424,2078,2424
202001,경원선,동두천중앙,3383,3275,3383,3275
202001,경원선,망월사,7375,7333,7375,7333
202001,경원선,방학,8781,8482,8781,8482
202001,경원선,보산,1874,1695,1874,1695
202001,경원선,서빙고,1402,1363,1402,1363
202001,경원선,석계,9146,10000,9146,10000
202001,경원선,소요산,5010,3533,5010,3533
202001,경원선,신이문,7791,7074,7791,7074
202001,경원선,양주,8246,7129,8246,7129
202001,경원선,옥수,46,31,46,31
202001,경원선,왕십리,15502,17913,15502,17913
202001,경원선,외대앞,9451,8628,9451,8628
202001,경원선,월계,5417,4790,5417,4790
202001,경원선,응봉,1584,1369,1584,1369
202001,경원선,의정부,23503,25595,23503,25595
