사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,경의선,가좌,4368,4092,4368,4092
202001,경의선,강매,2075,1852,2075,1852
202001,경의선,곡산,404,396,404,396
202001,경의선,공덕,3488,2419,3488,2419
202001,경의선,금릉,4101,3947,4101,3947
202001,경의선,금촌,6591,5935,6591,5935
202001,경의선,능곡,2793,2726,2793,2726
202001,경의선,디지털미디어시티,1975,1825,1975,1825
202001,경의선,문산,6358,5825,6358,5825
202001,경의선,백마,4901,4594,4901,4594
202001,경의선,서강대,1975,1926,1975,1926
202001,경의선,서울역,1768,1893,1768,1893
202001,경의선,수색,1559,1542,1559,1542
202001,경의선,신촌,500,536,500,536
202001,경의선,야당,4779,4512,4779,4512
202001,경의선,운정,5061,4584,5061,4584
202001,경의선,월롱,1366,1177,1366,1177
202001,경의선,일산,6790,6416,6790,6416
202001,경의선,탄현,6097,5734,6097,5734
202001,경의선,파주,1156,759,1156,759
202001,경의선,풍산,4501,4148,4501,4148
202001,경의선,행신,6113,5954,6113,5954
202001,경의선,홍대입구,2517,3111,2517,3111
202001,경의선,화전,1510,1150,1510,1150
202001,경의선,효창공원앞,1899,2019,1899,2019
202001,경의선,가좌,3220,3102,3220,3102
202001,경의선,강매,1507,1373,1507,1373
202001,경의선,곡산,339,317,339,317
202001,경의선,공덕,1844,1557,1844,1557
202001,경의선,금릉,2992,3005,2992,3005
202001,경의선,금촌,4766,5328,4766,5328
202001,경의선,능곡,2349,2175,2349,2175
202001,경의선,디지털미디어시티,1436,1428,1436,1428
202001,경의선,문산,3927,4653,3927,4653
202001,경의선,백마,3630,3573,3630,3573
202001,경의선,서강대,1511,1411,1511,1411
202001,경의선,서울역,1383,1269,1383,1269
202001,경의선,수색,912,1022,912,1022
202001,경의선,신촌,322,354,322,354
202001,경의선,야당,3536,3393,3536,3393
202001,경의선,운정,3582,3443,3582,3443
202001,경의선,월롱,794,1475,794,1475
202001,경의선,일산,4767,4510,4767,4510
202001,경의선,탄현,4590,4293,4590,4293
202001,경의선,파주,791,675,791,675
202001,경의선,풍산,3534,3332,3534,3332
202001,경의선,행신,4672,4468,4672,4468
202001,경의선,홍대입구,1972,2370,1972,2370
202001,경의선,화전,1027,1184,1027,1184
202001,경의선,효창공원앞,1402,1566,1402,1566
202001,경의선,가좌,4651,4432,4651,4432
202001,경의선,강매,2177,1959,2177,1959
202001,경의선,곡산,403,420,403,420
202001,경의선,공덕,3678,2497,3678,2497
202001,경의선,금릉,4214,4044,4214,4044
202001,경의선,금촌,7749,6999,7749,6999
202001,경의선,능곡,3042,3004,3042,3004
202001,경의선,디지털미디어시티,2187,2035,2187,2035
202001,경의선,문산,6611,5641,6611,5641
202001,경의선,백마,5214,4825,5214,4825
202001,경의선,서강대,2405,2348,2405,2348
202001,경의선,서울역,1923,2198,1923,2198
202001,경의선,수색,1413,1400,1413,1400
202001,경의선,신촌,547,592,547,592
202001,경의선,야당,4927,4692,4927,4692
202001,경의선,운정,5482,4844,5482,4844
202001,경의선,월롱,1473,1263,1473,1263
202001,경의선,일산,7253,6889,7253,6889
202001,경의선,탄현,6413,6007,6413,6007
202001,경의선,파주,1264,850,1264,850
202001,경의선,풍산,4772,4634,4772,4634
202001,경의선,행신,6398,6050,6398,6050
202001,경의선,홍대입구,2475,3310,2475,3310
202001,경의선,화전,1645,1379,1645,1379
202001,경의선,효창공원앞,1994,2108,1994,2108
202001,경의선,가좌,3291,3104,3291,3104
202001,경의선,강매,1571,1502,1571,1502
202001,경의선,곡산,312,288,312,288
202001,경의선,공덕,2128,1687,2128,1687
202001,경의선,금릉,3064,3101,3064,3101
202001,경의선,금촌,5060,5815,5060,5815
202001,경의선,능곡,2417,2333,2417,2333
202001,경의선,디지털미디어시티,1666,1476,1666,1476
202001,경의선,문산,4158,5004,4158,5004
202001,경의선,백마,3829,3697,3829,3697
202001,경의선,서강대,1549,1437,1549,1437
202001,경의선,서울역,1421,1326,1421,1326
202001,경의선,수색,897,921,897,921
202001,경의선,신촌,442,405,442,405
202001,경의선,야당,3442,3462,3442,3462
202001,경의선,운정,3663,3732,3663,3732
