사용일자,호선명,지하철역,승차총승객수,하차총승객수
202001,경의중앙선,가좌,28801,27830
202001,경의중앙선,강매,13478,12397
202001,경의중앙선,검암,2,0
202001,경의중앙선,곡산,2680,2605
202001,경의중앙선,공덕,19840,15081
202001,경의중앙선,구리,77064,80141
202001,경의중앙선,국수,5156,5027
202001,경의중앙선,금릉,26888,26242
202001,경의중앙선,금촌,45889,46256
202001,경의중앙선,능곡,19807,19168
202001,경의중앙선,덕소,36257,35288
202001,경의중앙선,도농,50869,47133
202001,경의중앙선,도심,13025,11674
202001,경의중앙선,디지털미디어시티,13589,12452
202001,경의중앙선,망우,48418,48097
202001,경의중앙선,문산,41062,40432
202001,경의중앙선,백마,32119,30498
202001,경의중앙선,상봉,38339,37169
202001,경의중앙선,서강대,13019,12716
202001,경의중앙선,서울역,12465,12564
202001,경의중앙선,수색,8641,8845
202001,경의중앙선,신원,1554,1222
202001,경의중앙선,신촌,3293,3455
202001,경의중앙선,아신,4286,4064
202001,경의중앙선,야당,30835,29567
202001,경의중앙선,양수,13978,13631
202001,경의중앙선,양원,8187,8342
202001,경의중앙선,양정,4417,3643
202001,경의중앙선,양평,22606,22420
202001,경의중앙선,오빈,1989,2022
202001,경의중앙선,용문,19383,17926
202001,경의중앙선,운길산,6056,5753
202001,경의중앙선,운정,32535,30402
202001,경의중앙선,원덕,3128,2686
202001,경의중앙선,월롱,8117,9937
202001,경의중앙선,일산,45840,44268
202001,경의중앙선,중랑,32219,31252
202001,경의중앙선,지평,313,341
202001,경의중앙선,탄현,40293,38300
202001,경의중앙선,파주,7932,5830
202001,경의중앙선,팔당,8170,8206
202001,경의중앙선,풍산,30402,28520
202001,경의중앙선,행신,40930,39098
202001,경의중앙선,홍대입구,15897,20311
202001,경의중앙선,화전,9357,8959
202001,경의중앙선,회기,156441,153467
202001,경의중앙선,효창공원앞,12114,13331
202002,경의중앙선,가좌,25666,24935
202002,경의중앙선,강매,12480,11217
202002,경의중앙선,계양,1,0
202002,경의중앙선,곡산,2507,2445
202002,경의중앙선,공덕,18535,13737
202002,경의중앙선,구리,69124,72181
202002,경의중앙선,국수,4232,4340
202002,경의중앙선,금릉,24200,23783
202002,경의중앙선,금촌,39258,39592
202002,경의중앙선,능곡,18458,18212
202002,경의중앙선,덕소,32013,31519
202002,경의중앙선,도농,45271,42682
202002,경의중앙선,도심,11737,10680
202002,경의중앙선,디지털미디어시티,12196,11614
202002,경의중앙선,망우,44478,43799
202002,경의중앙선,문산,33261,32401
202002,경의중앙선,백마,29857,27918
202002,경의중앙선,상봉,35538,34047
202002,경의중앙선,서강대,12115,12113
202002,경의중앙선,서울역,8768,9195
202002,경의중앙선,수색,7733,8062
202002,경의중앙선,신원,1433,1225
202002,경의중앙선,신촌,2799,2850
202002,경의중앙선,아신,3583,3453
202002,경의중앙선,야당,29228,28025
202002,경의중앙선,양수,11711,11647
202002,경의중앙선,양원,7278,7714
202002,경의중앙선,양정,4077,3580
202002,경의중앙선,양평,17238,17806
202002,경의중앙선,오빈,1662,1718
202002,경의중앙선,용문,13626,13756
202002,경의중앙선,운길산,6338,5787
202002,경의중앙선,운정,29152,27507
202002,경의중앙선,원덕,2223,2139
202002,경의중앙선,월롱,7904,9754
202002,경의중앙선,일산,40789,39180
202002,경의중앙선,중랑,31563,30381
202002,경의중앙선,지평,267,254
202002,경의중앙선,탄현,37098,35371
202002,경의중앙선,파주,6462,4900
202002,경의중앙선,팔당,7886,8076
202002,경의중앙선,풍산,27520,26165
202002,경의중앙선,행신,36743,35153
202002,경의중앙선,홍대입구,13755,16213
202002,경의중앙선,화전,7397,6871
202002,경의중앙선,회기,149661,145333
202002,경의중앙선,효창공원앞,12163,13099
202003,경의중앙선,가좌,18180,17462
202003,경의중앙선,강매,9296,8423
202003,경의중앙선,계양,1,0
202003,경의중앙선,곡산,2023,2048
202003,경의중앙선,공덕,10757,8943
202003,경의중앙선,구리,54579,57028
202003,경의중앙선,국수,4030,4071
202003,경의중앙선,금릉,17554,17300
202003,경의중앙선,금촌,27169,27303
202003,경의중앙선,김포공항,1,0
202003,경의중앙선,능곡,14357,13891
202003,경의중앙선,덕소,24870,25000
202003,경의중앙선,도농,32746,30830
202003,경의중앙선,도심,9459,8781
202003,경의중앙선,디지털미디어시티,8482,7765
202003,경의중앙선,망우,31516,30994
202003,경의중앙선,문산,22625,22623
202003,경의중앙선,백마,21413,20189
202003,경의중앙선,상봉,27495,26397
202003,경의중앙선,서강대,7949,7850
202003,경의중앙선,서울역,5190,5312
202003,경의중앙선,수색,5481,5603
202003,경의중앙선,신원,2185,1577
202003,경의중앙선,신촌,1624,1728
202003,경의중앙선,아신,3409,3148
202003,경의중앙선,야당,22506,21370
