사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,경인선,간석,5431,4986,5431,4986
202001,경인선,개봉,20616,20033,20616,20033
202001,경인선,구일,14135,14656,14135,14656
202001,경인선,도원,2691,2664,2691,2664
202001,경인선,도화,3447,2960,3447,2960
202001,경인선,동암,15549,15833,15549,15833
202001,경인선,동인천,15200,14746,15200,14746
202001,경인선,백운,6916,6749,6916,6749
202001,경인선,부개,7685,7116,7685,7116
202001,경인선,부천,36913,38295,36913,38295
202001,경인선,부평,36817,41570,36817,41570
202001,경인선,소사,9892,9662,9892,9662
202001,경인선,송내,23895,23140,23895,23140
202001,경인선,역곡,24488,23769,24488,23769
202001,경인선,오류동,10784,9798,10784,9798
202001,경인선,온수,6027,5480,6027,5480
202001,경인선,인천,4682,4158,4682,4158
202001,경인선,제물포,8539,8170,8539,8170
202001,경인선,주안,19949,17805,19949,17805
202001,경인선,중동,8078,7446,8078,7446
202001,경인선,간석,3765,3664,3765,3664
202001,경인선,개봉,15447,15150,15447,15150
202001,경인선,구일,13660,15184,13660,15184
202001,경인선,도원,2325,2343,2325,2343
202001,경인선,도화,2590,2456,2590,2456
202001,경인선,동암,12106,11883,12106,11883
202001,경인선,동인천,12050,11502,12050,11502
202001,경인선,백운,5293,5204,5293,5204
202001,경인선,부개,5745,5597,5745,5597
202001,경인선,부천,29319,29113,29319,29113
202001,경인선,부평,28665,29359,28665,29359
202001,경인선,소사,7704,6982,7704,6982
202001,경인선,송내,16821,16805,16821,16805
202001,경인선,역곡,18778,18455,18778,18455
202001,경인선,오류동,9227,8486,9227,8486
202001,경인선,온수,4959,4478,4959,4478
202001,경인선,인천,4323,3516,4323,3516
202001,경인선,제물포,6324,6247,6324,6247
202001,경인선,주안,16181,14439,16181,14439
202001,경인선,중동,5673,5286,5673,5286
202001,경인선,간석,5701,5341,5701,5341
202001,경인선,개봉,22420,21427,22420,21427
202001,경인선,구일,5692,5299,5692,5299
202001,경인선,도원,3000,3048,3000,3048
202001,경인선,도화,3585,3167,3585,3167
202001,경인선,동암,16603,16856,16603,16856
202001,경인선,동인천,16107,15568,16107,15568
202001,경인선,백운,7524,7236,7524,7236
202001,경인선,부개,8180,7529,8180,7529
202001,경인선,부천,39251,40830,39251,40830
202001,경인선,부평,38357,43776,38357,43776
202001,경인선,소사,11162,10777,11162,10777
202001,경인선,송내,25847,24854,25847,24854
202001,경인선,역곡,25982,25231,25982,25231
202001,경인선,오류동,11476,10309,11476,10309
202001,경인선,온수,6260,5781,6260,5781
202001,경인선,인천,4840,4061,4840,4061
