사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,경춘선,가평,1902,1937,1902,1937
202001,경춘선,갈매,1951,1645,1951,1645
202001,경춘선,강촌,453,539,453,539
202001,경춘선,굴봉산,175,223,175,223
202001,경춘선,금곡,1139,1032,1139,1032
202001,경춘선,김유정,444,464,444,464
202001,경춘선,남춘천,3104,3133,3104,3133
202001,경춘선,대성리,690,785,690,785
202001,경춘선,마석,3200,3128,3200,3128
202001,경춘선,백양리,325,324,325,324
202001,경춘선,별내,2144,2105,2144,2105
202001,경춘선,사릉,2568,2324,2568,2324
202001,경춘선,상천,272,322,272,322
202001,경춘선,신내,1025,1150,1025,1150
202001,경춘선,천마산,1391,1316,1391,1316
202001,경춘선,청평,2046,1896,2046,1896
202001,경춘선,춘천,1944,1787,1944,1787
202001,경춘선,퇴계원,2857,2612,2857,2612
202001,경춘선,평내호평,4688,4641,4688,4641
202001,경춘선,가평,1678,1509,1678,1509
202001,경춘선,갈매,1423,1321,1423,1321
202001,경춘선,강촌,580,445,580,445
202001,경춘선,굴봉산,204,158,204,158
202001,경춘선,금곡,879,857,879,857
202001,경춘선,김유정,369,393,369,393
202001,경춘선,남춘천,2467,2795,2467,2795
202001,경춘선,대성리,735,392,735,392
202001,경춘선,마석,2548,2639,2548,2639
202001,경춘선,백양리,351,220,351,220
202001,경춘선,별내,1663,1660,1663,1660
202001,경춘선,사릉,1934,1882,1934,1882
202001,경춘선,상천,460,280,460,280
202001,경춘선,신내,871,901,871,901
202001,경춘선,천마산,1252,1172,1252,1172
202001,경춘선,청평,1798,1574,1798,1574
202001,경춘선,춘천,1813,1510,1813,1510
202001,경춘선,퇴계원,2193,2042,2193,2042
202001,경춘선,평내호평,3614,3362,3614,3362
202001,경춘선,가평,1881,2120,1881,2120
202001,경춘선,갈매,2040,1815,2040,1815
202001,경춘선,강촌,522,589,522,589
202001,경춘선,굴봉산,146,205,146,205
202001,경춘선,금곡,1217,1143,1217,1143
202001,경춘선,김유정,531,554,531,554
202001,경춘선,남춘천,3344,3500,3344,3500
202001,경춘선,대성리,713,869,713,869
202001,경춘선,마석,3410,3235,3410,3235
202001,경춘선,백양리,282,326,282,326
202001,경춘선,별내,2203,2127,2203,2127
202001,경춘선,사릉,2670,2495,2670,2495
202001,경춘선,상천,308,368,308,368
202001,경춘선,신내,1136,1093,1136,1093
202001,경춘선,천마산,1452,1372,1452,1372
202001,경춘선,청평,2009,2071,2009,2071
202001,경춘선,춘천,2292,1875,2292,1875
202001,경춘선,퇴계원,3047,2797,3047,2797
202001,경춘선,평내호평,5030,4882,5030,4882
202001,경춘선,가평,1826,1596,1826,1596
202001,경춘선,갈매,1532,1291,1532,1291
202001,경춘선,강촌,694,532,694,532
202001,경춘선,굴봉산,217,150,217,150
202001,경춘선,금곡,944,924,944,924
202001,경춘선,김유정,396,454,396,454
202001,경춘선,남춘천,3419,3646,3419,3646
202001,경춘선,대성리,841,404,841,404
202001,경춘선,마석,2542,2565,2542,2565
202001,경춘선,백양리,332,234,332,234
