사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,공항철도 1호선,검암,5966,5959,5966,5959
202001,공항철도 1호선,계양,8052,7258,8052,7258
202001,공항철도 1호선,공덕,2231,3398,2231,3398
202001,공항철도 1호선,공항화물청사,1633,1715,1633,1715
202001,공항철도 1호선,김포공항,10108,5491,10108,5491
202001,공항철도 1호선,디지털미디어시티,7122,6469,7122,6469
202001,공항철도 1호선,마곡나루,2636,2783,2636,2783
202001,공항철도 1호선,서울역,14880,12779,14880,12779
202001,공항철도 1호선,영종,2936,2867,2936,2867
202001,공항철도 1호선,운서,7259,7833,7259,7833
202001,공항철도 1호선,인천공항1터미널,16074,16738,16074,16738
202001,공항철도 1호선,인천공항2터미널,5582,5267,5582,5267
202001,공항철도 1호선,청라국제도시,4618,4416,4618,4416
202001,공항철도 1호선,홍대입구,14817,14439,14817,14439
202001,공항철도 1호선,검암,4583,4797,4583,4797
202001,공항철도 1호선,계양,5792,5588,5792,5588
202001,공항철도 1호선,공덕,1502,2001,1502,2001
202001,공항철도 1호선,공항화물청사,1228,1415,1228,1415
202001,공항철도 1호선,김포공항,9043,5190,9043,5190
202001,공항철도 1호선,디지털미디어시티,4116,4229,4116,4229
202001,공항철도 1호선,마곡나루,1781,2095,1781,2095
202001,공항철도 1호선,서울역,14277,11073,14277,11073
202001,공항철도 1호선,영종,2262,2373,2262,2373
202001,공항철도 1호선,운서,6168,6898,6168,6898
202001,공항철도 1호선,인천공항1터미널,15139,16502,15139,16502
202001,공항철도 1호선,인천공항2터미널,5757,5215,5757,5215
202001,공항철도 1호선,청라국제도시,3366,3358,3366,3358
202001,공항철도 1호선,홍대입구,11792,10504,11792,10504
202001,공항철도 1호선,검암,6527,6228,6527,6228
202001,공항철도 1호선,계양,8423,7497,8423,7497
202001,공항철도 1호선,공덕,2365,3639,2365,3639
202001,공항철도 1호선,공항화물청사,1716,1830,1716,1830
202001,공항철도 1호선,김포공항,11103,5594,11103,5594
202001,공항철도 1호선,디지털미디어시티,7359,6563,7359,6563
202001,공항철도 1호선,마곡나루,2895,3176,2895,3176
202001,공항철도 1호선,서울역,14295,13627,14295,13627
202001,공항철도 1호선,영종,3039,3165,3039,3165
