사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,과천선,경마공원,13625,13930,13625,13930
202001,과천선,과천,4537,4066,4537,4066
202001,과천선,대공원,4370,4785,4370,4785
202001,과천선,범계,25927,25300,25927,25300
202001,과천선,선바위,6389,5115,6389,5115
202001,과천선,인덕원,19392,18868,19392,18868
202001,과천선,정부과천청사,6796,6287,6796,6287
202001,과천선,평촌,11827,11549,11827,11549
202001,과천선,경마공원,17371,17778,17371,17778
202001,과천선,과천,3294,2937,3294,2937
202001,과천선,대공원,3877,4055,3877,4055
202001,과천선,범계,18413,17696,18413,17696
202001,과천선,선바위,4727,4273,4727,4273
202001,과천선,인덕원,14433,14444,14433,14444
202001,과천선,정부과천청사,9347,9274,9347,9274
202001,과천선,평촌,7743,7488,7743,7488
202001,과천선,경마공원,13178,13378,13178,13378
202001,과천선,과천,4828,4203,4828,4203
202001,과천선,대공원,4091,4405,4091,4405
202001,과천선,범계,27522,26987,27522,26987
202001,과천선,선바위,7009,5757,7009,5757
202001,과천선,인덕원,21397,20890,21397,20890
202001,과천선,정부과천청사,8790,8401,8790,8401
202001,과천선,평촌,12733,11328,12733,11328
202001,과천선,경마공원,17124,17631,17124,17631
202001,과천선,과천,3418,3066,3418,3066
202001,과천선,대공원,3702,3928,3702,3928
202001,과천선,범계,18997,18535,18997,18535
202001,과천선,선바위,4740,4344,4740,4344
202001,과천선,인덕원,14982,15164,14982,15164
202001,과천선,정부과천청사,9767,9508,9767,9508
202001,과천선,평촌,7919,7780,7919,7780
202001,과천선,경마공원,14063,14322,14063,14322
202001,과천선,과천,4824,4202,4824,4202
202001,과천선,대공원,5044,5384,5044,5384
202001,과천선,범계,27079,25996,27079,25996
202001,과천선,선바위,6994,5605,6994,5605
202001,과천선,인덕원,21035,20495,21035,20495
202001,과천선,정부과천청사,7817,7610,7817,7610
202001,과천선,평촌,11999,11596,11999,11596
202001,과천선,경마공원,18254,18781,18254,18781
202001,과천선,과천,3327,3051,3327,3051
202001,과천선,대공원,3085,3255,3085,3255
202001,과천선,범계,18391,17589,18391,17589
202001,과천선,선바위,4846,4314,4846,4314
202001,과천선,인덕원,14738,14969,14738,14969
202001,과천선,정부과천청사,9471,9442,9471,9442
202001,과천선,평촌,7912,7737,7912,7737
202001,과천선,경마공원,371,347,371,347
202001,과천선,과천,1855,1651,1855,1651
202001,과천선,대공원,3440,3359,3440,3359
202001,과천선,범계,8381,8622,8381,8622
202001,과천선,선바위,2422,2105,2422,2105
202001,과천선,인덕원,8500,8488,8500,8488
202001,과천선,정부과천청사,2063,2109,2063,2109
202001,과천선,평촌,4504,4396,4504,4396
202001,과천선,경마공원,536,501,536,501
202001,과천선,과천,2544,2147,2544,2147
202001,과천선,대공원,4374,4495,4374,4495
202001,과천선,범계,14496,14608,14496,14608
202001,과천선,선바위,3227,2891,3227,2891
202001,과천선,인덕원,10701,10501,10701,10501
202001,과천선,정부과천청사,7069,6925,7069,6925
202001,과천선,평촌,5871,6070,5871,6070
202002,과천선,경마공원,12159,12362,12159,12362
202002,과천선,과천,3607,3224,3607,3224
202002,과천선,대공원,2761,2916,2761,2916
202002,과천선,범계,21039,20529,21039,20529
202002,과천선,선바위,5273,4489,5273,4489
202002,과천선,인덕원,16458,16048,16458,16048
202002,과천선,정부과천청사,6872,6620,6872,6620
202002,과천선,평촌,9383,9239,9383,9239
202002,과천선,경마공원,15278,15676,15278,15676
202002,과천선,과천,2504,2506,2504,2506
202002,과천선,대공원,2424,2545,2424,2545
202002,과천선,범계,14527,13922,14527,13922
202002,과천선,선바위,3835,3539,3835,3539
202002,과천선,인덕원,13186,13450,13186,13450
202002,과천선,정부과천청사,8059,7701,8059,7701
202002,과천선,평촌,6272,6177,6272,6177
202002,과천선,경마공원,12189,12219,12189,12219
202002,과천선,과천,3681,3249,3681,3249
202002,과천선,대공원,2369,2405,2369,2405
202002,과천선,범계,20180,20045,20180,20045
202002,과천선,선바위,5003,4399,5003,4399
202002,과천선,인덕원,15680,15565,15680,15565
202002,과천선,정부과천청사,6113,5851,6113,5851
202002,과천선,평촌,9337,9076,9337,9076
202002,과천선,경마공원,14984,15382,14984,15382
202002,과천선,과천,2574,2384,2574,2384
202002,과천선,대공원,2212,2227,2212,2227
202002,과천선,범계,15052,14423,15052,14423
202002,과천선,선바위,3784,3484,3784,3484
202002,과천선,인덕원,11900,12041,11900,12041
202002,과천선,정부과천청사,7923,7764,7923,7764
202002,과천선,평촌,6637,6372,6637,6372
202002,과천선,경마공원,12668,13027,12668,13027
202002,과천선,과천,4082,3777,4082,3777
202002,과천선,대공원,3309,3563,3309,3563
202002,과천선,범계,23368,22928,23368,22928
202002,과천선,선바위,5722,5061,5722,5061
202002,과천선,인덕원,18127,17640,18127,17640
202002,과천선,정부과천청사,6823,6520,6823,6520
202002,과천선,평촌,10560,10319,10560,10319
202002,과천선,경마공원,15825,16048,15825,16048
202002,과천선,과천,2857,2602,2857,2602
202002,과천선,대공원,1922,1988,1922,1988
202002,과천선,범계,16240,15484,16240,15484
202002,과천선,선바위,3807,3545,3807,3545
202002,과천선,인덕원,12564,13023,12564,13023
202002,과천선,정부과천청사,8508,8345,8508,8345
202002,과천선,평촌,6904,6761,6904,6761
202002,과천선,경마공원,10546,10878,10546,10878
202002,과천선,과천,2878,2637,2878,2637
202002,과천선,대공원,1730,1821,1730,1821
202002,과천선,범계,17630,17385,17630,17385
202002,과천선,선바위,4360,3846,4360,3846
202002,과천선,인덕원,13926,13627,13926,13627
202002,과천선,정부과천청사,3792,3595,3792,3595
202002,과천선,평촌,8324,8014,8324,8014
