사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,분당선,가천대,5285,5870,5285,5870
202001,분당선,강남구청,6113,7273,6113,7273
202001,분당선,개포동,2791,2847,2791,2847
202001,분당선,구룡,1037,1020,1037,1020
202001,분당선,구성,3984,3893,3984,3893
202001,분당선,기흥,8141,7719,8141,7719
202001,분당선,대모산입구,2716,2329,2716,2329
202001,분당선,도곡,5200,4825,5200,4825
202001,분당선,망포,10754,9554,10754,9554
202001,분당선,매교,1774,1895,1774,1895
202001,분당선,매탄권선,3722,3374,3722,3374
202001,분당선,모란,26566,27577,26566,27577
202001,분당선,미금,13953,14560,13953,14560
202001,분당선,보정,2145,1830,2145,1830
202001,분당선,상갈,4881,4498,4881,4498
202001,분당선,서울숲,6653,6760,6653,6760
202001,분당선,서현,25584,25803,25584,25803
202001,분당선,선릉,6047,9958,6047,9958
202001,분당선,선정릉,4237,4333,4237,4333
202001,분당선,수내,10939,10323,10939,10323
202001,분당선,수서,12654,12548,12654,12548
202001,분당선,수원,8136,5948,8136,5948
202001,분당선,수원시청,12366,14853,12366,14853
202001,분당선,신갈,3659,3562,3659,3562
202001,분당선,압구정로데오,16232,18714,16232,18714
202001,분당선,야탑,23732,25151,23732,25151
202001,분당선,영통,8337,8130,8337,8130
202001,분당선,오리,10007,8157,10007,8157
202001,분당선,이매,5052,5114,5052,5114
202001,분당선,정자,12743,13153,12743,13153
202001,분당선,죽전,12227,13916,12227,13916
202001,분당선,청명,3312,3193,3312,3193
202001,분당선,태평,12760,12505,12760,12505
202001,분당선,한티,14882,14056,14882,14056
202001,분당선,가천대,3618,4510,3618,4510
202001,분당선,강남구청,3550,4181,3550,4181
202001,분당선,개포동,2334,2284,2334,2284
202001,분당선,구룡,739,787,739,787
202001,분당선,구성,2795,2973,2795,2973
202001,분당선,기흥,5959,5922,5959,5922
202001,분당선,대모산입구,1812,1715,1812,1715
202001,분당선,도곡,3064,3010,3064,3010
202001,분당선,망포,7183,7477,7183,7477
202001,분당선,매교,1377,1419,1377,1419
202001,분당선,매탄권선,2645,2585,2645,2585
202001,분당선,모란,13301,13624,13301,13624
202001,분당선,미금,10301,10849,10301,10849
202001,분당선,보정,1398,1307,1398,1307
202001,분당선,복정,1,0,1,0
202001,분당선,상갈,3573,3583,3573,3583
202001,분당선,서울숲,4191,4329,4191,4329
202001,분당선,서현,19026,18871,19026,18871
202001,분당선,선릉,2974,4676,2974,4676
202001,분당선,선정릉,2438,2526,2438,2526
202001,분당선,수내,7793,7437,7793,7437
202001,분당선,수서,9696,9216,9696,9216
202001,분당선,수원,5971,4204,5971,4204
202001,분당선,수원시청,8468,8405,8468,8405
202001,분당선,신갈,2514,2576,2514,2576
202001,분당선,압구정로데오,8778,9495,8778,9495
202001,분당선,야탑,18076,17952,18076,17952
202001,분당선,영통,5737,5908,5737,5908
202001,분당선,오리,7041,6116,7041,6116
202001,분당선,이매,4910,4969,4910,4969
202001,분당선,정자,8664,9184,8664,9184
202001,분당선,죽전,9541,10988,9541,10988
202001,분당선,청명,2313,2433,2313,2433
202001,분당선,태평,9529,9018,9529,9018
202001,분당선,한티,10538,9963,10538,9963
202001,분당선,가천대,5764,6307,5764,6307
202001,분당선,강남구청,6773,7956,6773,7956
202001,분당선,개포동,2871,2920,2871,2920
202001,분당선,구룡,1109,1069,1109,1069
202001,분당선,구성,4131,4059,4131,4059
202001,분당선,기흥,8642,8084,8642,8084
202001,분당선,대모산입구,2872,2563,2872,2563
202001,분당선,도곡,5440,4978,5440,4978
202001,분당선,망포,11544,10328,11544,10328
202001,분당선,매교,1893,2052,1893,2052
202001,분당선,매탄권선,3968,3598,3968,3598
202001,분당선,모란,21066,21263,21066,21263
202001,분당선,미금,14240,14996,14240,14996
202001,분당선,보정,2191,1943,2191,1943
202001,분당선,복정,1,0,1,0
202001,분당선,상갈,5018,4807,5018,4807
202001,분당선,서울숲,6655,6826,6655,6826
202001,분당선,서현,25425,25363,25425,25363
