사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,6호선,고려대,42386,40829,42386,40829
202001,6호선,공덕,73726,69881,73726,69881
202001,6호선,광흥창,41312,39124,41312,39124
202001,6호선,구산,39881,30065,39881,30065
202001,6호선,녹사평,37576,40834,37576,40834
202001,6호선,대흥,39174,40462,39174,40462
202001,6호선,독바위,15167,17842,15167,17842
202001,6호선,돌곶이,43171,40384,43171,40384
202001,6호선,동묘앞,62650,58700,62650,58700
202001,6호선,디지털미디어시티,53854,55167,53854,55167
202001,6호선,마포구청,69020,61401,69020,61401
202001,6호선,망원,85505,93527,85505,93527
202001,6호선,버티고개,11215,11509,11215,11509
202001,6호선,보문,39693,36497,39693,36497
202001,6호선,봉화산,44708,42376,44708,42376
202001,6호선,불광,31134,28527,31134,28527
202001,6호선,삼각지,38429,28302,38429,28302
202001,6호선,상수,63995,76234,63995,76234
202001,6호선,상월곡,31694,27960,31694,27960
202001,6호선,새절,69549,67094,69549,67094
202001,6호선,석계,68390,67894,68390,67894
202001,6호선,신내,1,0,1,0
202001,6호선,신당,45445,41489,45445,41489
202001,6호선,안암,50641,51851,50641,51851
202001,6호선,약수,17384,17945,17384,17945
202001,6호선,역촌,21273,23957,21273,23957
202001,6호선,연신내,4,0,4,0
202001,6호선,월곡,60401,58417,60401,58417
202001,6호선,월드컵경기장,32048,33448,32048,33448
202001,6호선,응암,94841,93125,94841,93125
202001,6호선,이태원,132755,148053,132755,148053
202001,6호선,증산,56155,54553,56155,54553
202001,6호선,창신,16282,13714,16282,13714
202001,6호선,청구,17288,18043,17288,18043
202001,6호선,태릉입구,29999,33769,29999,33769
202001,6호선,한강진,57133,66374,57133,66374
202001,6호선,합정,91748,84471,91748,84471
202001,6호선,화랑대,55687,45604,55687,45604
202001,6호선,효창공원앞,33094,29299,33094,29299
202002,6호선,고려대,40593,39236,40593,39236
202002,6호선,공덕,73356,70449,73356,70449
202002,6호선,광흥창,39619,37175,39619,37175
202002,6호선,구산,38984,29326,38984,29326
202002,6호선,녹사평,38808,41901,38808,41901
202002,6호선,대흥,38494,39074,38494,39074
202002,6호선,독바위,14739,17162,14739,17162
202002,6호선,돌곶이,43222,40674,43222,40674
202002,6호선,동묘앞,53920,51314,53920,51314
202002,6호선,디지털미디어시티,53034,54966,53034,54966
202002,6호선,마포구청,69246,60923,69246,60923
202002,6호선,망원,86501,94480,86501,94480
202002,6호선,버티고개,10910,11222,10910,11222
202002,6호선,보문,40074,36325,40074,36325
202002,6호선,봉화산,42127,39931,42127,39931
202002,6호선,불광,30214,27745,30214,27745
202002,6호선,삼각지,34532,26756,34532,26756
202002,6호선,상수,64455,76608,64455,76608
202002,6호선,상월곡,30338,26830,30338,26830
202002,6호선,새절,67505,64715,67505,64715
202002,6호선,석계,65979,65513,65979,65513
202002,6호선,신내,1,0,1,0
202002,6호선,신당,48792,45122,48792,45122
202002,6호선,안암,50556,50428,50556,50428
202002,6호선,약수,18334,18557,18334,18557
202002,6호선,역촌,20147,23048,20147,23048
202002,6호선,연신내,4,0,4,0
202002,6호선,월곡,55994,54828,55994,54828
202002,6호선,월드컵경기장,28999,30230,28999,30230
202002,6호선,응암,92920,92136,92920,92136
202002,6호선,이태원,118427,128743,118427,128743
202002,6호선,증산,55683,53745,55683,53745
202002,6호선,창신,16202,13603,16202,13603
202002,6호선,청구,17230,18461,17230,18461
202002,6호선,태릉입구,28704,31848,28704,31848
202002,6호선,한강진,53481,63654,53481,63654
202002,6호선,합정,91668,85947,91668,85947
202002,6호선,화랑대,50621,41809,50621,41809
202002,6호선,효창공원앞,33173,28909,33173,28909
202003,6호선,고려대,27691,26416,27691,26416
202003,6호선,공덕,51549,48702,51549,48702
202003,6호선,광흥창,25568,24271,25568,24271
202003,6호선,구산,28720,20289,28720,20289
202003,6호선,녹사평,30271,32368,30271,32368
202003,6호선,대흥,26869,27273,26869,27273
202003,6호선,독바위,11675,15160,11675,15160
202003,6호선,돌곶이,40365,38065,40365,38065
202003,6호선,동묘앞,40285,37947,40285,37947
202003,6호선,디지털미디어시티,38104,38828,38104,38828
202003,6호선,마포구청,50269,43835,50269,43835
202003,6호선,망원,67213,74039,67213,74039
202003,6호선,버티고개,7742,8230,7742,8230
202003,6호선,보문,29077,26685,29077,26685
202003,6호선,봉화산,29748,28311,29748,28311
202003,6호선,불광,22956,21245,22956,21245
202003,6호선,삼각지,22113,16820,22113,16820
202003,6호선,상수,42274,50672,42274,50672
202003,6호선,상월곡,22228,19745,22228,19745
202003,6호선,새절,48691,46360,48691,46360
202003,6호선,석계,48451,47824,48451,47824
202003,6호선,신당,31761,31955,31761,31955
202003,6호선,안암,35528,35963,35528,35963
202003,6호선,약수,13262,13294,13262,13294
202003,6호선,역촌,13681,16209,13681,16209
202003,6호선,연신내,1,0,1,0
202003,6호선,월곡,42174,40715,42174,40715
202003,6호선,월드컵경기장,26557,26083,26557,26083
202003,6호선,응암,69123,68919,69123,68919
202003,6호선,이태원,82068,87394,82068,87394
202003,6호선,증산,41720,41085,41720,41085
202003,6호선,창신,11562,9757,11562,9757
202003,6호선,청구,12652,13211,12652,13211
202003,6호선,태릉입구,21525,23617,21525,23617
202003,6호선,한강진,36818,45410,36818,45410
202003,6호선,합정,65365,61549,65365,61549
202003,6호선,화랑대,34564,28635,34564,28635
202003,6호선,효창공원앞,24291,21258,24291,21258
202004,6호선,고려대,28851,27511,28851,27511
202004,6호선,공덕,52583,49954,52583,49954
202004,6호선,광흥창,27205,25343,27205,25343
202004,6호선,구산,29593,21778,29593,21778
202004,6호선,녹사평,29226,31335,29226,31335
202004,6호선,대흥,27606,27911,27606,27911
202004,6호선,독바위,12120,15177,12120,15177
202004,6호선,돌곶이,38080,35639,38080,35639
202004,6호선,동묘앞,43952,41147,43952,41147
202004,6호선,디지털미디어시티,39231,39808,39231,39808
202004,6호선,마포구청,51988,44867,51988,44867
202004,6호선,망원,69887,77177,69887,77177
202004,6호선,버티고개,8087,8582,8087,8582
202004,6호선,보문,29284,26620,29284,26620
202004,6호선,봉화산,30761,29200,30761,29200
202004,6호선,불광,23980,22810,23980,22810
202004,6호선,삼각지,22222,17072,22222,17072
202004,6호선,상수,41825,51460,41825,51460
202004,6호선,상월곡,23118,20371,23118,20371
202004,6호선,새절,51242,48910,51242,48910
202004,6호선,석계,49895,49373,49895,49373
202004,6호선,신내,1,0,1,0
202004,6호선,신당,27912,27642,27912,27642
202004,6호선,안암,35688,35871,35688,35871
202004,6호선,약수,13238,13564,13238,13564
202004,6호선,역촌,14151,16559,14151,16559
202004,6호선,월곡,42859,41559,42859,41559
202004,6호선,월드컵경기장,27819,28492,27819,28492
202004,6호선,응암,71527,71286,71527,71286
202004,6호선,이태원,75763,80128,75763,80128
202004,6호선,증산,43536,42849,43536,42849
202004,6호선,창신,11958,9977,11958,9977
202004,6호선,청구,13170,13652,13170,13652
202004,6호선,태릉입구,22251,24533,22251,24533
202004,6호선,한강진,35111,44015,35111,44015
202004,6호선,합정,65531,62517,65531,62517
202004,6호선,화랑대,36084,30766,36084,30766
202004,6호선,효창공원앞,25236,22099,25236,22099
202005,6호선,고려대,40192,38244,40192,38244
202005,6호선,공덕,71794,68192,71794,68192
202005,6호선,광흥창,39976,37347,39976,37347
202005,6호선,구산,39892,29437,39892,29437
202005,6호선,녹사평,27236,27523,27236,27523
202005,6호선,대흥,37264,37752,37264,37752
202005,6호선,독바위,16300,19072,16300,19072
202005,6호선,돌곶이,51669,48655,51669,48655
202005,6호선,동묘앞,60132,56792,60132,56792
202005,6호선,디지털미디어시티,53326,54264,53326,54264
202005,6호선,마포구청,70127,61296,70127,61296
202005,6호선,망원,93579,104463,93579,104463
202005,6호선,버티고개,10946,11201,10946,11201
202005,6호선,보문,40855,37364,40855,37364
202005,6호선,봉화산,43057,40463,43057,40463
202005,6호선,불광,31843,30619,31843,30619
202005,6호선,삼각지,29010,22841,29010,22841
202005,6호선,상수,49900,61049,49900,61049
202005,6호선,상월곡,32453,28525,32453,28525
202005,6호선,새절,70528,66819,70528,66819
202005,6호선,석계,70946,69305,70946,69305
202005,6호선,신내,3,0,3,0
202005,6호선,신당,40313,39152,40313,39152
202005,6호선,안암,51592,53052,51592,53052
202005,6호선,약수,17473,18385,17473,18385
