사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,수인분당선,가천대,33629,39200,33629,39200
202001,수인분당선,강남구청,33711,40320,33711,40320
202001,수인분당선,개포동,18803,18754,18803,18754
202001,수인분당선,구룡,6274,6294,6274,6294
202001,수인분당선,구성,24854,25332,24854,25332
202001,수인분당선,기흥,52663,50430,52663,50430
202001,수인분당선,남동인더스파크,5979,5871,5979,5871
202001,수인분당선,달월,269,220,269,220
202001,수인분당선,대모산입구,16728,15370,16728,15370
202001,수인분당선,도곡,28669,27509,28669,27509
202001,수인분당선,망포,65135,62178,65135,62178
202001,수인분당선,매교,11801,12347,11801,12347
202001,수인분당선,매탄권선,23511,22203,23511,22203
202001,수인분당선,모란,137095,141657,137095,141657
202001,수인분당선,미금,86099,91221,86099,91221
202001,수인분당선,보정,12763,11435,12763,11435
202001,수인분당선,복정,5,0,5,0
202001,수인분당선,상갈,31151,30163,31151,30163
202001,수인분당선,서울숲,38129,39325,38129,39325
202001,수인분당선,서현,155466,154687,155466,154687
202001,수인분당선,선릉,30888,50497,30888,50497
202001,수인분당선,선정릉,23959,24898,23959,24898
202001,수인분당선,소래포구,32913,32554,32913,32554
202001,수인분당선,송도,15756,15108,15756,15108
202001,수인분당선,수내,63629,60892,63629,60892
202001,수인분당선,수서,84951,80618,84951,80618
202001,수인분당선,수원,54774,37158,54774,37158
202001,수인분당선,수원시청,75099,86318,75099,86318
202001,수인분당선,숭의,18239,17034,18239,17034
202001,수인분당선,신갈,22435,22421,22435,22421
202001,수인분당선,신포,10511,11063,10511,11063
202001,수인분당선,압구정로데오,86360,98429,86360,98429
202001,수인분당선,야탑,154699,158009,154699,158009
202001,수인분당선,연수,32121,32248,32121,32248
202001,수인분당선,영통,50705,50359,50705,50359
202001,수인분당선,오리,62250,52392,62250,52392
202001,수인분당선,원인재,26004,26837,26004,26837
202001,수인분당선,월곶,14450,13650,14450,13650
202001,수인분당선,이매,36227,36520,36227,36520
202001,수인분당선,인천,9287,15047,9287,15047
202001,수인분당선,인천논현,31199,32370,31199,32370
202001,수인분당선,인하대,27313,25588,27313,25588
202001,수인분당선,정자,76279,79526,76279,79526
202001,수인분당선,죽전,79056,90147,79056,90147
202001,수인분당선,청명,21050,20496,21050,20496
202001,수인분당선,태평,82490,79665,82490,79665
202001,수인분당선,한티,88473,85110,88473,85110
202001,수인분당선,호구포,18064,17970,18064,17970
202002,수인분당선,가천대,34155,39619,34155,39619
202002,수인분당선,강남구청,36178,43772,36178,43772
202002,수인분당선,개포동,18510,18394,18510,18394
202002,수인분당선,구룡,6896,6719,6896,6719
202002,수인분당선,구성,21769,22586,21769,22586
202002,수인분당선,기흥,48331,47109,48331,47109
202002,수인분당선,남동인더스파크,6673,6514,6673,6514
202002,수인분당선,달월,278,242,278,242
202002,수인분당선,대모산입구,16025,14914,16025,14914
202002,수인분당선,도곡,28285,26520,28285,26520
202002,수인분당선,망포,60717,57657,60717,57657
202002,수인분당선,매교,11090,11766,11090,11766
202002,수인분당선,매탄권선,22019,20696,22019,20696
202002,수인분당선,모란,122976,126285,122976,126285
202002,수인분당선,미금,82373,86140,82373,86140
202002,수인분당선,보정,11016,9989,11016,9989
202002,수인분당선,복정,2,0,2,0
202002,수인분당선,상갈,27449,27402,27449,27402
202002,수인분당선,서울숲,40983,42154,40983,42154
202002,수인분당선,서현,153060,153976,153060,153976
202002,수인분당선,선릉,32976,55466,32976,55466
202002,수인분당선,선정릉,25797,27273,25797,27273
202002,수인분당선,소래포구,26360,25823,26360,25823
202002,수인분당선,송도,14443,13930,14443,13930
202002,수인분당선,수내,61394,58628,61394,58628
202002,수인분당선,수서,73994,73219,73994,73219
202002,수인분당선,수원,46916,31511,46916,31511
202002,수인분당선,수원시청,70847,81083,70847,81083
202002,수인분당선,숭의,17803,16626,17803,16626
202002,수인분당선,신갈,19881,19777,19881,19777
202002,수인분당선,신포,9190,9458,9190,9458
202002,수인분당선,압구정로데오,96163,109516,96163,109516
202002,수인분당선,야탑,141452,148074,141452,148074
202002,수인분당선,연수,30302,30765,30302,30765
202002,수인분당선,영통,48577,47764,48577,47764
202002,수인분당선,오리,60143,50706,60143,50706
202002,수인분당선,원인재,25151,25629,25151,25629
202002,수인분당선,월곶,13325,12860,13325,12860
202002,수인분당선,이매,31894,31423,31894,31423
202002,수인분당선,인천,5912,8942,5912,8942
202002,수인분당선,인천논현,31331,32285,31331,32285
202002,수인분당선,인하대,24570,23505,24570,23505
202002,수인분당선,정자,75225,77940,75225,77940
202002,수인분당선,죽전,74236,84793,74236,84793
202002,수인분당선,청명,19024,18656,19024,18656
202002,수인분당선,태평,79521,76054,79521,76054
202002,수인분당선,한티,86580,82798,86580,82798
202002,수인분당선,호구포,16880,16553,16880,16553
202003,수인분당선,가천대,22400,26027,22400,26027
202003,수인분당선,강남구청,21737,26086,21737,26086
202003,수인분당선,개포동,10748,10667,10748,10667
202003,수인분당선,구룡,4381,4453,4381,4453
202003,수인분당선,구성,13738,14675,13738,14675
202003,수인분당선,기흥,31378,30330,31378,30330
202003,수인분당선,남동인더스파크,4608,4668,4608,4668
202003,수인분당선,달월,308,304,308,304
202003,수인분당선,대모산입구,10567,9826,10567,9826
202003,수인분당선,도곡,17133,16497,17133,16497
202003,수인분당선,망포,40860,39136,40860,39136
