사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,수인선,남동인더스파크,970,822,970,822
202001,수인선,달월,43,38,43,38
202001,수인선,소래포구,4893,4857,4893,4857
202001,수인선,송도,2404,2275,2404,2275
202001,수인선,숭의,2877,2659,2877,2659
202001,수인선,신포,1553,1730,1553,1730
202001,수인선,연수,4884,4917,4884,4917
202001,수인선,원인재,3887,3919,3887,3919
202001,수인선,월곶,2128,2068,2128,2068
202001,수인선,인천,1238,2167,1238,2167
202001,수인선,인천논현,5151,5183,5151,5183
202001,수인선,인하대,4111,3793,4111,3793
202001,수인선,호구포,2575,2500,2575,2500
202001,수인선,남동인더스파크,612,702,612,702
202001,수인선,달월,25,22,25,22
202001,수인선,소래포구,3808,3694,3808,3694
202001,수인선,송도,1893,1835,1893,1835
202001,수인선,숭의,2085,1964,2085,1964
202001,수인선,신포,1368,1270,1368,1270
202001,수인선,연수,4035,4039,4035,4039
202001,수인선,원인재,3078,3254,3078,3254
202001,수인선,월곶,1732,1616,1732,1616
202001,수인선,인천,1114,1792,1114,1792
202001,수인선,인천논현,3507,3721,3507,3721
202001,수인선,인하대,4278,3712,4278,3712
202001,수인선,호구포,2153,2164,2153,2164
202001,수인선,남동인더스파크,1000,897,1000,897
202001,수인선,달월,50,32,50,32
202001,수인선,소래포구,5315,5288,5315,5288
202001,수인선,송도,2477,2366,2477,2366
202001,수인선,숭의,2972,2749,2972,2749
202001,수인선,신포,1605,1822,1605,1822
202001,수인선,연수,4926,4946,4926,4946
202001,수인선,원인재,4085,3999,4085,3999
202001,수인선,월곶,2380,2174,2380,2174
202001,수인선,인천,1301,2453,1301,2453
202001,수인선,인천논현,5119,5276,5119,5276
202001,수인선,인하대,4334,4134,4334,4134
202001,수인선,호구포,2732,2717,2732,2717
202001,수인선,남동인더스파크,580,616,580,616
202001,수인선,달월,29,23,29,23
202001,수인선,소래포구,4107,4001,4107,4001
202001,수인선,송도,1757,1795,1757,1795
202001,수인선,숭의,2032,1912,2032,1912
202001,수인선,신포,1399,1347,1399,1347
202001,수인선,연수,4042,4003,4042,4003
202001,수인선,원인재,3032,3287,3032,3287
202001,수인선,월곶,1689,1608,1689,1608
202001,수인선,인천,1105,1701,1105,1701
202001,수인선,인천논현,3502,3678,3502,3678
202001,수인선,인하대,3335,3164,3335,3164
202001,수인선,호구포,2543,2477,2543,2477
202001,수인선,남동인더스파크,1066,974,1066,974
202001,수인선,달월,31,28,31,28
202001,수인선,소래포구,4917,4914,4917,4914
202001,수인선,송도,2430,2333,2430,2333
202001,수인선,숭의,2972,2766,2972,2766
202001,수인선,신포,1655,1869,1655,1869
202001,수인선,연수,4863,4920,4863,4920
202001,수인선,원인재,4090,4205,4090,4205
202001,수인선,월곶,2202,2167,2202,2167
202001,수인선,인천,1298,2249,1298,2249
202001,수인선,인천논현,5196,5322,5196,5322
202001,수인선,인하대,4243,3948,4243,3948
202001,수인선,호구포,2772,2708,2772,2708
202001,수인선,남동인더스파크,731,781,731,781
202001,수인선,달월,24,19,24,19
202001,수인선,소래포구,3420,3354,3420,3354
202001,수인선,송도,1828,1737,1828,1737
202001,수인선,숭의,1987,1913,1987,1913
202001,수인선,신포,1292,1290,1292,1290
202001,수인선,연수,3922,3844,3922,3844
202001,수인선,원인재,2987,3117,2987,3117
202001,수인선,월곶,1651,1497,1651,1497
202001,수인선,인천,1127,1631,1127,1631
202001,수인선,인천논현,3540,3674,3540,3674
202001,수인선,인하대,2924,2858,2924,2858
202001,수인선,호구포,2095,2084,2095,2084
202001,수인선,남동인더스파크,489,471,489,471
202001,수인선,달월,29,21,29,21
