사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,안산선,고잔,7053,7018,7053,7018
202001,안산선,대야미,4212,3514,4212,3514
202001,안산선,반월,4267,3690,4267,3690
202001,안산선,산본,15782,16761,15782,16761
202001,안산선,상록수,16667,15921,16667,15921
202001,안산선,수리산,3295,2712,3295,2712
202001,안산선,신길온천,1430,1315,1430,1315
202001,안산선,안산,12157,11969,12157,11969
202001,안산선,오이도,8971,8697,8971,8697
202001,안산선,정왕,6623,6667,6623,6667
202001,안산선,중앙,16613,17855,16613,17855
202001,안산선,초지,3338,3254,3338,3254
202001,안산선,한대앞,7074,6845,7074,6845
202001,안산선,고잔,5119,5108,5119,5108
202001,안산선,대야미,3266,3025,3266,3025
202001,안산선,반월,3136,3128,3136,3128
202001,안산선,산본,11521,12228,11521,12228
202001,안산선,상록수,12777,12463,12777,12463
202001,안산선,수리산,2359,2240,2359,2240
202001,안산선,신길온천,1112,1059,1112,1059
202001,안산선,안산,12256,11161,12256,11161
202001,안산선,오이도,6661,6744,6661,6744
202001,안산선,정왕,5351,5800,5351,5800
202001,안산선,중앙,12628,12620,12628,12620
202001,안산선,초지,3077,3056,3077,3056
202001,안산선,한대앞,5092,4869,5092,4869
202001,안산선,고잔,7411,7416,7411,7416
202001,안산선,대야미,4533,3753,4533,3753
202001,안산선,반월,4478,3913,4478,3913
202001,안산선,산본,16322,17408,16322,17408
202001,안산선,상록수,17871,17012,17871,17012
202001,안산선,수리산,3380,2770,3380,2770
202001,안산선,신길온천,1551,1428,1551,1428
202001,안산선,안산,12962,13125,12962,13125
202001,안산선,오이도,9473,9189,9473,9189
202001,안산선,정왕,6945,6941,6945,6941
202001,안산선,중앙,17612,19027,17612,19027
202001,안산선,초지,3654,3499,3654,3499
202001,안산선,한대앞,7435,7042,7435,7042
202001,안산선,고잔,5423,5525,5423,5525
202001,안산선,대야미,3177,2847,3177,2847
202001,안산선,반월,3291,3174,3291,3174
202001,안산선,산본,11710,12322,11710,12322
202001,안산선,상록수,12987,12676,12987,12676
202001,안산선,수리산,2427,2346,2427,2346
202001,안산선,신길온천,1127,1104,1127,1104
202001,안산선,안산,13685,12565,13685,12565
202001,안산선,오이도,6900,6887,6900,6887
202001,안산선,정왕,6219,6564,6219,6564
202001,안산선,중앙,13396,13261,13396,13261
202001,안산선,초지,2480,2391,2480,2391
202001,안산선,한대앞,5220,5226,5220,5226
202001,안산선,고잔,7169,7144,7169,7144
202001,안산선,대야미,4431,3735,4431,3735
202001,안산선,반월,4434,3871,4434,3871
202001,안산선,산본,16391,17448,16391,17448
202001,안산선,상록수,17674,16821,17674,16821
202001,안산선,수리산,3478,2984,3478,2984
202001,안산선,신길온천,1511,1299,1511,1299
202001,안산선,안산,12702,12524,12702,12524
202001,안산선,오이도,9651,9156,9651,9156
202001,안산선,정왕,6906,6933,6906,6933
202001,안산선,중앙,18261,19429,18261,19429
202001,안산선,초지,3635,3457,3635,3457
202001,안산선,한대앞,7369,7130,7369,7130
202001,안산선,고잔,4799,4804,4799,4804
202001,안산선,대야미,3200,2882,3200,2882
202001,안산선,반월,3066,3057,3066,3057
202001,안산선,산본,11415,12361,11415,12361
202001,안산선,상록수,12818,12569,12818,12569
202001,안산선,수리산,2459,2192,2459,2192
202001,안산선,신길온천,1084,1017,1084,1017
202001,안산선,안산,12663,11595,12663,11595
202001,안산선,오이도,6399,6356,6399,6356
202001,안산선,정왕,5388,5966,5388,5966
202001,안산선,중앙,13629,13375,13629,13375
202001,안산선,초지,2414,2341,2414,2341
