사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,우이신설선,4.19민주묘지,2230,2064,2230,2064
202001,우이신설선,가오리,3227,2925,3227,2925
202001,우이신설선,보문,1339,1331,1339,1331
202001,우이신설선,북한산보국문,5117,4407,5117,4407
202001,우이신설선,북한산우이,3116,3178,3116,3178
202001,우이신설선,삼양,1633,1636,1633,1636
202001,우이신설선,삼양사거리,1999,2026,1999,2026
202001,우이신설선,성신여대입구,3181,3763,3181,3763
202001,우이신설선,솔밭공원,1957,1789,1957,1789
202001,우이신설선,솔샘,4259,3730,4259,3730
202001,우이신설선,신설동,1474,1488,1474,1488
202001,우이신설선,정릉,3913,3286,3913,3286
202001,우이신설선,화계,2663,2459,2663,2459
202001,우이신설선,4.19민주묘지,1974,1680,1974,1680
202001,우이신설선,가오리,2503,2370,2503,2370
202001,우이신설선,보문,1146,1136,1146,1136
202001,우이신설선,북한산보국문,4257,3727,4257,3727
202001,우이신설선,북한산우이,3140,3093,3140,3093
202001,우이신설선,삼양,1361,1376,1361,1376
202001,우이신설선,삼양사거리,1648,1641,1648,1641
202001,우이신설선,성신여대입구,2402,2790,2402,2790
202001,우이신설선,솔밭공원,1551,1480,1551,1480
202001,우이신설선,솔샘,3178,2939,3178,2939
202001,우이신설선,신설동,1305,1323,1305,1323
202001,우이신설선,정릉,2963,2506,2963,2506
202001,우이신설선,화계,2188,2071,2188,2071
202001,우이신설선,4.19민주묘지,3581,3179,3581,3179
202001,우이신설선,가오리,3340,3083,3340,3083
202001,우이신설선,보문,1355,1358,1355,1358
202001,우이신설선,북한산보국문,5200,4635,5200,4635
202001,우이신설선,북한산우이,3112,3158,3112,3158
202001,우이신설선,삼양,1731,1725,1731,1725
202001,우이신설선,삼양사거리,2083,2109,2083,2109
202001,우이신설선,성신여대입구,3220,3866,3220,3866
202001,우이신설선,솔밭공원,2133,1980,2133,1980
202001,우이신설선,솔샘,4551,3834,4551,3834
202001,우이신설선,신설동,1649,1592,1649,1592
202001,우이신설선,정릉,4124,3429,4124,3429
202001,우이신설선,화계,2745,2489,2745,2489
202001,우이신설선,4.19민주묘지,2424,2102,2424,2102
202001,우이신설선,가오리,2645,2473,2645,2473
202001,우이신설선,보문,1137,1177,1137,1177
202001,우이신설선,북한산보국문,4277,3725,4277,3725
202001,우이신설선,북한산우이,2891,2818,2891,2818
202001,우이신설선,삼양,1265,1336,1265,1336
202001,우이신설선,삼양사거리,1620,1620,1620,1620
202001,우이신설선,성신여대입구,2635,3021,2635,3021
202001,우이신설선,솔밭공원,1678,1528,1678,1528
202001,우이신설선,솔샘,3205,2989,3205,2989
202001,우이신설선,신설동,1226,1272,1226,1272
202001,우이신설선,정릉,3098,2696,3098,2696
202001,우이신설선,화계,2305,2233,2305,2233
202001,우이신설선,4.19민주묘지,2453,2184,2453,2184
202001,우이신설선,가오리,3411,3222,3411,3222
202001,우이신설선,보문,1324,1331,1324,1331
202001,우이신설선,북한산보국문,5452,4658,5452,4658
202001,우이신설선,북한산우이,3024,3003,3024,3003
202001,우이신설선,삼양,1792,1817,1792,1817
202001,우이신설선,삼양사거리,2157,2125,2157,2125
202001,우이신설선,성신여대입구,3297,3803,3297,3803
202001,우이신설선,솔밭공원,2155,1889,2155,1889
202001,우이신설선,솔샘,4429,3875,4429,3875
202001,우이신설선,신설동,1528,1574,1528,1574
202001,우이신설선,정릉,4031,3226,4031,3226
202001,우이신설선,화계,2887,2657,2887,2657
202001,우이신설선,4.19민주묘지,1795,1584,1795,1584
202001,우이신설선,가오리,2599,2391,2599,2391
202001,우이신설선,보문,1201,1195,1201,1195
202001,우이신설선,북한산보국문,4029,3580,4029,3580
202001,우이신설선,북한산우이,2642,2641,2642,2641
202001,우이신설선,삼양,1350,1335,1350,1335
