사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,일산선,대곡,1249,1130,1249,1130
202001,일산선,대화,11371,9656,11371,9656
202001,일산선,마두,6434,6478,6434,6478
202001,일산선,백석,9805,9797,9805,9797
202001,일산선,삼송,15413,14156,15413,14156
202001,일산선,원당,9947,9177,9947,9177
202001,일산선,원흥,7241,6579,7241,6579
202001,일산선,정발산,8294,9391,8294,9391
202001,일산선,주엽,7939,7933,7939,7933
202001,일산선,화정,16054,16395,16054,16395
202001,일산선,대곡,1050,850,1050,850
202001,일산선,대화,8437,7600,8437,7600
202001,일산선,마두,4458,4401,4458,4401
202001,일산선,백석,7453,7176,7453,7176
202001,일산선,삼송,11369,11220,11369,11220
202001,일산선,원당,7132,6922,7132,6922
202001,일산선,원흥,5440,5323,5440,5323
202001,일산선,정발산,7192,7037,7192,7037
202001,일산선,주엽,5244,5690,5244,5690
202001,일산선,화정,13195,13567,13195,13567
202001,일산선,대곡,1442,1192,1442,1192
202001,일산선,대화,12374,10534,12374,10534
202001,일산선,마두,6846,6972,6846,6972
202001,일산선,백석,10422,10445,10422,10445
202001,일산선,삼송,16211,15048,16211,15048
202001,일산선,원당,10269,9538,10269,9538
202001,일산선,원흥,7407,6741,7407,6741
202001,일산선,정발산,8673,9726,8673,9726
202001,일산선,주엽,8830,8676,8830,8676
202001,일산선,화정,16942,17380,16942,17380
202001,일산선,대곡,1015,831,1015,831
202001,일산선,대화,8906,8017,8906,8017
202001,일산선,마두,4430,4482,4430,4482
202001,일산선,백석,7591,7392,7591,7392
202001,일산선,삼송,11963,11741,11963,11741
202001,일산선,원당,7430,7414,7430,7414
202001,일산선,원흥,5251,5158,5251,5158
202001,일산선,정발산,7139,6940,7139,6940
202001,일산선,주엽,5758,5912,5758,5912
202001,일산선,화정,13402,13734,13402,13734
202001,일산선,대곡,1486,1267,1486,1267
202001,일산선,대화,12280,10436,12280,10436
202001,일산선,마두,6844,6738,6844,6738
202001,일산선,백석,9918,10012,9918,10012
202001,일산선,삼송,16508,15296,16508,15296
202001,일산선,원당,10401,9693,10401,9693
202001,일산선,원흥,7479,6915,7479,6915
202001,일산선,정발산,8421,9358,8421,9358
202001,일산선,주엽,8510,8424,8510,8424
202001,일산선,화정,16736,17440,16736,17440
202001,일산선,대곡,1053,793,1053,793
202001,일산선,대화,9259,8288,9259,8288
202001,일산선,마두,4508,4524,4508,4524
202001,일산선,백석,7503,7380,7503,7380
202001,일산선,삼송,11901,11801,11901,11801
202001,일산선,원당,7302,7263,7302,7263
202001,일산선,원흥,5390,5125,5390,5125
202001,일산선,정발산,6900,6802,6900,6802
202001,일산선,주엽,5673,5739,5673,5739
202001,일산선,화정,13501,13804,13501,13804
202001,일산선,대곡,772,582,772,582
202001,일산선,대화,5720,5035,5720,5035
202001,일산선,마두,2630,2619,2630,2619
202001,일산선,백석,4697,4418,4697,4418
202001,일산선,삼송,9845,9280,9845,9280
202001,일산선,원당,5543,5259,5543,5259
202001,일산선,원흥,3103,2934,3103,2934
202001,일산선,정발산,3593,4027,3593,4027
