사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,장항선,배방,1126,982,1126,982
202001,장항선,봉명,998,967,998,967
202001,장항선,신창,1078,999,1078,999
202001,장항선,쌍용,1936,1703,1936,1703
202001,장항선,아산,2790,2639,2790,2639
202001,장항선,온양온천,6678,6862,6678,6862
202001,장항선,배방,754,898,754,898
202001,장항선,봉명,724,661,724,661
202001,장항선,신창,894,1020,894,1020
202001,장항선,쌍용,1269,1372,1269,1372
202001,장항선,아산,2880,2064,2880,2064
202001,장항선,온양온천,4790,4661,4790,4661
202001,장항선,배방,1186,1031,1186,1031
202001,장항선,봉명,964,926,964,926
202001,장항선,신창,1124,973,1124,973
202001,장항선,쌍용,1946,1802,1946,1802
202001,장항선,아산,3110,2915,3110,2915
202001,장항선,온양온천,5694,5726,5694,5726
202001,장항선,배방,792,866,792,866
202001,장항선,봉명,799,772,799,772
202001,장항선,신창,877,1076,877,1076
202001,장항선,쌍용,1347,1311,1347,1311
202001,장항선,아산,2812,2155,2812,2155
202001,장항선,온양온천,4918,4859,4918,4859
202001,장항선,배방,1085,984,1085,984
202001,장항선,봉명,1028,935,1028,935
202001,장항선,신창,1177,1006,1177,1006
202001,장항선,쌍용,1908,1657,1908,1657
202001,장항선,아산,2838,2627,2838,2627
202001,장항선,온양온천,5648,5622,5648,5622
202001,장항선,배방,817,911,817,911
202001,장항선,봉명,876,860,876,860
202001,장항선,신창,875,1057,875,1057
202001,장항선,쌍용,1470,1481,1470,1481
202001,장항선,아산,2726,2105,2726,2105
202001,장항선,온양온천,6011,6155,6011,6155
202001,장항선,배방,831,695,831,695
202001,장항선,봉명,637,558,637,558
202001,장항선,신창,1603,1011,1603,1011
202001,장항선,쌍용,1142,1104,1142,1104
202001,장항선,아산,2196,1756,2196,1756
202001,장항선,온양온천,4031,3857,4031,3857
202001,장항선,배방,843,691,843,691
202001,장항선,봉명,587,632,587,632
202001,장항선,신창,1363,917,1363,917
202001,장항선,쌍용,1149,1012,1149,1012
202001,장항선,아산,2400,1716,2400,1716
202001,장항선,온양온천,4814,4454,4814,4454
202002,장항선,배방,728,629,728,629
202002,장항선,봉명,707,677,707,677
202002,장항선,신창,744,733,744,733
202002,장항선,쌍용,1302,1184,1302,1184
202002,장항선,아산,1996,1931,1996,1931
202002,장항선,온양온천,3225,3160,3225,3160
202002,장항선,배방,536,640,536,640
202002,장항선,봉명,518,479,518,479
202002,장항선,신창,604,737,604,737
202002,장항선,쌍용,960,943,960,943
202002,장항선,아산,1846,1452,1846,1452
202002,장항선,온양온천,2673,2777,2673,2777
202002,장항선,배방,767,716,767,716
202002,장항선,봉명,660,606,660,606
202002,장항선,신창,702,699,702,699
202002,장항선,쌍용,1345,1163,1345,1163
202002,장항선,아산,2024,1929,2024,1929
202002,장항선,온양온천,3089,3139,3089,3139
202002,장항선,배방,586,677,586,677
202002,장항선,봉명,534,516,534,516
202002,장항선,신창,631,807,631,807
202002,장항선,쌍용,959,916,959,916
202002,장항선,아산,1919,1537,1919,1537
202002,장항선,온양온천,3182,3196,3182,3196
202002,장항선,배방,921,838,921,838
202002,장항선,봉명,754,714,754,714
202002,장항선,신창,908,815,908,815
202002,장항선,쌍용,1554,1367,1554,1367
202002,장항선,아산,2586,2451,2586,2451
202002,장항선,온양온천,3839,3940,3839,3940
202002,장항선,배방,589,714,589,714
202002,장항선,봉명,534,520,534,520
202002,장항선,신창,690,808,690,808
202002,장항선,쌍용,1000,1065,1000,1065
202002,장항선,아산,2309,1702,2309,1702
202002,장항선,온양온천,3147,3250,3147,3250
202002,장항선,배방,771,620,771,620
202002,장항선,봉명,576,534,576,534
202002,장항선,신창,662,590,662,590
202002,장항선,쌍용,1117,1027,1117,1027
202002,장항선,아산,1887,1745,1887,1745
202002,장항선,온양온천,2679,2755,2679,2755
202002,장항선,배방,476,567,476,567
202002,장항선,봉명,382,371,382,371
202002,장항선,신창,502,559,502,559
202002,장항선,쌍용,791,781,791,781
202002,장항선,아산,1472,1169,1472,1169
202002,장항선,온양온천,2014,2056,2014,2056
202002,장항선,봉명,368,375,368,375
202002,장항선,쌍용,587,553,587,553
202002,장항선,아산,949,812,949,812
202002,장항선,배방,408,342,408,342
202002,장항선,온양온천,1504,1599,1504,1599
202002,장항선,신창,360,345,360,345
202003,장항선,배방,431,383,431,383
202003,장항선,봉명,410,393,410,393
202003,장항선,신창,427,375,427,375
202003,장항선,쌍용,653,562,653,562
202003,장항선,아산,935,816,935,816
202003,장항선,온양온천,1519,1610,1519,1610
202003,장항선,배방,332,377,332,377
202003,장항선,봉명,315,339,315,339
202003,장항선,신창,356,412,356,412
202003,장항선,쌍용,551,537,551,537
202003,장항선,아산,893,763,893,763
202003,장항선,온양온천,1506,1456,1506,1456
202003,장항선,배방,510,443,510,443
202003,장항선,봉명,454,417,454,417
202003,장항선,신창,499,472,499,472
202003,장항선,쌍용,812,754,812,754
202003,장항선,아산,1143,1124,1143,1124
202003,장항선,온양온천,2112,2122,2112,2122
202003,장항선,배방,356,447,356,447
202003,장항선,봉명,294,298,294,298
202003,장항선,신창,435,497,435,497
202003,장항선,쌍용,628,573,628,573
202003,장항선,아산,1041,904,1041,904
202003,장항선,온양온천,1566,1644,1566,1644
202003,장항선,배방,586,515,586,515
202003,장항선,봉명,540,501,540,501
202003,장항선,신창,609,571,609,571
202003,장항선,쌍용,891,835,891,835
202003,장항선,아산,1302,1223,1302,1223
202003,장항선,온양온천,2142,2160,2142,2160
202003,장항선,배방,401,503,401,503
202003,장항선,봉명,378,366,378,366
202003,장항선,신창,499,691,499,691
202003,장항선,쌍용,694,650,694,650
202003,장항선,아산,1255,1067,1255,1067
202003,장항선,온양온천,1799,1821,1799,1821
202003,장항선,배방,605,558,605,558
202003,장항선,봉명,502,464,502,464
202003,장항선,신창,685,581,685,581
202003,장항선,쌍용,930,887,930,887
202003,장항선,아산,1493,1305,1493,1305
202003,장항선,온양온천,2113,2182,2113,2182
202003,장항선,배방,454,574,454,574
202003,장항선,봉명,420,401,420,401
202003,장항선,신창,538,732,538,732
202003,장항선,쌍용,778,726,778,726
202003,장항선,아산,1327,1120,1327,1120
202003,장항선,온양온천,2283,2348,2283,2348
202003,장항선,봉명,260,233,260,233
202003,장항선,쌍용,447,414,447,414
202003,장항선,아산,727,624,727,624
202003,장항선,배방,255,309,255,309
202003,장항선,온양온천,1143,1144,1143,1144
202003,장항선,신창,272,346,272,346
202004,장항선,배방,607,541,607,541
202004,장항선,봉명,543,532,543,532
202004,장항선,신창,713,694,713,694
202004,장항선,쌍용,1020,864,1020,864
202004,장항선,아산,1527,1381,1527,1381
202004,장항선,온양온천,2517,2600,2517,2600
202004,장항선,배방,427,558,427,558
202004,장항선,봉명,382,390,382,390
202004,장항선,신창,507,745,507,745
202004,장항선,쌍용,752,717,752,717
202004,장항선,아산,1399,1130,1399,1130
202004,장항선,온양온천,1931,1980,1931,1980
202004,장항선,배방,720,583,720,583
202004,장항선,봉명,563,507,563,507
202004,장항선,신창,790,748,790,748
202004,장항선,쌍용,1029,947,1029,947
202004,장항선,아산,1620,1511,1620,1511
202004,장항선,온양온천,2506,2552,2506,2552
202004,장항선,배방,480,627,480,627
202004,장항선,봉명,381,403,381,403
202004,장항선,신창,655,814,655,814
202004,장항선,쌍용,834,782,834,782
202004,장항선,아산,1450,1205,1450,1205
202004,장항선,온양온천,2033,2115,2033,2115
202004,장항선,배방,768,611,768,611
202004,장항선,봉명,554,506,554,506
202004,장항선,신창,810,738,810,738
202004,장항선,쌍용,1152,1016,1152,1016
202004,장항선,아산,1724,1640,1724,1640
202004,장항선,온양온천,2673,2782,2673,2782
202004,장항선,배방,500,629,500,629
202004,장항선,봉명,469,471,469,471
202004,장항선,신창,603,782,603,782
202004,장항선,쌍용,837,853,837,853
202004,장항선,아산,1512,1178,1512,1178
202004,장항선,온양온천,2711,2733,2711,2733
202004,장항선,배방,767,593,767,593
202004,장항선,봉명,623,559,623,559
202004,장항선,신창,799,675,799,675
202004,장항선,쌍용,1148,1105,1148,1105
202004,장항선,아산,1954,1739,1954,1739
202004,장항선,온양온천,2779,3001,2779,3001
202004,장항선,배방,523,694,523,694
202004,장항선,봉명,448,487,448,487
202004,장항선,신창,741,936,741,936
