사용일자,호선명,지하철역,승차총승객수,하차총승객수
202001,1호선,동대문,13392,15219
202001,1호선,동묘앞,13077,13909
202001,1호선,서울역,48376,46823
202001,1호선,시청,22370,23449
202001,1호선,신설동,12452,11889
202001,1호선,제기동,19719,20500
202001,1호선,종각,35345,33183
202001,1호선,종로3가,34613,33921
202001,1호선,종로5가,26307,26355
202001,1호선,청량리,24388,24906
202001,2호선,강남,87333,93257
202001,2호선,강변,41804,40949
202001,2호선,건대입구,43701,49696
202001,2호선,교대,22148,25326
202001,2호선,구로디지털단지,44203,43499
202001,2호선,구의,18989,17942
202001,2호선,낙성대,24473,22402
202001,2호선,당산,15038,16330
202001,2호선,대림,23421,24746
202001,2호선,도림천,888,913
202001,2호선,동대문역사문화공원,15562,17194
202001,2호선,뚝섬,12705,12880
202001,2호선,문래,12699,13012
202001,2호선,방배,12266,12551
202001,2호선,봉천,20304,18491
202001,2호선,사당,39197,42750
202001,2호선,삼성,45421,45965
202001,2호선,상왕십리,10909,10135
202001,2호선,서울대입구,43847,42868
202001,2호선,서초,13931,12945
202001,2호선,선릉,30318,27003
202001,2호선,성수,16731,18223
202001,2호선,시청,13824,11463
202001,2호선,신답,1201,1237
202001,2호선,신당,12282,13130
202001,2호선,신대방,22971,21815
202001,2호선,신도림,54259,54953
202001,2호선,신림,60576,58649
202001,2호선,신설동,4569,4221
202001,2호선,신정네거리,8245,8304
202001,2호선,신촌,44931,46748
202001,2호선,아현,8452,7894
202001,2호선,양천구청,5414,5292
202001,2호선,역삼,22999,24662
202001,2호선,영등포구청,14544,14770
202001,2호선,왕십리,16356,14475
202001,2호선,용답,2251,2108
202001,2호선,용두,1987,1996
202001,2호선,을지로3가,13929,13706
202001,2호선,을지로4가,10390,10581
202001,2호선,을지로입구,39435,38072
202001,2호선,이대,14489,14887
202001,2호선,잠실,81999,77313
202001,2호선,잠실나루,9862,9510
202001,2호선,잠실새내,20706,21959
202001,2호선,종합운동장,8787,9524
202001,2호선,충정로,7232,7460
202001,2호선,한양대,5302,5392
202001,2호선,합정,31544,34922
202001,2호선,홍대입구,90634,102811
202001,3호선,가락시장,7622,7266
202001,3호선,경복궁,26351,22669
202001,3호선,경찰병원,4840,4756
202001,3호선,고속터미널,68676,67117
202001,3호선,교대,8774,5246
202001,3호선,구파발,18029,17398
202001,3호선,금호,7030,6290
202001,3호선,남부터미널,29137,28329
202001,3호선,녹번,10789,9216
202001,3호선,대청,7040,6412
202001,3호선,대치,11563,10373
202001,3호선,도곡,4199,4169
202001,3호선,독립문,7398,7539
202001,3호선,동대입구,8627,9756
202001,3호선,매봉,6504,5984
202001,3호선,무악재,3159,3220
202001,3호선,불광,15324,17348
202001,3호선,수서,15711,15384
202001,3호선,신사,30453,33081
202001,3호선,안국,20711,22650
202001,3호선,압구정,30384,32219
202001,3호선,약수,10907,10291
202001,3호선,양재,25516,27259
202001,3호선,연신내,35604,34264
202001,3호선,오금,4725,4208
202001,3호선,옥수,8027,7987
202001,3호선,을지로3가,6931,7364
202001,3호선,일원,5905,5822
202001,3호선,잠원,4821,4461
202001,3호선,종로3가,8103,12359
202001,3호선,지축,1533,1615
202001,3호선,충무로,1,0
202001,3호선,학여울,2090,2122
202001,3호선,홍제,15700,15112
202001,4호선,길음,17831,16604
202001,4호선,남태령,1262,821
202001,4호선,노원,20004,22813
202001,4호선,당고개,11392,10334
202001,4호선,동대문,20278,19822
202001,4호선,동대문역사문화공원,19065,15588
202001,4호선,동작,2041,2125
202001,4호선,명동,34847,38919
202001,4호선,미아,13227,12191
202001,4호선,미아사거리,26645,25841
202001,4호선,사당,26114,23011
202001,4호선,삼각지,3385,4178
202001,4호선,상계,16355,14645
202001,4호선,서울역,8812,20649
202001,4호선,성신여대입구,20116,19323
202001,4호선,수유,31363,30917
202001,4호선,숙대입구,11574,10602
202001,4호선,신용산,11262,11910
202001,4호선,쌍문,26287,22732
202001,4호선,이촌,9168,9456
202001,4호선,창동,23759,25242
202001,4호선,총신대입구,18156,19687
202001,4호선,충무로,19734,20002
202001,4호선,한성대입구,12277,11904
202001,4호선,혜화,40828,43048
202001,4호선,회현,27723,29583
202001,5호선,강동,17269,14909
202001,5호선,개롱,5128,5208
202001,5호선,개화산,4393,4197
202001,5호선,거여,6077,5700
202001,5호선,고덕,6972,6559
202001,5호선,공덕,8724,9141
202001,5호선,광나루,12001,11361
202001,5호선,광화문,31915,33740
202001,5호선,군자,9303,10235
202001,5호선,굽은다리,8113,7390
202001,5호선,길동,6205,6588
202001,5호선,김포공항,8056,8076
202001,5호선,까치산,24526,22900
202001,5호선,답십리,12244,11186
202001,5호선,동대문역사문화공원,1293,1656
202001,5호선,둔촌동,7197,7112
202001,5호선,마곡,4173,3912
202001,5호선,마장,4617,4624
202001,5호선,마천,4414,4531
202001,5호선,마포,8558,8787
202001,5호선,명일,6722,6605
202001,5호선,목동,13626,14081
202001,5호선,발산,14599,15588
202001,5호선,방이,6276,6109
202001,5호선,방화,5465,5124
202001,5호선,상일동,10987,9659
202001,5호선,서대문,9693,9342
202001,5호선,송정,6276,5915
202001,5호선,신금호,4848,4916
202001,5호선,신길,2496,2701
202001,5호선,신정,10209,8275
202001,5호선,아차산,12957,12417
202001,5호선,애오개,4418,4294
202001,5호선,양평,3897,3680
202001,5호선,여의나루,4803,4786
202001,5호선,여의도,9402,10508
202001,5호선,영등포구청,2106,2019
202001,5호선,영등포시장,8941,9457
202001,5호선,오금,2327,2290
202001,5호선,오목교,20220,20904
202001,5호선,올림픽공원,3728,3670
202001,5호선,왕십리,4152,5095
202001,5호선,우장산,11887,11661
202001,5호선,을지로4가,4220,4572
202001,5호선,장한평,13592,13809
202001,5호선,종로3가,17845,17435
202001,5호선,천호,19375,19587
202001,5호선,청구,3000,2664
202001,5호선,충정로,2232,2130
202001,5호선,행당,6667,5764
202001,5호선,화곡,23575,21458
202001,6호선,고려대,6519,6196
202001,6호선,공덕,12325,11623
202001,6호선,광흥창,6341,5858
202001,6호선,구산,6087,4547
202001,6호선,녹사평,5593,6578
202001,6호선,대흥,6073,6180
202001,6호선,독바위,2305,2573
202001,6호선,돌곶이,6590,5976
202001,6호선,동묘앞,9103,8714
202001,6호선,디지털미디어시티,8392,8429
202001,6호선,마포구청,10740,9298
202001,6호선,망원,13202,14613
202001,6호선,버티고개,1742,1791
202001,6호선,보문,5976,5190
202001,6호선,봉화산,6863,6362
202001,6호선,불광,4571,4155
202001,6호선,삼각지,6195,4440
202001,6호선,상수,9711,11995
202001,6호선,상월곡,4542,3945
202001,6호선,새절,10395,9903
202001,6호선,석계,10386,10229
202001,6호선,신당,7188,6013
202001,6호선,안암,8510,8270
202001,6호선,약수,2837,2950
202001,6호선,역촌,3198,3614
202001,6호선,연신내,1,0
202001,6호선,월곡,9435,9038
202001,6호선,월드컵경기장,4820,5062
202001,6호선,응암,14632,14074
202001,6호선,이태원,18738,24107
202001,6호선,증산,8427,7963
202001,6호선,창신,2461,1915
202001,6호선,청구,2704,2819
202001,6호선,태릉입구,4609,5071
202001,6호선,한강진,8930,10860
202001,6호선,합정,14282,13146
202001,6호선,화랑대,8688,6933
202001,6호선,효창공원앞,5140,4596
202001,7호선,가산디지털단지,17112,15715
202001,7호선,강남구청,10654,11757
202001,7호선,건대입구,14751,16074
202001,7호선,고속터미널,20839,16063
202001,7호선,공릉,9999,9971
202001,7호선,광명사거리,21627,21533
202001,7호선,군자,12375,9163
202001,7호선,굴포천,7352,7540
202001,7호선,까치울,5799,5570
202001,7호선,남구로,10329,10855
202001,7호선,남성,9052,8368
202001,7호선,내방,8939,8754
202001,7호선,노원,18491,19957
202001,7호선,논현,13150,14924
202001,7호선,대림,9491,10265
202001,7호선,도봉산,7218,9552
