사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,중앙선,구리,12111,12387,12111,12387
202001,중앙선,국수,625,641,625,641
202001,중앙선,덕소,5548,5222,5548,5222
202001,중앙선,도농,7747,7132,7747,7132
202001,중앙선,도심,1904,1705,1904,1705
202001,중앙선,망우,7186,7029,7186,7029
202001,중앙선,상봉,5649,5496,5649,5496
202001,중앙선,신원,161,174,161,174
202001,중앙선,아신,527,542,527,542
202001,중앙선,양수,1891,1790,1891,1790
202001,중앙선,양원,1190,1214,1190,1214
202001,중앙선,양정,607,499,607,499
202001,중앙선,양평,2771,2970,2771,2970
202001,중앙선,오빈,291,311,291,311
202001,중앙선,용문,2062,2119,2062,2119
202001,중앙선,운길산,755,871,755,871
202001,중앙선,원덕,341,340,341,340
202001,중앙선,중랑,4855,4632,4855,4632
202001,중앙선,지평,40,49,40,49
202001,중앙선,팔당,1049,1083,1049,1083
202001,중앙선,회기,23138,22031,23138,22031
202001,중앙선,구리,8578,8952,8578,8952
202001,중앙선,국수,668,640,668,640
202001,중앙선,덕소,4066,4028,4066,4028
202001,중앙선,도농,5651,5472,5651,5472
202001,중앙선,도심,1565,1382,1565,1382
202001,중앙선,망우,5605,5561,5605,5561
202001,중앙선,상봉,4499,4471,4499,4471
202001,중앙선,신원,207,149,207,149
202001,중앙선,아신,505,473,505,473
202001,중앙선,양수,1503,1467,1503,1467
202001,중앙선,양원,907,938,907,938
202001,중앙선,양정,527,444,527,444
202001,중앙선,양평,2456,2460,2456,2460
202001,중앙선,오빈,203,217,203,217
202001,중앙선,용문,4171,3954,4171,3954
202001,중앙선,운길산,812,773,812,773
202001,중앙선,원덕,370,331,370,331
202001,중앙선,중랑,3721,3642,3721,3642
202001,중앙선,지평,38,46,38,46
202001,중앙선,팔당,1098,1038,1098,1038
202001,중앙선,회기,18248,18034,18248,18034
202001,중앙선,구리,12661,12973,12661,12973
202001,중앙선,국수,658,673,658,673
202001,중앙선,덕소,5794,5629,5794,5629
202001,중앙선,도농,8517,7681,8517,7681
202001,중앙선,도심,2008,1756,2008,1756
202001,중앙선,망우,7702,7589,7702,7589
202001,중앙선,상봉,5824,5712,5824,5712
202001,중앙선,신원,208,172,208,172
202001,중앙선,아신,551,581,551,581
202001,중앙선,양수,1955,1916,1955,1916
202001,중앙선,양원,1336,1331,1336,1331
202001,중앙선,양정,725,583,725,583
202001,중앙선,양평,3010,3214,3010,3214
202001,중앙선,오빈,327,343,327,343
202001,중앙선,용문,2246,2365,2246,2365
202001,중앙선,운길산,826,778,826,778
202001,중앙선,원덕,428,417,428,417
202001,중앙선,중랑,5128,4778,5128,4778
202001,중앙선,지평,33,39,33,39
202001,중앙선,팔당,1042,1043,1042,1043
202001,중앙선,회기,27077,26119,27077,26119
202001,중앙선,구리,8792,9170,8792,9170
202001,중앙선,국수,689,673,689,673
202001,중앙선,덕소,4136,4156,4136,4156
202001,중앙선,도농,5800,5519,5800,5519
202001,중앙선,도심,1533,1385,1533,1385
202001,중앙선,망우,5662,5574,5662,5574
202001,중앙선,상봉,4479,4299,4479,4299
202001,중앙선,신원,170,103,170,103
202001,중앙선,아신,464,488,464,488
202001,중앙선,양수,1542,1474,1542,1474
202001,중앙선,양원,1003,1006,1003,1006
202001,중앙선,양정,490,417,490,417
202001,중앙선,양평,2418,2404,2418,2404
202001,중앙선,오빈,193,201,193,201
202001,중앙선,용문,1986,1712,1986,1712
202001,중앙선,운길산,775,741,775,741
202001,중앙선,원덕,349,288,349,288
202001,중앙선,중랑,3654,3618,3654,3618
202001,중앙선,지평,28,29,28,29
202001,중앙선,팔당,1096,1129,1096,1129
202001,중앙선,회기,18547,18447,18547,18447
202001,중앙선,구리,12490,12835,12490,12835
202001,중앙선,국수,739,822,739,822
202001,중앙선,덕소,5661,5494,5661,5494
202001,중앙선,도농,8352,7471,8352,7471
202001,중앙선,도심,2060,1858,2060,1858
202001,중앙선,망우,7859,7674,7859,7674
202001,중앙선,상봉,5715,5481,5715,5481
202001,중앙선,신원,230,220,230,220
202001,중앙선,아신,577,602,577,602
202001,중앙선,양수,2433,2512,2433,2512
202001,중앙선,양원,1316,1358,1316,1358
202001,중앙선,양정,700,616,700,616
202001,중앙선,양평,4329,4409,4329,4409
202001,중앙선,오빈,308,318,308,318
202001,중앙선,용문,2095,2248,2095,2248
202001,중앙선,운길산,837,785,837,785
202001,중앙선,원덕,444,407,444,407
202001,중앙선,중랑,4975,4821,4975,4821
202001,중앙선,지평,56,36,56,36
202001,중앙선,팔당,1168,1216,1168,1216
202001,중앙선,회기,26997,25450,26997,25450
202001,중앙선,구리,8565,8969,8565,8969
202001,중앙선,국수,576,534,576,534
202001,중앙선,덕소,4080,4042,4080,4042
202001,중앙선,도농,5757,5541,5757,5541
202001,중앙선,도심,1497,1372,1497,1372
202001,중앙선,망우,5482,5672,5482,5672
202001,중앙선,상봉,4281,4193,4281,4193
202001,중앙선,신원,172,101,172,101
202001,중앙선,아신,451,396,451,396
202001,중앙선,양수,1352,1373,1352,1373
202001,중앙선,양원,979,980,979,980
202001,중앙선,양정,474,400,474,400
202001,중앙선,양평,2287,2237,2287,2237
202001,중앙선,오빈,192,194,192,194
202001,중앙선,용문,1752,1584,1752,1584
202001,중앙선,운길산,682,654,682,654
202001,중앙선,원덕,313,234,313,234
202001,중앙선,중랑,3757,3607,3757,3607
202001,중앙선,지평,27,35,27,35
202001,중앙선,팔당,924,901,924,901
202001,중앙선,회기,19636,19357,19636,19357
202001,중앙선,구리,6302,6758,6302,6758
202001,중앙선,국수,608,552,608,552
202001,중앙선,덕소,3196,3108,3196,3108
202001,중앙선,도농,4212,3927,4212,3927
202001,중앙선,도심,1092,994,1092,994
202001,중앙선,망우,4270,4175,4270,4175
202001,중앙선,상봉,3797,3553,3797,3553
202001,중앙선,신원,193,135,193,135
202001,중앙선,아신,646,557,646,557
202001,중앙선,양수,1550,1536,1550,1536
202001,중앙선,양원,657,664,657,664
202001,중앙선,양정,465,328,465,328
202001,중앙선,양평,2661,2525,2661,2525
202001,중앙선,오빈,257,247,257,247
202001,중앙선,용문,2704,2297,2704,2297
202001,중앙선,운길산,592,509,592,509
202001,중앙선,원덕,478,368,478,368
202001,중앙선,중랑,2941,2973,2941,2973
202001,중앙선,지평,40,60,40,60
202001,중앙선,팔당,689,646,689,646
202001,중앙선,회기,10574,10545,10574,10545
202001,중앙선,구리,7565,8097,7565,8097
202001,중앙선,국수,593,492,593,492
202001,중앙선,덕소,3776,3609,3776,3609
202001,중앙선,도농,4833,4390,4833,4390
202001,중앙선,도심,1366,1222,1366,1222
202001,중앙선,망우,4652,4823,4652,4823
202001,중앙선,상봉,4095,3964,4095,3964
202001,중앙선,신원,213,168,213,168
202001,중앙선,아신,565,425,565,425
202001,중앙선,양수,1752,1563,1752,1563
202001,중앙선,양원,799,851,799,851
202001,중앙선,양정,429,356,429,356
202001,중앙선,양평,2674,2201,2674,2201
202001,중앙선,오빈,218,191,218,191
202001,중앙선,용문,2367,1647,2367,1647
202001,중앙선,운길산,777,642,777,642
202001,중앙선,원덕,405,301,405,301
202001,중앙선,중랑,3188,3181,3188,3181
202001,중앙선,지평,51,47,51,47
202001,중앙선,팔당,1104,1150,1104,1150
202001,중앙선,회기,12224,13484,12224,13484
202002,중앙선,구리,10195,10619,10195,10619
202002,중앙선,국수,545,541,545,541
202002,중앙선,덕소,4519,4367,4519,4367
202002,중앙선,도농,6359,5830,6359,5830
202002,중앙선,도심,1592,1419,1592,1419
202002,중앙선,망우,6171,6084,6171,6084
202002,중앙선,상봉,4707,4598,4707,4598
202002,중앙선,신원,146,177,146,177
202002,중앙선,아신,479,474,479,474
202002,중앙선,양수,1487,1598,1487,1598
202002,중앙선,양원,1025,1009,1025,1009
202002,중앙선,양정,513,451,513,451
202002,중앙선,양평,2295,2418,2295,2418
202002,중앙선,오빈,219,218,219,218
202002,중앙선,용문,1555,1739,1555,1739
202002,중앙선,운길산,688,652,688,652
202002,중앙선,원덕,312,292,312,292
202002,중앙선,중랑,4252,4121,4252,4121
202002,중앙선,지평,37,27,37,27
202002,중앙선,팔당,932,967,932,967
202002,중앙선,회기,19530,18877,19530,18877
202002,중앙선,구리,6942,7288,6942,7288
202002,중앙선,국수,461,454,461,454
202002,중앙선,덕소,3394,3430,3394,3430
202002,중앙선,도농,4422,4400,4422,4400
202002,중앙선,도심,1248,1164,1248,1164
202002,중앙선,망우,4589,4638,4589,4638
202002,중앙선,상봉,3697,3528,3697,3528
202002,중앙선,신원,169,107,169,107
202002,중앙선,아신,415,391,415,391
202002,중앙선,양수,1214,1179,1214,1179
202002,중앙선,양원,696,751,696,751
202002,중앙선,양정,448,386,448,386
202002,중앙선,양평,1854,1801,1854,1801
202002,중앙선,오빈,165,166,165,166
202002,중앙선,용문,1525,1377,1525,1377
202002,중앙선,운길산,709,657,709,657
202002,중앙선,원덕,275,232,275,232
202002,중앙선,중랑,3250,3116,3250,3116
202002,중앙선,지평,23,20,23,20
202002,중앙선,팔당,975,908,975,908
202002,중앙선,회기,16945,16740,16945,16740
202002,중앙선,구리,8461,8574,8461,8574
202002,중앙선,국수,498,547,498,547
202002,중앙선,덕소,3850,3851,3850,3851
202002,중앙선,도농,5810,5375,5810,5375
202002,중앙선,도심,1418,1294,1418,1294
202002,중앙선,망우,5780,5625,5780,5625
202002,중앙선,상봉,4478,4285,4478,4285
202002,중앙선,신원,138,156,138,156
202002,중앙선,아신,428,453,428,453
202002,중앙선,양수,1395,1470,1395,1470
202002,중앙선,양원,943,1010,943,1010
202002,중앙선,양정,545,459,545,459
202002,중앙선,양평,2541,2773,2541,2773
202002,중앙선,오빈,243,244,243,244
202002,중앙선,용문,1423,1600,1423,1600
202002,중앙선,운길산,697,618,697,618
202002,중앙선,원덕,252,262,252,262
202002,중앙선,중랑,4091,3962,4091,3962
202002,중앙선,지평,25,30,25,30
202002,중앙선,팔당,907,937,907,937
202002,중앙선,회기,20995,20445,20995,20445
202002,중앙선,구리,6105,6433,6105,6433
202002,중앙선,국수,479,467,479,467
202002,중앙선,덕소,3072,3034,3072,3034
202002,중앙선,도농,4281,4197,4281,4197
202002,중앙선,도심,1176,1035,1176,1035
202002,중앙선,망우,4139,4148,4139,4148
202002,중앙선,상봉,3527,3403,3527,3403
202002,중앙선,신원,176,138,176,138
202002,중앙선,아신,365,299,365,299
202002,중앙선,양수,1221,1137,1221,1137
202002,중앙선,양원,691,766,691,766
202002,중앙선,양정,355,318,355,318
202002,중앙선,양평,1707,1662,1707,1662
202002,중앙선,오빈,133,149,133,149
202002,중앙선,용문,1295,1161,1295,1161
202002,중앙선,운길산,809,695,809,695
202002,중앙선,원덕,232,204,232,204
202002,중앙선,중랑,3031,2874,3031,2874
202002,중앙선,지평,29,26,29,26
202002,중앙선,팔당,801,907,801,907
202002,중앙선,회기,14928,14659,14928,14659
202002,중앙선,구리,10488,10770,10488,10770
202002,중앙선,국수,667,730,667,730
202002,중앙선,덕소,4820,4643,4820,4643
202002,중앙선,도농,6877,6228,6877,6228
202002,중앙선,도심,1790,1573,1790,1573
202002,중앙선,망우,6726,6575,6726,6575
202002,중앙선,상봉,5163,4880,5163,4880
202002,중앙선,신원,238,164,238,164
202002,중앙선,아신,498,500,498,500
202002,중앙선,양수,1720,1825,1720,1825
202002,중앙선,양원,1143,1190,1143,1190
202002,중앙선,양정,587,552,587,552
202002,중앙선,양평,2399,2546,2399,2546
202002,중앙선,오빈,278,276,278,276
202002,중앙선,용문,3167,3335,3167,3335
202002,중앙선,운길산,868,830,868,830
202002,중앙선,원덕,358,346,358,346
202002,중앙선,중랑,4473,4275,4473,4275
202002,중앙선,지평,38,40,38,40
202002,중앙선,팔당,1117,1086,1117,1086
202002,중앙선,회기,20999,19974,20999,19974
202002,중앙선,구리,6792,7292,6792,7292
202002,중앙선,국수,447,418,447,418
202002,중앙선,덕소,3283,3267,3283,3267
202002,중앙선,도농,4744,4691,4744,4691
202002,중앙선,도심,1183,1173,1183,1173
202002,중앙선,망우,4656,4668,4656,4668
202002,중앙선,상봉,3756,3607,3756,3607
202002,중앙선,신원,159,117,159,117
202002,중앙선,아신,409,337,409,337
202002,중앙선,양수,1295,1265,1295,1265
202002,중앙선,양원,668,768,668,768
202002,중앙선,양정,393,327,393,327
202002,중앙선,양평,1727,1679,1727,1679
202002,중앙선,오빈,156,155,156,155
202002,중앙선,용문,1498,1307,1498,1307
202002,중앙선,운길산,716,588,716,588
202002,중앙선,원덕,246,202,246,202
202002,중앙선,중랑,3229,3105,3229,3105
202002,중앙선,지평,32,25,32,25
202002,중앙선,팔당,867,817,867,817
202002,중앙선,회기,15182,14977,15182,14977
202002,중앙선,구리,8254,8630,8254,8630
202002,중앙선,국수,386,470,386,470
202002,중앙선,덕소,3578,3597,3578,3597
202002,중앙선,도농,5339,4923,5339,4923
202002,중앙선,도심,1343,1164,1343,1164
202002,중앙선,망우,5034,4995,5034,4995
202002,중앙선,상봉,4070,3984,4070,3984
202002,중앙선,신원,119,122,119,122
202002,중앙선,아신,341,366,341,366
202002,중앙선,양수,1309,1226,1309,1226
202002,중앙선,양원,836,862,836,862
202002,중앙선,양정,455,405,455,405
202002,중앙선,양평,1718,1921,1718,1921
202002,중앙선,오빈,188,196,188,196
202002,중앙선,용문,1164,1316,1164,1316
202002,중앙선,운길산,578,570,578,570
202002,중앙선,원덕,193,250,193,250
202002,중앙선,중랑,3685,3569,3685,3569
202002,중앙선,지평,36,35,36,35
202002,중앙선,팔당,715,772,715,772
202002,중앙선,회기,16951,16223,16951,16223
202002,중앙선,구리,5585,5969,5585,5969
202002,중앙선,국수,449,386,449,386
202002,중앙선,덕소,2721,2513,2721,2513
202002,중앙선,도농,3605,3477,3605,3477
202002,중앙선,도심,940,933,940,933
202002,중앙선,망우,3477,3325,3477,3325
202002,중앙선,상봉,3059,2891,3059,2891
202002,중앙선,신원,153,145,153,145
202002,중앙선,아신,337,335,337,335
202002,중앙선,양수,1105,935,1105,935
202002,중앙선,양원,625,660,625,660
202002,중앙선,양정,345,311,345,311
202002,중앙선,양평,1779,1660,1779,1660
202002,중앙선,오빈,131,154,131,154
202002,중앙선,용문,1102,971,1102,971
202002,중앙선,운길산,658,601,658,601
202002,중앙선,원덕,203,174,203,174
202002,중앙선,중랑,2603,2511,2603,2511
202002,중앙선,지평,28,25,28,25
202002,중앙선,팔당,795,817,795,817
202002,중앙선,회기,12172,12088,12172,12088
202002,중앙선,회기,11959,11350,11959,11350
202002,중앙선,중랑,2949,2848,2949,2848
202002,중앙선,상봉,3081,2871,3081,2871
202002,중앙선,망우,3906,3741,3906,3741
202002,중앙선,양원,651,698,651,698
202002,중앙선,구리,6302,6606,6302,6606
202002,중앙선,도농,3834,3561,3834,3561
202002,중앙선,양정,436,371,436,371
202002,중앙선,덕소,2776,2817,2776,2817
202002,중앙선,도심,1047,925,1047,925
202002,중앙선,팔당,777,865,777,865
202002,중앙선,운길산,615,576,615,576
202002,중앙선,양수,965,1012,965,1012
202002,중앙선,신원,135,99,135,99
202002,중앙선,국수,300,327,300,327
202002,중앙선,아신,311,298,311,298
202002,중앙선,오빈,149,160,149,160
202002,중앙선,양평,1218,1346,1218,1346
202002,중앙선,원덕,152,177,152,177
202002,중앙선,용문,897,950,897,950
202002,중앙선,지평,19,26,19,26
202003,중앙선,구리,6904,7116,6904,7116
202003,중앙선,국수,376,408,376,408
202003,중앙선,덕소,3008,3149,3008,3149
202003,중앙선,도농,4212,3835,4212,3835
202003,중앙선,도심,1107,1000,1107,1000
202003,중앙선,망우,3872,3874,3872,3874
202003,중앙선,상봉,3320,3134,3320,3134
202003,중앙선,신원,143,162,143,162
202003,중앙선,아신,313,339,313,339
202003,중앙선,양수,1136,1190,1136,1190
202003,중앙선,양원,712,744,712,744
202003,중앙선,양정,461,416,461,416
202003,중앙선,양평,1380,1516,1380,1516
202003,중앙선,오빈,139,175,139,175
202003,중앙선,용문,1045,1161,1045,1161
202003,중앙선,운길산,790,723,790,723
202003,중앙선,원덕,178,177,178,177
202003,중앙선,중랑,3108,2980,3108,2980
202003,중앙선,지평,21,33,21,33
202003,중앙선,팔당,996,1042,996,1042
202003,중앙선,회기,12126,11278,12126,11278
202003,중앙선,구리,4961,5338,4961,5338
202003,중앙선,국수,443,445,443,445
202003,중앙선,덕소,2429,2366,2429,2366
202003,중앙선,도농,3009,2884,3009,2884
202003,중앙선,도심,943,936,943,936
202003,중앙선,망우,2821,2781,2821,2781
202003,중앙선,상봉,2558,2527,2558,2527
202003,중앙선,신원,266,187,266,187
202003,중앙선,아신,356,272,356,272
202003,중앙선,양수,1202,1039,1202,1039
202003,중앙선,양원,540,620,540,620
202003,중앙선,양정,333,305,333,305
202003,중앙선,양평,1637,1458,1637,1458
202003,중앙선,오빈,143,144,143,144
202003,중앙선,용문,1079,995,1079,995
202003,중앙선,운길산,1049,895,1049,895
202003,중앙선,원덕,238,244,238,244
202003,중앙선,중랑,2264,2196,2264,2196
202003,중앙선,지평,34,30,34,30
202003,중앙선,팔당,1203,1245,1203,1245
202003,중앙선,회기,8833,8759,8833,8759
202003,중앙선,구리,7375,7748,7375,7748
202003,중앙선,국수,434,442,434,442
202003,중앙선,덕소,3289,3329,3289,3329
202003,중앙선,도농,4463,4068,4463,4068
202003,중앙선,도심,1198,1136,1198,1136
202003,중앙선,망우,4188,4095,4188,4095
202003,중앙선,상봉,3449,3360,3449,3360
202003,중앙선,신원,200,170,200,170
202003,중앙선,아신,444,392,444,392
202003,중앙선,양수,1345,1281,1345,1281
202003,중앙선,양원,715,748,715,748
202003,중앙선,양정,472,418,472,418
202003,중앙선,양평,1534,1699,1534,1699
202003,중앙선,오빈,192,161,192,161
202003,중앙선,용문,1113,1256,1113,1256
202003,중앙선,운길산,804,792,804,792
202003,중앙선,원덕,233,244,233,244
202003,중앙선,중랑,3124,3037,3124,3037
202003,중앙선,지평,36,31,36,31
202003,중앙선,팔당,1076,1172,1076,1172
202003,중앙선,회기,11851,11227,11851,11227
202003,중앙선,구리,4963,5191,4963,5191
202003,중앙선,국수,393,387,393,387
202003,중앙선,덕소,2319,2218,2319,2218
202003,중앙선,도농,2988,2880,2988,2880
202003,중앙선,도심,903,795,903,795
202003,중앙선,망우,2929,2855,2929,2855
202003,중앙선,상봉,2518,2512,2518,2512
202003,중앙선,신원,228,144,228,144
202003,중앙선,아신,320,262,320,262
202003,중앙선,양수,1113,940,1113,940
202003,중앙선,양원,451,518,451,518
202003,중앙선,양정,307,291,307,291
202003,중앙선,양평,1298,1127,1298,1127
202003,중앙선,오빈,147,131,147,131
202003,중앙선,용문,1530,1401,1530,1401
202003,중앙선,운길산,921,850,921,850
202003,중앙선,원덕,234,198,234,198
202003,중앙선,중랑,2201,2134,2201,2134
202003,중앙선,지평,29,19,29,19
202003,중앙선,팔당,997,1048,997,1048
202003,중앙선,회기,8527,8638,8527,8638
202003,중앙선,구리,7529,7726,7529,7726
202003,중앙선,국수,515,524,515,524
202003,중앙선,덕소,3340,3410,3340,3410
202003,중앙선,도농,4607,4220,4607,4220
202003,중앙선,도심,1290,1177,1290,1177
202003,중앙선,망우,4242,4183,4242,4183
202003,중앙선,상봉,3704,3572,3704,3572
202003,중앙선,신원,221,207,221,207
202003,중앙선,아신,406,441,406,441
202003,중앙선,양수,1410,1488,1410,1488
202003,중앙선,양원,754,872,754,872
202003,중앙선,양정,511,478,511,478
202003,중앙선,양평,1810,1892,1810,1892
202003,중앙선,오빈,197,207,197,207
202003,중앙선,용문,1299,1400,1299,1400
202003,중앙선,운길산,1150,1030,1150,1030
202003,중앙선,원덕,322,360,322,360
202003,중앙선,중랑,3309,3121,3309,3121
202003,중앙선,지평,35,33,35,33
202003,중앙선,팔당,1276,1394,1276,1394
202003,중앙선,회기,12994,12174,12994,12174
202003,중앙선,구리,5334,5587,5334,5587
202003,중앙선,국수,503,494,503,494
202003,중앙선,덕소,2473,2497,2473,2497
202003,중앙선,도농,3076,3057,3076,3057
202003,중앙선,도심,920,889,920,889
202003,중앙선,망우,3016,3011,3016,3011
202003,중앙선,상봉,2870,2673,2870,2673
202003,중앙선,신원,316,198,316,198
202003,중앙선,아신,402,371,402,371
202003,중앙선,양수,1541,1323,1541,1323
202003,중앙선,양원,556,672,556,672
202003,중앙선,양정,446,391,446,391
202003,중앙선,양평,1611,1348,1611,1348
202003,중앙선,오빈,170,156,170,156
202003,중앙선,용문,1307,1115,1307,1115
202003,중앙선,운길산,1281,1089,1281,1089
202003,중앙선,원덕,346,281,346,281
202003,중앙선,중랑,2321,2350,2321,2350
202003,중앙선,지평,27,23,27,23
202003,중앙선,팔당,1426,1572,1426,1572
202003,중앙선,회기,9575,9666,9575,9666
202003,중앙선,구리,7850,8164,7850,8164
202003,중앙선,국수,565,587,565,587
202003,중앙선,덕소,3527,3612,3527,3612
