사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,경의중앙선,가좌,125451,115087,125451,115087
202001,경의중앙선,강매,68833,57515,68833,57515
202001,경의중앙선,검암,6,0,6,0
202001,경의중앙선,계양,5,0,5,0
202001,경의중앙선,곡산,12431,12934,12431,12934
202001,경의중앙선,공덕,87726,75150,87726,75150
202001,경의중앙선,구리,325704,331625,325704,331625
202001,경의중앙선,국수,16296,16451,16296,16451
202001,경의중앙선,금릉,106481,103959,106481,103959
202001,경의중앙선,금촌,158904,156275,158904,156275
202001,경의중앙선,능곡,84586,76915,84586,76915
202001,경의중앙선,덕소,141979,139592,141979,139592
202001,경의중앙선,도농,234442,209551,234442,209551
202001,경의중앙선,도심,61657,48392,61657,48392
202001,경의중앙선,디지털미디어시티,55984,52546,55984,52546
202001,경의중앙선,망우,184100,179242,184100,179242
202001,경의중앙선,문산,130101,129637,130101,129637
202001,경의중앙선,백마,161266,149018,161266,149018
202001,경의중앙선,상봉,141425,136496,141425,136496
202001,경의중앙선,서강대,52189,51087,52189,51087
202001,경의중앙선,서울역,100836,129419,100836,129419
202001,경의중앙선,수색,54725,55789,54725,55789
202001,경의중앙선,신원,4007,3645,4007,3645
202001,경의중앙선,신촌,21154,27928,21154,27928
202001,경의중앙선,아신,12926,12943,12926,12943
202001,경의중앙선,야당,130807,124331,130807,124331
202001,경의중앙선,양수,41271,41904,41271,41904
202001,경의중앙선,양원,35171,35560,35171,35560
202001,경의중앙선,양정,18413,15834,18413,15834
202001,경의중앙선,양평,71418,72609,71418,72609
202001,경의중앙선,오빈,6743,6776,6743,6776
202001,경의중앙선,용문,46106,48061,46106,48061
202001,경의중앙선,운길산,13597,12626,13597,12626
202001,경의중앙선,운정,141750,131143,141750,131143
202001,경의중앙선,원덕,8036,8053,8036,8053
202001,경의중앙선,월롱,48544,42873,48544,42873
202001,경의중앙선,일산,214186,209207,214186,209207
202001,경의중앙선,중랑,132781,126275,132781,126275
202001,경의중앙선,지평,1072,843,1072,843
202001,경의중앙선,탄현,178489,171978,178489,171978
202001,경의중앙선,파주,27640,19700,27640,19700
202001,경의중앙선,팔당,17436,17201,17436,17201
202001,경의중앙선,풍산,126532,116120,126532,116120
202001,경의중앙선,행신,188821,181625,188821,181625
202001,경의중앙선,홍대입구,45524,54973,45524,54973
202001,경의중앙선,화전,40766,36771,40766,36771
202001,경의중앙선,회기,594158,570251,594158,570251
202001,경의중앙선,효창공원앞,66697,74415,66697,74415
202002,경의중앙선,가좌,99154,91031,99154,91031
202002,경의중앙선,강매,57659,48345,57659,48345
202002,경의중앙선,검암,3,0,3,0
202002,경의중앙선,계양,4,0,4,0
202002,경의중앙선,곡산,10084,10420,10084,10420
202002,경의중앙선,공덕,69922,61112,69922,61112
202002,경의중앙선,구리,252907,258572,252907,258572
202002,경의중앙선,국수,11034,11303,11034,11303
202002,경의중앙선,금릉,84006,82749,84006,82749
202002,경의중앙선,금촌,121234,118903,121234,118903
202002,경의중앙선,김포공항,1,0,1,0
202002,경의중앙선,능곡,68850,61973,68850,61973
202002,경의중앙선,덕소,109920,109738,109920,109738
202002,경의중앙선,도농,189263,170248,189263,170248
