사용월,호선명,지하철역,승차총승객수,하차총승객수
202001,공항철도,검암,189737,180330
202001,공항철도,계양,231422,210939
202001,공항철도,공덕,59503,76975
202001,공항철도,공항화물청사,59525,65686
202001,공항철도,김포공항,262256,152249
202001,공항철도,디지털미디어시티,323205,288687
202001,공항철도,마곡나루,166075,147032
202001,공항철도,서울역,308659,265586
202001,공항철도,영종,66359,68494
202001,공항철도,운서,172147,179899
202001,공항철도,인천공항1터미널,359892,359010
202001,공항철도,인천공항2터미널,129198,112123
202001,공항철도,청라국제도시,161077,149094
202001,공항철도,홍대입구,270309,270006
202002,공항철도,검암,154220,146336
202002,공항철도,계양,187991,170411
202002,공항철도,공덕,45818,58039
202002,공항철도,공항화물청사,49449,54686
202002,공항철도,김포공항,171006,110659
202002,공항철도,디지털미디어시티,279019,252634
202002,공항철도,마곡나루,146656,130324
202002,공항철도,서울역,187570,158219
202002,공항철도,영종,49613,50883
202002,공항철도,운서,132411,137294
202002,공항철도,인천공항1터미널,220507,211198
202002,공항철도,인천공항2터미널,84040,70837
202002,공항철도,청라국제도시,128484,119944
202002,공항철도,홍대입구,193866,197053
202003,공항철도,검암,137609,131975
202003,공항철도,계양,168585,153346
202003,공항철도,공덕,37519,47287
202003,공항철도,공항화물청사,48768,54384
202003,공항철도,김포공항,120632,80488
202003,공항철도,디지털미디어시티,235149,216482
202003,공항철도,마곡나루,132271,121116
202003,공항철도,서울역,97424,90990
202003,공항철도,영종,43850,45126
202003,공항철도,운서,115595,116848
202003,공항철도,인천공항1터미널,89872,86268
202003,공항철도,인천공항2터미널,50323,40952
202003,공항철도,청라국제도시,111213,103668
202003,공항철도,홍대입구,134678,139817
202004,공항철도,검암,141608,135616
202004,공항철도,계양,178349,160789
202004,공항철도,공덕,39144,49798
202004,공항철도,공항화물청사,47122,52193
202004,공항철도,김포공항,129983,87367
202004,공항철도,디지털미디어시티,238942,219547
202004,공항철도,마곡나루,137999,127208
202004,공항철도,서울역,112095,106008
202004,공항철도,영종,50334,51115
202004,공항철도,운서,116439,117069
202004,공항철도,인천공항1터미널,69096,67800
202004,공항철도,인천공항2터미널,38134,33374
202004,공항철도,청라국제도시,116945,109585
202004,공항철도,홍대입구,151093,157066
202005,공항철도,검암,142745,138109
202005,공항철도,계양,181114,164776
202005,공항철도,공덕,39624,51449
202005,공항철도,공항화물청사,45788,50810
202005,공항철도,김포공항,159302,97658
202005,공항철도,디지털미디어시티,249899,227323
202005,공항철도,마곡나루,145168,132779
202005,공항철도,서울역,131278,120999
202005,공항철도,영종,53389,54367
202005,공항철도,운서,115037,115262
202005,공항철도,인천공항1터미널,66943,65981
202005,공항철도,인천공항2터미널,34478,30646
202005,공항철도,청라국제도시,118004,110873
202005,공항철도,홍대입구,147950,152154
202006,공항철도,검암,157709,152381
202006,공항철도,계양,198116,180604
202006,공항철도,공덕,44614,57416
202006,공항철도,공항화물청사,51096,55703
202006,공항철도,김포공항,191759,117654
202006,공항철도,디지털미디어시티,287655,259834
202006,공항철도,마곡나루,170046,153784
202006,공항철도,서울역,141516,130973
202006,공항철도,영종,57926,58614
202006,공항철도,운서,123516,122685
202006,공항철도,인천공항1터미널,72512,71566
202006,공항철도,인천공항2터미널,37497,34977
202006,공항철도,청라국제도시,135454,127816
202006,공항철도,홍대입구,160467,166680
202007,공항철도,검암,169020,162864
202007,공항철도,계양,214026,194461
202007,공항철도,공덕,48820,63153
202007,공항철도,공항화물청사,52727,57904
202007,공항철도,김포공항,223279,135827
202007,공항철도,디지털미디어시티,312389,279469
202007,공항철도,마곡나루,180428,163885
202007,공항철도,서울역,162948,150780
202007,공항철도,영종,64096,65089
202007,공항철도,운서,136109,134749
202007,공항철도,인천공항1터미널,80711,83327
202007,공항철도,인천공항2터미널,39791,37674
202007,공항철도,청라국제도시,150392,140653
202007,공항철도,홍대입구,192861,200511
202008,공항철도,검암,137217,133292
202008,공항철도,계양,174764,160716
202008,공항철도,공덕,40283,51022
202008,공항철도,공항화물청사,44424,48946
202008,공항철도,김포공항,202277,120634
202008,공항철도,디지털미디어시티,249792,225131
202008,공항철도,마곡나루,140145,129589
202008,공항철도,서울역,137241,124786
202008,공항철도,영종,53541,53424
202008,공항철도,운서,112768,113016
202008,공항철도,인천공항1터미널,72743,75299
202008,공항철도,인천공항2터미널,37203,35221
202008,공항철도,청라국제도시,120785,113001
202008,공항철도,홍대입구,153949,157939
202009,공항철도,검암,135088,132855
202009,공항철도,계양,172700,159859
202009,공항철도,공덕,38864,47976
202009,공항철도,공항화물청사,46003,50837
202009,공항철도,김포공항,165805,106484
202009,공항철도,디지털미디어시티,241671,217888
202009,공항철도,마곡나루,137521,128794
202009,공항철도,서울역,115954,108749
202009,공항철도,영종,51193,52308
202009,공항철도,운서,110851,108868
202009,공항철도,인천공항1터미널,66634,70259
202009,공항철도,인천공항2터미널,37046,34765
202009,공항철도,청라국제도시,117096,109527
202009,공항철도,홍대입구,139248,140931
202010,공항철도,검암,151511,147657
202010,공항철도,계양,196235,176567
202010,공항철도,공덕,43299,55209
202010,공항철도,공항화물청사,45664,49686
202010,공항철도,김포공항,222844,131959
202010,공항철도,디지털미디어시티,275939,246680
202010,공항철도,마곡나루,157128,150529
202010,공항철도,서울역,143712,130990
202010,공항철도,영종,58858,59932
202010,공항철도,운서,122844,122396
202010,공항철도,인천공항1터미널,70444,73972
202010,공항철도,인천공항2터미널,36515,34862
202010,공항철도,청라국제도시,133074,123180
202010,공항철도,홍대입구,169508,178176
202011,공항철도,검암,151783,147218
202011,공항철도,계양,199172,180373
202011,공항철도,공덕,44511,56872
202011,공항철도,공항화물청사,47007,51270
202011,공항철도,김포공항,232190,135889
202011,공항철도,디지털미디어시티,296651,263025
202011,공항철도,마곡나루,164098,156108
202011,공항철도,서울역,147280,138023
202011,공항철도,영종,57933,58566
202011,공항철도,운서,120598,119694
202011,공항철도,인천공항1터미널,65940,68991
202011,공항철도,인천공항2터미널,36452,34402
202011,공항철도,청라국제도시,138231,128246
202011,공항철도,홍대입구,164703,172619
202012,공항철도,검암,131066,128126
202012,공항철도,계양,169699,159160
202012,공항철도,공덕,38334,48581
202012,공항철도,공항화물청사,47581,51797
202012,공항철도,김포공항,174608,115664
202012,공항철도,디지털미디어시티,245931,220274
202012,공항철도,마곡나루,126721,121344
202012,공항철도,서울역,112620,104011
202012,공항철도,영종,48739,50033
202012,공항철도,운서,108729,109963
202012,공항철도,인천공항1터미널,66972,72195
202012,공항철도,인천공항2터미널,38511,37376
202012,공항철도,청라국제도시,117502,109362
202012,공항철도,홍대입구,127681,131222
