사용일자,노선명,역명,승차총승객수,하차총승객수
20200106,1호선,동대문,13409,14525
20200106,1호선,동묘앞,7107,7716
20200106,1호선,서울역,58509,54106
20200106,1호선,시청,27431,27926
20200106,1호선,신설동,16605,16430
20200106,1호선,제기동,20697,20949
20200106,1호선,종각,49955,47854
20200106,1호선,종로3가,35447,34264
20200106,1호선,종로5가,28342,27852
20200106,1호선,청량리(서울시립대입구),23856,24206
20200106,2호선,강남,117522,118454
20200106,2호선,강변(동서울터미널),43269,41583
20200106,2호선,건대입구,42349,45455
20200106,2호선,교대(법원.검찰청),41450,47500
20200106,2호선,구로디지털단지,72750,72692
20200106,2호선,구의(광진구청),27220,26736
20200106,2호선,낙성대,31248,30857
20200106,2호선,당산,22038,25545
20200106,2호선,대림(구로구청),30341,31058
20200106,2호선,도림천,1406,1558
20200106,2호선,동대문역사문화공원,16842,19284
20200106,2호선,뚝섬,21682,23225
20200106,2호선,문래,24396,24678
20200106,2호선,방배,20893,21671
20200106,2호선,봉천,27731,25937
20200106,2호선,사당,43383,48242
20200106,2호선,삼성(무역센터),64505,65417
20200106,2호선,상왕십리,16003,15544
20200106,2호선,서울대입구(관악구청),56410,54788
20200106,2호선,서초,25838,25414
20200106,2호선,선릉,69055,61369
20200106,2호선,성수,36425,38817
20200106,2호선,시청,30576,29093
20200106,2호선,신답,1792,2025
20200106,2호선,신당,15536,16263
20200106,2호선,신대방,30745,29434
20200106,2호선,신도림,61303,59841
20200106,2호선,신림,72858,71297
20200106,2호선,신설동,4116,4012
20200106,2호선,신정네거리,10739,11084
20200106,2호선,신촌,47260,48524
20200106,2호선,아현,11015,10871
20200106,2호선,양천구청,8096,8688
20200106,2호선,역삼,62638,68667
20200106,2호선,영등포구청,26545,26581
20200106,2호선,왕십리(성동구청),19616,16235
20200106,2호선,용답,2810,2900
20200106,2호선,용두(동대문구청),2670,2895
20200106,2호선,을지로3가,27132,26820
20200106,2호선,을지로4가,15634,15179
20200106,2호선,을지로입구,56171,56874
20200106,2호선,이대,17573,18640
20200106,2호선,잠실(송파구청),85090,83547
20200106,2호선,잠실나루,18425,18365
20200106,2호선,잠실새내,26034,25805
20200106,2호선,종합운동장,8675,10637
20200106,2호선,충정로(경기대입구),12189,13038
20200106,2호선,한양대,10065,10798
20200106,2호선,합정,34051,35234
20200106,2호선,홍대입구,71697,75177
20200106,3호선,가락시장,11243,10904
20200106,3호선,경복궁(정부서울청사),23002,23363
20200106,3호선,경찰병원,9636,9726
20200106,3호선,고속터미널,54701,51591
20200106,3호선,교대(법원.검찰청),17323,11352
20200106,3호선,구파발,24253,22488
20200106,3호선,금호,9441,8865
20200106,3호선,남부터미널(예술의전당),35316,35716
20200106,3호선,녹번,15558,13850
20200106,3호선,대청,11506,10390
20200106,3호선,대치,14193,13984
20200106,3호선,도곡,6562,6613
20200106,3호선,독립문,7754,7977
20200106,3호선,동대입구,10432,11162
20200106,3호선,매봉,13919,13205
20200106,3호선,무악재,4477,4594
20200106,3호선,불광,18763,20299
20200106,3호선,수서,19558,19935
20200106,3호선,신사,36355,38647
20200106,3호선,안국,25770,26599
20200106,3호선,압구정,39011,42644
20200106,3호선,약수,15443,15045
20200106,3호선,양재(서초구청),45889,49667
20200106,3호선,연신내,43966,42042
20200106,3호선,오금,7551,6602
20200106,3호선,옥수,10442,10911
20200106,3호선,을지로3가,13638,13882
20200106,3호선,일원,11826,12177
20200106,3호선,잠원,7289,7111
20200106,3호선,종로3가,12645,14579
20200106,3호선,지축,2063,2156
20200106,3호선,충무로,1,0
20200106,3호선,학여울,2108,2149
20200106,3호선,홍제,19907,19029
20200106,4호선,길음,24139,23337
20200106,4호선,남태령,1430,1310
20200106,4호선,노원,23064,25936
20200106,4호선,당고개,13678,12571
20200106,4호선,동대문,25566,26057
20200106,4호선,동대문역사문화공원,21685,19612
20200106,4호선,동작(현충원),2318,2475
20200106,4호선,명동,33877,36301
20200106,4호선,미아(서울사이버대학),17898,16872
20200106,4호선,미아사거리,32298,31466
20200106,4호선,사당,29803,25102
20200106,4호선,삼각지,5416,6057
20200106,4호선,상계,22402,20282
20200106,4호선,서울역,15150,23530
20200106,4호선,성신여대입구(돈암),24549,23586
20200106,4호선,수유(강북구청),39932,39941
20200106,4호선,숙대입구(갈월),16165,16044
20200106,4호선,신용산,18916,19583
20200106,4호선,쌍문,35121,31976
20200106,4호선,이촌(국립중앙박물관),8977,9853
20200106,4호선,창동,30176,32074
20200106,4호선,총신대입구(이수),23280,25487
20200106,4호선,충무로,33941,34733
20200106,4호선,한성대입구(삼선교),15278,15039
20200106,4호선,혜화,37120,37770
20200106,4호선,회현(남대문시장),32554,34136
20200106,5호선,강동,22940,20198
20200106,5호선,개롱,7736,7954
20200106,5호선,개화산,6391,6152
20200106,5호선,거여,9115,8513
20200106,5호선,고덕,10778,10842
20200106,5호선,공덕,16269,17631
20200106,5호선,광나루(장신대),14947,13394
20200106,5호선,광화문(세종문화회관),39257,39980
20200106,5호선,군자(능동),11899,13140
20200106,5호선,굽은다리(강동구민회관앞),10242,9834
20200106,5호선,길동,8422,9064
20200106,5호선,김포공항,8559,8088
20200106,5호선,까치산,33226,31764
20200106,5호선,답십리,18087,16785
20200106,5호선,동대문역사문화공원,3622,4059
20200106,5호선,둔촌동,9858,10139
20200106,5호선,마곡,8486,7822
20200106,5호선,마장,6588,6345
20200106,5호선,마천,5698,5702
20200106,5호선,마포,17296,17623
20200106,5호선,명일,9705,10251
20200106,5호선,목동,20327,22402
20200106,5호선,발산,22171,22078
20200106,5호선,방이,8162,8497
20200106,5호선,방화,7745,7442
20200106,5호선,상일동,17225,14696
20200106,5호선,서대문,22051,22477
20200106,5호선,송정,8116,7415
20200106,5호선,신금호,7137,7258
20200106,5호선,신길,4060,4638
20200106,5호선,신정(은행정),15470,12219
20200106,5호선,아차산(어린이대공원후문),14954,14825
20200106,5호선,애오개,8465,8686
20200106,5호선,양평,8226,8163
20200106,5호선,여의나루,7888,8356
20200106,5호선,여의도,31085,32213
20200106,5호선,영등포구청,4313,4374
20200106,5호선,영등포시장,10751,11293
20200106,5호선,오금,4101,4088
20200106,5호선,오목교(목동운동장앞),26863,28825
20200106,5호선,올림픽공원(한국체대),4660,4145
20200106,5호선,왕십리(성동구청),5182,5743
20200106,5호선,우장산,16776,16714
20200106,5호선,을지로4가,6647,6963
20200106,5호선,장한평,20657,20812
20200106,5호선,종로3가,16805,16250
20200106,5호선,천호(풍납토성),20185,21113
20200106,5호선,청구,4628,4146
20200106,5호선,충정로(경기대입구),5358,5461
20200106,5호선,행당,9445,8501
20200106,5호선,화곡,33022,30841
20200106,6호선,고려대(종암),9845,9621
20200106,6호선,공덕,21503,21221
20200106,6호선,광흥창(서강),10878,10685
20200106,6호선,구산,8642,6811
