사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,8호선,가락시장,8998,10260,8998,10260
202001,8호선,강동구청,12533,13141,12533,13141
202001,8호선,남한산성입구,14943,13625,14943,13625
202001,8호선,단대오거리,11356,11164,11356,11164
202001,8호선,모란,4901,3632,4901,3632
202001,8호선,몽촌토성,6221,6460,6221,6460
202001,8호선,문정,24409,25309,24409,25309
202001,8호선,복정,12136,10119,12136,10119
202001,8호선,산성,5878,5799,5878,5799
202001,8호선,석촌,9019,10285,9019,10285
202001,8호선,송파,10797,10430,10797,10430
202001,8호선,수진,6067,5809,6067,5809
202001,8호선,신흥,5236,5556,5236,5556
202001,8호선,암사,21332,18924,21332,18924
202001,8호선,잠실,17104,19032,17104,19032
202001,8호선,장지,19985,18891,19985,18891
202001,8호선,천호,19121,21403,19121,21403
202001,8호선,가락시장,8905,9780,8905,9780
202001,8호선,강동구청,12383,12871,12383,12871
202001,8호선,남한산성입구,14364,13205,14364,13205
202001,8호선,단대오거리,11234,10807,11234,10807
202001,8호선,모란,4646,3447,4646,3447
202001,8호선,몽촌토성,6211,6441,6211,6441
202001,8호선,문정,24003,24961,24003,24961
202001,8호선,복정,11813,9965,11813,9965
202001,8호선,산성,5587,5480,5587,5480
202001,8호선,석촌,9068,10205,9068,10205
202001,8호선,송파,10810,10534,10810,10534
202001,8호선,수진,5923,5534,5923,5534
202001,8호선,신흥,4917,5308,4917,5308
202001,8호선,암사,20776,18691,20776,18691
202001,8호선,잠실,17114,19148,17114,19148
202001,8호선,장지,19782,18867,19782,18867
202001,8호선,천호,18646,20955,18646,20955
202001,8호선,가락시장,9394,10351,9394,10351
202001,8호선,강동구청,12730,13095,12730,13095
202001,8호선,남한산성입구,15200,13743,15200,13743
202001,8호선,단대오거리,11835,11359,11835,11359
202001,8호선,모란,4930,3574,4930,3574
202001,8호선,몽촌토성,6304,6808,6304,6808
202001,8호선,문정,24422,25493,24422,25493
202001,8호선,복정,12112,10445,12112,10445
202001,8호선,산성,5934,5861,5934,5861
202001,8호선,석촌,9139,10442,9139,10442
202001,8호선,송파,11329,10870,11329,10870
202001,8호선,수진,6777,6479,6777,6479
202001,8호선,신흥,5349,5702,5349,5702
202001,8호선,암사,21595,19066,21595,19066
202001,8호선,잠실,17803,20160,17803,20160
202001,8호선,장지,21008,19875,21008,19875
202001,8호선,천호,19532,22363,19532,22363
202001,8호선,가락시장,9632,10833,9632,10833
202001,8호선,강동구청,12843,13240,12843,13240
202001,8호선,남한산성입구,15490,13971,15490,13971
202001,8호선,단대오거리,12249,11715,12249,11715
202001,8호선,모란,7101,5283,7101,5283
202001,8호선,몽촌토성,6575,7025,6575,7025
202001,8호선,문정,24478,25639,24478,25639
202001,8호선,복정,12602,10534,12602,10534
202001,8호선,산성,6051,5965,6051,5965
202001,8호선,석촌,9540,10935,9540,10935
202001,8호선,송파,11116,10553,11116,10553
202001,8호선,수진,6649,6249,6649,6249
202001,8호선,신흥,5481,5968,5481,5968
202001,8호선,암사,22078,19381,22078,19381
202001,8호선,잠실,18350,20954,18350,20954
202001,8호선,장지,20583,19515,20583,19515
202001,8호선,천호,19918,22487,19918,22487
202001,8호선,가락시장,10093,11602,10093,11602
202001,8호선,강동구청,13150,13285,13150,13285
202001,8호선,남한산성입구,15954,13907,15954,13907
202001,8호선,단대오거리,12404,11581,12404,11581
202001,8호선,모란,5318,4183,5318,4183
202001,8호선,몽촌토성,6431,6980,6431,6980
202001,8호선,문정,24721,25178,24721,25178
202001,8호선,복정,12907,10611,12907,10611
202001,8호선,산성,6256,5931,6256,5931
202001,8호선,석촌,9687,10988,9687,10988
202001,8호선,송파,11290,10704,11290,10704
202001,8호선,수진,6796,6235,6796,6235
202001,8호선,신흥,5603,5982,5603,5982
202001,8호선,암사,22276,19312,22276,19312
202001,8호선,잠실,18664,21623,18664,21623
202001,8호선,장지,21437,20060,21437,20060
202001,8호선,천호,20840,24524,20840,24524
202001,8호선,가락시장,9545,10508,9545,10508
202001,8호선,강동구청,12629,13110,12629,13110
202001,8호선,남한산성입구,14983,13821,14983,13821
202001,8호선,단대오거리,11654,11174,11654,11174
202001,8호선,모란,5104,3775,5104,3775
202001,8호선,몽촌토성,6233,6545,6233,6545
202001,8호선,문정,24403,25220,24403,25220
202001,8호선,복정,11987,10118,11987,10118
202001,8호선,산성,5784,5629,5784,5629
202001,8호선,석촌,9227,10617,9227,10617
202001,8호선,송파,10855,10427,10855,10427
202001,8호선,수진,6302,5781,6302,5781
202001,8호선,신흥,5348,5712,5348,5712
202001,8호선,암사,21499,19072,21499,19072
202001,8호선,잠실,17320,19744,17320,19744
202001,8호선,장지,19962,19293,19962,19293
202001,8호선,천호,19602,22016,19602,22016
202001,8호선,가락시장,9801,10925,9801,10925
202001,8호선,강동구청,12792,13401,12792,13401
202001,8호선,남한산성입구,15573,13986,15573,13986
202001,8호선,단대오거리,12154,11727,12154,11727
202001,8호선,모란,7129,5323,7129,5323
202001,8호선,몽촌토성,6404,6725,6404,6725
202001,8호선,문정,24569,25442,24569,25442
202001,8호선,복정,12171,10341,12171,10341
202001,8호선,산성,5834,5741,5834,5741
202001,8호선,석촌,9297,10529,9297,10529
202001,8호선,송파,10947,10524,10947,10524
202001,8호선,수진,6301,5843,6301,5843
202001,8호선,신흥,5356,5785,5356,5785
202001,8호선,암사,21721,19287,21721,19287
202001,8호선,잠실,17181,19624,17181,19624
202001,8호선,장지,20464,19316,20464,19316
202001,8호선,천호,19650,22343,19650,22343
202001,8호선,가락시장,10020,11209,10020,11209
202001,8호선,강동구청,12810,13256,12810,13256
