사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,경강선,경기광주,7858,7433,7858,7433
202001,경강선,곤지암,2087,2043,2087,2043
202001,경강선,부발,1724,1711,1724,1711
202001,경강선,삼동,2595,2240,2595,2240
202001,경강선,세종대왕릉,270,252,270,252
202001,경강선,신둔도예촌,1243,1144,1243,1144
202001,경강선,여주,1938,1900,1938,1900
202001,경강선,이매,1206,1024,1206,1024
202001,경강선,이천,2747,2941,2747,2941
202001,경강선,초월,3028,2880,3028,2880
202001,경강선,판교,5020,4879,5020,4879
202001,경강선,경기광주,7502,7074,7502,7074
202001,경강선,곤지암,1846,1808,1846,1808
202001,경강선,부발,1712,1532,1712,1532
202001,경강선,삼동,2482,2080,2482,2080
202001,경강선,세종대왕릉,260,236,260,236
202001,경강선,신둔도예촌,1160,1055,1160,1055
202001,경강선,여주,1755,1706,1755,1706
202001,경강선,이매,1129,1045,1129,1045
202001,경강선,이천,2602,2639,2602,2639
202001,경강선,초월,2828,2716,2828,2716
202001,경강선,판교,4927,4836,4927,4836
202001,경강선,경기광주,7825,7212,7825,7212
202001,경강선,곤지암,2004,1935,2004,1935
202001,경강선,부발,1815,1658,1815,1658
202001,경강선,삼동,2539,2292,2539,2292
202001,경강선,세종대왕릉,308,287,308,287
202001,경강선,신둔도예촌,1189,1162,1189,1162
202001,경강선,여주,1881,1834,1881,1834
202001,경강선,이매,1261,1039,1261,1039
202001,경강선,이천,2653,2886,2653,2886
202001,경강선,초월,2948,2866,2948,2866
202001,경강선,판교,5206,5098,5206,5098
202001,경강선,경기광주,7975,7452,7975,7452
202001,경강선,곤지암,2135,2023,2135,2023
202001,경강선,부발,1903,1771,1903,1771
202001,경강선,삼동,2636,2251,2636,2251
202001,경강선,세종대왕릉,302,286,302,286
202001,경강선,신둔도예촌,1281,1197,1281,1197
202001,경강선,여주,1968,1901,1968,1901
202001,경강선,이매,1238,1023,1238,1023
202001,경강선,이천,2879,2895,2879,2895
202001,경강선,초월,3012,2830,3012,2830
202001,경강선,판교,4997,5099,4997,5099
202001,경강선,경기광주,8291,7578,8291,7578
202001,경강선,곤지암,2354,2166,2354,2166
202001,경강선,부발,2534,1857,2534,1857
202001,경강선,삼동,2678,2231,2678,2231
202001,경강선,세종대왕릉,327,312,327,312
202001,경강선,신둔도예촌,1497,1270,1497,1270
202001,경강선,여주,2163,2169,2163,2169
202001,경강선,이매,1307,1110,1307,1110
202001,경강선,이천,3100,3190,3100,3190
202001,경강선,초월,3170,2857,3170,2857
202001,경강선,판교,5323,5404,5323,5404
