사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,경부선,가산디지털단지,20836,24326,20836,24326
202001,경부선,관악,8585,7880,8585,7880
202001,경부선,광명,3401,2505,3401,2505
202001,경부선,구로,20947,21034,20947,21034
202001,경부선,군포,8098,8098,8098,8098
202001,경부선,금정,28931,29525,28931,29525
202001,경부선,금천구청,13222,12747,13222,12747
202001,경부선,남영,11502,12170,11502,12170
202001,경부선,노량진,11167,10956,11167,10956
202001,경부선,당정,7361,6891,7361,6891
202001,경부선,대방,15476,16117,15476,16117
202001,경부선,독산,18985,19588,18985,19588
202001,경부선,두정,4757,5022,4757,5022
202001,경부선,명학,10353,9945,10353,9945
202001,경부선,병점,15444,15381,15444,15381
202001,경부선,서동탄,1904,1533,1904,1533
202001,경부선,서울역,6832,1686,6832,1686
202001,경부선,서정리,5344,5536,5344,5536
202001,경부선,석수,11790,10286,11790,10286
202001,경부선,성균관대,15716,15610,15716,15610
202001,경부선,성환,3420,3674,3420,3674
202001,경부선,세류,3649,3306,3649,3306
202001,경부선,세마,2889,2502,2889,2502
202001,경부선,송탄,4315,3989,4315,3989
202001,경부선,수원,39128,42215,39128,42215
202001,경부선,신길,10529,8928,10529,8928
202001,경부선,신도림,4210,4294,4210,4294
202001,경부선,안양,24852,25124,24852,25124
202001,경부선,영등포,46896,48545,46896,48545
202001,경부선,오산,9646,9802,9646,9802
202001,경부선,오산대,3040,2594,3040,2594
202001,경부선,용산,38773,39991,38773,39991
202001,경부선,의왕,10027,9756,10027,9756
202001,경부선,지제,2652,2326,2652,2326
202001,경부선,직산,822,798,822,798
202001,경부선,진위,1633,1486,1633,1486
202001,경부선,천안,5607,5680,5607,5680
202001,경부선,평택,12352,11973,12352,11973
202001,경부선,화서,8569,8143,8569,8143
202001,경부선,가산디지털단지,20052,23445,20052,23445
202001,경부선,관악,8380,7580,8380,7580
202001,경부선,광명,3206,2464,3206,2464
202001,경부선,구로,20055,20091,20055,20091
202001,경부선,군포,7967,7653,7967,7653
202001,경부선,금정,27832,28859,27832,28859
202001,경부선,금천구청,12657,12297,12657,12297
202001,경부선,남영,10990,11844,10990,11844
202001,경부선,노량진,10652,10347,10652,10347
202001,경부선,당정,7160,6821,7160,6821
202001,경부선,대방,15499,16003,15499,16003
202001,경부선,독산,18364,19195,18364,19195
202001,경부선,두정,4343,4365,4343,4365
202001,경부선,명학,10033,9772,10033,9772
202001,경부선,병점,14824,14757,14824,14757
202001,경부선,서동탄,1721,1341,1721,1341
202001,경부선,서울역,6449,1517,6449,1517
202001,경부선,서정리,5051,5123,5051,5123
202001,경부선,석수,11441,9901,11441,9901
202001,경부선,성균관대,15144,14985,15144,14985
202001,경부선,성환,3161,3231,3161,3231
202001,경부선,세류,3441,3152,3441,3152
202001,경부선,세마,2692,2455,2692,2455
202001,경부선,송탄,3839,3742,3839,3742
202001,경부선,수원,37975,40293,37975,40293
202001,경부선,신길,10212,8540,10212,8540
202001,경부선,신도림,3740,3989,3740,3989
202001,경부선,안양,23896,24327,23896,24327
202001,경부선,영등포,45646,46872,45646,46872
202001,경부선,오산,9278,9249,9278,9249
202001,경부선,오산대,2984,2573,2984,2573
202001,경부선,용산,37362,38021,37362,38021
202001,경부선,의왕,9565,9414,9565,9414
202001,경부선,지제,2427,2186,2427,2186
202001,경부선,직산,785,743,785,743
202001,경부선,진위,1623,1393,1623,1393
202001,경부선,천안,4798,4948,4798,4948
202001,경부선,평택,11308,10930,11308,10930
202001,경부선,화서,8099,7629,8099,7629
202001,경부선,가산디지털단지,20923,24065,20923,24065
202001,경부선,관악,8689,8032,8689,8032
202001,경부선,광명,3221,2605,3221,2605
202001,경부선,구로,20800,21182,20800,21182
202001,경부선,군포,8383,8170,8383,8170
202001,경부선,금정,29409,30167,29409,30167
202001,경부선,금천구청,13362,12807,13362,12807
202001,경부선,남영,11590,12073,11590,12073
202001,경부선,노량진,11756,11275,11756,11275
202001,경부선,당정,7248,6731,7248,6731
202001,경부선,대방,16246,16426,16246,16426
202001,경부선,독산,18797,19680,18797,19680
202001,경부선,두정,4855,4807,4855,4807
202001,경부선,명학,10454,10078,10454,10078
202001,경부선,병점,15930,15848,15930,15848
202001,경부선,서동탄,1879,1549,1879,1549
202001,경부선,서울역,6301,1509,6301,1509
202001,경부선,서정리,5339,5561,5339,5561
202001,경부선,석수,11887,10345,11887,10345
202001,경부선,성균관대,15749,15582,15749,15582
202001,경부선,성환,3121,3173,3121,3173
202001,경부선,세류,3459,3292,3459,3292
202001,경부선,세마,2866,2580,2866,2580
202001,경부선,송탄,4404,4079,4404,4079
202001,경부선,수원,40625,43110,40625,43110
202001,경부선,신길,10537,8896,10537,8896
202001,경부선,신도림,4327,4369,4327,4369
202001,경부선,안양,25531,25846,25531,25846
202001,경부선,영등포,48533,50457,48533,50457
202001,경부선,오산,9985,10127,9985,10127
202001,경부선,오산대,2974,2532,2974,2532
202001,경부선,용산,41335,41620,41335,41620
202001,경부선,의왕,10225,10023,10225,10023
202001,경부선,지제,2571,2293,2571,2293
202001,경부선,직산,802,790,802,790
202001,경부선,진위,1710,1448,1710,1448
202001,경부선,천안,5112,5171,5112,5171
202001,경부선,평택,11944,11608,11944,11608
202001,경부선,화서,8665,8321,8665,8321
202001,경부선,가산디지털단지,21101,24259,21101,24259
202001,경부선,관악,8944,8335,8944,8335
202001,경부선,광명,3394,2553,3394,2553
202001,경부선,구로,21116,21371,21116,21371
202001,경부선,군포,8253,8106,8253,8106
202001,경부선,금정,29717,30447,29717,30447
202001,경부선,금천구청,13618,13053,13618,13053
202001,경부선,남영,11852,12516,11852,12516
202001,경부선,노량진,12188,11574,12188,11574
202001,경부선,당정,7485,6960,7485,6960
202001,경부선,대방,16247,16560,16247,16560
202001,경부선,독산,18923,19632,18923,19632
202001,경부선,두정,5134,5068,5134,5068
202001,경부선,명학,10311,9972,10311,9972
202001,경부선,병점,16082,16210,16082,16210
202001,경부선,서동탄,1969,1566,1969,1566
202001,경부선,서울역,6847,1587,6847,1587
202001,경부선,서정리,5423,5545,5423,5545
202001,경부선,석수,12330,10705,12330,10705
202001,경부선,성균관대,16248,15797,16248,15797
202001,경부선,성환,3461,3397,3461,3397
202001,경부선,세류,3774,3467,3774,3467
202001,경부선,세마,3016,2645,3016,2645
202001,경부선,송탄,4347,4159,4347,4159
202001,경부선,수원,41907,44311,41907,44311
202001,경부선,신길,10833,9013,10833,9013
202001,경부선,신도림,4296,4403,4296,4403
202001,경부선,안양,26150,26285,26150,26285
202001,경부선,영등포,48938,50808,48938,50808
202001,경부선,오산,9986,9988,9986,9988
202001,경부선,오산대,3119,2698,3119,2698
202001,경부선,용산,40784,41838,40784,41838
202001,경부선,의왕,10384,10101,10384,10101
202001,경부선,지제,2614,2311,2614,2311
202001,경부선,직산,795,844,795,844
202001,경부선,진위,1633,1469,1633,1469
202001,경부선,천안,5750,5806,5750,5806
202001,경부선,평택,12691,12144,12691,12144
202001,경부선,화서,8847,8480,8847,8480
202001,경부선,가산디지털단지,21493,24648,21493,24648
202001,경부선,관악,9081,8278,9081,8278
202001,경부선,광명,3985,3176,3985,3176
202001,경부선,구로,21599,22058,21599,22058
202001,경부선,군포,8681,8370,8681,8370
202001,경부선,금정,31571,31810,31571,31810
202001,경부선,금천구청,14051,13641,14051,13641
202001,경부선,남영,11877,12401,11877,12401
202001,경부선,노량진,12987,12198,12987,12198
202001,경부선,당정,8009,7358,8009,7358
202001,경부선,대방,16718,16822,16718,16822
202001,경부선,독산,19354,19793,19354,19793
202001,경부선,두정,6030,5967,6030,5967
202001,경부선,명학,10595,10091,10595,10091
202001,경부선,병점,18186,17591,18186,17591
202001,경부선,서동탄,2080,1702,2080,1702
202001,경부선,서울역,9219,2039,9219,2039
202001,경부선,서정리,6246,5844,6246,5844
202001,경부선,석수,12802,10591,12802,10591
202001,경부선,성균관대,17321,17017,17321,17017
202001,경부선,성환,3988,3623,3988,3623
202001,경부선,세류,4242,3670,4242,3670
202001,경부선,세마,3309,2766,3309,2766
202001,경부선,송탄,5081,4519,5081,4519
202001,경부선,수원,46215,50376,46215,50376
202001,경부선,신길,10887,9032,10887,9032
202001,경부선,신도림,4434,4643,4434,4643
202001,경부선,안양,27438,28163,27438,28163
202001,경부선,영등포,55546,59370,55546,59370
202001,경부선,오산,11488,10966,11488,10966
202001,경부선,오산대,3387,2852,3387,2852
202001,경부선,용산,47864,48107,47864,48107
202001,경부선,의왕,10751,10269,10751,10269
202001,경부선,지제,3140,2630,3140,2630
202001,경부선,직산,957,868,957,868
202001,경부선,진위,2123,1548,2123,1548
202001,경부선,천안,6452,6681,6452,6681
202001,경부선,평택,14721,13806,14721,13806
202001,경부선,화서,9176,8528,9176,8528
202001,경부선,가산디지털단지,20921,24134,20921,24134
202001,경부선,관악,8571,7882,8571,7882
202001,경부선,광명,3351,2664,3351,2664
202001,경부선,구로,21096,21068,21096,21068
202001,경부선,군포,8226,8301,8226,8301
202001,경부선,금정,29410,30570,29410,30570
202001,경부선,금천구청,13478,13075,13478,13075
202001,경부선,남영,11233,11852,11233,11852
202001,경부선,노량진,11407,10953,11407,10953
202001,경부선,당정,7282,6777,7282,6777
202001,경부선,대방,15840,16175,15840,16175
202001,경부선,독산,19132,19832,19132,19832
202001,경부선,두정,4828,5081,4828,5081
202001,경부선,명학,10528,10134,10528,10134
202001,경부선,병점,15801,15985,15801,15985
202001,경부선,서동탄,1911,1468,1911,1468
202001,경부선,서울역,6940,1696,6940,1696
202001,경부선,서정리,5412,5605,5412,5605
202001,경부선,석수,12320,10166,12320,10166
202001,경부선,성균관대,15929,15830,15929,15830
202001,경부선,성환,3287,3509,3287,3509
202001,경부선,세류,3771,3352,3771,3352
202001,경부선,세마,2919,2548,2919,2548
202001,경부선,송탄,4359,4088,4359,4088
202001,경부선,수원,40531,43755,40531,43755
202001,경부선,신길,10770,9048,10770,9048
202001,경부선,신도림,4221,4340,4221,4340
202001,경부선,안양,25511,25699,25511,25699
202001,경부선,영등포,47711,49383,47711,49383
202001,경부선,오산,10380,10617,10380,10617
202001,경부선,오산대,3003,2566,3003,2566
202001,경부선,용산,39755,41741,39755,41741
202001,경부선,의왕,10136,9827,10136,9827
202001,경부선,지제,2642,2339,2642,2339
202001,경부선,직산,822,828,822,828
202001,경부선,진위,1600,1464,1600,1464
202001,경부선,천안,5739,5960,5739,5960
202001,경부선,평택,12746,12354,12746,12354
202001,경부선,화서,8733,8270,8733,8270
202001,경부선,가산디지털단지,20917,24164,20917,24164
202001,경부선,관악,8836,8109,8836,8109
202001,경부선,광명,3180,2453,3180,2453
202001,경부선,구로,21068,21444,21068,21444
202001,경부선,군포,8246,8126,8246,8126
202001,경부선,금정,29557,30241,29557,30241
202001,경부선,금천구청,13429,12988,13429,12988
202001,경부선,남영,11271,11831,11271,11831
202001,경부선,노량진,11829,11270,11829,11270
202001,경부선,당정,7279,6885,7279,6885
202001,경부선,대방,15968,16407,15968,16407
202001,경부선,독산,19122,19973,19122,19973
202001,경부선,두정,5003,5015,5003,5015
202001,경부선,명학,10499,10091,10499,10091
202001,경부선,병점,15843,15682,15843,15682
202001,경부선,서동탄,1897,1545,1897,1545
202001,경부선,서울역,6363,1583,6363,1583
202001,경부선,서정리,5265,5360,5265,5360
202001,경부선,석수,12142,10458,12142,10458
202001,경부선,성균관대,15872,15966,15872,15966
202001,경부선,성환,3441,3425,3441,3425
202001,경부선,세류,3672,3382,3672,3382
202001,경부선,세마,2795,2569,2795,2569
202001,경부선,송탄,4222,3954,4222,3954
202001,경부선,수원,40225,42814,40225,42814
202001,경부선,신길,10662,9152,10662,9152
202001,경부선,신도림,4224,4293,4224,4293
202001,경부선,안양,25894,26129,25894,26129
202001,경부선,영등포,48332,50032,48332,50032
202001,경부선,오산,9971,9925,9971,9925
202001,경부선,오산대,2970,2515,2970,2515
202001,경부선,용산,39054,40246,39054,40246
202001,경부선,의왕,10258,9964,10258,9964
202001,경부선,지제,2539,2260,2539,2260
202001,경부선,직산,806,781,806,781
202001,경부선,진위,1625,1414,1625,1414
202001,경부선,천안,5840,5730,5840,5730
202001,경부선,평택,12084,11741,12084,11741
202001,경부선,화서,8703,8308,8703,8308
202001,경부선,가산디지털단지,20873,24391,20873,24391
202001,경부선,관악,8679,7894,8679,7894
202001,경부선,광명,3208,2528,3208,2528
202001,경부선,구로,21158,21381,21158,21381
202001,경부선,군포,8388,8218,8388,8218
202001,경부선,금정,30163,30905,30163,30905
202001,경부선,금천구청,13434,13217,13434,13217
202001,경부선,남영,11401,11878,11401,11878
202001,경부선,노량진,11909,11536,11909,11536
202001,경부선,당정,7441,6928,7441,6928
202001,경부선,대방,16121,16424,16121,16424
202001,경부선,독산,19230,19982,19230,19982
202001,경부선,두정,5021,5052,5021,5052
202001,경부선,명학,10517,10239,10517,10239
202001,경부선,병점,16033,16019,16033,16019
202001,경부선,서동탄,1902,1565,1902,1565
202001,경부선,서울역,6827,1719,6827,1719
202001,경부선,서정리,5508,5536,5508,5536
202001,경부선,석수,12080,10360,12080,10360
202001,경부선,성균관대,16197,16035,16197,16035
202001,경부선,성환,3285,3301,3285,3301
202001,경부선,세류,3660,3283,3660,3283
202001,경부선,세마,2907,2566,2907,2566
202001,경부선,송탄,4246,4136,4246,4136
202001,경부선,수원,40785,43480,40785,43480
202001,경부선,신길,10767,9171,10767,9171
202001,경부선,신도림,4427,4540,4427,4540
202001,경부선,안양,25721,26044,25721,26044
202001,경부선,영등포,49207,50733,49207,50733
202001,경부선,오산,10097,10029,10097,10029
202001,경부선,오산대,3025,2638,3025,2638
202001,경부선,용산,40236,41363,40236,41363
202001,경부선,의왕,10229,9902,10229,9902
202001,경부선,지제,2594,2332,2594,2332
202001,경부선,직산,827,803,827,803
202001,경부선,진위,1637,1429,1637,1429
202001,경부선,천안,5543,5670,5543,5670
202001,경부선,평택,12458,12063,12458,12063
202001,경부선,화서,8709,8251,8709,8251
202001,경부선,가산디지털단지,20789,24301,20789,24301
202001,경부선,관악,8850,7978,8850,7978
202001,경부선,광명,3420,2558,3420,2558
202001,경부선,구로,20944,21271,20944,21271
202001,경부선,군포,8171,8087,8171,8087
202001,경부선,금정,29975,30753,29975,30753
202001,경부선,금천구청,13469,13089,13469,13089
202001,경부선,남영,11423,12052,11423,12052
202001,경부선,노량진,12124,11618,12124,11618
202001,경부선,당정,7370,6934,7370,6934
202001,경부선,대방,15980,16503,15980,16503
202001,경부선,독산,19202,19937,19202,19937
202001,경부선,두정,4945,4930,4945,4930
202001,경부선,명학,10447,10029,10447,10029
202001,경부선,병점,15797,15716,15797,15716
202001,경부선,서동탄,1955,1561,1955,1561
202001,경부선,서울역,7286,1694,7286,1694
202001,경부선,서정리,5445,5420,5445,5420
202001,경부선,석수,12248,10400,12248,10400
202001,경부선,성균관대,16158,15912,16158,15912
202001,경부선,성환,3227,3293,3227,3293
202001,경부선,세류,3775,3467,3775,3467
202001,경부선,세마,2821,2561,2821,2561
202001,경부선,송탄,4280,4193,4280,4193
202001,경부선,수원,40699,43559,40699,43559
202001,경부선,신길,10901,8905,10901,8905
202001,경부선,신도림,4422,4348,4422,4348
202001,경부선,안양,26244,26350,26244,26350
202001,경부선,영등포,49601,51110,49601,51110
202001,경부선,오산,9699,9622,9699,9622
202001,경부선,오산대,2986,2659,2986,2659
202001,경부선,용산,41784,42155,41784,42155
202001,경부선,의왕,10376,9939,10376,9939
202001,경부선,지제,2532,2316,2532,2316
202001,경부선,직산,751,788,751,788
202001,경부선,진위,1669,1406,1669,1406
202001,경부선,천안,5572,5485,5572,5485
202001,경부선,평택,12800,11999,12800,11999
202001,경부선,화서,8728,8340,8728,8340
202001,경부선,가산디지털단지,21572,24614,21572,24614
202001,경부선,관악,9019,8055,9019,8055
202001,경부선,광명,4046,3052,4046,3052
202001,경부선,구로,21185,21948,21185,21948
202001,경부선,군포,8486,8321,8486,8321
202001,경부선,금정,31344,32005,31344,32005
202001,경부선,금천구청,14033,13472,14033,13472
202001,경부선,남영,11438,12135,11438,12135
202001,경부선,노량진,12892,12148,12892,12148
202001,경부선,당정,7538,6934,7538,6934
202001,경부선,대방,16267,16256,16267,16256
202001,경부선,독산,19649,20326,19649,20326
202001,경부선,두정,5801,5661,5801,5661
202001,경부선,명학,10578,9933,10578,9933
202001,경부선,병점,17615,16820,17615,16820
202001,경부선,서동탄,2061,1618,2061,1618
202001,경부선,서울역,9335,2114,9335,2114
202001,경부선,서정리,6326,5845,6326,5845
202001,경부선,석수,12533,10517,12533,10517
202001,경부선,성균관대,16919,16457,16919,16457
202001,경부선,성환,3929,3429,3929,3429
202001,경부선,세류,4017,3753,4017,3753
202001,경부선,세마,3165,2691,3165,2691
202001,경부선,송탄,5183,4658,5183,4658
202001,경부선,수원,44738,48875,44738,48875
202001,경부선,신길,10957,9081,10957,9081
202001,경부선,신도림,4507,4595,4507,4595
202001,경부선,안양,27114,27786,27114,27786
202001,경부선,영등포,55127,58588,55127,58588
202001,경부선,오산,11106,10592,11106,10592
202001,경부선,오산대,3305,2830,3305,2830
202001,경부선,용산,47104,47111,47104,47111
202001,경부선,의왕,10642,10134,10642,10134
202001,경부선,지제,2945,2516,2945,2516
202001,경부선,직산,958,864,958,864
202001,경부선,진위,1959,1475,1959,1475
202001,경부선,천안,6115,6126,6115,6126
202001,경부선,평택,14137,13459,14137,13459
202001,경부선,화서,8962,8389,8962,8389
202001,경부선,가산디지털단지,21034,24461,21034,24461
202001,경부선,관악,8521,7737,8521,7737
202001,경부선,광명,3433,2757,3433,2757
202001,경부선,구로,21074,21362,21074,21362
202001,경부선,군포,8259,8242,8259,8242
202001,경부선,금정,29850,31023,29850,31023
202001,경부선,금천구청,13875,13204,13875,13204
202001,경부선,남영,11411,12000,11411,12000
202001,경부선,노량진,11622,11177,11622,11177
202001,경부선,당정,7255,6907,7255,6907
202001,경부선,대방,15780,16121,15780,16121
202001,경부선,독산,19588,20056,19588,20056
202001,경부선,두정,4849,4999,4849,4999
202001,경부선,명학,10733,10321,10733,10321
202001,경부선,병점,15672,15796,15672,15796
202001,경부선,서동탄,1874,1533,1874,1533
202001,경부선,서울역,6868,1737,6868,1737
202001,경부선,서정리,5486,5580,5486,5580
202001,경부선,석수,11857,10230,11857,10230
202001,경부선,성균관대,16026,15717,16026,15717
202001,경부선,성환,3421,3570,3421,3570
202001,경부선,세류,3715,3432,3715,3432
202001,경부선,세마,2867,2461,2867,2461
202001,경부선,송탄,4506,4367,4506,4367
202001,경부선,수원,40508,43653,40508,43653
202001,경부선,신길,10845,8976,10845,8976
202001,경부선,신도림,4405,4435,4405,4435
202001,경부선,안양,25888,26131,25888,26131
202001,경부선,영등포,48299,50208,48299,50208
202001,경부선,오산,9985,10152,9985,10152
202001,경부선,오산대,3045,2635,3045,2635
202001,경부선,용산,38804,41186,38804,41186
202001,경부선,의왕,10299,9986,10299,9986
202001,경부선,지제,2625,2446,2625,2446
202001,경부선,직산,837,835,837,835
202001,경부선,진위,1627,1495,1627,1495
202001,경부선,천안,5629,5798,5629,5798
202001,경부선,평택,12655,12695,12655,12695
202001,경부선,화서,8554,8211,8554,8211
202001,경부선,가산디지털단지,21147,24365,21147,24365
202001,경부선,관악,8707,7992,8707,7992
202001,경부선,광명,3254,2510,3254,2510
202001,경부선,구로,20950,21494,20950,21494
202001,경부선,군포,8295,8025,8295,8025
202001,경부선,금정,29632,30378,29632,30378
202001,경부선,금천구청,13389,12911,13389,12911
202001,경부선,남영,11458,11934,11458,11934
202001,경부선,노량진,11771,11371,11771,11371
202001,경부선,당정,7660,7139,7660,7139
202001,경부선,대방,16024,16289,16024,16289
202001,경부선,독산,19208,20207,19208,20207
202001,경부선,두정,4926,4787,4926,4787
202001,경부선,명학,10216,9812,10216,9812
202001,경부선,병점,15535,15440,15535,15440
202001,경부선,서동탄,1869,1479,1869,1479
202001,경부선,서울역,6628,1730,6628,1730
202001,경부선,서정리,5360,5375,5360,5375
202001,경부선,석수,11999,10300,11999,10300
202001,경부선,성균관대,16134,15679,16134,15679
202001,경부선,성환,3448,3380,3448,3380
202001,경부선,세류,3734,3422,3734,3422
202001,경부선,세마,2862,2533,2862,2533
202001,경부선,송탄,4224,3919,4224,3919
202001,경부선,수원,40054,43167,40054,43167
202001,경부선,신길,10546,8886,10546,8886
202001,경부선,신도림,4291,4315,4291,4315
202001,경부선,안양,25665,26137,25665,26137
202001,경부선,영등포,48023,50125,48023,50125
202001,경부선,오산,9861,9730,9861,9730
202001,경부선,오산대,3026,2634,3026,2634
202001,경부선,용산,38918,41868,38918,41868
202001,경부선,의왕,10099,9813,10099,9813
202001,경부선,지제,2428,2231,2428,2231
202001,경부선,직산,859,809,859,809
202001,경부선,진위,1574,1339,1574,1339
202001,경부선,천안,5475,5650,5475,5650
202001,경부선,평택,12175,11759,12175,11759
