사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,경원선,가능,7271,6959,7271,6959
202001,경원선,광운대,9609,9166,9609,9166
202001,경원선,녹양,5259,4911,5259,4911
202001,경원선,녹천,5339,4396,5339,4396
202001,경원선,덕계,2600,2242,2600,2242
202001,경원선,덕정,6292,6090,6292,6090
202001,경원선,도봉,6603,6141,6603,6141
202001,경원선,도봉산,7191,4317,7191,4317
202001,경원선,동두천,2363,2674,2363,2674
202001,경원선,동두천중앙,3778,3570,3778,3570
202001,경원선,망월사,8098,8264,8098,8264
202001,경원선,방학,10739,10304,10739,10304
202001,경원선,보산,1724,1431,1724,1431
202001,경원선,서빙고,2148,1963,2148,1963
202001,경원선,석계,9957,11433,9957,11433
202001,경원선,소요산,2885,2188,2885,2188
202001,경원선,신이문,9832,9077,9832,9077
202001,경원선,양주,8948,8219,8948,8219
202001,경원선,옥수,54,22,54,22
202001,경원선,왕십리,16250,17872,16250,17872
202001,경원선,외대앞,9922,9931,9922,9931
202001,경원선,월계,6434,5902,6434,5902
202001,경원선,응봉,1939,1672,1939,1672
202001,경원선,의정부,20609,20803,20609,20803
202001,경원선,이촌,4403,3488,4403,3488
202001,경원선,지행,7560,7257,7560,7257
202001,경원선,청량리,16095,17026,16095,17026
202001,경원선,한남,4906,4845,4906,4845
202001,경원선,회룡,14141,13559,14141,13559
202001,경원선,가능,6901,6597,6901,6597
202001,경원선,광운대,8978,8425,8978,8425
202001,경원선,녹양,4820,4652,4820,4652
202001,경원선,녹천,5025,4217,5025,4217
202001,경원선,덕계,2514,2110,2514,2110
202001,경원선,덕정,5804,5619,5804,5619
202001,경원선,도봉,6332,6036,6332,6036
202001,경원선,도봉산,6411,3693,6411,3693
202001,경원선,동두천,2155,2389,2155,2389
202001,경원선,동두천중앙,3412,3273,3412,3273
202001,경원선,망월사,7910,8019,7910,8019
202001,경원선,방학,10002,9688,10002,9688
202001,경원선,보산,1518,1393,1518,1393
202001,경원선,서빙고,2112,2000,2112,2000
202001,경원선,석계,9263,10668,9263,10668
202001,경원선,소요산,2001,1641,2001,1641
202001,경원선,신이문,9478,8738,9478,8738
202001,경원선,양주,8287,7672,8287,7672
202001,경원선,옥수,39,31,39,31
202001,경원선,왕십리,15543,17667,15543,17667
202001,경원선,외대앞,9407,9461,9407,9461
202001,경원선,월계,5996,5583,5996,5583
202001,경원선,응봉,1880,1594,1880,1594
202001,경원선,의정부,19092,19643,19092,19643
202001,경원선,이촌,4165,3361,4165,3361
202001,경원선,지행,6747,6631,6747,6631
202001,경원선,청량리,14980,15971,14980,15971
202001,경원선,한남,4980,4752,4980,4752
202001,경원선,회룡,13212,12668,13212,12668
202001,경원선,가능,7176,7128,7176,7128
202001,경원선,광운대,9494,8884,9494,8884
202001,경원선,녹양,5351,5028,5351,5028
202001,경원선,녹천,5278,4513,5278,4513
202001,경원선,덕계,2618,2290,2618,2290
202001,경원선,덕정,6353,5955,6353,5955
202001,경원선,도봉,6736,6310,6736,6310
202001,경원선,도봉산,7451,4496,7451,4496
202001,경원선,동두천,2320,2691,2320,2691
202001,경원선,동두천중앙,3744,3563,3744,3563
202001,경원선,망월사,8572,8681,8572,8681
202001,경원선,방학,10914,10344,10914,10344
202001,경원선,보산,1563,1479,1563,1479
202001,경원선,서빙고,2042,1917,2042,1917
202001,경원선,석계,10134,11438,10134,11438
202001,경원선,소요산,2731,2184,2731,2184
202001,경원선,신이문,9983,9143,9983,9143
202001,경원선,양주,8742,8078,8742,8078
202001,경원선,옥수,50,35,50,35
202001,경원선,왕십리,17183,19234,17183,19234
202001,경원선,외대앞,10397,10089,10397,10089
202001,경원선,월계,6577,6241,6577,6241
202001,경원선,응봉,2059,1750,2059,1750
202001,경원선,의정부,21219,21824,21219,21824
