사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,경의선,가좌,5794,5322,5794,5322
202001,경의선,강매,3242,2741,3242,2741
202001,경의선,곡산,616,636,616,636
202001,경의선,공덕,4070,3601,4070,3601
202001,경의선,금릉,4863,4682,4863,4682
202001,경의선,금촌,7442,7136,7442,7136
202001,경의선,능곡,3961,3562,3961,3562
202001,경의선,디지털미디어시티,2682,2486,2682,2486
202001,경의선,문산,6024,5783,6024,5783
202001,경의선,백마,7700,7114,7700,7114
202001,경의선,서강대,2334,2326,2334,2326
202001,경의선,서울역,4859,6400,4859,6400
202001,경의선,수색,2616,2671,2616,2671
202001,경의선,신촌,1055,1366,1055,1366
202001,경의선,야당,5947,5589,5947,5589
202001,경의선,운정,6672,6097,6672,6097
202001,경의선,월롱,2187,2029,2187,2029
202001,경의선,일산,10021,9695,10021,9695
202001,경의선,탄현,8376,8089,8376,8089
202001,경의선,파주,1260,969,1260,969
202001,경의선,풍산,5831,5346,5831,5346
202001,경의선,행신,8881,8688,8881,8688
202001,경의선,홍대입구,1877,2309,1877,2309
202001,경의선,화전,2139,2000,2139,2000
202001,경의선,효창공원앞,3301,3655,3301,3655
202001,경의선,가좌,5630,5213,5630,5213
202001,경의선,강매,3095,2642,3095,2642
202001,경의선,곡산,561,568,561,568
202001,경의선,공덕,4031,3309,4031,3309
202001,경의선,금릉,4503,4469,4503,4469
202001,경의선,금촌,6613,6478,6613,6478
202001,경의선,능곡,3804,3447,3804,3447
202001,경의선,디지털미디어시티,2568,2346,2568,2346
202001,경의선,문산,5327,5336,5327,5336
202001,경의선,백마,7204,6849,7204,6849
202001,경의선,서강대,2352,2272,2352,2272
202001,경의선,서울역,4601,5779,4601,5779
202001,경의선,수색,2586,2666,2586,2666
202001,경의선,신촌,1002,1248,1002,1248
202001,경의선,야당,5729,5364,5729,5364
202001,경의선,운정,6305,5781,6305,5781
202001,경의선,월롱,2073,1876,2073,1876
202001,경의선,일산,9413,9385,9413,9385
202001,경의선,탄현,8010,7901,8010,7901
202001,경의선,파주,1152,836,1152,836
202001,경의선,풍산,5617,5144,5617,5144
202001,경의선,행신,8681,8363,8681,8363
202001,경의선,홍대입구,1789,2075,1789,2075
202001,경의선,화전,1950,1731,1950,1731
202001,경의선,효창공원앞,3202,3581,3202,3581
202001,경의선,가좌,5916,5455,5916,5455
202001,경의선,강매,3305,2722,3305,2722
202001,경의선,계양,1,0,1,0
202001,경의선,곡산,627,634,627,634
202001,경의선,공덕,4131,3500,4131,3500
202001,경의선,금릉,5023,4846,5023,4846
202001,경의선,금촌,7196,7090,7196,7090
202001,경의선,능곡,3965,3597,3965,3597
202001,경의선,디지털미디어시티,2657,2452,2657,2452
202001,경의선,문산,5782,5619,5782,5619
202001,경의선,백마,7732,7163,7732,7163
202001,경의선,서강대,2489,2463,2489,2463
202001,경의선,서울역,4833,6342,4833,6342
202001,경의선,수색,2621,2720,2621,2720
202001,경의선,신촌,1144,1424,1144,1424
202001,경의선,야당,6160,5957,6160,5957
202001,경의선,운정,6672,6137,6672,6137
202001,경의선,월롱,2315,2038,2315,2038
202001,경의선,일산,10828,10811,10828,10811
202001,경의선,탄현,8369,8159,8369,8159
202001,경의선,파주,1270,933,1270,933
