사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,경인선,간석,6942,6526,6942,6526
202001,경인선,개봉,24820,25219,24820,25219
202001,경인선,구일,7317,7348,7317,7348
202001,경인선,도원,3941,4170,3941,4170
202001,경인선,도화,4451,3951,4451,3951
202001,경인선,동암,18240,18126,18240,18126
202001,경인선,동인천,16443,15502,16443,15502
202001,경인선,백운,8654,8504,8654,8504
202001,경인선,부개,9919,9336,9919,9336
202001,경인선,부천,38738,38918,38738,38918
202001,경인선,부평,36394,38623,36394,38623
202001,경인선,소사,11147,10596,11147,10596
202001,경인선,송내,33193,32819,33193,32819
202001,경인선,역곡,31687,31240,31687,31240
202001,경인선,오류동,13596,12728,13596,12728
202001,경인선,온수,7474,7388,7474,7388
202001,경인선,인천,3175,2465,3175,2465
202001,경인선,제물포,11902,11012,11902,11012
202001,경인선,주안,22784,20708,22784,20708
202001,경인선,중동,10648,9962,10648,9962
202001,경인선,간석,6762,6354,6762,6354
202001,경인선,개봉,23714,24491,23714,24491
202001,경인선,구일,6890,6929,6890,6929
202001,경인선,도원,3510,3593,3510,3593
202001,경인선,도화,4090,3737,4090,3737
202001,경인선,동암,17409,17340,17409,17340
202001,경인선,동인천,15474,14857,15474,14857
202001,경인선,백운,8278,8049,8278,8049
202001,경인선,부개,9620,9078,9620,9078
202001,경인선,부천,36508,36564,36508,36564
202001,경인선,부평,34009,36143,34009,36143
202001,경인선,소사,10502,10107,10502,10107
202001,경인선,송내,32352,32161,32352,32161
202001,경인선,역곡,30363,29991,30363,29991
202001,경인선,오류동,12979,12192,12979,12192
202001,경인선,온수,7072,7023,7072,7023
202001,경인선,인천,2926,1972,2926,1972
202001,경인선,제물포,10920,10421,10920,10421
202001,경인선,주안,21754,19574,21754,19574
202001,경인선,중동,10215,9648,10215,9648
202001,경인선,간석,7073,6708,7073,6708
202001,경인선,개봉,25517,25360,25517,25360
202001,경인선,구일,7201,7122,7201,7122
202001,경인선,도원,4072,4186,4072,4186
202001,경인선,도화,4483,4118,4483,4118
202001,경인선,동암,18226,18185,18226,18185
202001,경인선,동인천,17625,16765,17625,16765
202001,경인선,백운,8973,8739,8973,8739
202001,경인선,부개,9983,9308,9983,9308
202001,경인선,부천,39427,39716,39427,39716
202001,경인선,부평,36874,39816,36874,39816
202001,경인선,소사,11131,10644,11131,10644
202001,경인선,송내,33857,33455,33857,33455
202001,경인선,역곡,32028,31527,32028,31527
202001,경인선,오류동,13765,12965,13765,12965
202001,경인선,온수,7599,7614,7599,7614
202001,경인선,인천,3596,2616,3596,2616
202001,경인선,제물포,11619,10997,11619,10997
202001,경인선,주안,23308,21218,23308,21218
202001,경인선,중동,10634,9922,10634,9922
202001,경인선,간석,7184,6797,7184,6797
202001,경인선,개봉,26006,26184,26006,26184
202001,경인선,구일,7322,7358,7322,7358
202001,경인선,도원,3846,4030,3846,4030
202001,경인선,도화,4354,3957,4354,3957
202001,경인선,동암,18582,18455,18582,18455
202001,경인선,동인천,17709,16778,17709,16778
202001,경인선,백운,8822,8598,8822,8598
202001,경인선,부개,10029,9302,10029,9302
202001,경인선,부천,40007,40702,40007,40702
202001,경인선,부평,37097,39742,37097,39742
202001,경인선,소사,11234,10518,11234,10518
202001,경인선,송내,34575,33988,34575,33988
202001,경인선,역곡,32517,32125,32517,32125
202001,경인선,오류동,13948,12948,13948,12948
202001,경인선,온수,7737,7584,7737,7584
202001,경인선,인천,3981,3030,3981,3030
202001,경인선,제물포,11833,11213,11833,11213
202001,경인선,주안,23277,21193,23277,21193
202001,경인선,중동,10820,10074,10820,10074
202001,경인선,간석,7182,6800,7182,6800
202001,경인선,개봉,26220,26068,26220,26068
202001,경인선,구일,7358,7290,7358,7290
202001,경인선,도원,4154,4152,4154,4152
202001,경인선,도화,4624,4029,4624,4029
202001,경인선,동암,19343,19371,19343,19371
202001,경인선,동인천,18212,17041,18212,17041
202001,경인선,백운,9367,8862,9367,8862
202001,경인선,부개,10292,9400,10292,9400
202001,경인선,부천,42309,43944,42309,43944
202001,경인선,부평,39439,45272,39439,45272
202001,경인선,소사,11394,10675,11394,10675
202001,경인선,송내,35223,34469,35223,34469
202001,경인선,역곡,33761,32754,33761,32754
202001,경인선,오류동,13951,12871,13951,12871
202001,경인선,온수,7936,7617,7936,7617
202001,경인선,인천,4002,3017,4002,3017
202001,경인선,제물포,12033,11141,12033,11141
202001,경인선,주안,24839,22120,24839,22120
202001,경인선,중동,10891,10200,10891,10200
202001,경인선,간석,6973,6515,6973,6515
202001,경인선,개봉,25140,25129,25140,25129
202001,경인선,구일,7215,7176,7215,7176
202001,경인선,도원,4093,4185,4093,4185
202001,경인선,도화,4363,3934,4363,3934
202001,경인선,동암,18404,18048,18404,18048
202001,경인선,동인천,16702,15717,16702,15717
202001,경인선,백운,8890,8635,8890,8635
202001,경인선,부개,9947,9250,9947,9250
202001,경인선,부천,40126,39980,40126,39980
202001,경인선,부평,37070,39589,37070,39589
202001,경인선,소사,11441,10838,11441,10838
202001,경인선,송내,33671,32966,33671,32966
202001,경인선,역곡,31858,31367,31858,31367
202001,경인선,오류동,14031,13075,14031,13075
202001,경인선,온수,7478,7278,7478,7278
202001,경인선,인천,3587,2682,3587,2682
202001,경인선,제물포,11302,10639,11302,10639
202001,경인선,주안,23255,21014,23255,21014
202001,경인선,중동,10732,10033,10732,10033
202001,경인선,간석,7168,6719,7168,6719
202001,경인선,개봉,25542,25488,25542,25488
202001,경인선,구일,7147,7191,7147,7191
202001,경인선,도원,3790,3879,3790,3879
202001,경인선,도화,4413,4008,4413,4008
202001,경인선,동암,18706,18433,18706,18433
202001,경인선,동인천,16659,15896,16659,15896
202001,경인선,백운,8904,8643,8904,8643
202001,경인선,부개,10006,9356,10006,9356
202001,경인선,부천,39647,40164,39647,40164
202001,경인선,부평,36337,38831,36337,38831
202001,경인선,소사,11430,10970,11430,10970
