사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,과천선,경마공원,933,942,933,942
202001,과천선,과천,5473,5059,5473,5059
202001,과천선,대공원,1449,1579,1449,1579
202001,과천선,범계,30802,29852,30802,29852
202001,과천선,선바위,10104,8489,10104,8489
202001,과천선,인덕원,27544,28847,27544,28847
202001,과천선,정부과천청사,13298,13040,13298,13040
202001,과천선,평촌,21089,20871,21089,20871
202001,과천선,경마공원,977,1035,977,1035
202001,과천선,과천,5511,5009,5511,5009
202001,과천선,대공원,1620,1717,1620,1717
202001,과천선,범계,30141,29565,30141,29565
202001,과천선,선바위,9967,8258,9967,8258
202001,과천선,인덕원,27126,28410,27126,28410
202001,과천선,정부과천청사,12213,12088,12213,12088
202001,과천선,평촌,20450,20314,20450,20314
202001,과천선,경마공원,2526,2481,2526,2481
202001,과천선,과천,5727,5309,5727,5309
202001,과천선,대공원,2283,2387,2283,2387
202001,과천선,범계,32101,31560,32101,31560
202001,과천선,선바위,10369,8568,10369,8568
202001,과천선,인덕원,28361,29351,28361,29351
202001,과천선,정부과천청사,16002,15949,16002,15949
202001,과천선,평촌,20996,20826,20996,20826
202001,과천선,경마공원,2506,2601,2506,2601
202001,과천선,과천,5946,5306,5946,5306
202001,과천선,대공원,2839,2973,2839,2973
202001,과천선,범계,32153,29999,32153,29999
202001,과천선,선바위,10418,8913,10418,8913
202001,과천선,인덕원,29195,30145,29195,30145
202001,과천선,정부과천청사,12776,12771,12776,12771
202001,과천선,평촌,21739,21447,21739,21447
202001,과천선,경마공원,7951,8140,7951,8140
202001,과천선,과천,6087,5450,6087,5450
202001,과천선,대공원,2680,2816,2680,2816
202001,과천선,범계,34377,33868,34377,33868
202001,과천선,선바위,11236,8997,11236,8997
202001,과천선,인덕원,30259,31004,30259,31004
202001,과천선,정부과천청사,13106,12554,13106,12554
202001,과천선,평촌,21845,19726,21845,19726
202001,과천선,경마공원,1069,1023,1069,1023
202001,과천선,과천,5602,5141,5602,5141
202001,과천선,대공원,1963,2096,1963,2096
202001,과천선,범계,31205,30601,31205,30601
202001,과천선,선바위,10082,8540,10082,8540
202001,과천선,인덕원,28250,29065,28250,29065
202001,과천선,정부과천청사,13263,12932,13263,12932
202001,과천선,평촌,21118,21211,21118,21211
202001,과천선,경마공원,1080,1067,1080,1067
202001,과천선,과천,5989,5458,5989,5458
202001,과천선,대공원,3006,3129,3006,3129
202001,과천선,범계,32066,31316,32066,31316
202001,과천선,선바위,10368,8708,10368,8708
202001,과천선,인덕원,28635,29514,28635,29514
202001,과천선,정부과천청사,12944,12704,12944,12704
202001,과천선,평촌,21111,20903,21111,20903
202001,과천선,경마공원,3052,3021,3052,3021
202001,과천선,과천,5998,5495,5998,5495
202001,과천선,대공원,2637,2755,2637,2755
202001,과천선,범계,32204,31375,32204,31375
202001,과천선,선바위,10494,8914,10494,8914
202001,과천선,인덕원,28674,29613,28674,29613
202001,과천선,정부과천청사,16168,16231,16168,16231
202001,과천선,평촌,21469,21232,21469,21232
202001,과천선,경마공원,2848,2822,2848,2822
202001,과천선,과천,5886,5273,5886,5273
202001,과천선,대공원,2789,2958,2789,2958
202001,과천선,범계,32209,31346,32209,31346
202001,과천선,선바위,10402,8794,10402,8794
202001,과천선,인덕원,29010,29692,29010,29692
202001,과천선,정부과천청사,12836,12682,12836,12682
202001,과천선,평촌,21344,21063,21344,21063
202001,과천선,경마공원,8247,8420,8247,8420
202001,과천선,과천,6254,5484,6254,5484
202001,과천선,대공원,2895,2962,2895,2962
202001,과천선,범계,34179,33841,34179,33841
202001,과천선,선바위,11208,9039,11208,9039
202001,과천선,인덕원,30537,31150,30537,31150
202001,과천선,정부과천청사,13385,12956,13385,12956
202001,과천선,평촌,21858,21385,21858,21385
202001,과천선,경마공원,1117,1093,1117,1093
202001,과천선,과천,5679,5229,5679,5229
202001,과천선,대공원,2045,2103,2045,2103
202001,과천선,범계,31667,30703,31667,30703
202001,과천선,선바위,10177,8603,10177,8603
202001,과천선,인덕원,27788,28650,27788,28650
202001,과천선,정부과천청사,12540,12378,12540,12378
202001,과천선,평촌,21160,20756,21160,20756
202001,과천선,경마공원,1858,1820,1858,1820
202001,과천선,과천,5921,5458,5921,5458
202001,과천선,대공원,2672,2827,2672,2827
202001,과천선,범계,31671,31143,31671,31143
202001,과천선,선바위,10454,8744,10454,8744
202001,과천선,인덕원,28366,29077,28366,29077
202001,과천선,정부과천청사,13145,12880,13145,12880
202001,과천선,평촌,21169,21078,21169,21078
202001,과천선,경마공원,2985,2965,2985,2965
202001,과천선,과천,5840,5272,5840,5272
202001,과천선,대공원,2466,2581,2466,2581
202001,과천선,범계,32225,31596,32225,31596
202001,과천선,선바위,10429,8791,10429,8791
202001,과천선,인덕원,28544,29191,28544,29191
202001,과천선,정부과천청사,15869,15980,15869,15980
202001,과천선,평촌,21370,21031,21370,21031
202001,과천선,경마공원,2124,2134,2124,2134
202001,과천선,과천,5305,4747,5305,4747
202001,과천선,대공원,2400,2575,2400,2575
202001,과천선,범계,30433,30948,30433,30948
202001,과천선,선바위,9436,7873,9436,7873
202001,과천선,인덕원,25983,25838,25983,25838
202001,과천선,정부과천청사,11092,10755,11092,10755
202001,과천선,평촌,19210,18816,19210,18816
202001,과천선,경마공원,437,414,437,414
202001,과천선,과천,2067,1755,2067,1755
202001,과천선,대공원,2763,2830,2763,2830
202001,과천선,범계,11316,10719,11316,10719
202001,과천선,선바위,2746,2538,2746,2538
202001,과천선,인덕원,8823,8461,8823,8461
202001,과천선,정부과천청사,2834,2798,2834,2798
202001,과천선,평촌,5951,5148,5951,5148
202001,과천선,경마공원,430,392,430,392
202001,과천선,과천,2388,2186,2388,2186
202001,과천선,대공원,3040,3120,3040,3120
202001,과천선,범계,15877,15597,15877,15597
202001,과천선,선바위,3312,3020,3312,3020
202001,과천선,인덕원,11351,11387,11351,11387
202001,과천선,정부과천청사,3623,3607,3623,3607
202001,과천선,평촌,6437,6610,6437,6610
202001,과천선,경마공원,966,978,966,978
202001,과천선,과천,4896,4445,4896,4445
202001,과천선,대공원,2052,2177,2052,2177
202001,과천선,범계,28722,28115,28722,28115
202001,과천선,선바위,8960,7700,8960,7700
202001,과천선,인덕원,24696,25532,24696,25532
202001,과천선,정부과천청사,11982,12043,11982,12043
202001,과천선,평촌,18593,18315,18593,18315
202001,과천선,경마공원,1901,1852,1901,1852
202001,과천선,과천,5386,4926,5386,4926
202001,과천선,대공원,2468,2652,2468,2652
202001,과천선,범계,30085,29565,30085,29565
202001,과천선,선바위,9755,8249,9755,8249
202001,과천선,인덕원,26598,27470,26598,27470
202001,과천선,정부과천청사,14927,14900,14927,14900
202001,과천선,평촌,20059,19721,20059,19721
202001,과천선,경마공원,2046,2071,2046,2071
202001,과천선,과천,5461,4948,5461,4948
202001,과천선,대공원,2443,2550,2443,2550
202001,과천선,범계,29570,28274,29570,28274
202001,과천선,선바위,9722,8453,9722,8453
202001,과천선,인덕원,27102,27470,27102,27470
202001,과천선,정부과천청사,11354,11226,11354,11226
202001,과천선,평촌,20488,20068,20488,20068
202001,과천선,경마공원,7682,7830,7682,7830
202001,과천선,과천,5518,5031,5518,5031
202001,과천선,대공원,2235,2322,2235,2322
202001,과천선,범계,30843,30743,30843,30743
202001,과천선,선바위,10140,8425,10140,8425
202001,과천선,인덕원,28125,28564,28125,28564
202001,과천선,정부과천청사,11710,11366,11710,11366
202001,과천선,평촌,20281,19921,20281,19921
202001,과천선,범계,12483,12506,12483,12506
202001,과천선,평촌,5750,5856,5750,5856
202001,과천선,인덕원,10051,10474,10051,10474
202001,과천선,정부과천청사,5647,4838,5647,4838
202001,과천선,과천,2266,2016,2266,2016
202001,과천선,대공원,1769,1797,1769,1797
202001,과천선,경마공원,901,806,901,806
202001,과천선,선바위,2779,2858,2779,2858
202001,과천선,선바위,9795,8092,9795,8092
202001,과천선,경마공원,2263,2316,2263,2316
202001,과천선,대공원,2956,3116,2956,3116
202001,과천선,과천,5655,5064,5655,5064
202001,과천선,정부과천청사,12215,11914,12215,11914
202001,과천선,인덕원,27051,27675,27051,27675
202001,과천선,평촌,19978,19849,19978,19849
202001,과천선,범계,30719,29837,30719,29837
202001,과천선,선바위,10557,8620,10557,8620
202001,과천선,경마공원,8145,8317,8145,8317
202001,과천선,대공원,2619,2703,2619,2703
202001,과천선,과천,5952,5296,5952,5296
202001,과천선,정부과천청사,12535,12336,12535,12336
202001,과천선,인덕원,28912,29177,28912,29177
202001,과천선,평촌,20967,20670,20967,20670
202001,과천선,범계,33156,32998,33156,32998
202002,과천선,경마공원,994,903,994,903
202002,과천선,과천,4858,4531,4858,4531
202002,과천선,대공원,1603,1711,1603,1711
202002,과천선,범계,26744,26060,26744,26060
202002,과천선,선바위,9136,7796,9136,7796
202002,과천선,인덕원,25164,25900,25164,25900
202002,과천선,정부과천청사,11347,11318,11347,11318
202002,과천선,평촌,18930,18959,18930,18959
202002,과천선,경마공원,921,942,921,942
202002,과천선,과천,5086,4802,5086,4802
202002,과천선,대공원,1799,1950,1799,1950
202002,과천선,범계,27235,26716,27235,26716
202002,과천선,선바위,9301,7958,9301,7958
202002,과천선,인덕원,25383,26531,25383,26531
202002,과천선,정부과천청사,10949,10779,10949,10779
202002,과천선,평촌,18968,18837,18968,18837
202002,과천선,경마공원,1908,1875,1908,1875
202002,과천선,과천,4812,4509,4812,4509
202002,과천선,대공원,1413,1490,1413,1490
202002,과천선,범계,27106,26157,27106,26157
202002,과천선,선바위,9102,7814,9102,7814
202002,과천선,인덕원,24663,25727,24663,25727
202002,과천선,정부과천청사,13611,13734,13611,13734
202002,과천선,평촌,18751,18757,18751,18757
202002,과천선,경마공원,1894,1926,1894,1926
