사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,분당선,가천대,8330,9471,8330,9471
202001,분당선,강남구청,11062,12938,11062,12938
202001,분당선,개포동,4012,4344,4012,4344
202001,분당선,구룡,1807,1752,1807,1752
202001,분당선,구성,5781,5804,5781,5804
202001,분당선,기흥,11175,10626,11175,10626
202001,분당선,대모산입구,3884,3586,3884,3586
202001,분당선,도곡,7883,8129,7883,8129
202001,분당선,망포,15383,14507,15383,14507
202001,분당선,매교,2596,2652,2596,2652
202001,분당선,매탄권선,4982,4745,4982,4745
202001,분당선,모란,22970,23055,22970,23055
202001,분당선,미금,19591,20764,19591,20764
202001,분당선,보정,3153,2774,3153,2774
202001,분당선,복정,1,0,1,0
202001,분당선,상갈,6319,5810,6319,5810
202001,분당선,서울숲,9346,9433,9346,9433
202001,분당선,서현,31889,32079,31889,32079
202001,분당선,선릉,15270,24661,15270,24661
202001,분당선,선정릉,9556,10108,9556,10108
202001,분당선,수내,15724,15676,15724,15676
202001,분당선,수서,15502,16155,15502,16155
202001,분당선,수원,9142,6202,9142,6202
202001,분당선,수원시청,12342,13688,12342,13688
202001,분당선,신갈,5652,5493,5652,5493
202001,분당선,압구정로데오,17729,19798,17729,19798
202001,분당선,야탑,31430,33035,31430,33035
202001,분당선,영통,9759,9877,9759,9877
202001,분당선,오리,13823,11756,13823,11756
202001,분당선,이매,6287,6110,6287,6110
202001,분당선,정자,19896,21307,19896,21307
202001,분당선,죽전,15584,17341,15584,17341
202001,분당선,청명,4807,4535,4807,4535
202001,분당선,태평,15252,15034,15252,15034
202001,분당선,한티,16722,17685,16722,17685
202001,분당선,가천대,8030,9220,8030,9220
202001,분당선,강남구청,11299,12956,11299,12956
202001,분당선,개포동,3809,4009,3809,4009
202001,분당선,구룡,1751,1824,1751,1824
202001,분당선,구성,5492,5540,5492,5540
202001,분당선,기흥,10714,10358,10714,10358
202001,분당선,대모산입구,3573,3355,3573,3355
202001,분당선,도곡,7794,7873,7794,7873
202001,분당선,망포,15272,14465,15272,14465
202001,분당선,매교,2463,2499,2463,2499
202001,분당선,매탄권선,4887,4781,4887,4781
202001,분당선,모란,21682,21828,21682,21828
202001,분당선,미금,18477,19864,18477,19864
202001,분당선,보정,3131,2665,3131,2665
202001,분당선,상갈,6191,5770,6191,5770
202001,분당선,서울숲,9268,9269,9268,9269
202001,분당선,서현,30633,31085,30633,31085
202001,분당선,선릉,15502,24489,15502,24489
202001,분당선,선정릉,9471,10043,9471,10043
202001,분당선,수내,15484,15624,15484,15624
202001,분당선,수서,15403,15928,15403,15928
202001,분당선,수원,8730,6117,8730,6117
202001,분당선,수원시청,12436,13648,12436,13648
202001,분당선,신갈,5545,5330,5545,5330
202001,분당선,압구정로데오,18547,20579,18547,20579
202001,분당선,야탑,30783,32578,30783,32578
202001,분당선,영통,9537,9670,9537,9670
202001,분당선,오리,13760,11625,13760,11625
202001,분당선,이매,6309,5990,6309,5990
202001,분당선,정자,19792,21290,19792,21290
202001,분당선,죽전,15194,16902,15194,16902
202001,분당선,청명,4929,4624,4929,4624
202001,분당선,태평,14861,14479,14861,14479
202001,분당선,한티,17081,17939,17081,17939
202001,분당선,가천대,8072,9296,8072,9296
202001,분당선,강남구청,11430,13336,11430,13336
202001,분당선,개포동,4190,4355,4190,4355
202001,분당선,구룡,1737,1755,1737,1755
202001,분당선,구성,5748,5847,5748,5847
