사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,2호선,강남,2468243,2511068,2468243,2511068
202001,2호선,강변,956856,955996,956856,955996
202001,2호선,건대입구,944025,1028927,944025,1028927
202001,2호선,교대,879914,1001048,879914,1001048
202001,2호선,구로디지털단지,1536614,1538724,1536614,1538724
202001,2호선,구의,581782,564719,581782,564719
202001,2호선,낙성대,681819,656698,681819,656698
202001,2호선,당산,476921,546502,476921,546502
202001,2호선,대림,652011,665862,652011,665862
202001,2호선,도림천,29099,31153,29099,31153
202001,2호선,동대문역사문화공원,370191,423842,370191,423842
202001,2호선,뚝섬,465726,495887,465726,495887
202001,2호선,문래,507420,513542,507420,513542
202001,2호선,방배,428878,441458,428878,441458
202001,2호선,봉천,594503,547663,594503,547663
202001,2호선,사당,973494,1067787,973494,1067787
202001,2호선,삼성,1381081,1406207,1381081,1406207
202001,2호선,상왕십리,339898,325688,339898,325688
202001,2호선,서울대입구,1216442,1171456,1216442,1171456
202001,2호선,서초,521984,519226,521984,519226
202001,2호선,선릉,1390285,1235844,1390285,1235844
202001,2호선,성수,758224,819200,758224,819200
202001,2호선,시청,637006,611326,637006,611326
202001,2호선,신답,38149,42886,38149,42886
202001,2호선,신당,341271,354864,341271,354864
202001,2호선,신대방,663894,631321,663894,631321
202001,2호선,신도림,1308504,1291971,1308504,1291971
202001,2호선,신림,1608675,1558216,1608675,1558216
202001,2호선,신설동,87570,87440,87570,87440
202001,2호선,신정네거리,229927,237333,229927,237333
202001,2호선,신촌,1013516,1039152,1013516,1039152
202001,2호선,아현,239711,229394,239711,229394
202001,2호선,양천구청,171776,180380,171776,180380
202001,2호선,역삼,1251951,1390677,1251951,1390677
202001,2호선,영등포구청,548869,554189,548869,554189
202001,2호선,왕십리,425150,356782,425150,356782
202001,2호선,용답,62046,60907,62046,60907
202001,2호선,용두,58868,61860,58868,61860
202001,2호선,을지로3가,560708,560971,560708,560971
202001,2호선,을지로4가,323963,322897,323963,322897
202001,2호선,을지로입구,1202483,1213334,1202483,1213334
202001,2호선,이대,366660,384883,366660,384883
202001,2호선,잠실,1917672,1862185,1917672,1862185
202001,2호선,잠실나루,383854,372099,383854,372099
202001,2호선,잠실새내,558855,562725,558855,562725
