사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,수인선,남동인더스파크,2338,2505,2338,2505
202001,수인선,달월,70,39,70,39
202001,수인선,소래포구,4463,4137,4463,4137
202001,수인선,송도,2817,2513,2817,2513
202001,수인선,숭의,4083,3769,4083,3769
202001,수인선,신포,1791,1911,1791,1911
202001,수인선,연수,4837,4876,4837,4876
202001,수인선,원인재,4516,4600,4516,4600
202001,수인선,월곶,2425,2351,2425,2351
202001,수인선,인천,938,1521,938,1521
202001,수인선,인천논현,6299,6603,6299,6603
202001,수인선,인하대,5659,5385,5659,5385
202001,수인선,호구포,3895,3983,3895,3983
202001,수인선,남동인더스파크,2385,2649,2385,2649
202001,수인선,달월,76,46,76,46
202001,수인선,소래포구,4230,3854,4230,3854
202001,수인선,송도,2606,2371,2606,2371
202001,수인선,숭의,3791,3557,3791,3557
202001,수인선,신포,1800,1771,1800,1771
202001,수인선,연수,4655,4635,4655,4635
202001,수인선,원인재,4232,4417,4232,4417
202001,수인선,월곶,2322,2174,2322,2174
202001,수인선,인천,796,1419,796,1419
202001,수인선,인천논현,6050,6336,6050,6336
202001,수인선,인하대,5478,5254,5478,5254
202001,수인선,호구포,3642,3737,3642,3737
202001,수인선,남동인더스파크,2321,2554,2321,2554
202001,수인선,달월,72,52,72,52
202001,수인선,소래포구,4823,4346,4823,4346
202001,수인선,송도,2888,2703,2888,2703
202001,수인선,숭의,4233,3983,4233,3983
202001,수인선,신포,1897,2073,1897,2073
202001,수인선,연수,5260,5339,5260,5339
202001,수인선,원인재,4794,4918,4794,4918
202001,수인선,월곶,2812,2652,2812,2652
202001,수인선,인천,951,1649,951,1649
202001,수인선,인천논현,6578,6948,6578,6948
202001,수인선,인하대,6017,5647,6017,5647
202001,수인선,호구포,3925,3947,3925,3947
202001,수인선,남동인더스파크,2332,2556,2332,2556
202001,수인선,달월,69,49,69,49
202001,수인선,소래포구,5123,4658,5123,4658
202001,수인선,송도,2805,2672,2805,2672
202001,수인선,숭의,4174,3925,4174,3925
202001,수인선,신포,1974,2015,1974,2015
202001,수인선,연수,5063,5070,5063,5070
202001,수인선,원인재,4739,4883,4739,4883
202001,수인선,월곶,2762,2570,2762,2570
202001,수인선,인천,1085,1826,1085,1826
202001,수인선,인천논현,6599,7106,6599,7106
202001,수인선,인하대,5859,5492,5859,5492
202001,수인선,호구포,4059,3991,4059,3991
202001,수인선,남동인더스파크,2320,2558,2320,2558
202001,수인선,달월,75,43,75,43
202001,수인선,소래포구,5365,4952,5365,4952
202001,수인선,송도,3084,2817,3084,2817
202001,수인선,숭의,4306,3865,4306,3865
202001,수인선,신포,1969,2074,1969,2074
202001,수인선,연수,5466,5698,5466,5698
202001,수인선,원인재,4998,5020,4998,5020
202001,수인선,월곶,2642,2397,2642,2397
202001,수인선,인천,1158,1964,1158,1964
202001,수인선,인천논현,7008,7352,7008,7352
202001,수인선,인하대,6101,5680,6101,5680
202001,수인선,호구포,4158,4022,4158,4022
202001,수인선,남동인더스파크,2294,2527,2294,2527
202001,수인선,달월,87,65,87,65
202001,수인선,소래포구,4788,4351,4788,4351
202001,수인선,송도,2721,2577,2721,2577
202001,수인선,숭의,4044,3890,4044,3890
202001,수인선,신포,1840,1883,1840,1883
202001,수인선,연수,5095,5041,5095,5041
202001,수인선,원인재,4771,4811,4771,4811
202001,수인선,월곶,2552,2390,2552,2390
202001,수인선,인천,1081,1873,1081,1873
202001,수인선,인천논현,6470,6848,6470,6848
202001,수인선,인하대,5852,5490,5852,5490
202001,수인선,호구포,3849,3950,3849,3950
202001,수인선,남동인더스파크,2303,2579,2303,2579
202001,수인선,달월,80,51,80,51
202001,수인선,소래포구,4898,4548,4898,4548
202001,수인선,송도,2841,2668,2841,2668
202001,수인선,숭의,4186,3925,4186,3925
202001,수인선,신포,1833,1960,1833,1960
202001,수인선,연수,5113,5183,5113,5183
202001,수인선,원인재,4753,4768,4753,4768
202001,수인선,월곶,2427,2333,2427,2333
202001,수인선,인천,1049,1845,1049,1845
202001,수인선,인천논현,6423,6659,6423,6659
202001,수인선,인하대,5857,5597,5857,5597
202001,수인선,호구포,3887,3856,3887,3856
202001,수인선,남동인더스파크,2379,2626,2379,2626
202001,수인선,달월,73,54,73,54
202001,수인선,소래포구,4715,4405,4715,4405
202001,수인선,송도,2946,2753,2946,2753
202001,수인선,숭의,4208,3974,4208,3974
202001,수인선,신포,1929,2106,1929,2106
202001,수인선,연수,5229,5290,5229,5290
202001,수인선,원인재,4793,4863,4793,4863
202001,수인선,월곶,2749,2533,2749,2533
202001,수인선,인천,1065,1799,1065,1799
202001,수인선,인천논현,6403,6661,6403,6661
202001,수인선,인하대,5783,5540,5783,5540
202001,수인선,호구포,3940,3917,3940,3917
202001,수인선,남동인더스파크,2309,2568,2309,2568
202001,수인선,달월,70,46,70,46
202001,수인선,소래포구,4816,4469,4816,4469
202001,수인선,송도,2826,2638,2826,2638
202001,수인선,숭의,4140,3922,4140,3922
202001,수인선,신포,1868,1935,1868,1935
202001,수인선,연수,5312,5295,5312,5295
202001,수인선,원인재,4846,4956,4846,4956
202001,수인선,월곶,2717,2565,2717,2565
202001,수인선,인천,1031,1799,1031,1799
202001,수인선,인천논현,6470,6669,6470,6669
202001,수인선,인하대,5786,5407,5786,5407
202001,수인선,호구포,3855,3971,3855,3971
202001,수인선,남동인더스파크,2351,2581,2351,2581
202001,수인선,달월,75,47,75,47
202001,수인선,소래포구,5122,4734,5122,4734
202001,수인선,송도,2879,2670,2879,2670
202001,수인선,숭의,4312,3974,4312,3974
202001,수인선,신포,1889,2051,1889,2051
202001,수인선,연수,5687,5680,5687,5680
202001,수인선,원인재,5083,5115,5083,5115
202001,수인선,월곶,2623,2475,2623,2475
202001,수인선,인천,1108,1855,1108,1855
202001,수인선,인천논현,6767,7119,6767,7119
202001,수인선,인하대,5954,5488,5954,5488
202001,수인선,호구포,3945,3985,3945,3985
202001,수인선,남동인더스파크,2414,2607,2414,2607
202001,수인선,달월,83,54,83,54
202001,수인선,소래포구,4760,4310,4760,4310
202001,수인선,송도,2875,2734,2875,2734
202001,수인선,숭의,4101,3925,4101,3925
202001,수인선,신포,1811,1898,1811,1898
202001,수인선,연수,5039,5004,5039,5004
202001,수인선,원인재,4873,4830,4873,4830
202001,수인선,월곶,2488,2341,2488,2341
202001,수인선,인천,982,1674,982,1674
202001,수인선,인천논현,6429,6635,6429,6635
202001,수인선,인하대,5678,5319,5678,5319
202001,수인선,호구포,3808,3859,3808,3859
202001,수인선,남동인더스파크,2461,2663,2461,2663
202001,수인선,달월,90,58,90,58
202001,수인선,소래포구,4770,4412,4770,4412
202001,수인선,송도,2813,2671,2813,2671
202001,수인선,숭의,4131,3919,4131,3919
202001,수인선,신포,1909,1936,1909,1936
202001,수인선,연수,5049,5019,5049,5019
202001,수인선,원인재,4897,4967,4897,4967
202001,수인선,월곶,2428,2326,2428,2326
202001,수인선,인천,1021,1696,1021,1696
202001,수인선,인천논현,6358,6657,6358,6657
202001,수인선,인하대,5558,5212,5558,5212
202001,수인선,호구포,3847,3851,3847,3851
202001,수인선,남동인더스파크,2250,2533,2250,2533
202001,수인선,달월,72,48,72,48
202001,수인선,소래포구,4793,4365,4793,4365
202001,수인선,송도,2871,2621,2871,2621
202001,수인선,숭의,4167,3842,4167,3842
202001,수인선,신포,1852,1964,1852,1964
202001,수인선,연수,5086,5284,5086,5284
202001,수인선,원인재,4825,4887,4825,4887
202001,수인선,월곶,2718,2616,2718,2616
202001,수인선,인천,957,1645,957,1645
202001,수인선,인천논현,6455,6828,6455,6828
202001,수인선,인하대,5606,5203,5606,5203
202001,수인선,호구포,3954,3862,3954,3862
202001,수인선,남동인더스파크,2187,2304,2187,2304
202001,수인선,달월,84,62,84,62
202001,수인선,소래포구,4560,4346,4560,4346
202001,수인선,송도,2766,2555,2766,2555
202001,수인선,숭의,3952,3574,3952,3574
202001,수인선,신포,1730,1803,1730,1803
202001,수인선,연수,4928,5078,4928,5078
202001,수인선,원인재,4766,4872,4766,4872
202001,수인선,월곶,2765,2479,2765,2479
202001,수인선,인천,908,1532,908,1532
202001,수인선,인천논현,6328,6539,6328,6539
202001,수인선,인하대,5192,4778,5192,4778
202001,수인선,호구포,3692,3619,3692,3619
202001,수인선,남동인더스파크,698,586,698,586
202001,수인선,달월,37,34,37,34
202001,수인선,소래포구,3106,3145,3106,3145
202001,수인선,송도,1445,1393,1445,1393
202001,수인선,숭의,1617,1573,1617,1573
202001,수인선,신포,897,918,897,918
202001,수인선,연수,2734,2627,2734,2627
202001,수인선,원인재,2492,2419,2492,2419
202001,수인선,월곶,1670,1586,1670,1586
202001,수인선,인천,847,1328,847,1328
202001,수인선,인천논현,2828,2881,2828,2881
202001,수인선,인하대,2043,1987,2043,1987
202001,수인선,호구포,1770,1561,1770,1561
202001,수인선,남동인더스파크,605,657,605,657
202001,수인선,달월,36,29,36,29
202001,수인선,소래포구,3225,3107,3225,3107
202001,수인선,송도,1738,1601,1738,1601
202001,수인선,숭의,1777,1741,1777,1741
202001,수인선,신포,952,916,952,916
202001,수인선,연수,2998,3003,2998,3003
202001,수인선,원인재,2607,2642,2607,2642
202001,수인선,월곶,1679,1559,1679,1559
202001,수인선,인천,823,1280,823,1280
202001,수인선,인천논현,3257,3428,3257,3428
202001,수인선,인하대,2550,2487,2550,2487
202001,수인선,호구포,1614,1727,1614,1727
202001,수인선,남동인더스파크,2153,2354,2153,2354
202001,수인선,달월,75,54,75,54
202001,수인선,소래포구,4201,3826,4201,3826
202001,수인선,송도,2602,2489,2602,2489
202001,수인선,숭의,3785,3522,3785,3522
202001,수인선,신포,1626,1652,1626,1652
202001,수인선,연수,4688,4744,4688,4744
202001,수인선,원인재,4375,4398,4375,4398
202001,수인선,월곶,2239,2101,2239,2101
202001,수인선,인천,821,1445,821,1445
202001,수인선,인천논현,6212,6593,6212,6593
202001,수인선,인하대,5015,4816,5015,4816
202001,수인선,호구포,3504,3633,3504,3633
202001,수인선,남동인더스파크,2360,2611,2360,2611
202001,수인선,달월,74,60,74,60
202001,수인선,소래포구,4432,4030,4432,4030
202001,수인선,송도,2767,2588,2767,2588
202001,수인선,숭의,4040,3724,4040,3724
202001,수인선,신포,1733,1784,1733,1784
202001,수인선,연수,5171,5169,5171,5169
202001,수인선,원인재,4566,4652,4566,4652
202001,수인선,월곶,2518,2347,2518,2347
202001,수인선,인천,933,1552,933,1552
202001,수인선,인천논현,6217,6567,6217,6567
202001,수인선,인하대,5489,5114,5489,5114
202001,수인선,호구포,3797,3840,3797,3840
202001,수인선,남동인더스파크,2429,2636,2429,2636
202001,수인선,달월,85,55,85,55
202001,수인선,소래포구,4478,4079,4478,4079
202001,수인선,송도,2701,2501,2701,2501
202001,수인선,숭의,3902,3593,3902,3593
202001,수인선,신포,1691,1778,1691,1778
202001,수인선,연수,4832,4877,4832,4877
202001,수인선,원인재,4546,4623,4546,4623
202001,수인선,월곶,2541,2421,2541,2421
202001,수인선,인천,825,1348,825,1348
202001,수인선,인천논현,6214,6544,6214,6544
202001,수인선,인하대,5294,5142,5294,5142
202001,수인선,호구포,3941,3909,3941,3909
202001,수인선,남동인더스파크,2392,2644,2392,2644
202001,수인선,달월,71,55,71,55
202001,수인선,소래포구,4493,4149,4493,4149
202001,수인선,송도,2770,2481,2770,2481
202001,수인선,숭의,3929,3599,3929,3599
202001,수인선,신포,1775,1870,1775,1870
202001,수인선,연수,5204,5495,5204,5495
202001,수인선,원인재,4625,4681,4625,4681
202001,수인선,월곶,2484,2294,2484,2294
202001,수인선,인천,928,1459,928,1459
202001,수인선,인천논현,6275,6579,6275,6579
