사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,일산선,대곡,1805,1242,1805,1242
202001,일산선,대화,16544,12766,16544,12766
202001,일산선,마두,9232,9668,9232,9668
202001,일산선,백석,11992,12200,11992,12200
202001,일산선,삼송,20043,19100,20043,19100
202001,일산선,원당,12447,11668,12447,11668
202001,일산선,원흥,10239,9599,10239,9599
202001,일산선,정발산,8566,8759,8566,8759
202001,일산선,주엽,11119,11281,11119,11281
202001,일산선,화정,20864,21720,20864,21720
202001,일산선,대곡,1710,1170,1710,1170
202001,일산선,대화,16153,12666,16153,12666
202001,일산선,마두,8905,9264,8905,9264
202001,일산선,백석,11610,11553,11610,11553
202001,일산선,삼송,19182,18190,19182,18190
202001,일산선,원당,11920,11301,11920,11301
202001,일산선,원흥,9750,9214,9750,9214
202001,일산선,정발산,8074,8373,8074,8373
202001,일산선,주엽,10531,10873,10531,10873
202001,일산선,화정,19643,20606,19643,20606
202001,일산선,대곡,1794,1315,1794,1315
202001,일산선,대화,16941,12962,16941,12962
202001,일산선,마두,9804,10157,9804,10157
202001,일산선,백석,11888,11808,11888,11808
202001,일산선,삼송,19850,18978,19850,18978
202001,일산선,원당,12575,12088,12575,12088
202001,일산선,원흥,10351,9632,10351,9632
202001,일산선,정발산,8799,9185,8799,9185
202001,일산선,주엽,10953,11301,10953,11301
202001,일산선,화정,21290,22015,21290,22015
202001,일산선,대곡,1810,1264,1810,1264
202001,일산선,대화,17484,13567,17484,13567
202001,일산선,마두,9701,10026,9701,10026
202001,일산선,백석,12632,12788,12632,12788
202001,일산선,삼송,20250,19374,20250,19374
202001,일산선,원당,13130,12392,13130,12392
202001,일산선,원흥,10472,9854,10472,9854
202001,일산선,정발산,8945,9314,8945,9314
202001,일산선,주엽,11019,11411,11019,11411
202001,일산선,화정,21394,21904,21394,21904
202001,일산선,대곡,1877,1352,1877,1352
202001,일산선,대화,17488,13543,17488,13543
202001,일산선,마두,9999,10301,9999,10301
202001,일산선,백석,12847,13107,12847,13107
202001,일산선,삼송,20824,19383,20824,19383
202001,일산선,원당,13341,12582,13341,12582
202001,일산선,원흥,10806,9757,10806,9757
202001,일산선,정발산,9541,10420,9541,10420
202001,일산선,주엽,11542,11730,11542,11730
202001,일산선,화정,22163,22934,22163,22934
202001,일산선,대곡,1860,1302,1860,1302
202001,일산선,대화,17222,13259,17222,13259
202001,일산선,마두,9392,9848,9392,9848
202001,일산선,백석,12378,12368,12378,12368
202001,일산선,삼송,20035,19090,20035,19090
202001,일산선,원당,12795,12213,12795,12213
202001,일산선,원흥,10346,9781,10346,9781
202001,일산선,정발산,8619,8900,8619,8900
202001,일산선,주엽,11197,11509,11197,11509
202001,일산선,화정,21255,21839,21255,21839
202001,일산선,대곡,1896,1319,1896,1319
202001,일산선,대화,17007,13254,17007,13254
202001,일산선,마두,9399,9831,9399,9831
202001,일산선,백석,12450,12375,12450,12375
202001,일산선,삼송,20018,19272,20018,19272
