사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,장항선,배방,950,913,950,913
202001,장항선,봉명,1446,1384,1446,1384
202001,장항선,신창,1142,1261,1142,1261
202001,장항선,쌍용,1901,1792,1901,1792
202001,장항선,아산,2716,2317,2716,2317
202001,장항선,온양온천,4196,4317,4196,4317
202001,장항선,배방,844,832,844,832
202001,장항선,봉명,1240,1265,1240,1265
202001,장항선,신창,1020,971,1020,971
202001,장항선,쌍용,1813,1647,1813,1647
202001,장항선,아산,2342,2096,2342,2096
202001,장항선,온양온천,3764,3750,3764,3750
202001,장항선,배방,942,956,942,956
202001,장항선,봉명,1356,1328,1356,1328
202001,장항선,신창,1070,1048,1070,1048
202001,장항선,쌍용,1867,1734,1867,1734
202001,장항선,아산,2595,2272,2595,2272
202001,장항선,온양온천,3893,3937,3893,3937
202001,장항선,배방,1060,1058,1060,1058
202001,장항선,봉명,1389,1394,1389,1394
202001,장항선,신창,1097,1130,1097,1130
202001,장항선,쌍용,2166,2007,2166,2007
202001,장항선,아산,2699,2276,2699,2276
202001,장항선,온양온천,5424,5454,5424,5454
202001,장항선,배방,1173,1016,1173,1016
202001,장항선,봉명,1332,1307,1332,1307
202001,장항선,신창,1487,1054,1487,1054
202001,장항선,쌍용,2238,1958,2238,1958
202001,장항선,아산,3294,3015,3294,3015
202001,장항선,온양온천,5089,4846,5089,4846
202001,장항선,배방,981,959,981,959
202001,장항선,봉명,1358,1358,1358,1358
202001,장항선,신창,1165,1284,1165,1284
202001,장항선,쌍용,1990,1825,1990,1825
202001,장항선,아산,2776,2404,2776,2404
202001,장항선,온양온천,4355,4489,4355,4489
202001,장항선,배방,1008,930,1008,930
202001,장항선,봉명,1486,1421,1486,1421
202001,장항선,신창,1137,1326,1137,1326
202001,장항선,쌍용,2061,1936,2061,1936
202001,장항선,아산,2578,2303,2578,2303
202001,장항선,온양온천,5492,5559,5492,5559
202001,장항선,배방,1025,942,1025,942
202001,장항선,봉명,1407,1431,1407,1431
202001,장항선,신창,1363,1042,1363,1042
202001,장항선,쌍용,2058,1807,2058,1807
202001,장항선,아산,2648,2414,2648,2414
202001,장항선,온양온천,4272,4246,4272,4246
202001,장항선,배방,968,936,968,936
202001,장항선,봉명,1332,1342,1332,1342
202001,장항선,신창,1231,1121,1231,1121
202001,장항선,쌍용,2074,1890,2074,1890
202001,장항선,아산,2615,2370,2615,2370
202001,장항선,온양온천,4416,4410,4416,4410
202001,장항선,배방,1186,1042,1186,1042
202001,장항선,봉명,1409,1349,1409,1349
202001,장항선,신창,1486,1094,1486,1094
202001,장항선,쌍용,2061,1950,2061,1950
202001,장항선,아산,3234,2860,3234,2860
202001,장항선,온양온천,4707,4709,4707,4709
202001,장항선,배방,986,961,986,961
202001,장항선,봉명,1432,1406,1432,1406
202001,장항선,신창,1210,1208,1210,1208
202001,장항선,쌍용,2003,1919,2003,1919
202001,장항선,아산,2765,2506,2765,2506
202001,장항선,온양온천,4545,4652,4545,4652
202001,장항선,배방,1014,939,1014,939
202001,장항선,봉명,1366,1324,1366,1324
