사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,중앙선,구리,15166,15332,15166,15332
202001,중앙선,국수,822,761,822,761
202001,중앙선,덕소,6467,6286,6467,6286
202001,중앙선,도농,11076,9806,11076,9806
202001,중앙선,도심,2898,2263,2898,2263
202001,중앙선,망우,8234,8102,8234,8102
202001,중앙선,상봉,6280,6243,6280,6243
202001,중앙선,신원,221,168,221,168
202001,중앙선,아신,565,549,565,549
202001,중앙선,양수,1855,1835,1855,1835
202001,중앙선,양원,1710,1722,1710,1722
202001,중앙선,양정,852,731,852,731
202001,중앙선,양평,3143,3035,3143,3035
202001,중앙선,오빈,301,305,301,305
202001,중앙선,용문,1869,1802,1869,1802
202001,중앙선,운길산,605,499,605,499
202001,중앙선,원덕,344,305,344,305
202001,중앙선,중랑,6146,5757,6146,5757
202001,중앙선,지평,63,49,63,49
202001,중앙선,팔당,745,699,745,699
202001,중앙선,회기,27803,27062,27803,27062
202001,중앙선,구리,14580,14731,14580,14731
202001,중앙선,국수,663,632,663,632
202001,중앙선,덕소,6109,5990,6109,5990
202001,중앙선,도농,10550,9519,10550,9519
202001,중앙선,도심,2749,2154,2749,2154
202001,중앙선,망우,7898,7811,7898,7811
202001,중앙선,상봉,6025,6110,6025,6110
202001,중앙선,신원,125,129,125,129
202001,중앙선,아신,561,511,561,511
202001,중앙선,양수,1504,1511,1504,1511
202001,중앙선,양원,1543,1649,1543,1649
202001,중앙선,양정,806,651,806,651
202001,중앙선,양평,2804,2811,2804,2811
202001,중앙선,오빈,271,260,271,260
202001,중앙선,용문,1545,1542,1545,1542
202001,중앙선,운길산,491,444,491,444
202001,중앙선,원덕,285,288,285,288
202001,중앙선,중랑,5851,5631,5851,5631
202001,중앙선,지평,44,35,44,35
202001,중앙선,팔당,638,650,638,650
202001,중앙선,회기,26823,26002,26823,26002
202001,중앙선,구리,15438,15367,15438,15367
202001,중앙선,국수,807,749,807,749
202001,중앙선,덕소,6608,6569,6608,6569
202001,중앙선,도농,11051,9929,11051,9929
202001,중앙선,도심,2917,2268,2917,2268
202001,중앙선,망우,8529,8296,8529,8296
202001,중앙선,상봉,6448,6261,6448,6261
202001,중앙선,신원,185,177,185,177
202001,중앙선,아신,614,601,614,601
202001,중앙선,양수,1698,1738,1698,1738
202001,중앙선,양원,1675,1683,1675,1683
202001,중앙선,양정,851,752,851,752
202001,중앙선,양평,3562,3679,3562,3679
202001,중앙선,오빈,325,302,325,302
202001,중앙선,용문,1719,1721,1719,1721
202001,중앙선,운길산,550,520,550,520
202001,중앙선,원덕,391,390,391,390
202001,중앙선,중랑,6188,6121,6188,6121
202001,중앙선,지평,55,33,55,33
202001,중앙선,팔당,739,765,739,765
202001,중앙선,회기,29103,28103,29103,28103
202001,중앙선,구리,15555,15724,15555,15724
202001,중앙선,국수,926,918,926,918
