사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,3호선,가락시장,242822,237738,242822,237738
202001,3호선,경복궁,515448,518472,515448,518472
202001,3호선,경찰병원,195326,194341,195326,194341
202001,3호선,고속터미널,1246532,1265736,1246532,1265736
202001,3호선,교대,363299,234081,363299,234081
202001,3호선,구파발,521637,483022,521637,483022
202001,3호선,금호,203654,188341,203654,188341
202001,3호선,남부터미널,792325,812406,792325,812406
202001,3호선,녹번,332546,293768,332546,293768
202001,3호선,대청,242776,220002,242776,220002
202001,3호선,대치,302081,293182,302081,293182
202001,3호선,도곡,135925,137108,135925,137108
202001,3호선,독립문,176171,179760,176171,179760
202001,3호선,동대입구,221271,240300,221271,240300
202001,3호선,매봉,284883,271997,284883,271997
202001,3호선,무악재,95840,96619,95840,96619
202001,3호선,불광,409724,444484,409724,444484
202001,3호선,수서,430991,430853,430991,430853
202001,3호선,신사,784937,842804,784937,842804
202001,3호선,안국,552530,576275,552530,576275
202001,3호선,압구정,818548,886458,818548,886458
202001,3호선,약수,326313,315213,326313,315213
202001,3호선,양재,976423,1047925,976423,1047925
202001,3호선,연신내,961435,917036,961435,917036
202001,3호선,오금,159334,139677,159334,139677
202001,3호선,옥수,225889,231992,225889,231992
202001,3호선,을지로3가,276406,286266,276406,286266
202001,3호선,일원,245557,244045,245557,244045
202001,3호선,잠원,150263,144541,150263,144541
202001,3호선,종로3가,265912,320977,265912,320977
202001,3호선,지축,48227,49068,48227,49068
202001,3호선,충무로,35,0,35,0
202001,3호선,학여울,48528,49282,48528,49282
202001,3호선,홍제,430532,407214,430532,407214
202002,3호선,가락시장,185704,181359,185704,181359
202002,3호선,경복궁,394566,391423,394566,391423
202002,3호선,경찰병원,160262,159970,160262,159970
202002,3호선,고속터미널,783802,764446,783802,764446
202002,3호선,교대,295659,195134,295659,195134
202002,3호선,구파발,417977,381700,417977,381700
202002,3호선,금호,166612,154836,166612,154836
202002,3호선,남부터미널,606706,621276,606706,621276
202002,3호선,녹번,274737,243795,274737,243795
202002,3호선,대청,198773,183324,198773,183324
202002,3호선,대치,229993,226243,229993,226243
202002,3호선,도곡,107655,108424,107655,108424
202002,3호선,독립문,135437,138402,135437,138402
202002,3호선,동대입구,153217,163939,153217,163939
202002,3호선,매봉,241121,230534,241121,230534
202002,3호선,무악재,78533,78731,78533,78731
202002,3호선,불광,327356,351389,327356,351389
202002,3호선,수서,329264,330528,329264,330528
202002,3호선,신사,642175,691266,642175,691266
202002,3호선,안국,420367,433823,420367,433823
202002,3호선,압구정,643143,695359,643143,695359
202002,3호선,약수,268251,261782,268251,261782
202002,3호선,양재,810458,870654,810458,870654
202002,3호선,연신내,781887,741409,781887,741409
202002,3호선,오금,132589,116052,132589,116052
202002,3호선,옥수,179572,185975,179572,185975
202002,3호선,을지로3가,235846,244713,235846,244713
202002,3호선,일원,192536,190482,192536,190482
202002,3호선,잠원,118180,114764,118180,114764
202002,3호선,종로3가,216125,250978,216125,250978
202002,3호선,지축,51092,52152,51092,52152
202002,3호선,충무로,33,0,33,0
202002,3호선,학여울,36548,36872,36548,36872
202002,3호선,홍제,347407,329670,347407,329670
202003,3호선,가락시장,160009,155992,160009,155992
