사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,수인선,남동인더스파크,48179,52625,48179,52625
202001,수인선,달월,1646,1141,1646,1141
202001,수인선,소래포구,104352,96437,104352,96437
202001,수인선,송도,61032,56808,61032,56808
202001,수인선,숭의,86840,81088,86840,81088
202001,수인선,신포,39906,41517,39906,41517
202001,수인선,연수,110991,111814,110991,111814
202001,수인선,원인재,101895,103423,101895,103423
202001,수인선,월곶,56354,52852,56354,52852
202001,수인선,인천,22473,37540,22473,37540
202001,수인선,인천논현,137742,144612,137742,144612
202001,수인선,인하대,119925,113201,119925,113201
202001,수인선,호구포,82314,82541,82314,82541
202002,수인선,남동인더스파크,45903,50439,45903,50439
202002,수인선,달월,1496,1005,1496,1005
202002,수인선,소래포구,75132,69043,75132,69043
202002,수인선,송도,47156,43427,47156,43427
202002,수인선,숭의,70317,65409,70317,65409
202002,수인선,신포,29496,30192,29496,30192
202002,수인선,연수,85619,87043,85619,87043
202002,수인선,원인재,80552,82390,80552,82390
202002,수인선,월곶,42440,40002,42440,40002
202002,수인선,인천,14773,24943,14773,24943
202002,수인선,인천논현,109623,114356,109623,114356
202002,수인선,인하대,95234,90326,95234,90326
202002,수인선,호구포,69300,69864,69300,69864
202003,수인선,남동인더스파크,43991,49436,43991,49436
202003,수인선,달월,1654,1148,1654,1148
202003,수인선,소래포구,67604,62984,67604,62984
202003,수인선,송도,41643,37799,41643,37799
202003,수인선,숭의,65319,60028,65319,60028
202003,수인선,신포,26591,28233,26591,28233
202003,수인선,연수,73134,74012,73134,74012
202003,수인선,원인재,71540,72660,71540,72660
202003,수인선,월곶,38888,36896,38888,36896
202003,수인선,인천,13466,22691,13466,22691
202003,수인선,인천논현,94672,98494,94672,98494
202003,수인선,인하대,87143,82638,87143,82638
202003,수인선,호구포,63872,65081,63872,65081
202004,수인선,남동인더스파크,43410,47810,43410,47810
202004,수인선,달월,1739,1316,1739,1316
202004,수인선,소래포구,90177,86053,90177,86053
202004,수인선,송도,44710,41677,44710,41677
202004,수인선,숭의,68722,63194,68722,63194
202004,수인선,신포,29534,30998,29534,30998
202004,수인선,연수,77809,78682,77809,78682
202004,수인선,원인재,78927,80753,78927,80753
202004,수인선,월곶,42658,39829,42658,39829
202004,수인선,인천,15439,26153,15439,26153
202004,수인선,인천논현,101135,105566,101135,105566
202004,수인선,인하대,92651,87614,92651,87614
202004,수인선,호구포,66077,66734,66077,66734
202005,수인선,남동인더스파크,41293,45071,41293,45071
202005,수인선,달월,1576,1097,1576,1097
202005,수인선,소래포구,102598,97885,102598,97885
202005,수인선,송도,46527,43634,46527,43634
202005,수인선,숭의,68713,63414,68713,63414
202005,수인선,신포,30717,32307,30717,32307
202005,수인선,연수,81645,82565,81645,82565
202005,수인선,원인재,79580,81810,79580,81810
202005,수인선,월곶,42931,40659,42931,40659
202005,수인선,인천,16953,27956,16953,27956
202005,수인선,인천논현,102358,107621,102358,107621
202005,수인선,인하대,91173,85975,91173,85975
202005,수인선,호구포,65052,65400,65052,65400
202006,수인선,남동인더스파크,46556,50905,46556,50905
202006,수인선,달월,1717,1156,1717,1156
202006,수인선,소래포구,96869,90678,96869,90678
202006,수인선,송도,51770,47006,51770,47006
202006,수인선,숭의,76278,70725,76278,70725
202006,수인선,신포,35220,36763,35220,36763
202006,수인선,연수,89863,91471,89863,91471
202006,수인선,원인재,86173,87958,86173,87958
202006,수인선,월곶,46682,43761,46682,43761
202006,수인선,인천,17506,28962,17506,28962
202006,수인선,인천논현,111841,118655,111841,118655
202006,수인선,인하대,108882,102394,108882,102394
202006,수인선,호구포,72707,73328,72707,73328
202007,수인선,남동인더스파크,49693,54407,49693,54407
202007,수인선,달월,1838,1275,1838,1275
202007,수인선,소래포구,99148,91707,99148,91707
202007,수인선,송도,53994,49650,53994,49650
202007,수인선,숭의,80581,75455,80581,75455
202007,수인선,신포,37565,39151,37565,39151
202007,수인선,연수,96410,97944,96410,97944
202007,수인선,원인재,92660,94623,92660,94623
202007,수인선,월곶,49991,46594,49991,46594
202007,수인선,인천,20111,33854,20111,33854
202007,수인선,인천논현,121615,128026,121615,128026
202007,수인선,인하대,116052,108775,116052,108775
202007,수인선,호구포,76600,77399,76600,77399
202008,수인선,남동인더스파크,41565,45656,41565,45656
202008,수인선,달월,1430,989,1430,989
202008,수인선,소래포구,79280,74188,79280,74188
202008,수인선,송도,42700,39682,42700,39682
202008,수인선,숭의,66164,62117,66164,62117
202008,수인선,신포,29010,29902,29010,29902
202008,수인선,연수,79505,80520,79505,80520
202008,수인선,원인재,75020,77125,75020,77125
202008,수인선,월곶,42005,39553,42005,39553
202008,수인선,인천,17087,28424,17087,28424
202008,수인선,인천논현,98047,103399,98047,103399
202008,수인선,인하대,92953,87562,92953,87562
202008,수인선,호구포,62403,63328,62403,63328
202009,수인선,고색,26743,26726,26743,26726
202009,수인선,남동인더스파크,44760,49635,44760,49635
202009,수인선,달월,1641,1200,1641,1200
202009,수인선,사리,34932,34434,34932,34434
202009,수인선,소래포구,99176,96632,99176,96632
202009,수인선,송도,45980,42129,45980,42129
202009,수인선,숭의,71173,66591,71173,66591
202009,수인선,신포,30755,31554,30755,31554
202009,수인선,야목,2410,2352,2410,2352
202009,수인선,어천,5480,5051,5480,5051
202009,수인선,연수,80438,79984,80438,79984
202009,수인선,오목천,23197,21805,23197,21805
202009,수인선,원인재,78915,81587,78915,81587
202009,수인선,월곶,45554,42746,45554,42746
202009,수인선,인천,18572,30809,18572,30809
202009,수인선,인천논현,96711,102593,96711,102593
202009,수인선,인하대,99174,92704,99174,92704
202009,수인선,호구포,66374,67927,66374,67927
202010,수인선,고색,55966,53966,55966,53966
202010,수인선,남동인더스파크,46421,51324,46421,51324
202010,수인선,달월,1775,1364,1775,1364
202010,수인선,사리,67643,62399,67643,62399
202010,수인선,소래포구,140280,136210,140280,136210
202010,수인선,송도,54416,49098,54416,49098
202010,수인선,숭의,78555,73752,78555,73752
202010,수인선,신포,36779,37330,36779,37330
202010,수인선,야목,4067,3742,4067,3742
202010,수인선,어천,11225,10400,11225,10400
202010,수인선,연수,92288,91970,92288,91970
202010,수인선,오목천,50660,45111,50660,45111
202010,수인선,원인재,90722,93510,90722,93510
202010,수인선,월곶,52220,48368,52220,48368
202010,수인선,인천,22771,38247,22771,38247
202010,수인선,인천논현,110829,118168,110829,118168
202010,수인선,인하대,118677,111375,118677,111375
202010,수인선,호구포,72555,72660,72555,72660
202011,수인선,고색,62505,59599,62505,59599
202011,수인선,남동인더스파크,48899,54667,48899,54667
202011,수인선,달월,1735,1205,1735,1205
202011,수인선,사리,69449,65354,69449,65354
202011,수인선,소래포구,111469,106534,111469,106534
202011,수인선,송도,52660,47929,52660,47929
202011,수인선,숭의,79526,74259,79526,74259
202011,수인선,신포,35876,36525,35876,36525
202011,수인선,야목,4009,3393,4009,3393
202011,수인선,어천,11911,11101,11911,11101
202011,수인선,연수,91218,90265,91218,90265
202011,수인선,오목천,52324,46020,52324,46020
202011,수인선,원인재,90434,92672,90434,92672
202011,수인선,월곶,51317,47734,51317,47734
202011,수인선,인천,19795,33123,19795,33123
202011,수인선,인천논현,111973,119550,111973,119550
202011,수인선,인하대,122468,115819,122468,115819
202011,수인선,호구포,74376,76116,74376,76116
202012,수인선,고색,59834,57699,59834,57699
202012,수인선,남동인더스파크,46814,52375,46814,52375
