사용일자,호선명,지하철역,승차총승객수,하차총승객수
202001,1호선,동대문,107654,121247
202001,1호선,동묘앞,96607,101504
202001,1호선,서울역,345451,316391
202001,1호선,시청,129531,131997
202001,1호선,신설동,80372,77320
202001,1호선,제기동,122389,128063
202001,1호선,종각,209670,191439
202001,1호선,종로3가,205234,194925
202001,1호선,종로5가,143879,142770
202001,1호선,청량리,160790,164044
202002,1호선,동대문,80741,84910
202002,1호선,동묘앞,77654,80200
202002,1호선,서울역,242351,231102
202002,1호선,시청,89337,87850
202002,1호선,신설동,76421,72868
202002,1호선,제기동,98946,101231
202002,1호선,종각,153274,144868
202002,1호선,종로3가,158398,152547
202002,1호선,종로5가,114462,113857
202002,1호선,청량리,132486,132983
202003,1호선,동대문,54812,55968
202003,1호선,동묘앞,67456,69465
202003,1호선,서울역,123801,121245
202003,1호선,시청,43605,42671
202003,1호선,신설동,52205,49808
202003,1호선,제기동,71084,73350
202003,1호선,종각,84025,79407
202003,1호선,종로3가,99442,94939
202003,1호선,종로5가,69409,70184
202003,1호선,청량리,95991,95650
202004,1호선,동대문,62031,64681
202004,1호선,동묘앞,76213,79162
202004,1호선,서울역,142522,137327
202004,1호선,시청,44272,43619
202004,1호선,신설동,54115,52087
202004,1호선,제기동,81054,83743
202004,1호선,종각,94515,87376
202004,1호선,종로3가,111901,108072
202004,1호선,종로5가,79703,80409
202004,1호선,청량리,104723,104217
202005,1호선,동대문,90875,95987
202005,1호선,동묘앞,99613,103419
202005,1호선,서울역,233716,217870
202005,1호선,시청,66197,64981
202005,1호선,신설동,75587,74345
202005,1호선,제기동,107671,111122
202005,1호선,종각,138636,131564
202005,1호선,종로3가,160252,151436
202005,1호선,종로5가,116017,119216
202005,1호선,청량리,144126,144465
202006,1호선,동대문,74141,79313
202006,1호선,동묘앞,84807,86514
202006,1호선,서울역,193380,181814
202006,1호선,시청,52336,52946
202006,1호선,신설동,63117,60887
202006,1호선,제기동,84683,87022
202006,1호선,종각,113758,108450
202006,1호선,종로3가,128393,120798
202006,1호선,종로5가,92954,94732
202006,1호선,청량리,116734,118064
202007,1호선,동대문,73843,79638
202007,1호선,동묘앞,82229,85053
202007,1호선,서울역,206852,196054
202007,1호선,시청,64176,66480
202007,1호선,신설동,62639,60867
202007,1호선,제기동,89105,91686
202007,1호선,종각,123855,119227
202007,1호선,종로3가,140600,132210
202007,1호선,종로5가,97095,100088
202007,1호선,청량리,120867,122117
202008,1호선,동대문,71249,73261
202008,1호선,동묘앞,68611,69152
202008,1호선,서울역,214064,207308
202008,1호선,시청,71371,70981
202008,1호선,신설동,60610,59346
202008,1호선,제기동,86977,88940
202008,1호선,종각,125558,119480
202008,1호선,종로3가,133545,128152
202008,1호선,종로5가,97315,98234
202008,1호선,청량리,120358,122000
202009,1호선,동대문,61495,64439
202009,1호선,동묘앞,75590,76662
202009,1호선,서울역,138855,135063
202009,1호선,시청,43301,42003
202009,1호선,신설동,52575,51584
202009,1호선,제기동,92346,97139
202009,1호선,종각,78805,74887
202009,1호선,종로3가,101796,95272
202009,1호선,종로5가,75445,76617
202009,1호선,청량리,108464,110734
202010,1호선,동대문,85929,91569
202010,1호선,동묘앞,100663,105295
202010,1호선,서울역,231123,210144
202010,1호선,시청,67462,68143
202010,1호선,신설동,68271,67087
202010,1호선,제기동,105951,109312
202010,1호선,종각,129396,122351
202010,1호선,종로3가,151971,141373
202010,1호선,종로5가,105784,108583
202010,1호선,청량리,135007,136175
202011,1호선,동대문,82182,87206
202011,1호선,동묘앞,90433,92454
202011,1호선,서울역,236496,220638
202011,1호선,시청,73719,75511
202011,1호선,신설동,66090,62692
202011,1호선,제기동,100326,104057
202011,1호선,종각,125785,115797
202011,1호선,종로3가,143408,131672
202011,1호선,종로5가,98225,99387
202011,1호선,청량리,131656,129994
202012,1호선,동대문,51939,51182
202012,1호선,동묘앞,64161,65075
202012,1호선,서울역,124645,117443
202012,1호선,시청,40179,38440
202012,1호선,신설동,45888,44651
202012,1호선,제기동,67934,70690
202012,1호선,종각,64656,61232
202012,1호선,종로3가,77396,71085
202012,1호선,종로5가,60529,61212
202012,1호선,청량리,86302,86242
