사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,9호선,가양,104301,101334,104301,101334
202001,9호선,개화,11540,9532,11540,9532
202001,9호선,고속터미널,112746,156467,112746,156467
202001,9호선,공항시장,16673,18232,16673,18232
202001,9호선,구반포,14893,16056,14893,16056
202001,9호선,국회의사당,40118,37533,40118,37533
202001,9호선,김포공항,65952,89347,65952,89347
202001,9호선,노들,25378,22194,25378,22194
202001,9호선,노량진,174816,189849,174816,189849
202001,9호선,당산,89918,85832,89918,85832
202001,9호선,동작,13456,11572,13456,11572
202001,9호선,등촌,47246,47677,47246,47677
202001,9호선,마곡나루,47929,48513,47929,48513
202001,9호선,사평,14421,14126,14421,14126
202001,9호선,샛강,18587,18852,18587,18852
202001,9호선,선유도,24447,23957,24447,23957
202001,9호선,신논현,181852,185181,181852,185181
202001,9호선,신목동,17121,15433,17121,15433
202001,9호선,신반포,15504,15634,15504,15634
202001,9호선,신방화,35270,34395,35270,34395
202001,9호선,양천향교,39991,40132,39991,40132
202001,9호선,여의도,58637,55483,58637,55483
202001,9호선,염창,83543,79607,83543,79607
202001,9호선,증미,28394,28997,28394,28997
202001,9호선,흑석,48822,49498,48822,49498
202002,9호선,가양,101097,97064,101097,97064
202002,9호선,개화,9861,8539,9861,8539
202002,9호선,고속터미널,82339,123022,82339,123022
202002,9호선,공항시장,16836,18215,16836,18215
202002,9호선,구반포,16004,16845,16004,16845
202002,9호선,국회의사당,38847,36874,38847,36874
202002,9호선,김포공항,51542,69903,51542,69903
202002,9호선,노들,23070,19988,23070,19988
202002,9호선,노량진,165146,175555,165146,175555
202002,9호선,당산,89612,84252,89612,84252
202002,9호선,동작,9854,8247,9854,8247
202002,9호선,등촌,46674,46797,46674,46797
202002,9호선,마곡나루,50216,50327,50216,50327
202002,9호선,사평,12182,12208,12182,12208
202002,9호선,샛강,17846,18342,17846,18342
202002,9호선,선유도,24137,23496,24137,23496
202002,9호선,신논현,168014,170180,168014,170180
202002,9호선,신목동,15488,13949,15488,13949
202002,9호선,신반포,14755,14535,14755,14535
202002,9호선,신방화,34613,33369,34613,33369
202002,9호선,양천향교,39562,39681,39562,39681
202002,9호선,여의도,56657,53992,56657,53992
202002,9호선,염창,81125,76786,81125,76786
202002,9호선,증미,28001,28216,28001,28216
202002,9호선,흑석,41758,42689,41758,42689
202003,9호선,가양,70855,68171,70855,68171
202003,9호선,개화,7489,6396,7489,6396
202003,9호선,고속터미널,51136,70834,51136,70834
202003,9호선,공항시장,12594,13541,12594,13541
202003,9호선,구반포,8490,8950,8490,8950
202003,9호선,국회의사당,21085,19867,21085,19867
202003,9호선,김포공항,34647,44676,34647,44676
202003,9호선,노들,15717,13790,15717,13790
202003,9호선,노량진,108744,115712,108744,115712
202003,9호선,당산,60750,57014,60750,57014
202003,9호선,동작,8970,7328,8970,7328
202003,9호선,등촌,33541,33295,33541,33295
202003,9호선,마곡나루,34855,35088,34855,35088
202003,9호선,사평,7253,7047,7253,7047
202003,9호선,샛강,12641,12232,12641,12232
202003,9호선,선유도,18408,18040,18408,18040
202003,9호선,신논현,112760,114488,112760,114488
202003,9호선,신목동,10388,9277,10388,9277
202003,9호선,신반포,8601,8893,8601,8893
202003,9호선,신방화,24096,23164,24096,23164
202003,9호선,양천향교,28367,28540,28367,28540
202003,9호선,여의도,39634,37807,39634,37807
202003,9호선,염창,56917,54557,56917,54557
202003,9호선,증미,20384,20229,20384,20229
202003,9호선,흑석,26943,28230,26943,28230
202004,9호선,가양,73442,69860,73442,69860
202004,9호선,개화,8371,7332,8371,7332
202004,9호선,고속터미널,58125,81443,58125,81443
202004,9호선,공항시장,12430,13576,12430,13576
202004,9호선,구반포,10289,10785,10289,10785
202004,9호선,국회의사당,22647,21062,22647,21062
202004,9호선,김포공항,33900,43623,33900,43623
202004,9호선,노들,16619,14328,16619,14328
202004,9호선,노량진,114963,121542,114963,121542
202004,9호선,당산,64589,61329,64589,61329
202004,9호선,동작,7324,6243,7324,6243
202004,9호선,등촌,35022,34948,35022,34948
202004,9호선,마곡나루,35171,35410,35171,35410
202004,9호선,사평,8405,8034,8405,8034
202004,9호선,샛강,13284,12648,13284,12648
202004,9호선,선유도,20387,20518,20387,20518
202004,9호선,신논현,118899,121422,118899,121422
202004,9호선,신목동,11667,10343,11667,10343
202004,9호선,신반포,9111,9348,9111,9348
