사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,9호선2~3단계,둔촌오륜,4912,4757,4912,4757
202001,9호선2~3단계,봉은사,97858,97496,97858,97496
202001,9호선2~3단계,삼성중앙,20040,20456,20040,20456
202001,9호선2~3단계,삼전,31915,31079,31915,31079
202001,9호선2~3단계,석촌,39334,31752,39334,31752
202001,9호선2~3단계,석촌고분,27488,26772,27488,26772
202001,9호선2~3단계,선정릉,31502,34292,31502,34292
202001,9호선2~3단계,송파나루,23950,25220,23950,25220
202001,9호선2~3단계,언주,36096,35099,36096,35099
202001,9호선2~3단계,올림픽공원,47380,46729,47380,46729
202001,9호선2~3단계,종합운동장,25961,21594,25961,21594
202001,9호선2~3단계,중앙보훈병원,34074,31958,34074,31958
202001,9호선2~3단계,한성백제,13437,11951,13437,11951
202002,9호선2~3단계,둔촌오륜,4469,4548,4469,4548
202002,9호선2~3단계,봉은사,75625,75383,75625,75383
202002,9호선2~3단계,삼성중앙,20780,20913,20780,20913
202002,9호선2~3단계,삼전,32883,31411,32883,31411
202002,9호선2~3단계,석촌,38558,30664,38558,30664
202002,9호선2~3단계,석촌고분,27812,26591,27812,26591
202002,9호선2~3단계,선정릉,32506,35266,32506,35266
202002,9호선2~3단계,송파나루,24255,24910,24255,24910
202002,9호선2~3단계,언주,36113,34823,36113,34823
202002,9호선2~3단계,올림픽공원,39771,38779,39771,38779
202002,9호선2~3단계,종합운동장,22273,19390,22273,19390
202002,9호선2~3단계,중앙보훈병원,31692,29786,31692,29786
202002,9호선2~3단계,한성백제,11441,9842,11441,9842
202003,9호선2~3단계,둔촌오륜,2398,2482,2398,2482
202003,9호선2~3단계,봉은사,42357,41834,42357,41834
202003,9호선2~3단계,삼성중앙,14287,14031,14287,14031
202003,9호선2~3단계,삼전,24758,24041,24758,24041
202003,9호선2~3단계,석촌,28796,23879,28796,23879
202003,9호선2~3단계,석촌고분,20581,19779,20581,19779
202003,9호선2~3단계,선정릉,21313,23187,21313,23187
202003,9호선2~3단계,송파나루,17760,18250,17760,18250
202003,9호선2~3단계,언주,23635,22983,23635,22983
202003,9호선2~3단계,올림픽공원,18540,18782,18540,18782
202003,9호선2~3단계,종합운동장,14484,13143,14484,13143
202003,9호선2~3단계,중앙보훈병원,20870,19772,20870,19772
202003,9호선2~3단계,한성백제,8943,7365,8943,7365
202004,9호선2~3단계,둔촌오륜,2839,2974,2839,2974
