사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,경부선,가산디지털단지,47994,66628,47994,66628
202001,경부선,관악,48636,44782,48636,44782
202001,경부선,광명,21628,14830,21628,14830
202001,경부선,구로,103560,107015,103560,107015
202001,경부선,군포,33760,30176,33760,30176
202001,경부선,금정,145076,149623,145076,149623
202001,경부선,금천구청,65258,63488,65258,63488
202001,경부선,남영,47905,49209,47905,49209
202001,경부선,노량진,78030,68952,78030,68952
202001,경부선,당정,31666,30421,31666,30421
202001,경부선,대방,69654,71124,69654,71124
202001,경부선,독산,64327,64867,64327,64867
202001,경부선,두정,37449,39428,37449,39428
202001,경부선,명학,38454,36365,38454,36365
202001,경부선,병점,93737,96308,93737,96308
202001,경부선,서동탄,10000,9724,10000,9724
202001,경부선,서울역,61687,11272,61687,11272
202001,경부선,서정리,39111,40909,39111,40909
202001,경부선,석수,57038,51598,57038,51598
202001,경부선,성균관대,81242,82769,81242,82769
202001,경부선,성환,26337,26131,26337,26131
202001,경부선,세류,25035,23945,25035,23945
202001,경부선,세마,17454,15390,17454,15390
202001,경부선,송탄,35088,34247,35088,34247
202001,경부선,수원,341759,352547,341759,352547
202001,경부선,신길,49281,41192,49281,41192
202001,경부선,신도림,20693,23011,20693,23011
202001,경부선,안양,150710,151997,150710,151997
202001,경부선,영등포,375516,381211,375516,381211
202001,경부선,오산,75554,75510,75554,75510
202001,경부선,오산대,18309,16313,18309,16313
202001,경부선,용산,319670,308646,319670,308646
202001,경부선,의왕,44275,43245,44275,43245
202001,경부선,지제,17261,15201,17261,15201
202001,경부선,직산,6179,5979,6179,5979
202001,경부선,진위,8032,6911,8032,6911
202001,경부선,천안,59041,55953,59041,55953
202001,경부선,평택,109050,108693,109050,108693
202001,경부선,화서,42297,41019,42297,41019
202002,경부선,가산디지털단지,41848,55407,41848,55407
202002,경부선,관악,42742,40033,42742,40033
202002,경부선,광명,16859,12351,16859,12351
202002,경부선,구로,88882,91506,88882,91506
202002,경부선,군포,30915,28115,30915,28115
202002,경부선,금정,131236,135146,131236,135146
202002,경부선,금천구청,56980,55951,56980,55951
202002,경부선,남영,44145,45515,44145,45515
202002,경부선,노량진,67762,58810,67762,58810
202002,경부선,당정,28827,27657,28827,27657
202002,경부선,대방,62736,63660,62736,63660
202002,경부선,독산,59039,58554,59039,58554
202002,경부선,두정,32304,33769,32304,33769
202002,경부선,명학,37178,36003,37178,36003
202002,경부선,병점,77858,80695,77858,80695
202002,경부선,서동탄,7381,7307,7381,7307
202002,경부선,서울역,39077,8500,39077,8500
202002,경부선,서정리,35236,36286,35236,36286
202002,경부선,석수,51369,47691,51369,47691
202002,경부선,성균관대,71510,72335,71510,72335
202002,경부선,성환,19851,20285,19851,20285
202002,경부선,세류,19030,19092,19030,19092
202002,경부선,세마,13780,12335,13780,12335
202002,경부선,송탄,30002,29321,30002,29321
202002,경부선,수원,254220,265092,254220,265092
202002,경부선,신길,45683,37642,45683,37642
202002,경부선,신도림,19538,20586,19538,20586
202002,경부선,안양,132956,131461,132956,131461
202002,경부선,영등포,303448,308895,303448,308895
202002,경부선,오산,61486,61543,61486,61543
202002,경부선,오산대,15088,13598,15088,13598
202002,경부선,용산,237160,237441,237160,237441
202002,경부선,의왕,40039,39464,40039,39464
202002,경부선,지제,15118,13296,15118,13296
202002,경부선,직산,4722,4604,4722,4604
202002,경부선,진위,6604,6033,6604,6033
202002,경부선,천안,39744,39862,39744,39862
202002,경부선,평택,83100,83457,83100,83457
202002,경부선,화서,35845,34878,35845,34878
202003,경부선,가산디지털단지,30317,39516,30317,39516
202003,경부선,관악,32131,28966,32131,28966
202003,경부선,광명,9969,8060,9969,8060
202003,경부선,구로,57059,57732,57059,57732
202003,경부선,군포,22726,20655,22726,20655
202003,경부선,금정,91944,94610,91944,94610
202003,경부선,금천구청,40409,39237,40409,39237
202003,경부선,남영,28673,29479,28673,29479
202003,경부선,노량진,43204,38289,43204,38289
202003,경부선,당정,20146,19403,20146,19403
202003,경부선,대방,39790,40496,39790,40496
202003,경부선,독산,41408,41191,41408,41191
202003,경부선,두정,18913,20433,18913,20433
202003,경부선,명학,25376,24059,25376,24059
202003,경부선,병점,53647,56102,53647,56102
202003,경부선,서동탄,4512,4604,4512,4604
202003,경부선,서울역,17820,4275,17820,4275
202003,경부선,서정리,26049,28353,26049,28353
202003,경부선,석수,37152,36256,37152,36256
202003,경부선,성균관대,48360,49021,48360,49021
202003,경부선,성환,13388,14072,13388,14072
202003,경부선,세류,12623,12858,12623,12858
202003,경부선,세마,9362,8364,9362,8364
202003,경부선,송탄,20055,19504,20055,19504
202003,경부선,수원,167118,177373,167118,177373
202003,경부선,신길,33965,28425,33965,28425
202003,경부선,신도림,13237,12919,13237,12919
202003,경부선,안양,91639,90759,91639,90759
202003,경부선,영등포,187342,190728,187342,190728
202003,경부선,오산,42221,43292,42221,43292
202003,경부선,오산대,11249,10148,11249,10148
202003,경부선,용산,146295,143525,146295,143525
202003,경부선,의왕,29871,29248,29871,29248
202003,경부선,지제,10198,9279,10198,9279
202003,경부선,직산,2981,3107,2981,3107
202003,경부선,진위,4807,4369,4807,4369
202003,경부선,천안,23795,23857,23795,23857
202003,경부선,평택,57271,57733,57271,57733
202003,경부선,화서,24806,23777,24806,23777
202004,경부선,가산디지털단지,33292,44408,33292,44408
202004,경부선,관악,35448,32017,35448,32017
202004,경부선,광명,12150,9081,12150,9081
202004,경부선,구로,62965,64001,62965,64001
202004,경부선,군포,24852,22714,24852,22714
202004,경부선,금정,100249,102343,100249,102343
202004,경부선,금천구청,44306,43665,44306,43665
202004,경부선,남영,29769,30924,29769,30924
202004,경부선,노량진,46086,40611,46086,40611
202004,경부선,당정,21785,20983,21785,20983
202004,경부선,대방,43019,43604,43019,43604
202004,경부선,독산,44907,44359,44907,44359
202004,경부선,두정,22471,24029,22471,24029
202004,경부선,명학,27050,26074,27050,26074
202004,경부선,병점,60597,62557,60597,62557
202004,경부선,서동탄,5417,5606,5417,5606
202004,경부선,서울역,22588,5107,22588,5107
202004,경부선,서정리,27489,28854,27489,28854
202004,경부선,석수,40204,39859,40204,39859
202004,경부선,성균관대,53234,54297,53234,54297
