사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,경원선,가능,40313,37549,40313,37549
202001,경원선,광운대,46427,46076,46427,46076
202001,경원선,녹양,28376,26447,28376,26447
202001,경원선,녹천,26551,22001,26551,22001
202001,경원선,덕계,13887,12323,13887,12323
202001,경원선,덕정,37671,35851,37671,35851
202001,경원선,도봉,33588,31506,33588,31506
202001,경원선,도봉산,63359,41995,63359,41995
202001,경원선,동두천,12929,16616,12929,16616
202001,경원선,동두천중앙,23365,22548,23365,22548
202001,경원선,망월사,45241,45998,45241,45998
202001,경원선,방학,57450,55531,57450,55531
202001,경원선,보산,12701,12825,12701,12825
202001,경원선,서빙고,13242,13398,13242,13398
202001,경원선,석계,57035,62387,57035,62387
202001,경원선,소요산,33443,27232,33443,27232
202001,경원선,신이문,49703,45476,49703,45476
202001,경원선,양주,53023,48751,53023,48751
202001,경원선,옥수,341,227,341,227
202001,경원선,왕십리,93812,106969,93812,106969
202001,경원선,외대앞,51870,49714,51870,49714
202001,경원선,월계,34998,31475,34998,31475
202001,경원선,응봉,10094,8980,10094,8980
202001,경원선,의정부,152803,159793,152803,159793
202001,경원선,이촌,25047,18850,25047,18850
202001,경원선,지행,45965,45660,45965,45660
202001,경원선,창동,2,0,2,0
202001,경원선,청량리,131775,129116,131775,129116
202001,경원선,한남,20552,20333,20552,20333
202001,경원선,회룡,73682,71953,73682,71953
202002,경원선,가능,38745,36058,38745,36058
202002,경원선,광운대,43186,42600,43186,42600
202002,경원선,녹양,26965,25594,26965,25594
202002,경원선,녹천,25063,20845,25063,20845
202002,경원선,덕계,12796,11618,12796,11618
202002,경원선,덕정,33333,31962,33333,31962
202002,경원선,도봉,32099,29845,32099,29845
202002,경원선,도봉산,61967,40948,61967,40948
202002,경원선,동두천,11716,14459,11716,14459
202002,경원선,동두천중앙,19772,19362,19772,19362
202002,경원선,망월사,43277,44261,43277,44261
202002,경원선,방학,55041,53283,55041,53283
202002,경원선,보산,12356,12281,12356,12281
202002,경원선,서빙고,11528,11738,11528,11738
202002,경원선,석계,51783,56084,51783,56084
202002,경원선,소요산,27205,22301,27205,22301
202002,경원선,신이문,46438,42327,46438,42327
202002,경원선,양주,46512,44155,46512,44155
202002,경원선,옥수,250,215,250,215
202002,경원선,왕십리,92253,105253,92253,105253
202002,경원선,외대앞,49221,46658,49221,46658
202002,경원선,월계,32386,29750,32386,29750
202002,경원선,응봉,8757,7887,8757,7887
202002,경원선,의정부,137788,144323,137788,144323
202002,경원선,이촌,22628,16887,22628,16887
202002,경원선,지행,40189,39956,40189,39956
202002,경원선,창동,6,0,6,0
202002,경원선,청량리,101060,103970,101060,103970
202002,경원선,한남,20194,19938,20194,19938
202002,경원선,회룡,67625,67104,67625,67104
202003,경원선,가능,28852,27159,28852,27159
202003,경원선,광운대,31362,30711,31362,30711
202003,경원선,녹양,19255,18716,19255,18716
202003,경원선,녹천,18697,15347,18697,15347
202003,경원선,덕계,9634,8811,9634,8811
202003,경원선,덕정,23123,22828,23123,22828
202003,경원선,도봉,25169,23165,25169,23165
202003,경원선,도봉산,61505,42358,61505,42358
202003,경원선,동두천,8430,10891,8430,10891
202003,경원선,동두천중앙,14381,14161,14381,14161
202003,경원선,망월사,30039,31528,30039,31528
202003,경원선,방학,40938,39460,40938,39460
202003,경원선,보산,7599,7212,7599,7212
202003,경원선,서빙고,5920,5491,5920,5491
202003,경원선,석계,36668,40038,36668,40038
202003,경원선,소요산,22807,19220,22807,19220
202003,경원선,신이문,33937,30666,33937,30666
202003,경원선,양주,33285,32481,33285,32481
202003,경원선,옥수,191,131,191,131
202003,경원선,왕십리,63202,71797,63202,71797
202003,경원선,외대앞,33010,31692,33010,31692
202003,경원선,월계,25115,22897,25115,22897
202003,경원선,응봉,7993,7986,7993,7986
202003,경원선,의정부,92438,95238,92438,95238
202003,경원선,이촌,13827,10484,13827,10484
202003,경원선,지행,27505,27314,27505,27314
202003,경원선,청량리,68242,71205,68242,71205
