사용일자,호선명,지하철역,승차총승객수,하차총승객수
202001,경인선,간석,34874,33085
202001,경인선,개봉,137012,132656
202001,경인선,구일,67159,75325
202001,경인선,도원,18782,18835
202001,경인선,도화,23014,20746
202001,경인선,동암,106645,106870
202001,경인선,동인천,102535,99079
202001,경인선,백운,47683,46053
202001,경인선,부개,51705,48317
202001,경인선,부천,247245,253479
202001,경인선,부평,251207,273289
202001,경인선,소사,66604,63118
202001,경인선,송내,153394,149266
202001,경인선,역곡,159773,156470
202001,경인선,오류동,75440,69179
202001,경인선,온수,41302,37918
202001,경인선,인천,34609,29361
202001,경인선,제물포,56789,53951
202001,경인선,주안,134585,119860
202001,경인선,중동,51581,48067
202002,경인선,간석,32109,30681
202002,경인선,개봉,118390,116299
202002,경인선,구일,30149,29056
202002,경인선,도원,17032,17271
202002,경인선,도화,21676,19576
202002,경인선,동암,96704,97365
202002,경인선,동인천,90508,87868
202002,경인선,백운,42014,41162
202002,경인선,부개,46604,44129
202002,경인선,부천,208160,210390
202002,경인선,부평,218156,236190
202002,경인선,소사,60693,58549
202002,경인선,송내,139711,136324
202002,경인선,역곡,146179,143686
202002,경인선,오류동,69628,64553
202002,경인선,온수,36201,34396
202002,경인선,인천,19799,16441
202002,경인선,제물포,53347,50999
202002,경인선,주안,124837,111274
202002,경인선,중동,46046,43435
202003,경인선,간석,22129,20961
202003,경인선,개봉,81190,79564
202003,경인선,구일,21349,20756
202003,경인선,도원,11583,11945
202003,경인선,도화,14960,13679
202003,경인선,동암,68816,68779
202003,경인선,동인천,61182,59093
202003,경인선,백운,27363,27014
202003,경인선,부개,32447,30734
202003,경인선,부천,155787,157230
202003,경인선,부평,143783,153466
202003,경인선,소사,40065,38009
202003,경인선,송내,98921,96610
202003,경인선,역곡,103624,101689
202003,경인선,오류동,46179,42698
202003,경인선,온수,24265,23042
202003,경인선,인천,16446,13941
202003,경인선,제물포,36757,35133
202003,경인선,주안,86302,76710
202003,경인선,중동,32915,31039
202004,경인선,간석,23359,22196
202004,경인선,개봉,88232,86282
202004,경인선,구일,24030,23433
202004,경인선,도원,12029,12455
202004,경인선,도화,15756,14246
202004,경인선,동암,72487,72974
202004,경인선,동인천,66125,64298
202004,경인선,백운,29607,29605
202004,경인선,부개,34593,32615
202004,경인선,부천,166383,168909
202004,경인선,부평,162984,176938
202004,경인선,소사,44538,42105
202004,경인선,송내,103860,101476
202004,경인선,역곡,110402,108220
202004,경인선,오류동,48899,45638
202004,경인선,온수,25557,24379
202004,경인선,인천,18816,15876
202004,경인선,제물포,39296,37249
202004,경인선,주안,90095,80403
202004,경인선,중동,35549,33480
202005,경인선,간석,32444,30420
202005,경인선,개봉,126590,123924
202005,경인선,구일,34216,33269
202005,경인선,도원,17525,17600
202005,경인선,도화,21713,19571
202005,경인선,동암,99399,99766
202005,경인선,동인천,90736,88100
202005,경인선,백운,41310,40793
202005,경인선,부개,47399,44601
202005,경인선,부천,223496,227054
202005,경인선,부평,215647,233341
202005,경인선,소사,64146,60238
202005,경인선,송내,142071,138250
202005,경인선,역곡,152309,150019
202005,경인선,오류동,70403,65220
202005,경인선,온수,37063,34969
202005,경인선,인천,27860,24137
202005,경인선,제물포,53271,50859
202005,경인선,주안,119706,107060
202005,경인선,중동,49547,46651
202006,경인선,간석,26284,24703
202006,경인선,개봉,102794,100355
202006,경인선,구일,27892,26880
202006,경인선,도원,13487,13774
202006,경인선,도화,17143,15381
202006,경인선,동암,79880,80090
202006,경인선,동인천,73588,71360
202006,경인선,백운,33351,33089
202006,경인선,부개,38614,36240
202006,경인선,부천,178740,180843
202006,경인선,부평,175019,188517
202006,경인선,소사,51873,48913
202006,경인선,송내,113793,111256
202006,경인선,역곡,122511,120252
202006,경인선,오류동,57604,52813
202006,경인선,온수,30796,29130
202006,경인선,인천,21618,18466
202006,경인선,제물포,44001,41615
202006,경인선,주안,96892,86470
202006,경인선,중동,40576,37397
202007,경인선,간석,27793,26434
202007,경인선,개봉,106760,104303
202007,경인선,구일,29389,28246
202007,경인선,도원,14298,14491
202007,경인선,도화,18979,17277
202007,경인선,동암,84734,85645
202007,경인선,동인천,79756,77185
202007,경인선,백운,35979,35312
202007,경인선,부개,41397,38663
202007,경인선,부천,193776,196370
202007,경인선,부평,192720,208188
202007,경인선,소사,53620,50777
202007,경인선,송내,123189,120450
202007,경인선,역곡,128945,126801
202007,경인선,오류동,59110,54592
202007,경인선,온수,33042,30816
202007,경인선,인천,25359,21566
202007,경인선,제물포,47565,44718
202007,경인선,주안,104748,92829
202007,경인선,중동,42626,40011
202008,경인선,간석,28243,26825
202008,경인선,개봉,107989,105833
202008,경인선,구일,28859,28096
202008,경인선,도원,15340,15629
202008,경인선,도화,19035,17070
202008,경인선,동암,87259,87625
202008,경인선,동인천,78849,76588
202008,경인선,백운,35485,35348
202008,경인선,부개,41602,39229
202008,경인선,부천,199060,200860
202008,경인선,부평,192478,206457
202008,경인선,소사,52668,50162
202008,경인선,송내,122205,119852
202008,경인선,역곡,129069,127273
202008,경인선,오류동,60161,55345
202008,경인선,온수,32101,30239
202008,경인선,인천,23442,19675
202008,경인선,제물포,46885,45072
202008,경인선,주안,106015,95177
202008,경인선,중동,42728,40281
202009,경인선,간석,22466,21579
202009,경인선,개봉,87839,86645
202009,경인선,구일,23565,22756
202009,경인선,도원,11934,12229
202009,경인선,도화,15429,14200
202009,경인선,동암,70350,70494
202009,경인선,동인천,63733,61861
202009,경인선,백운,29605,29224
202009,경인선,부개,33833,32066
202009,경인선,부천,156579,158519
202009,경인선,부평,148689,159921
202009,경인선,소사,42357,40720
202009,경인선,송내,95909,94741
202009,경인선,역곡,105315,104567
