사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,경춘선,가평,15054,14617,15054,14617
202001,경춘선,갈매,12592,11085,12592,11085
202001,경춘선,강촌,4341,4064,4341,4064
202001,경춘선,굴봉산,1375,1382,1375,1382
202001,경춘선,금곡,8076,7506,8076,7506
202001,경춘선,김유정,3301,3524,3301,3524
202001,경춘선,남춘천,22769,23753,22769,23753
202001,경춘선,대성리,5250,4410,5250,4410
202001,경춘선,마석,22962,22548,22962,22548
202001,경춘선,백양리,2827,2486,2827,2486
202001,경춘선,별내,14337,13793,14337,13793
202001,경춘선,사릉,17020,16144,17020,16144
202001,경춘선,상천,2585,2224,2585,2224
202001,경춘선,신내,7346,7649,7346,7649
202001,경춘선,천마산,10216,9467,10216,9467
202001,경춘선,청평,15088,13900,15088,13900
202001,경춘선,춘천,15665,13068,15665,13068
202001,경춘선,퇴계원,19457,17839,19457,17839
202001,경춘선,평내호평,31459,30148,31459,30148
202002,경춘선,가평,11825,11760,11825,11760
202002,경춘선,갈매,12111,10858,12111,10858
202002,경춘선,강촌,3756,3503,3756,3503
202002,경춘선,굴봉산,1081,1251,1081,1251
202002,경춘선,금곡,7430,7200,7430,7200
202002,경춘선,김유정,2725,2883,2725,2883
202002,경춘선,남춘천,17463,18505,17463,18505
202002,경춘선,대성리,5514,4479,5514,4479
202002,경춘선,마석,20102,20098,20102,20098
202002,경춘선,백양리,2127,1846,2127,1846
202002,경춘선,별내,14042,13745,14042,13745
202002,경춘선,사릉,15531,15346,15531,15346
202002,경춘선,상천,2337,1942,2337,1942
202002,경춘선,신내,6585,7006,6585,7006
202002,경춘선,천마산,8821,8638,8821,8638
202002,경춘선,청평,12358,11334,12358,11334
202002,경춘선,춘천,10362,9191,10362,9191
202002,경춘선,퇴계원,18125,16841,18125,16841
202002,경춘선,평내호평,29264,28986,29264,28986
202003,경춘선,가평,8044,7795,8044,7795
202003,경춘선,갈매,9703,8587,9703,8587
202003,경춘선,강촌,4038,3689,4038,3689
202003,경춘선,굴봉산,1097,1291,1097,1291
202003,경춘선,금곡,6039,5792,6039,5792
202003,경춘선,김유정,2265,2506,2265,2506
202003,경춘선,남춘천,12354,12805,12354,12805
202003,경춘선,대성리,3688,3275,3688,3275
202003,경춘선,마석,14686,15252,14686,15252
202003,경춘선,백양리,711,585,711,585
202003,경춘선,별내,10541,10429,10541,10429
202003,경춘선,사릉,11847,11740,11847,11740
202003,경춘선,상천,3049,2243,3049,2243
202003,경춘선,신내,5196,5277,5196,5277
202003,경춘선,천마산,6957,7001,6957,7001
202003,경춘선,청평,8407,8383,8407,8383
202003,경춘선,춘천,8162,7382,8162,7382
202003,경춘선,퇴계원,13883,12926,13883,12926
202003,경춘선,평내호평,21320,21210,21320,21210
202004,경춘선,가평,10840,10534,10840,10534
202004,경춘선,갈매,10229,9150,10229,9150
202004,경춘선,강촌,5596,5165,5596,5165
202004,경춘선,굴봉산,2141,2376,2141,2376
202004,경춘선,금곡,6446,6135,6446,6135
202004,경춘선,김유정,2890,3169,2890,3169
202004,경춘선,남춘천,14305,14746,14305,14746
202004,경춘선,대성리,5603,5129,5603,5129
202004,경춘선,마석,17516,17660,17516,17660
202004,경춘선,백양리,1060,907,1060,907
202004,경춘선,별내,11242,11126,11242,11126
202004,경춘선,사릉,13106,12737,13106,12737
202004,경춘선,상천,4488,3594,4488,3594
202004,경춘선,신내,5631,6012,5631,6012
202004,경춘선,천마산,7890,8258,7890,8258
202004,경춘선,청평,10756,10582,10756,10582
202004,경춘선,춘천,10148,8823,10148,8823
202004,경춘선,퇴계원,14838,13944,14838,13944
202004,경춘선,평내호평,24215,24348,24215,24348
202005,경춘선,가평,16935,16499,16935,16499
202005,경춘선,갈매,14483,13026,14483,13026
202005,경춘선,강촌,7378,6485,7378,6485
202005,경춘선,굴봉산,2318,2346,2318,2346
202005,경춘선,금곡,8840,8412,8840,8412
202005,경춘선,김유정,4234,4804,4234,4804
202005,경춘선,남춘천,21791,22846,21791,22846
202005,경춘선,대성리,6739,5995,6739,5995
202005,경춘선,마석,25134,25436,25134,25436
202005,경춘선,백양리,1377,1313,1377,1313
202005,경춘선,별내,15961,15486,15961,15486
202005,경춘선,사릉,18238,17862,18238,17862
202005,경춘선,상천,4402,3739,4402,3739
202005,경춘선,신내,7959,8328,7959,8328
202005,경춘선,천마산,10448,10426,10448,10426
202005,경춘선,청평,15921,14882,15921,14882
202005,경춘선,춘천,15950,13662,15950,13662
202005,경춘선,퇴계원,20844,19273,20844,19273
202005,경춘선,평내호평,33562,33487,33562,33487
202006,경춘선,가평,16521,15796,16521,15796
202006,경춘선,갈매,11667,10421,11667,10421
202006,경춘선,강촌,6883,6309,6883,6309
202006,경춘선,굴봉산,1930,2032,1930,2032
202006,경춘선,금곡,7153,6840,7153,6840
202006,경춘선,김유정,3495,4033,3495,4033
202006,경춘선,남춘천,17798,18797,17798,18797
202006,경춘선,대성리,5855,5405,5855,5405
202006,경춘선,마석,20250,20724,20250,20724
202006,경춘선,백양리,1432,1362,1432,1362
202006,경춘선,별내,13461,13262,13461,13262
202006,경춘선,사릉,14836,14689,14836,14689
202006,경춘선,상천,4032,3326,4032,3326
202006,경춘선,신내,6503,6901,6503,6901
202006,경춘선,천마산,8841,8818,8841,8818
202006,경춘선,청평,14096,13774,14096,13774
202006,경춘선,춘천,13952,11734,13952,11734
202006,경춘선,퇴계원,16977,15827,16977,15827
202006,경춘선,평내호평,28867,28382,28867,28382
202007,경춘선,가평,21949,21231,21949,21231
202007,경춘선,갈매,11840,10803,11840,10803
202007,경춘선,강촌,6740,5906,6740,5906
202007,경춘선,굴봉산,1843,1756,1843,1756
202007,경춘선,금곡,7539,7263,7539,7263
202007,경춘선,김유정,3359,3826,3359,3826
202007,경춘선,남춘천,18618,19714,18618,19714
202007,경춘선,대성리,8278,7487,8278,7487
202007,경춘선,마석,21609,21470,21609,21470
202007,경춘선,백양리,1594,1306,1594,1306
202007,경춘선,별내,13846,13325,13846,13325
202007,경춘선,사릉,15580,15084,15580,15084
202007,경춘선,상천,3531,2922,3531,2922
202007,경춘선,신내,6825,7014,6825,7014
202007,경춘선,천마산,8993,8978,8993,8978
202007,경춘선,청평,16732,15772,16732,15772
202007,경춘선,춘천,13570,11678,13570,11678
202007,경춘선,퇴계원,17539,16337,17539,16337
202007,경춘선,평내호평,29157,28934,29157,28934
202008,경춘선,가평,17819,18243,17819,18243
202008,경춘선,갈매,11574,10664,11574,10664
202008,경춘선,강촌,5388,4723,5388,4723
202008,경춘선,굴봉산,1451,1347,1451,1347
202008,경춘선,금곡,7399,6838,7399,6838
202008,경춘선,김유정,2629,2829,2629,2829
202008,경춘선,남춘천,18320,19357,18320,19357
202008,경춘선,대성리,6836,6097,6836,6097
202008,경춘선,마석,20615,20573,20615,20573
202008,경춘선,백양리,1347,1088,1347,1088
202008,경춘선,별내,13368,13277,13368,13277
202008,경춘선,사릉,15177,14940,15177,14940
202008,경춘선,상천,2362,2145,2362,2145
202008,경춘선,신내,6405,6631,6405,6631
202008,경춘선,천마산,8620,8454,8620,8454
202008,경춘선,청평,14388,14001,14388,14001
202008,경춘선,춘천,11622,10942,11622,10942
202008,경춘선,퇴계원,17380,15893,17380,15893
202008,경춘선,평내호평,27777,27650,27777,27650
202009,경춘선,가평,11461,11110,11461,11110
202009,경춘선,갈매,10216,9148,10216,9148
202009,경춘선,강촌,4949,4421,4949,4421
202009,경춘선,굴봉산,1494,1598,1494,1598
202009,경춘선,금곡,6621,6280,6621,6280
202009,경춘선,김유정,2712,3258,2712,3258
202009,경춘선,남춘천,14722,14980,14722,14980
202009,경춘선,대성리,5117,4668,5117,4668
202009,경춘선,마석,17551,17601,17551,17601
202009,경춘선,백양리,909,778,909,778
202009,경춘선,별내,11799,11474,11799,11474
202009,경춘선,사릉,13002,12865,13002,12865
202009,경춘선,상천,3662,2910,3662,2910
202009,경춘선,신내,5802,6021,5802,6021
202009,경춘선,천마산,7864,7991,7864,7991
202009,경춘선,청평,10810,10540,10810,10540
202009,경춘선,춘천,10109,9073,10109,9073
202009,경춘선,퇴계원,14678,13549,14678,13549
202009,경춘선,평내호평,23501,23429,23501,23429
202010,경춘선,가평,21758,20545,21758,20545
202010,경춘선,갈매,14178,12592,14178,12592
202010,경춘선,강촌,8190,7254,8190,7254
202010,경춘선,굴봉산,2150,2230,2150,2230
202010,경춘선,금곡,8262,7905,8262,7905
202010,경춘선,김유정,5280,6089,5280,6089
202010,경춘선,남춘천,21364,21931,21364,21931
202010,경춘선,대성리,6553,5951,6553,5951
202010,경춘선,마석,24932,24231,24932,24231
202010,경춘선,백양리,1312,1368,1312,1368
202010,경춘선,별내,16316,15592,16316,15592
202010,경춘선,사릉,17729,17101,17729,17101
202010,경춘선,상천,5134,4119,5134,4119
202010,경춘선,신내,7939,8023,7939,8023
202010,경춘선,천마산,10973,10462,10973,10462
202010,경춘선,청평,15400,14279,15400,14279
202010,경춘선,춘천,18284,15093,18284,15093
202010,경춘선,퇴계원,19958,18477,19958,18477
202010,경춘선,평내호평,32735,32335,32735,32335
202011,경춘선,가평,15637,15351,15637,15351
202011,경춘선,갈매,12948,11362,12948,11362
202011,경춘선,강촌,4965,4709,4965,4709
202011,경춘선,굴봉산,1278,1200,1278,1200
202011,경춘선,금곡,7471,7076,7471,7076
202011,경춘선,김유정,3380,3977,3380,3977
202011,경춘선,남춘천,18309,19505,18309,19505
202011,경춘선,대성리,6773,5087,6773,5087
202011,경춘선,마석,22457,21664,22457,21664
202011,경춘선,백양리,1111,1098,1111,1098
202011,경춘선,별내,14707,14070,14707,14070
202011,경춘선,사릉,16093,15782,16093,15782
202011,경춘선,상천,3036,2569,3036,2569
202011,경춘선,신내,7023,7382,7023,7382
202011,경춘선,천마산,9598,8967,9598,8967
202011,경춘선,청평,12332,11579,12332,11579
202011,경춘선,춘천,11991,11092,11991,11092
202011,경춘선,퇴계원,18239,16626,18239,16626
202011,경춘선,평내호평,29550,29006,29550,29006
202012,경춘선,가평,6629,6420,6629,6420
202012,경춘선,갈매,8578,7664,8578,7664
202012,경춘선,강촌,2434,2264,2434,2264
202012,경춘선,굴봉산,709,775,709,775
202012,경춘선,금곡,5167,4827,5167,4827
202012,경춘선,김유정,1613,1701,1613,1701
202012,경춘선,남춘천,10681,10944,10681,10944
202012,경춘선,대성리,2559,2196,2559,2196
202012,경춘선,마석,13604,13898,13604,13898
202012,경춘선,백양리,936,822,936,822
