사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,공항철도 1호선,검암,40704,40714,40704,40714
202001,공항철도 1호선,계양,51689,48582,51689,48582
202001,공항철도 1호선,공덕,13846,20330,13846,20330
202001,공항철도 1호선,공항화물청사,10750,11749,10750,11749
202001,공항철도 1호선,김포공항,76033,40886,76033,40886
202001,공항철도 1호선,디지털미디어시티,40348,38533,40348,38533
202001,공항철도 1호선,마곡나루,16585,18637,16585,18637
202001,공항철도 1호선,서울역,112720,94170,112720,94170
202001,공항철도 1호선,영종,19468,19908,19468,19908
202001,공항철도 1호선,운서,50445,54536,50445,54536
202001,공항철도 1호선,인천공항1터미널,126789,124459,126789,124459
202001,공항철도 1호선,인천공항2터미널,44863,37401,44863,37401
202001,공항철도 1호선,청라국제도시,30520,29694,30520,29694
202001,공항철도 1호선,홍대입구,98917,94667,98917,94667
202002,공항철도 1호선,검암,36411,36605,36411,36605
202002,공항철도 1호선,계양,45441,42750,45441,42750
202002,공항철도 1호선,공덕,11832,17316,11832,17316
202002,공항철도 1호선,공항화물청사,11097,11988,11097,11988
202002,공항철도 1호선,김포공항,62949,35091,62949,35091
202002,공항철도 1호선,디지털미디어시티,37449,36377,37449,36377
202002,공항철도 1호선,마곡나루,15154,17043,15154,17043
202002,공항철도 1호선,서울역,79799,68874,79799,68874
202002,공항철도 1호선,영종,16516,16869,16516,16869
202002,공항철도 1호선,운서,48242,52006,48242,52006
202002,공항철도 1호선,인천공항1터미널,98695,93596,98695,93596
202002,공항철도 1호선,인천공항2터미널,37893,30885,37893,30885
202002,공항철도 1호선,청라국제도시,26123,25422,26123,25422
202002,공항철도 1호선,홍대입구,85057,82415,85057,82415
202003,공항철도 1호선,검암,26588,27315,26588,27315
202003,공항철도 1호선,계양,33331,30966,33331,30966
202003,공항철도 1호선,공덕,7020,9987,7020,9987
202003,공항철도 1호선,공항화물청사,9842,10755,9842,10755
202003,공항철도 1호선,김포공항,37152,22417,37152,22417
202003,공항철도 1호선,디지털미디어시티,23911,23486,23911,23486
202003,공항철도 1호선,마곡나루,11799,12493,11799,12493
202003,공항철도 1호선,서울역,28846,28141,28846,28141
202003,공항철도 1호선,영종,12231,12250,12231,12250
202003,공항철도 1호선,운서,35841,37706,35841,37706
202003,공항철도 1호선,인천공항1터미널,34346,32634,34346,32634
202003,공항철도 1호선,인천공항2터미널,18510,14787,18510,14787
202003,공항철도 1호선,청라국제도시,18302,17490,18302,17490
202003,공항철도 1호선,홍대입구,47787,47515,47787,47515
202004,공항철도 1호선,검암,27261,28240,27261,28240
202004,공항철도 1호선,계양,34383,31646,34383,31646
202004,공항철도 1호선,공덕,7292,10394,7292,10394
202004,공항철도 1호선,공항화물청사,8550,9141,8550,9141
202004,공항철도 1호선,김포공항,38857,21395,38857,21395
202004,공항철도 1호선,디지털미디어시티,24907,24216,24907,24216
202004,공항철도 1호선,마곡나루,12527,13216,12527,13216
202004,공항철도 1호선,서울역,31757,30565,31757,30565
202004,공항철도 1호선,영종,13844,13908,13844,13908
202004,공항철도 1호선,운서,32708,34695,32708,34695
202004,공항철도 1호선,인천공항1터미널,20749,19899,20749,19899
202004,공항철도 1호선,인천공항2터미널,11650,9929,11650,9929
202004,공항철도 1호선,청라국제도시,19539,18707,19539,18707
202004,공항철도 1호선,홍대입구,50982,51338,50982,51338
202005,공항철도 1호선,검암,36563,37934,36563,37934
202005,공항철도 1호선,계양,47020,43384,47020,43384
202005,공항철도 1호선,공덕,10431,14938,10431,14938
202005,공항철도 1호선,공항화물청사,10886,11547,10886,11547
202005,공항철도 1호선,김포공항,64694,35480,64694,35480
202005,공항철도 1호선,디지털미디어시티,35547,34716,35547,34716
202005,공항철도 1호선,마곡나루,17484,18925,17484,18925
202005,공항철도 1호선,서울역,53601,49153,53601,49153
202005,공항철도 1호선,영종,19558,19494,19558,19494
202005,공항철도 1호선,운서,43896,45906,43896,45906
202005,공항철도 1호선,인천공항1터미널,27617,26864,27617,26864
202005,공항철도 1호선,인천공항2터미널,13697,12064,13697,12064
202005,공항철도 1호선,청라국제도시,26716,26079,26716,26079
202005,공항철도 1호선,홍대입구,63446,62373,63446,62373
202006,공항철도 1호선,검암,31092,31692,31092,31692
202006,공항철도 1호선,계양,40339,37103,40339,37103
202006,공항철도 1호선,공덕,9037,13251,9037,13251
202006,공항철도 1호선,공항화물청사,9041,9508,9041,9508
202006,공항철도 1호선,김포공항,61416,34647,61416,34647
202006,공항철도 1호선,디지털미디어시티,31261,30366,31261,30366
202006,공항철도 1호선,마곡나루,14544,16052,14544,16052
202006,공항철도 1호선,서울역,45340,42414,45340,42414
