사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,분당선,가천대,33629,39200,33629,39200
202001,분당선,강남구청,33711,40320,33711,40320
202001,분당선,개포동,18803,18754,18803,18754
202001,분당선,구룡,6274,6294,6274,6294
202001,분당선,구성,24854,25332,24854,25332
202001,분당선,기흥,52663,50430,52663,50430
202001,분당선,대모산입구,16728,15370,16728,15370
202001,분당선,도곡,28669,27509,28669,27509
202001,분당선,망포,65135,62178,65135,62178
202001,분당선,매교,11801,12347,11801,12347
202001,분당선,매탄권선,23511,22203,23511,22203
202001,분당선,모란,137095,141657,137095,141657
202001,분당선,미금,86099,91221,86099,91221
202001,분당선,보정,12763,11435,12763,11435
202001,분당선,복정,5,0,5,0
202001,분당선,상갈,31151,30163,31151,30163
202001,분당선,서울숲,38129,39325,38129,39325
202001,분당선,서현,155466,154687,155466,154687
202001,분당선,선릉,30888,50497,30888,50497
202001,분당선,선정릉,23959,24898,23959,24898
202001,분당선,수내,63629,60892,63629,60892
202001,분당선,수서,84951,80618,84951,80618
202001,분당선,수원,54774,37158,54774,37158
202001,분당선,수원시청,75099,86318,75099,86318
202001,분당선,신갈,22435,22421,22435,22421
202001,분당선,압구정로데오,86360,98429,86360,98429
202001,분당선,야탑,154699,158009,154699,158009
202001,분당선,영통,50705,50359,50705,50359
202001,분당선,오리,62250,52392,62250,52392
202001,분당선,이매,36227,36520,36227,36520
202001,분당선,정자,76279,79526,76279,79526
202001,분당선,죽전,79056,90147,79056,90147
202001,분당선,청명,21050,20496,21050,20496
202001,분당선,태평,82490,79665,82490,79665
202001,분당선,한티,88473,85110,88473,85110
202002,분당선,가천대,34155,39619,34155,39619
202002,분당선,강남구청,36178,43772,36178,43772
202002,분당선,개포동,18510,18394,18510,18394
202002,분당선,구룡,6896,6719,6896,6719
202002,분당선,구성,21769,22586,21769,22586
202002,분당선,기흥,48331,47109,48331,47109
202002,분당선,대모산입구,16025,14914,16025,14914
202002,분당선,도곡,28285,26520,28285,26520
202002,분당선,망포,60717,57657,60717,57657
202002,분당선,매교,11090,11766,11090,11766
202002,분당선,매탄권선,22019,20696,22019,20696
202002,분당선,모란,122976,126285,122976,126285
202002,분당선,미금,82373,86140,82373,86140
202002,분당선,보정,11016,9989,11016,9989
202002,분당선,복정,2,0,2,0
202002,분당선,상갈,27449,27402,27449,27402
202002,분당선,서울숲,40983,42154,40983,42154
202002,분당선,서현,153060,153976,153060,153976
202002,분당선,선릉,32976,55466,32976,55466
202002,분당선,선정릉,25797,27273,25797,27273
202002,분당선,수내,61394,58628,61394,58628
202002,분당선,수서,73994,73219,73994,73219
202002,분당선,수원,46916,31511,46916,31511
202002,분당선,수원시청,70847,81083,70847,81083
202002,분당선,신갈,19881,19777,19881,19777
202002,분당선,압구정로데오,96163,109516,96163,109516
202002,분당선,야탑,141452,148074,141452,148074
202002,분당선,영통,48577,47764,48577,47764
202002,분당선,오리,60143,50706,60143,50706
202002,분당선,이매,31894,31423,31894,31423
202002,분당선,정자,75225,77940,75225,77940
202002,분당선,죽전,74236,84793,74236,84793
202002,분당선,청명,19024,18656,19024,18656
202002,분당선,태평,79521,76054,79521,76054
202002,분당선,한티,86580,82798,86580,82798
202003,분당선,가천대,22400,26027,22400,26027
202003,분당선,강남구청,21737,26086,21737,26086
202003,분당선,개포동,10748,10667,10748,10667
202003,분당선,구룡,4381,4453,4381,4453
202003,분당선,구성,13738,14675,13738,14675
202003,분당선,기흥,31378,30330,31378,30330
202003,분당선,대모산입구,10567,9826,10567,9826
202003,분당선,도곡,17133,16497,17133,16497
202003,분당선,망포,40860,39136,40860,39136
202003,분당선,매교,7380,7632,7380,7632
202003,분당선,매탄권선,14931,13861,14931,13861
202003,분당선,모란,83813,86459,83813,86459
202003,분당선,미금,50156,52042,50156,52042
202003,분당선,보정,6437,6070,6437,6070
202003,분당선,복정,1,0,1,0
202003,분당선,상갈,17533,17763,17533,17763
202003,분당선,서울숲,35030,37001,35030,37001
202003,분당선,서현,82503,82731,82503,82731
202003,분당선,선릉,21581,33863,21581,33863
202003,분당선,선정릉,16407,17328,16407,17328
202003,분당선,수내,39814,37919,39814,37919
202003,분당선,수서,42885,43628,42885,43628
202003,분당선,수원,31456,20188,31456,20188
202003,분당선,수원시청,45948,50795,45948,50795
202003,분당선,신갈,11939,11986,11939,11986
202003,분당선,압구정로데오,67972,77829,67972,77829
202003,분당선,야탑,80979,84166,80979,84166
202003,분당선,영통,29564,29426,29564,29426
202003,분당선,오리,37352,31964,37352,31964
202003,분당선,이매,16154,16069,16154,16069
202003,분당선,정자,49417,50669,49417,50669
202003,분당선,죽전,47126,53380,47126,53380
202003,분당선,청명,11378,10810,11378,10810
202003,분당선,태평,55975,53199,55975,53199
202003,분당선,한티,47938,48153,47938,48153
202004,분당선,가천대,24518,28639,24518,28639
202004,분당선,강남구청,23935,28593,23935,28593
202004,분당선,개포동,11547,11120,11547,11120
202004,분당선,구룡,4349,4358,4349,4358
202004,분당선,구성,15951,16719,15951,16719
202004,분당선,기흥,34478,33713,34478,33713
202004,분당선,대모산입구,11440,10557,11440,10557
202004,분당선,도곡,17795,16572,17795,16572
202004,분당선,망포,44414,42524,44414,42524
202004,분당선,매교,7897,8282,7897,8282
202004,분당선,매탄권선,16344,15240,16344,15240
202004,분당선,모란,93096,96262,93096,96262
202004,분당선,미금,55146,57821,55146,57821
202004,분당선,보정,7516,6958,7516,6958
202004,분당선,복정,2,0,2,0
202004,분당선,상갈,19391,19570,19391,19570
202004,분당선,서울숲,44195,48140,44195,48140
202004,분당선,서현,93930,95640,93930,95640
202004,분당선,선릉,23380,37597,23380,37597
202004,분당선,선정릉,16657,17423,16657,17423
202004,분당선,수내,44414,41910,44414,41910
202004,분당선,수서,50195,50250,50195,50250
202004,분당선,수원,34753,23450,34753,23450
202004,분당선,수원시청,50668,55880,50668,55880
202004,분당선,신갈,13568,13763,13568,13763
202004,분당선,압구정로데오,71370,82351,71370,82351
202004,분당선,야탑,90897,94943,90897,94943
202004,분당선,영통,32808,32232,32808,32232
202004,분당선,오리,40338,34340,40338,34340
202004,분당선,이매,19665,19092,19665,19092
202004,분당선,정자,54866,56115,54866,56115
202004,분당선,죽전,53346,59855,53346,59855
202004,분당선,청명,12895,12503,12895,12503
202004,분당선,태평,59309,55946,59309,55946
202004,분당선,한티,56205,54349,56205,54349
202005,분당선,가천대,35940,41764,35940,41764
202005,분당선,강남구청,34274,42132,34274,42132
202005,분당선,개포동,17645,17704,17645,17704
202005,분당선,구룡,6705,6510,6705,6510
202005,분당선,구성,24233,24757,24233,24757
202005,분당선,기흥,49886,47762,49886,47762
202005,분당선,대모산입구,18293,16835,18293,16835
202005,분당선,도곡,28006,26608,28006,26608
202005,분당선,망포,62454,59638,62454,59638
202005,분당선,매교,11787,12014,11787,12014
202005,분당선,매탄권선,23623,21974,23623,21974
202005,분당선,모란,127112,131629,127112,131629
202005,분당선,미금,79577,83411,79577,83411
202005,분당선,보정,11249,10504,11249,10504
202005,분당선,복정,4,0,4,0
202005,분당선,상갈,28227,28451,28227,28451
202005,분당선,서울숲,56221,58932,56221,58932
202005,분당선,서현,137163,140103,137163,140103
202005,분당선,선릉,34602,55523,34602,55523
202005,분당선,선정릉,25788,26757,25788,26757
202005,분당선,수내,64670,61152,64670,61152
202005,분당선,수서,82367,80034,82367,80034
202005,분당선,수원,49426,32422,49426,32422
202005,분당선,수원시청,69218,76400,69218,76400
202005,분당선,신갈,19869,19907,19869,19907
202005,분당선,압구정로데오,97900,114373,97900,114373
202005,분당선,야탑,134966,141053,134966,141053
202005,분당선,영통,45883,46212,45883,46212
202005,분당선,오리,57842,49512,57842,49512
202005,분당선,이매,30611,29376,30611,29376
202005,분당선,정자,78916,81646,78916,81646
202005,분당선,죽전,78115,88074,78115,88074
202005,분당선,청명,19475,19019,19475,19019
202005,분당선,태평,83019,78167,83019,78167
202005,분당선,한티,81781,79372,81781,79372
202006,분당선,가천대,34308,38327,34308,38327
202006,분당선,강남구청,28919,35680,28919,35680
202006,분당선,개포동,15466,15389,15466,15389
202006,분당선,구룡,7038,6877,7038,6877
202006,분당선,구성,20290,20561,20290,20561
202006,분당선,기흥,41576,40184,41576,40184
202006,분당선,대모산입구,14591,13370,14591,13370
202006,분당선,도곡,24440,22958,24440,22958
202006,분당선,망포,51981,49202,51981,49202
202006,분당선,매교,9306,9528,9306,9528
202006,분당선,매탄권선,19251,17727,19251,17727
202006,분당선,모란,101404,104408,101404,104408
202006,분당선,미금,66372,69801,66372,69801
202006,분당선,보정,9348,8355,9348,8355
202006,분당선,복정,7,0,7,0
202006,분당선,상갈,23023,23309,23023,23309
202006,분당선,서울숲,45530,46850,45530,46850
202006,분당선,서현,114807,118027,114807,118027
202006,분당선,선릉,28504,46238,28504,46238
202006,분당선,선정릉,21409,22228,21409,22228
202006,분당선,수내,53912,50825,53912,50825
202006,분당선,수서,69307,68890,69307,68890
202006,분당선,수원,40811,27432,40811,27432
202006,분당선,수원시청,58082,63857,58082,63857
202006,분당선,신갈,16771,16809,16771,16809
202006,분당선,압구정로데오,83980,100149,83980,100149
202006,분당선,야탑,111318,115646,111318,115646
202006,분당선,영통,38582,38387,38582,38387
202006,분당선,오리,48295,41413,48295,41413
202006,분당선,이매,25386,24703,25386,24703
202006,분당선,정자,65925,68092,65925,68092
202006,분당선,죽전,64397,73254,64397,73254
202006,분당선,청명,16216,15886,16216,15886
202006,분당선,태평,67208,62693,67208,62693
202006,분당선,한티,65941,64062,65941,64062
202007,분당선,가천대,31429,35766,31429,35766
202007,분당선,강남구청,29644,36042,29644,36042
202007,분당선,개포동,17024,16820,17024,16820
202007,분당선,구룡,7739,7390,7739,7390
202007,분당선,구성,20833,21409,20833,21409
202007,분당선,기흥,42673,40849,42673,40849
202007,분당선,대모산입구,15325,14153,15325,14153
202007,분당선,도곡,25005,23731,25005,23731
202007,분당선,망포,53505,51246,53505,51246
202007,분당선,매교,9707,9817,9707,9817
202007,분당선,매탄권선,20180,19103,20180,19103
202007,분당선,모란,110321,112507,110321,112507
202007,분당선,미금,68600,72934,68600,72934
202007,분당선,보정,10088,9002,10088,9002
202007,분당선,복정,4,0,4,0
202007,분당선,상갈,24136,24159,24136,24159
202007,분당선,서울숲,46969,47820,46969,47820
202007,분당선,서현,116868,120369,116868,120369
202007,분당선,선릉,30133,47650,30133,47650
202007,분당선,선정릉,21911,23187,21911,23187
202007,분당선,수내,56099,52379,56099,52379
202007,분당선,수서,72320,72179,72320,72179
