사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,우이신설선,4.19민주묘지,17453,15475,17453,15475
202001,우이신설선,가오리,22371,20649,22371,20649
202001,우이신설선,보문,9177,9210,9177,9210
202001,우이신설선,북한산보국문,34900,30615,34900,30615
202001,우이신설선,북한산우이,23578,23393,23578,23393
202001,우이신설선,삼양,11419,11600,11419,11600
202001,우이신설선,삼양사거리,13930,13857,13930,13857
202001,우이신설선,성신여대입구,20395,24248,20395,24248
202001,우이신설선,솔밭공원,13785,12819,13785,12819
202001,우이신설선,솔샘,27886,24893,27886,24893
202001,우이신설선,신설동,10039,10150,10039,10150
202001,우이신설선,정릉,25945,21677,25945,21677
202001,우이신설선,화계,18779,17388,18779,17388
202002,우이신설선,4.19민주묘지,15643,13881,15643,13881
202002,우이신설선,가오리,20871,19655,20871,19655
202002,우이신설선,보문,8928,9300,8928,9300
202002,우이신설선,북한산보국문,32647,29025,32647,29025
202002,우이신설선,북한산우이,20766,20298,20766,20298
202002,우이신설선,삼양,11005,11329,11005,11329
202002,우이신설선,삼양사거리,13366,13466,13366,13466
202002,우이신설선,성신여대입구,17853,20404,17853,20404
202002,우이신설선,솔밭공원,12597,12040,12597,12040
202002,우이신설선,솔샘,25543,23135,25543,23135
202002,우이신설선,신설동,10199,10047,10199,10047
202002,우이신설선,정릉,24121,20324,24121,20324
202002,우이신설선,화계,18276,16820,18276,16820
202003,우이신설선,4.19민주묘지,13264,11182,13264,11182
202003,우이신설선,가오리,15539,14321,15539,14321
202003,우이신설선,보문,6477,6616,6477,6616
202003,우이신설선,북한산보국문,25203,22475,25203,22475
202003,우이신설선,북한산우이,19672,20315,19672,20315
202003,우이신설선,삼양,8426,8900,8426,8900
202003,우이신설선,삼양사거리,10364,10462,10364,10462
202003,우이신설선,성신여대입구,13871,16838,13871,16838
202003,우이신설선,솔밭공원,9708,9169,9708,9169
202003,우이신설선,솔샘,18319,16414,18319,16414
202003,우이신설선,신설동,7959,7880,7959,7880
202003,우이신설선,정릉,18017,15188,18017,15188
202003,우이신설선,화계,13737,12442,13737,12442
202004,우이신설선,4.19민주묘지,14265,12381,14265,12381
202004,우이신설선,가오리,16670,15017,16670,15017
202004,우이신설선,보문,6761,6887,6761,6887
202004,우이신설선,북한산보국문,26208,23876,26208,23876
202004,우이신설선,북한산우이,22745,24484,22745,24484
202004,우이신설선,삼양,8878,9456,8878,9456
202004,우이신설선,삼양사거리,11049,10942,11049,10942
202004,우이신설선,성신여대입구,14972,17651,14972,17651
202004,우이신설선,솔밭공원,10062,9501,10062,9501
202004,우이신설선,솔샘,19819,17958,19819,17958
202004,우이신설선,신설동,8156,8079,8156,8079
202004,우이신설선,정릉,19183,16285,19183,16285
202004,우이신설선,화계,13964,12800,13964,12800
202005,우이신설선,4.19민주묘지,18574,16622,18574,16622
202005,우이신설선,가오리,22611,20482,22611,20482
202005,우이신설선,보문,9312,9632,9312,9632
202005,우이신설선,북한산보국문,35656,32019,35656,32019
202005,우이신설선,북한산우이,28377,29665,28377,29665
202005,우이신설선,삼양,12664,13112,12664,13112
202005,우이신설선,삼양사거리,14986,14735,14986,14735
202005,우이신설선,성신여대입구,19964,24143,19964,24143
202005,우이신설선,솔밭공원,13935,12999,13935,12999
202005,우이신설선,솔샘,27617,24863,27617,24863
202005,우이신설선,신설동,10951,11133,10951,11133
202005,우이신설선,정릉,26693,22615,26693,22615
202005,우이신설선,화계,19504,17453,19504,17453
202006,우이신설선,4.19민주묘지,15253,13454,15253,13454
202006,우이신설선,가오리,18702,17176,18702,17176
202006,우이신설선,보문,7808,7672,7808,7672
202006,우이신설선,북한산보국문,32048,28105,32048,28105
202006,우이신설선,북한산우이,25144,26461,25144,26461
202006,우이신설선,삼양,9898,10237,9898,10237
202006,우이신설선,삼양사거리,12452,12303,12452,12303
202006,우이신설선,성신여대입구,16652,20419,16652,20419
202006,우이신설선,솔밭공원,11683,11214,11683,11214
202006,우이신설선,솔샘,23195,20940,23195,20940
202006,우이신설선,신설동,8835,8679,8835,8679
202006,우이신설선,정릉,22429,18449,22429,18449
202006,우이신설선,화계,15673,14425,15673,14425
202007,우이신설선,4.19민주묘지,15979,14082,15979,14082
202007,우이신설선,가오리,19098,17534,19098,17534
202007,우이신설선,보문,7856,7887,7856,7887
202007,우이신설선,북한산보국문,30391,26806,30391,26806
202007,우이신설선,북한산우이,24885,27095,24885,27095
202007,우이신설선,삼양,10184,10327,10184,10327
202007,우이신설선,삼양사거리,12868,12487,12868,12487
202007,우이신설선,성신여대입구,17034,20435,17034,20435
202007,우이신설선,솔밭공원,11776,11440,11776,11440
202007,우이신설선,솔샘,24108,21384,24108,21384
202007,우이신설선,신설동,9314,8766,9314,8766
202007,우이신설선,정릉,22572,18655,22572,18655
202007,우이신설선,화계,16144,14908,16144,14908
202008,우이신설선,4.19민주묘지,14584,13235,14584,13235
202008,우이신설선,가오리,19263,18167,19263,18167
202008,우이신설선,보문,7936,7985,7936,7985
202008,우이신설선,북한산보국문,28403,25353,28403,25353
202008,우이신설선,북한산우이,18880,20254,18880,20254
202008,우이신설선,삼양,9905,10154,9905,10154
202008,우이신설선,삼양사거리,12667,12544,12667,12544
202008,우이신설선,성신여대입구,16594,19479,16594,19479
202008,우이신설선,솔밭공원,11934,11217,11934,11217
202008,우이신설선,솔샘,22927,20386,22927,20386
202008,우이신설선,신설동,8901,8506,8901,8506
202008,우이신설선,정릉,21309,17988,21309,17988
202008,우이신설선,화계,16170,14982,16170,14982
202009,우이신설선,4.19민주묘지,13819,12105,13819,12105
